ETR_,ETRE.    	The French for 'to be' is 'être'.
T_T,"TAT.    	The word ""tattoo"" (often shortened to 'tat') was first used in English in the writings of the famous English explorer Captain Cook. In his descriptions of the indelible marks adorning the skin of Polynesian natives, Cook anglicized the Tahitian word ""tatau"" into our ""tattoo""."
_OE,"MOE.    	Moe Szyslak is the surly bartender in ""The Simpson"" animated TV show. I don't really care for ""The Simpsons"", but Hank Azaria who supplies the voice for the character ... him I like."
_HE,"SHE.    	Ricky Martin's real name is Enrique Martin Morales, a native of Puerto Rico. He first achieved fame with the boy band Menudo before going solo in 1991. ""She Bangs"" was a hit from the year 2000 from Ricky Martins's album ""Sound Loaded""."
AS_ER,"ASNER.    	'Moon Over Parador' is a romantic comedy released in 1988, starring Richard Dreyfuss and Sonia Braga."
B_A,"BRA.    	The word ""brassière"" is of course French in origin, but it isn't the word the French use for a ""bra"". In France what we call a bra is a ""soutien-gorge"", translating to ""held under the neck"". The word ""brassière"" is indeed used in France but there it describes a baby's undershirt, a lifebelt or a harness. ""Brassière"" comes from the Old French word for an ""arm protector"" in a military uniform (""bras"" is the French for ""arm""). Later ""brassière"" came to mean ""breast plate"" and from there was used for a type of woman's corset. The word jumped into English around 1900."
_MI,"EMI.    	EMI was a British music company, with the acronym originally standing for Electric and Musical Industries."
EI_E,"EIRE.    	""Éire"", is the Irish word for ""Ireland"". ""Erin"" is an anglicized version of ""Éire"" and actually corresponds to ""Éirinn"", the dative case of ""Éire""."
EIR_,"EIRE.    	""Éire"", is the Irish word for ""Ireland"". ""Erin"" is an anglicized version of ""Éire"" and actually corresponds to ""Éirinn"", the dative case of ""Éire""."
_ILE,NILE.    	Lord Nelson was known as the Hero of the Nile after his decisive victory over the French at the Battle of the Nile in 1798.
AP_,"APE.    	The first video game featuring the ape called Donkey Kong was created in 1981. That first 'Donkey Kong' game also introduced the world to the character known as 'Mario', four years before 'Super Mario Bros' became such a big hit."
NE_O,"NEMO.    	Little Nemo was the hero in a comic strip drawn by Winsor McCay in the early 1900s. The strip was called 'Little Nemo in Slumberland' when it was published in the 'New York Herald', and then 'In the Land of Wonderland Dreams' when it moved to the 'New York American'."
A_R,ARR.    	Arrival (arr.)
EM_,EMT.    	Emergency medical technician (EMT)
IT_,ITO.    	Midori Ito is a Japanese figure skater. Ito was the first woman to land a triple/triple jump and a triple axel in competition. In fact she landed her first triple jump in training when she was only 8 years old ...
_IA,"TIA.    	Andalusia ('Andalucia' in Spanish) is one of the seventeen autonomous communities in the Kingdom of Spain, and is the most southerly. The capital of Andalusia is the old city of Seville. The name Andalusia comes from its Arabic name, Al-Andalus, reflecting the region's history as the center of Muslim power in Iberia during medieval times."
E_S,"EOS.    	In Greek mythology, Eos is the goddess of the dawn who lived at the edge of the ocean. Eos would wake each morning to welcome her brother Helios the sun. The Roman equivalent of Eos is Aurora."
N_MO,"NEMO.    	Ned Land was one of the protagonists in Jules Verne's classic ""20,000 Leagues Under the Sea"". Land and his colleagues get captured and are brought aboard the Nautilus submarine by Captain Nemo. In the famous movie adaptation from 1955, Ned Land was played by Kirk Douglas."
L_AT,LSAT.    	The Law School Admission Test (LSAT) has been around since 1948.
IGO_,"IGOR.    	'Prince Igor' is an opera by the Russian composer, Alexander Borodin. Borodin died before he had finished 'Prince Igor', so it was completed by Nikolai Rimsky-Korsakov and Alexander Glazunov. Music from 'Prince Igor' and other Borodin works was used in the American musical 'Kismet'."
INR_,"IN RE.    	The term ""in re"" is Latin, derived from ""in"" (in) and ""res"" (thing, matter). ""In re"" literally means ""in the matter"", and is used to mean ""in regard to"", or ""in the matter of""."
A_NER,ASNER.    	(86A. See 92-Across : ST NICK)
_ILE,"NILE.    	Agatha Christie wrote a very successful crime novel called ""Death on the Nile"" that was first published in 1937. That novel had started off life as a play, which was was never performed, one that Christie called ""Moon on the Nile"". Christie then adapted the novel back into a play again calling it ""Murder on the Nile"", which opened in London in 1946."
_SNER,"ASNER.    	Ed Asner is most famous for playing the irascible but lovable Lou Grant on ""The Mary Tyler Moore Show"" and on the spin-off drama ""Lou Grant"". Off-screen Asner is noted for his political activism. He served two terms as president of the Screen Actors Guild, and was very involved in the 1980 SAG strike. When ""Lou Grant"" was cancelled in in 1982, despite decent ratings, there was a lot of talk that the cancellation was a move by the network against Asner personally. In fact, one of Anser's activist colleagues, Howard Hesseman (who played Johnny Fever) found that his show ""WKRP in Cincinnati"" was also cancelled ... on the very same day."
EL_O,"ELMO.    	""Blondie"" was created as a comic strip by Chic Young. It was first published in 1930, and is still being created today (although the strip is now controlled by Chic's son, Dean). The strip spawned a series of radio programs (1939-1950) and a series of Blondie films (1938-1950). Blondie is married to Dagwood Bumstead. Dagwood slaves away at a construction company run by Julius Dithers, whose wife is called Cora. Another famous character in the strip is Elmo Tuttle, a pesky neighborhood kid who is always bugging Dagwood."
A_NER,"ASNER.    	Up' is the tenth movie released by Pixar studios, featuring wonderful animation as we have come to expect from Pixar. The film earned itself two Academy Awards. The main voice actor is Ed Asner, whose animated persona as Carl Fredricksen was created to resemble Spencer Tracy, as Tracy appeared in his last film, 'Guess Who's Coming to Dinner'."
ERS_,"ERSE.    	There are actually three Erse languages: Irish, Manx (spoken on the Isle of Man) and Scots Gaelic. In their own tongues, these would be Gaeilge (in Ireland), Gaelg (on the Isle of Man) and Gàidhlig (in Scotland)."
E_SA,"ELSA.    	The life story of Elsa the lion was told by game warden Joy Adamson, who had a very close relationship with the lioness from when Elsa was orphaned as a young cub. Adamson wrote the book ""Born Free"" about Elsa, and then ""Living Free"" which tells the story of Elsa and her three lion cubs. In the 1966 film based on ""Born Free"", Adamson is played by the talented actress Virginia McKenna."
I_O,ITO.    	Midori Ito is a Japanese figure skater. Ito was the first woman to land a triple/triple jump and a triple axel in competition. In fact she landed her first triple jump in training when she was only 8 years old ...
LE_,"LEN.    	Len Barker is a former Major League Baseball pitcher. He pitched a perfect game in 1981 while playing for the Cleveland Indians, the tenth official perfect game in major league history. It was apparently the most pristine of performances, with Barker never getting to ball three against any of the opposing hitters (who played for the Blue Jays, by the way)."
T_I,TAI.    	Tai is the Japanese name for sea bream.
REES_,"REESE.    	Reese's Peanut Butter Cups were invented by Harry Burnett ""H.B."" Reese. Peanut Butter Cups were originally called penny cups, reflecting the price at which they were sold. Then inflation took over, and maybe that's why they were broken into smaller 'pieces' ..."
_LMO,"ELMO.    	Tickle Me Elmo was a sensational fad in the late nineties, with stores raising prices dramatically above the recommended retail price to take advantage of demand. Reportedly, prices as high as $1500 were paid at the height of the craze. The toy's manufacturer, Tyco, originally planned to market the ""tickle"" toy as Tickle Me Tasmanian Devil (after the ""Looney Tunes"" character), but then went with ""Elmo"" after they bought the rights to use ""Sesame Street"" names."
D_S,"DTS.    	The episodes of delirium that can accompany withdrawal from alcohol are called Delirium Tremens (the DTs). The literal translation of this Latin phrase is ""trembling madness""."
A_RIA,"ATRIA.    	In modern architecture, an atrium is a a large open space, often in the center of a building and extending upwards to the roof. The original atrium was an open court in the center of an Ancient Roman house. One could access most of the enclosed rooms of the house from the atrium."
ERS_,"ERSE.    	The Gaels were speakers of one of the Erse tongues. There are actually three Erse languages: Irish, Manx (spoken on the Isle of Man) and Scots Gaelic. In their own tongues, these would be Gaeilge (in Ireland), Gaelg (on the Isle of Man) and Gàidhlig (in Scotland)."
_AM,"SAM.    	The movie ""Casablanca"" was released in January of 1943, timed to coincide with the Casablanca Conference, the high-level meeting between Roosevelt and Churchill. The film wasn't a box-office hit, but gained critical acclaim, winning three Oscars including Best Picture. The signature song ""As Time Goes By"" was written many years earlier for a 1931 Broadway musical called ""Everybody's Welcome"", and was a hit in 1931 for Rudy Vallee. But today we all remember the Casablanca version, sung by Dooley Wilson (who played ""Sam"" in the film). Poor Dooley didn't get to record it as a single, due to a musician's strike in 1943, so the 1931 Rudy Vallee version was re-released that year and became an even bigger hit second time round."
IT_,"ITO.    	Michio Itō was a dancer and choreographer from Japan who had a successful career here in the US from 1916 to 1941. Itō was interned as an enemy alien the day after the attack on Pearl Harbor, and was accused of being a spy. In order gain his freedom, Itō opted to return to Japan in 1943. After the war he was cleared of any charges in the US and was hired by the American Occupation Command in Japan to choreograph and oversee productions for US troops."
_BEL,ABEL.    	(55. Actor Lugosi : BELA)
E_S,"EOS.    	I've been using Canon EOS cameras for decades now, and have nothing but good things to say about the cameras and the lenses. The EOS name stands for Electro-Optical System, and was chosen because it evokes the name of Eos, the Titan goddess of dawn from Greek mythology."
TBA_,"T-BAR.    	A T-bar is a type of ski lift on which the skiers are pulled up the hill in pairs, with each pair standing (not sitting!) either side of T-shaped metal bar. The bar is placed behind the thighs, pulling along the skiers as they remain standing on their skis (hopefully!). There's also a J-bar, a similar device, but with each J-shaped bar used by one skier at a time."
EY_E,"EYRE.    	""Jane Eyre"" is of course the novel written by Charlotte Brontë, under the pen name Currer Bell. Over the years, I've shared here on my blogs that the ""Jane Eyre"" story line is a little too dark and Gothic for my taste, but a very persuasive blog reader convinced me to look more at the romantic side of the story and give it a second chance. I watched a wonderful 4-hour television adaptation of the novel made by the BBC a while back and I have to say that because I was focused on the relationship between Jane and Rochester, I was able to push past the Gothic influences (that depress me) so I really enjoyed the story. I thoroughly recommend the 2006 BBC adaptation to fans of the novel."
_OS,"EOS.    	In Greek mythology, Eos is the goddess of the dawn who lived at the edge of the ocean. Eos would wake each morning to welcome her brother Helios the sun. Eos was cursed with a sexual desire that could not be sated, so she abducted several young men. One of these was the Trojan prince Tithonus. Eos asked Zeus to make Tithonus immortal, and the request was granted. However, she forgot to ask for eternal youth, and so he lived forever as a helpless old man."
_BA,MBA.    	President George W. Bush graduated from Yale with an A.B. in history in 1968. He later earned a Master of Business Administration from Harvard Business School. President Bush is the only person with an MBA to have held the nation's highest office.
E_RE,"EYRE.    	""Jane Eyre"" is the celebrated novel written by Charlotte Brontë, under the pen name Currer Bell. Over the years, I've shared here on my blogs that the ""Jane Eyre"" story line is a little too dark and Gothic for my taste, but a very persuasive blog reader convinced me to look more at the romantic side of the story and give it a second chance. I watched a wonderful 4-hour television adaptation of the novel made by the BBC a while back and I have to say that because I was focused on the relationship between Jane and Rochester, I was able to push past the Gothic influences (that depress me) so I really enjoyed the story. I thoroughly recommend the 2006 BBC adaptation to fans of the novel ..."
CS_,"CSA.    	The Confederate States of America set up government in 1861 just before Abraham Lincoln took office. The CSA conceded defeat on November 6, 1865. Jefferson Davis was selected as President of the CSA at its formation, and retained the post for the life of the government. After the Civil War he spent two years in prison before being released on bail. He wrote a well-received book, ""The Rise and Fall of the Confederate Government"" that was well received, particularly in the South. He passed away in 1889 in New Orleans, at the ripe old age of 81 years."
EO_,"EOS.    	In Greek mythology, Eos is the goddess of the dawn who lived at the edge of the ocean. Eos would wake each morning to welcome her brother Helios the sun. The Roman equivalent of Eos is Aurora."
NE_O,"NEMO.    	In the 1954 movie version of ""20,000 Leagues Under the Sea"", Captain Nemo goes down with his ship. In the novel by Jules Verne the fate of Nemo and his crew isn't quite so cut and dry, although the inference is perhaps that they did indeed head for Davy Jones' Locker."
ERS_,"ERSE.    	There are actually three Erse languages. Irish, Manx (spoken on the Isle of Man) and Scots Gaelic. In their own tongues, these would be Gaeilge (in Ireland), Gaelg (on the Isle of Man) and Gaidhlig (in Scotland)."
C_N,"CNN.    	CNN (Cable News Network) was launched in 1980, and was the first television channel in the world to provide news coverage 24 hours a day."
D_L,"DSL.    	DSL originally stood for Digital Subscriber Loop, but is now accepted to mean (Asymmetric) Digital Subscriber Line. DSL is the technology that allows Internet service be delivered down the same telephone line as voice service, by separating the two into different frequency signals."
A_EL,"ABEL.    	In the story of Cain and Abel in the Book of Genesis, Cain murders his brother Abel. Subsequently, God asks Cain, 'Where is Abel thy brother?' Cain replies, 'I know not. Am I my brother's keeper?'"
_LR,"SLR.    	SLR stands for Single Lens Reflex. Usually cameras with changeable lenses are the SLR type. The main feature of an SLR is that a mirror reflects the image seen through the lens out through the viewfinder, so that the photographer sees exactly what the lens sees. The mirror moves out of the way as the picture is taken, and the image that comes through the lens falls onto unexposed film, or nowadays onto a digital sensor."
D_T,"DST.    	On the other side of the Atlantic, Daylight Saving Time (DST) is known as ""summer time"". The idea behind summer/daylight-savings is to move clocks forward an hour in spring and backwards in the fall so that afternoons have more daylight."
E_SE,"ERSE.    	There are actually three Erse languages: Irish, Manx (spoken on the Isle of Man) and Scots Gaelic. In their own tongues, these would be Gaeilge (in Ireland), Gaelg (on the Isle of Man) and Gaidhlig (in Scotland)."
SL_,"SLR.    	SLR stands for ""single lens reflex"". Usually cameras with changeable lenses are the SLR type. The main feature of an SLR is that a mirror reflects the image seen through the lens out through the viewfinder, so that the photographer sees exactly what the lens sees. The mirror moves out of the way as the picture is taken, and the image that comes through the lens falls onto unexposed film, or nowadays onto a digital sensor."
EM_,EMI.    	EMI is a British music company. The company name is an acronym that originally stood for Electric and Musical Industries.
_AM,"SAM.    	While I found ""American Beauty"" to be an enjoyable and interesting film (loved Annette Bening in it), I also found it very depressing. If you haven't seen it, the main story is about a man having a midlife crisis (Kevin Spacey) and developing an infatuation for his teenage daughter's flirtatious friend. Definitely worth watching, and it did get huge accolades when it was released in 1999. A blog reader kindly pointed out to me that that film's title is a reference to the American Beauty rose. The rose features prominently in the sexual fantasy sequences, with the Kevin Spacey character dreaming about the young girl lying naked on a bed of rose petals."
IT_,"ITO.    	Midori Ito is a Japanese figure skater. Ito was the first woman to land a triple/triple jump and a triple axel in competition. In fact, she landed her first triple jump in training, when she was only 8 years old ..."
S_M,SAM.    	There is a famous exchange in the movie 'Casablanca' that results in the piano player Sam singing 'As Time Goes By'.
ETE_,"ETES.    	In French, students at a university (université) get breaks during summers (étés)."
_SNER,"ASNER.    	""Up"" is the tenth movie released by Pixar studios, featuring wonderful animation as we have come to expect from Pixar. The film earned itself two Academy Awards. The main voice actor is Ed Asner, whose animated persona as Carl Fredricksen was created to resemble Spencer Tracy, as Tracy appeared in his last film, 'Guess Who's Coming to Dinner'."
E_AT,"ERAT.    	'Esse' is the Latin for 'to be'. 'Sum' means 'I am' and 'erat' means 'he, she was'."
LSA_,"LSAT.    	The title ""esquire"" is of British origin, and is used differently today depending on whether one is in the US or the UK. Here in America the term is usually reserved for those practicing the law (both male and female). In the UK it is a term of gentle respect, reserved for a male who has no other title that one can use. So a mere commoner like me might receive a letter from the bank say, addressed to W. E. Butler Esq."
LAR_,"LARA.    	The actress Lara Flynn Boyle plays Donna Hayward on 'Twin Peaks', and Helen Gamble on 'The Practice'."
NO_L,"NOEL.    	'Noël' is the French word for the Christmas season, ultimately coming from the Latin word for ""birth"" (natalis). Noel has come to be used as an alternative name for a Christmas carol."
I_RE,"IN RE.    	The term ""in re"" is Latin, derived from ""in"" (in) and ""res"" (thing, matter). ""In re"" literally means ""in the matter"", and is used to mean ""in regard to"", or ""in the matter of""."
A_NER,"ASNER.    	Ed Asner is most famous for playing the irascible but lovable Lou Grant on ""The Mary Tyler Moore Show"" and on the spin-off drama ""Lou Grant"". Off-screen, Asner is noted for his political activism. He served two terms as president of the Screen Actors Guild (SAG) and was very involved in the 1980 SAG strike. When ""Lou Grant"" was cancelled in 1982, despite decent ratings, there was a lot of talk that the cancellation was a move by the network against Asner personally. In fact one of Asner's activist colleagues, Howard Hesseman (who played Johnny Fever), found that his show ""WKRP in Cincinnati"" was also cancelled ... on the very same day ..."
INR_,"IN RE.    	The term ""in re"" is Latin, derived from ""in"" (in) and ""res"" (thing, matter). ""In re"" literally means ""in the matter"", and is used to mean ""in regard to"", or ""in the matter of""."
MI_,"MIA.    	Mia Hamm is a retired American soccer player, a forward who played on the US national team that won the FIFA women's World Cup in 1991. Hamm has scored 158 international goals, more than other player in the world, male or female. Amazingly, Hamm was born with a clubfoot, and so had to wear corrective shoes when she was growing up."
T_U,"TAU.    	Tau is the 19th letter of the Greek alphabet, the letter which gave rise to our Roman ""T"". Both the letters tau (T) and chi (X) have long been symbolically associated with the cross."
C_A,CSA.    	The Confederate States of America (CSA) set up government in 1861 just before Abraham Lincoln took office. Jefferson Davis was selected as President of the CSA at its formation and retained the post for the life of the government.
TD_,TDS.    	Touchdowns (TDs)
E_RE,"EYRE.    	""Jane Eyre"" is of course the novel written by Charlotte Bronte, and published as ""Jane Eyre. An Autobiography"" under the pen name Currer Bell. The storyline is a little too dark and Gothic for my taste ..."
T_S,TDS.    	Quarterbacks (QBs) make touchdowns (TDs).
AC_E,"ACME.    	The Acme Corporation is a fictional company used mainly by Looney Tunes, and within the Looney Tunes empire it was used mostly in the ""Road Runner"" cartoons. Wile E. Coyote was always receiving a new piece of gear from Acme designed to finally capture the Road Runner, but the equipment just led to his downfall instead."
EE_,"EEO.    	Equal Employment Opportunity (EEO) is a term that has been around since 1964 when the Equal Employment Opportunity Commission (EEOC) was set up by the Civil Rights Act. Title VII of the Act prohibits employers from discriminating against employees on the basis of sex, race, color, national origin or religion."
_LIOT,"ELIOT.    	T. S. Eliot was born in New England but grew up in St. Louis, Missouri. Much of his college education was at Oxford. Clearly he became comfortable with life in England as in 1927 he became a British citizen, and lived the rest of his life in the UK."
YS_R,"YSER.    	The Yser originates in northern France and flows though Belgium into the North Sea. The Yser name is oft associated with WWI as it figured in a major battle early in the conflict. In the first three months of the war the German Army pushed almost completely through Belgium, inflicting heavy losses on the Belgian Army as the defenders were forced to fight a fast-moving rearguard action. The Germans were intent on pushing right through Belgium, across France in a ""race to the sea"". But the Belgians, with the help of its Allies, decided to make a final stand at the Yser Canal in an effort to prevent the Germans reaching the French ports of Calais and Dunkirk. The 22-mile long defensive line was chosen at the Yser because the river and canal system could be flooded to create a barrier that might be defended. The plan was successful, and the front was ""stabilized"". As we now know, millions of lives were lost over the coming years with very little movement of that battle line."
E_RE,"EIRE.    	An Irishman I may be, but I have sat through so many Samuel Beckett plays (the Irish dramatist) and I have yet to come away feeling satisfied that I spent my time well. Of course I am in the minority, as Beckett's play ""Waiting for Godot"" was once voted the most significant English language play of the 20th century. Maybe I will give 'Waiting for Godot' another chance one day, but I doubt it ..."
LA_A,"LARA.    	Lara Spencer has been co-anchor of 'Good Morning America' since 2011, working alongside Robin Roberts and George Stephanopoulos. Back in 2004/2005, PBS viewers will have seen Spencer hosting the hit show 'Antiques Roadshow'."
E_O,EEO.    	Equal Employment Opportunity (EEO) is a term that has been around since 1964 when the Equal Employment Commission was set up by the Civil Rights Act.
