Ed.'s work pile.   		3 letters,MSS.    	Editors work with manuscripts.
Big name in antiscience debunking.   		3 letters,"NYE.    	That would be ""Bill Nye the Science Guy"". Bill's show ran on Disney for 4 years from 1993-97. I was surprised to learn that Bill Nye was married briefly to Blair Tindall, the author of ""Mozart in the Jungle"". That's a great book, if anyone is interested ..."
Romance novelist's award.   		4 letters,"RITA.    	The RITA Awards are presented by Romance Writers of America (RWA) to authors exhibiting excellence in the genre of romantic fiction. The RITA is named for the RWA's first president, Rita Clay Estrada."
Presbyterian-founded Michigan college.   		4 letters,"ALMA.    	Alma College, in Alma, Michigan was founded by Michigan Presbyterians in 1886. The school has a Scottish heritage of which it is very proud. Alma has its own Scottish marching band, A Scottish dance troupe and even its own design of tartan."
Fly in a jungle.   		6 letters,"TSETSE.    	Tsetse flies live on the blood of vertebrate mammals. The name ""tsetse"" comes from Tswana, a language of southern Africa, and translates simply as ""fly"". Tsetse flies are famous for being carriers of the disease known as ""sleeping sickness"". Sleeping sickness is caused by a parasite which is passed onto humans when the tsetse fly bites into human skin tissue. If one considers all the diseases transmitted by the insect, then the tsetse fly is responsible for a staggering quarter of a million deaths each year."
PBS science series.   		4 letters,"NOVA.    	When I was growing up in Ireland I used to watch a wonderful BBC television science show called ""Horizon"", that had been on the air since 1964. In 1974, PBS struck a deal with the BBC to co-produce a very similar show for American audiences called ""Nova"". Often today, a ""Horizon"" show will simply be a ""Nova"" episode voiced over by an English narrator, and vice versa. Anyway, for my money, ""Nova"" is one of the best shows on television ..."
Bread for a Reuben.   		3 letters,"RYE.    	There are conflicting stories about the origin of the Reuben sandwich. One is that it was invented by Arnold Reuben, a German-Jew who owned Reuben's Deli in New York around 1914."
Soup with sushi.   		4 letters,"MISO.    	Miso is the name of the seasoning that makes the soup. Basic miso seasoning is made by fermenting rice, barley and soybeans with salt and a fungus (!) to produce a paste. The paste can be added to stock to make miso soup, or perhaps to flavor tofu."
What the winged woman is holding in the Emmy statuette.   		4 letters,"ATOM.    	The Emmy Awards are the television equivalent of the Oscars in the world of film, the Grammy Awards in music and the Tony Awards for the stage. Emmy Awards are presented throughout the year, depending on the sector of television being honored. The most famous of these ceremonies are the Primetime Emmy Awards and the Daytime Emmy Awards. The distinctive name of ""Emmy"" is a softened version of the word ""immy"", the nickname given to the video camera tubes found in old television cameras."
"Doe in ""Bambi"".   		3 letters","ENA.    	Ena is Bambi's aunt in the 1942 Disney film 'Bambi'. The movie is based on the novel ""Bambi, A Life in the Woods"" written by Austrian author Felix Salten, first published in 1923."
Pre-C.I.A.   		3 letters,"OSS.    	The Office of Strategic Services was formed during WWII in order to carry out espionage behind enemy lines. A few years after the end of the war the OSS functions were taken up by a new group, the Central Intelligence Agency, chartered by the National Security Act of 1947."
Miss at a party?.   		3 letters,"DEB.    	Deb is short for ""debutante"", which translates from French as ""female beginner""."
AOL rival.   		3 letters,"MSN.    	MSN was originally called The Microsoft Network, introduced in 1995 as an integral part of Microsoft's Windows 95 operating system. MSN is a whole bundle of services including email, instant messaging, and the MSN.com portal (the 9th most visited site on the Internet)."
___ Bath (prank call name).   		5 letters,"ANITA.    	On the animated TV comedy 'The Simpsons', Bart likes to prank call Moe's Tavern. Bart asks Moe to 'page' someone in the bar using a fictitious name, a name which sounds like a rude phrase when called out loud. This running joke on 'The Simpsons' is a homage to a series of legendary calls made in real life to the Tube Bar in Jersey City by John Elmo and Jim Davidson that were taped and circulated widely in the mid-seventies. Some of the milder names used in the original prank calls were:"
___ Strauss & Co.   		4 letters,LEVI.    	Levi Strauss was the founder of the first company in the world to manufacture blue jeans. Levi Strauss & Co. opened in 1853 in San Francisco. Strauss and his business partner were awarded a patent in 1873 for the use of copper rivets to strengthen points of strain on working pants.
1969 Peace Prize grp.   		3 letters,"ILO.    	The ILO is the International Labour Organization, established by the League of Nations after WWI, and is now an agency administered by the UN. The ILO deals with important issues, such as health and safety, discrimination, child labor and forced labor. The organization was recognized for its work in 1969 when it was awarded the Nobel Peace Prize."
"""American ___"".   		4 letters","IDOL.    	Fox's ""American Idol"" is a spin-off show that was created after the amazing success of the British television show ""Pop Idol"". I can't abide either program(me) ..."
"Above, in Berlin.   		4 letters","UBER.    	Berlin is the capital and largest city in Germany, and is the second most populous city in the European Union (after London)."
"French date, often.   		4 letters","AMIE.    	A male friend in France is ""un ami"", and a female friend is ""une amie""."
Barber's sprinkle.   		4 letters,"TALC.    	Talc is a mineral, actually hydrated magnesium silicate. Talcum powder is composed of loose talc, although these days ""baby powder"" is also made from cornstarch."
Cotillion V.I.P.   		3 letters,"DEB.    	Cotillion' is an American term that we've been using since about 1900 for a formal ball. In France a cotillion was a type of dance, with the term deriving from an Old French word for a petticoat. I guess the cotillion dance was one in which the lady would flash her petticoats as she did a twirl!"
Target of a 1972 ban in the U.S.   		3 letters,"DDT.    	DDT is dicholorodiphenyltricholoroethane (don't forget now!). It was used with great success to control disease-carrying insects during WWII, and when made available for use after the war it became by far the most popular pesticide. And then Rachel Carson published her famous book ""Silent Spring"", suggesting there was a link between DDT and diminishing populations of certain wildlife. It was the public outcry sparked by the book, and reports of links between DDT and cancer, that led to the ban on the use of the chemical in 1972. That ban is touted as the main reason that the bald eagle was rescued from near extinction."
"Paul who sang ""Diana"".   		4 letters","ANKA.    	Canadian-born Paul Anka's big hit was in 1957, the song entitled ""Diana"". Anka was the subject of a much-lauded documentary film in 1962 called ""Lonely Boy""."
"Many a college applicant's interviewer, for short.   		4 letters","ALUM.    	An 'alumnus' (plural ... alumni) is a graduate or former student of a school or college. The female form is 'alumna' (plural ... alumnae). The term comes into English from Latin, in which alumnus means foster-son or pupil. 'Alum' is an informal term used for either an alumna or an alumnus."
Washington/Montana separator.   		5 letters,"IDAHO.    	The US state of Idaho has a panhandle that extends northwards between Washington and Montana, right up to the border with Canada. Across that border is the Canadian province of British Columbia. Most of Idaho is in the Mountain Time Zone, but Northern Idaho (the Panhandle) is in the Pacific Time Zone."
Gift on el día de los enamorados.   		4 letters,"ROSA.    	In Spanish, Saint Valentine's Day is a usually translated as 'el Día de San Valentín'. Another possibility is 'el Día de los Enamorados', which translates literally as 'the day of those who have fallen in love'."
"Collateral, of a sort.   		4 letters","LIEN.    	A lien is the right that one has to retain or secure someone's property until a debt is paid. When an individual takes out a car loan, for example, the lending bank is usually a lien holder. The bank releases the lien on the car when the loan is paid in full."
Bygone Spanish queen.   		3 letters,"ENA.    	Princess Victoria Eugenie of Battenberg was the queen consort of King Alfonso XIII of Spain. Princess Beatrice was actually born in Scotland and given the Gaelic name for Eva, namely ""Eua"". Eua, was written on the official documents, but the clergyman presiding at the christening misread the name as ""Ena"". Her family stuck with ""Ena"", and it was adopted by the public."
Seamstress's aid.   		4 letters,"ETUI.    	An etui is an ornamental case used to hold small items, in particular sewing needles. We imported the design, and the word ""etui"", from French. The French also have a modern usage of ""etui"" ... a case for carrying CDs!"
Phone inits.   		3 letters,ATT.    	The original AT&T Corporation was known as the American Telephone and Telegraph Company.
Alternative media magazine founder.   		4 letters,"UTNE.    	The ""Utne Reader"" is known for aggregation and republishing of articles on politics, culture and the environment from other sources in the media. The ""Utne Reader"" was founded in 1984, with ""Utne"" being the family name of the couple that started the publication."
Jim Beam product.   		3 letters,"RYE.    	Jim Beam is the world's biggest-selling brand of bourbon. Jim Beam whiskey has roots going back to around 1795 when Jacob Beam sold his first corn whiskey. The whiskey took on the name ""bourbon"", possibly after Bourbon County in Kentucky."
The Taurus replaced it.   		3 letters,"LTD.    	There has been a lot of speculation about what the acronym LTD stands for in the car model known as ""Ford LTD"". Many say it stands for Luxury Trim Decor, and others that it is an abbreviation for ""limited"". Although the car was produced in Australia with the acronym meaning Lincoln Type Design, it seems LTD was originally chosen as just three meaningless letters that sound well together."
"Knights of ___, villainous group in ""The Force Awakens"".   		3 letters","REN.    	'Star Wars VII: The Force Awakens' is the seventh episode in the 'Star Wars' series of films. Some favorite characters return in 'Star Wars VII', including Han Solo (Harrison Ford), Luke Skywalker (Mark Hamill) and General Leia Organa (or 'Princess Leia' in earlier films, played by Carrie Fisher)."
Sauce brand.   		4 letters,"RAGU.    	The Ragu brand of pasta sauce is owned by Unilever. The name ""Ragu"" is the word for an Italian sauce used to dress pasta, however, the spelling is off a little. In Italian the word is ""Ragù"" with a grave accent over the ""u"", but if you look at a jar of the sauce, it is spelled ""Ragú"" on the label, with an acute accent. Sometimes I think we just don't try ..."
"Friday, on old TV: Abbr..   		3 letters","SGT.    	Jack Webb played Sergeant Joe Friday on ""Dragnet"" on both TV and radio ... and what a voice he had! Off the screen Webb was a lover of jazz, and he played the cornet. It was within the world of jazz that he met and fell in love with Julie London, the famous singer with ""the smoky voice"". The couple married and had two kids together."
"Largest employer in the Midwest's Quad Cities, for short.   		5 letters","DEERE.    	John Deere invented the first commercially successful steel plow in 1837. Prior to Deere's invention, farmers used an iron or wooden plow that constantly had to be cleaned as rich soil stuck to its surfaces. The cast-steel plow was revolutionary as its smooth sides solved the problem of 'stickiness'."
Luxury hotel name.   		4 letters,"OMNI.    	Omni Hotels & Resorts is headquartered in Irvine, California and has properties in the US, Canada and Mexico."
Stadium demolished in 2009.   		4 letters,"SHEA.    	Shea Stadium in Flushing Meadows, New York was named after William A. Shea, the man credited with bringing National League baseball back to the city in the form of the New York Mets. Shea Stadium was dismantled (not imploded) in 2008-2009, and the site now provides additional parking for the new stadium nearby called Citi Field."
Gondola feature.   		3 letters,"OAR.    	The word 'gondola' was originally limited to the famous boats that travel along the canals of Venice. When man started to fly through the air in hot air balloons, 'gondola' was used for the basket in which the passenger(s) traveled. By extension, the structure carrying passengers and crew under an airship is also called a gondola, as are the cars suspended from a cable at a ski resort."
John.   		3 letters,"LAV.    	The use of ""john"" as a slang term for a toilet is peculiar to North America. It probably comes from the older slang term of ""jack"" or ""jakes"" that has been around since the 16th century. In Ireland we still refer to a toilet as ""the jacks""."
1970s-'80s Dodge.   		4 letters,"OMNI.    	The Dodge Omni is basically the same car as the Plymouth Horizon, and was produced by Chrysler from 1978-90. The Omni is a front-wheel drive hatchback, the first in a long line of front-wheel drive cars that were very successful for Chrysler. The Omni was actually developed in France, by Chrysler's Simca division. When production was stopped in the US in 1990, the tooling was sold to an Indian company that continued production for the Asian market for several years."
"""Ow!"" (Now!).   		4 letters","STAT.    	The exact etymology of ""stat"", a term meaning ""immediately"" in the medical profession, seems to have been lost in the mists of time. It probably comes from the Latin ""statim"" meaning ""to a standstill, immediately"". A blog reader has helpfully suggested that the term may also come from the world of laboratory analysis, where the acronym STAT stands for ""short turnaround time""."
Real gem of a car?.   		4 letters,"OPEL.    	I think that someone is mixing up opals (the gems) and Opels (the cars), although I am usually wrong ..."
Bagel topper.   		4 letters,NOVA.    	Nova lox is salmon that has been cured with a mild brine and then cold-smoked. The term originally applied to salmon from Nova Scotia.
"Progressive Field team, on scoreboards.   		3 letters","CLE.    	The Cleveland baseball franchise started out in 1869 as the Forest Citys named after Forest city, the nickname for Cleveland. After a number of transitions, in 1914 the team took on the name ""Indians"". The media came up with name ""Indians"" after being asked for suggestions by the team owners. ""Indians"" was inspired by the successful Boston team of the day, the Boston Braves."
"Strauss's ""___ Heldenleben"".   		3 letters",EIN.    	The title of Richard Strauss' tone poem 'Ein Heldenleben' translates into English as 'A Hero's Life'.
"Belle of the ball, for short.   		3 letters","DEB.    	Deb is short for ""debutante"", translating from French as ""female beginner""."
Genre of Macklemore and Master P.   		3 letters,"RAP.    	Macklemore is the stage name of rap artist Ben Haggerty from Seattle, Washington."
"""Leaves and Navels"" artist.   		3 letters","ARP.    	Jean Arp was a French artist renowned for his work with torn and pasted paper, although that wasn't the only medium he used. Arp was the son of a French mother and German father and spoke both languages fluently. When he was speaking German he gave his name as Hans Arp, but when speaking French he called himself Jean Arp. Both 'Hans' and 'Jean' translate into English as 'John'. In WWI Arp moved to Switzerland to avoid being called up to fight, taking advantage of Swiss neutrality. Eventually he was told to report to the German Consulate and fill out paperwork for the draft. In order to get out of fighting, Arp messed up the paperwork by writing the date in every blank space on the forms. Then he took off all of his clothes and walked with his papers over to the officials in charge. Arp was sent home ..."
Part of N.E.A.: Abbr..   		4 letters,"ASSN.    	The National Education Association (NEA) is the largest labor union in the country, mainly representing public school teachers."
It has banks in Switzerland.   		4 letters,"AARE.    	The Aar (also called the Aare in German) is the longest river entirely in Switzerland. A famous spot along the river is the Reichenbach Falls in the center of the country, actually a series of waterfalls near the city of Meiringen. These falls are celebrated in the world of literature as it was here that Sherlock Holmes fell to his supposed doom with his nemesis Professor Moriarty (in ""The Adventure of the Final Problem"")."
___ Mahal.   		3 letters,"TAJ.    	The most famous mausoleum in the world has to be the Taj Mahal in Agra, India. The Taj Mahal was built after the death of the third wife of Shah Jahan, Mumtaz Mahal (hence the name of the mausoleum). The poor woman died in childbirth delivering the couple's 14th child."
Sea cliff dweller.   		4 letters,"ERNE.    	The ern (also erne) is also called the white-tailed eagle, and the sea-eagle."
Buddhist sect.   		3 letters,"ZEN.    	Zen is one of the Buddhist schools, that became it's own tradition in China back in the 7th century AD. Zen is a Japanese spelling of the Chinese word ""chan"", which in turn derives from the Sanskrit word ""dhyana"" meaning ""meditation""."
Lawyer: Abbr..   		3 letters,ATT.    	Attorney (att.)
"""Into Thin Air"" setting.   		5 letters","NEPAL.    	Nepal lies to the northeast of India. Today, the state is known as the Federal Democratic Republic of Nepal. In 2008, the Communist Party of Nepal won the country's general election. Soon after, the Assembly voted to change the form of government, moving away from a monarchy and creating a secular republic."
Huntsman Center team.   		4 letters,"UTES.    	The Runnin' Utes are the basketball team of the University of Utah. The team was given the nickname the Runnin' Redskins back when Jack Gardner was the head coach from 1953 to 1971. The ""Runnin'"" part of the name was chosen because Gardner was famous for playing quick offenses. The ""Redskins"" name was later dropped in favor of the less controversial ""Utes""."
"Creta, e.g.   		4 letters","ISLA.    	Crete is the largest of the Greek Islands. Crete figures heavily in Greek mythology. Zeus was born in a cave at Mount Ida, the highest peak on the island. Crete was also home to the Labyrinth where the Minotaur was slain by Theseus. Icarus and Daedalus, after having crafted the Labyrinth, escaped from the island using wings that they crafted."
Former Mideast inits.   		3 letters,"UAR.    	The UAR, United Arab Republic, was a union between Egypt and Syria, made in 1958 and dissolved in 1961 when Syria pulled out of the arrangement."
Parks in 1955 news.   		4 letters,"ROSA.    	Rosa Parks was one of a few brave women in days gone by who refused to give up her seat on a bus to a white woman. It was the stand taken by Rosa Parks on December 1, 1955 that sparked the Montgomery, Alabama Bus Boycott. President Clinton presented Ms. Parks with the Presidential Medal of Freedom in 1996. When she died in 2005, Rosa Parks became the first ever woman to have her body lie in honor in the US Capitol Rotunda."
Yanks.   		3 letters,"GIS.    	The initials ""G.I."" stand for ""Government Issue"" and not ""General Infantry"" as is often believed. GI was first used in the military to denote equipment made from Galvanized Iron and during WWI, incoming German shells were nicknamed ""GI cans"". Soon after, the term GI came to be associated with ""Government Issue"" and eventually became an adjective to describe anything associated with the Army."
"The ""it"" in the lyric ""turn it on, wind it up, blow it out"".   		3 letters","GTO.    	The words 'turn it on, wind it up, blow it out' appear in the song 'G.T.O', the debut recording for the surf rock group of the sixties known as Ronny & the Daytonas."
Book of Mormon book.   		4 letters,"ALMA.    	""The Book of Alma: The Son of Alma"" is the full name of the longest book in the Book of Mormon. Alma was also known as Alma the Younger, a prophet."
Brouhaha.   		3 letters,"ADO.    	""Brouhaha"" was a French word that back in the 1550s meant ""the cry of the devil disguised as clergy"" . Wow ..."
Genre for Jay Z and Schoolboy Q.   		3 letters,"RAP.    	Jay Z is a rap artist whose real name is Shawn Carter. Jay Z married the singer Beyoncé in 2008, and by all accounts, the celebrity couple keep their lives together very private. That said, when the couple had their first child, the cries of their two-day-old daughter were used at the end of the 2002 Jay Z song 'Glory', for which baby Blue Ivy Carter was given a credit on the record as 'B.I.C'. That made young Blue Ivy the youngest person to ever appear on a Billboard chart."
Timeout signal.   		3 letters,TEE.    	Someone might make a letter T (tee) with his or her hands to call for a 'timeout'.
Bad way to run.   		4 letters,"AMOK.    	The phrase ""to run amok"" (sometimes 'to run amuck') has been around since the 1670s and is derived from the Malay word for ""attacking furiously"", ""amuk"". The word ""amok"" was also used as a noun to describe Malay natives who were ""frenzied"". Given Malaya's troubled history, the natives probably had good reason for that frenzy ..."
Museo contents.   		4 letters,"ARTE.    	In Spanish, one sees works of art (arte) in a museum (un museo)."
Relative of a tank top.   		3 letters,"TEE.    	Tank top' is another one of those terms that always catches me out, as it has a different meaning on each side of the Atlantic. In the US a tank top is a sleeveless shirt, something we would call a 'vest' back in Ireland (and the US 'vest' is what we call a 'waist coat'). A tank top in Ireland is a sleeveless sweater, which further adds to the confusion. The name 'tank top' is derived from 'tank suit', an old name for a woman's one-piece bathing suit. The use of 'tank' for the bathing suit came from 'swimming tank', an obsolete term used in the 1920s for a swimming pool."
Ciliary body setting.   		4 letters,"UVEA.    	The ciliary body is a layer of spherical tissue on the inside of the eyeball. It produces the fluid that fills the eyeball, and it also has muscles attached to the eye's lens. These muscles adjust the shape of the lens causing it to change focus. The uvea is a larger layer of tissue, also spherical, of which the ciliary body is part."
Lyft competitor.   		4 letters,"UBER.    	Uber is a ridesharing service that was founded in 2009 and is based in San Francisco. The service is somewhat controversial and has been described as an illegal taxicab operation. Central to Uber's service is the company's mobile app, which can use the client's GPS location to help find the nearest available ride. Personally, I love the service and only have had good experiences ..."
Bar member: Abbr..   		3 letters,ATT.    	Attorney (att.)
Tennis's Agassi.   		5 letters,"ANDRE.    	Renowned tennis professional Andre Agassi wrote an autobiography called ""Open"", published in 2009. An amazing revelation in the book is that Agassi's famous head of hair was actually a wig for much of his playing career. Can you imagine how hard it must have been to play tennis at his level with a rug stuck on?"
Diarist Anaïs.   		3 letters,"NIN.    	Anais Nin was a French writer, famous for her journals that she wrote for over sixty years from the age of 11 right up to her death. She also wrote highly regarded erotica, and cited D. H. Lawrence as one author from whom she drew inspiration."
"Brahms's ""___ Deutsches Requiem"".   		3 letters","EIN.    	Brahms' ""Ein Deutsches Requiem"" (A German Requiem) is a huge work. It is performed by an ensemble of full orchestra with chorus and soloists, and has seven movements that last up to 80 minutes."
W.W.   		3 letters,ETO.    	General Dwight D. Eisenhower (DDE) was in command of the European Theater of Operations (ETO) during WWII.
Dubai's federation: Abbr..   		3 letters,"UAE.    	Dubai is one of the seven Emirates that make up the federation known as the United Arab Emirates (UAE). The two largest members of the UAE (geographically) are Dubai and Abu Dhabi, the only two of the seven members that have veto power over UAE policy."
Body style.   		5 letters,"SEDAN.    	The American ""sedan"" car is the equivalent of the British ""saloon"" car. By definition, a sedan car has two rows of seating and a separate trunk (boot in the UK), although in some models the engine can be at the rear of the car."
W.W.   		3 letters,"ETO.    	Dwight D. Eisenhower was in command of the European Theater of Operations during WWII. If you're a WWII buff like me, there's a great made-for-TV movie starring Tom Selleck as Eisenhower called ""Ike: Countdown to D-Day"" that came out in 2004."
Trojans' foes.   		4 letters,"UTES.    	The Runnin' Utes are the basketball team of the University of Utah. The team was given the nickname the Runnin' Redskins back when Jack Gardner was the head coach from 1953 to 1971. The ""Runnin'"" part of the name was chosen because Gardner was famous for playing quick offenses. The ""Redskins"" name was later dropped in favor of the less controversial ""Utes""."
The golden ratio.   		3 letters,"PHI.    	The golden ratio, denoted by the Greek letter phi, is a mathematical constant that often turns up in the world of art. Phi is approximately equal to 1.61, and is represented by the two distances, a and b, where (a+b)/a = a/b. Somehow we perceive the ratio of 1.61 as ""pleasing"" so it appears in many works of art and in building design. For example, many aspects of the Parthenon in Athens have the ratio of 1.61 (width compared to height). Leonardo da Vinci's famous drawing of the Vitruvian Man also illustrates the golden ratio in the proportions of the human body, where he shows that the distance from the foot to the navel, compared to the distance from the navel to the head, is 1.61."
Hilton alternative.   		4 letters,"OMNI.    	Conrad Hilton was a native of New Mexico, but he bought his first hotel in Cisco, Texas, in 1919. He did well on the deal and opened up hotels all over Texas in the following years, and built the first high-rise Hilton Hotel in Dallas. Hilton went on to build the world's first international hotel chain. Hilton was married three times, most famously to actress Zsa Zsa Gabor from 1942 to 1946."
Pin holder.   		4 letters,"ETUI.    	An etui is an ornamental case used to hold small items, in particular sewing needles. We imported the design, and the word ""etui"" from French. The French also have a modern usage of ""etui"" ... a case for carrying CDs!"
Kind of paste.   		4 letters,"MISO.    	Miso is the name of the seasoning that makes the soup. Basic miso seasoning is made by fermenting rice, barley and soybeans with salt and a fungus (!) to produce a paste. The paste can be added to stock to make miso soup, or perhaps to flavor tofu."
Last Oldsmobile made.   		5 letters,"ALERO.    	The Oldsmobile Alero was the last car made under the Oldsmobile brand, produced from 1999 to 2004."
It connects to the scull.   		3 letters,OAR.    	A scull is a boat used for competitive rowing. The main hull of the boat is often referred to as a shell.
State whose panhandle touches Canada.   		5 letters,"IDAHO.    	The US state of Idaho has a panhandle that extends northwards between Washington and Montana, right up to the border with Canada. Across that border is the Canadian province of British Columbia."
"""Lovely ___, meter maid"" (Beatles lyric).   		4 letters","RITA.    	""Lovely Rita"" is a Beatles song on the ""Sgt. Pepper's Lonely Hearts Club Band"" album. When the album was released in 1967, the term ""meter maid"" wasn't used in the UK, although it was a slang term used in the US. The song helped spread the usage of ""meter maid"" all around the English-speaking world. Apparently the inspiration for the song was McCartney getting a parking ticket one day outside the Abbey Road Studios. He accepted the ticket with good grace, from a warden named Meta Davis. McCartney felt that Meta ""looked like a Rita"", so that was the name she was given in the song."
Screen abbr.   		3 letters,"LCD.    	Liquid Crystal Displays are the screens that are found in most laptops today, and flat panel computer screens. They basically replaced Cathode Ray Tube screens, the old television technology."
Only country with a nonrectangular flag.   		5 letters,"NEPAL.    	The flag of Nepal is the only national flag in the world that is not rectangular in shape. Rather it has the shape of two pennants, two triangles, one atop the other."
___ mater.   		4 letters,"ALMA.    	The literal translation for the Latin term ""alma mater"" is ""nourishing mother"". 'Alma mater' was used in Ancient Rome to refer to mother goddesses, and in Medieval Christianity the term was used to refer to the Virgin Mary. Nowadays, one's alma mater is the school one attended, either high school or college, usually one's last place of education."
Mane (Name) seen around the farm.   		5 letters,"DEERE.    	John Deere invented the first commercially successful steel plow in 1837. Prior to Deere's invention, farmers used an iron or wooden plow that constantly had to be cleaned as rich soil stuck to its surfaces. The cast-steel plow was revolutionary as its smooth sides solved the problem of 'stickiness'. The Deere company that John founded uses the slogan 'Nothing Runs Like a Deere', and has a leaping deer as its logo."
O.K.   		4 letters,"EARP.    	Wyatt Earp participated in what has to be the most famous gunfight in the history of the Old West, the Gunfight at the O.K. Corral, in Tombstone, Arizona. Strangely enough, the fight didn't happen at the O.K. Corral, but took place six doors down the street in a vacant lot next to a photography studio."
Work that gives the illusion of movement.   		6 letters,"OP ART.    	Op art is also known as optical art, and puts optical illusions to great effect."
Mao colleague ___ Biao.   		3 letters,LIN.    	Lin Biao was a military leader in the Chinese Communist Party who distinguished himself in the Chinese Civil War that led to the founding of the Republic of China (Taiwan) and the People's Republic of China (mainland China).
Veto (Vote) in the French legislature.   		3 letters,"NON.    	'Oui' is 'yes' in French, and 'non' is 'no'."
"Moreno of ""West Side Story"".   		4 letters","RITA.    	The Puerto Rican singer, dancer and actress Rita Moreno is one of the few performers to have won an Oscar, Emmy, Grammy and Tony. Moreno got her big break, and won her Oscar, for playing Anita in the 1961 screen adaption of 'West Side Story'."
"A, in Aachen.   		3 letters","EIN.    	Aachen is a city in the very west of Germany, right on the border with Belgium and the Netherlands. In English, we quite often refer to this city by its French name, Aix-la-Chapelle."
___ subtilior (musical style).   		3 letters,ARS.    	'Ars subtilior' is a style of music that originated in the 14th century in France and northern Spain. Pieces representing the style are relatively refined and complex. The term 'ars subtilior' translates from Latin as 'more subtle art'.
Style with illusory motion.   		6 letters,"OP ART.    	Op art is also known as optical art, and puts optical illusions to great effect."
Tech stock.   		3 letters,"IBM.    	IBM was founded as the Tabulating Machine Company in 1896. It changed its name to the Computing Tabulating Recording Corporation (CTR) in 1911, and was listed on the New York Stock Exchange in 1916. The name of International Business Machines was given first to the Canadian subsidiary, and then the South American subsidiary. In 1924, it was decided to adopt the International Business Machines name for the whole company. Good choice ..."
"Falco of ""Nurse Jackie"".   		4 letters","EDIE.    	Edie Falco won her three Emmy Awards for playing Carmela Soprano in HBO's outstanding drama series, ""The Sopranos""."
College town just off Interstate 95.   		5 letters,"ORONO.    	The town of Orono is home to the University of Maine, founded in 1862. The college is actually located on an island (Marsh island) lying between the Penobscot and Stillwater rivers. The town of Orono is named after Joseph Orono, a chief of the Penobscot Nation."
Référendum vote.   		3 letters,NON.    	In France a referendum (référendum) leads to votes of yes or no (oui ou non).
Civil Rights Memorial designer.   		3 letters,"LIN.    	The Civil Rights Memorial in Montgomery, Alabama remembers forty people who died over the years in the struggle for equal rights between 1954 (the year of the Brown v. Board of Education decision) and 1968 (the year Martin Luther King was assassinated). The memorial was designed by Maya Lin, whose most famous work is the Vietnam Veteran's Memorial in Washington, D.C."
Burj Khalifa's home: Abbr..   		3 letters,"UAE.    	Burj Khalifa is a spectacular skyscraper in Dubai, United Arab Emirates. It is the tallest man-made structure in the world, and has been so since the completion of its exterior in 2009. The space in the building came onto the market at a really bad time, during the global financial crisis. The building was part of a US$20 billion development of downtown Dubai that was backed by the city government which had to go looking for a bailout from the neighboring city of Abu Dhabi. The tower was given the name Burj Khalifa at the last minute, apparently as a nod to the UAE president Khalifa bin Zayed Al Nahyan who helped to broker the bailout. "
___ Mahal.   		3 letters,"TAJ.    	The most famous mausoleum in the world has to be the Taj Mahal in Agra, India. The Taj Mahal was built after the death of the third wife of Shah Jahan, Mumtaz Mahal (hence the name of the mausoleum). The poor woman died in childbirth, delivering the couple's 14th child!"
Tempe sch.   		3 letters,"ASU.    	Arizona State University (ASU) has a long history, founded as the Tempe Normal School for the Arizona Territory in 1885. The athletic teams of ASU used to be known as the Normals, then the Bulldogs, and since 1946 they've been called the Sun Devils."
U.S.O.   		3 letters,"GIS.    	The United Service Organization (USO) was founded in 1941 at the request of FDR ""to handle the on-leave recreation of the men in the armed forces"". A USO tour is undertaken by a troupe of entertainers, many of whom are big-name celebrities. A USO tour usually includes troop locations in combat zones."
Sleep lab study.   		5 letters,"APNEA.    	Sleep apnea ('apnoea' in British English) can be caused by an obstruction in the airways, possibly due to obesity or enlarged tonsils."
Disney doe.   		3 letters,"ENA.    	Ena is Bambi's aunt in the 1942 Disney film 'Bambi'. The movie is based on the novel ""Bambi, A Life in the Woods"" written by Austrian author Felix Salten, first published in 1923."
Stadium closed in 2008.   		4 letters,"SHEA.    	Shea Stadium in Flushing Meadows, New York was named after William A. Shea, the man credited with bringing National League baseball back to the city in the form of the New York Mets. Shea Stadium was dismantled (not imploded) in 2008-2009, and the site now provides additional parking for the new stadium nearby called Citi Field."
___ kwon do.   		3 letters,"TAE.    	Tae kwon do is the national sport of Korea. ""Tae"" means ""to strike or break with foot""; ""kwon"" means ""to strike or break with fist""; ""do"" means ""way"" or ""art"". Along with judo, taekwondo is one of only two martial arts included in the Olympic Games."
