MO_AR,MOLAR.    	Molars are grinding teeth. The term 'molar' comes from the Latin 'mola' meaning 'millstone'.
CR_SCO,"CRISCO.    	The Crisco brand of shortening was the first shortening to be made entirely from vegetable oil. Although that sounds like a good thing, it's actually made by hydrogenating vegetable oil so that it has physical properties similar to the animal shortening it was designed to replace. This hydrogenation turns good fats into bad fats, so medical professionals suggest limited intake."
YA_IMA,"YAKIMA.    	The city and county of Yakima lie southeast of Mount Rainier in the state of Washington. The Yakima Valley is recognized as one of the best apple-producing regions in the world, and it also produces three quarters of all the hops grown in the US."
ARCH_E,ARCHIE.    	Archie Griffin is a former professional footballer who played running back. Griffin is the only person to have won the Heisman Trophy twice.
EC_O,ECKO.    	Marc Ecko is a fashion designer from New Jersey. Marc was born Marc Milecofsky. In college he became a fan of graffiti and used the name 'Ecko' to tag his drawings.
M_S,MTS.    	Mountains (mts.)
D_AL,DEAL.    	'Trump: The Art of the Deal' is a bestselling 1987 book by businessman and presidential candidate Donald Trump. The book was co-written by journalist Tony Schwartz.
ONR_E,"ON RYE.    	In the US, pastrami was originally called ""pastrama"", a dish brought to America by Jewish immigrants from Romania in the second half of the the nineteenth century. The original name may have evolved from the Turkish word ""pastirma"" meaning ""pressed"". ""Pastrama"" likely morphed into ""pastrami"" influenced by the name of the Italian sausage called salami."
_EHI,"LEHI.    	In the story of Samson in the Bible, Samson is tied up with ropes and taken to Lehi where he breaks free of his bonds and uses the jawbones of an ass to slay one thousand Philistines. The full name for Lehi is Ramath Lehi which translates as 'jawbone hill'."
LASCAL_,"LA SCALA.    	La Scala Opera House opened in 1778. It was built on the site of the church of Santa Maria della Scala, which gave the theater its name: ""Teatro alla Scala"" in Italian."
ME_AGE,MENAGE.    	'Ménage' is the French word for 'household'. The familiar term 'ménage à trois' translates as 'household of three' and is used to describe a domestic arrangement in which three people having sexual relations occupy the same household.
_ADEN,"LADEN.    	The verb ""lade"" meaning ""to load"" comes from an Old English word ""hladan"". Lade also used to mean ""to draw water"" and indeed gave us our word ""ladle"". So ""lade"" and ""ladle"" are close cousins."
A_ALONE,"ABALONE.    	The large edible sea snails that we call abalone are called ormer in the British Isles, and is served as 'awabi' at a sushi bar. The abalone shell resembles a human ear, giving rise to the alternative names 'ear shell' and 'sea ear'."
MFA_,MFAS.    	Master of Fine Arts (MFA)
L_OFA,"LOOFA.    	The loofah (also loofa, lufah and luffa, all Arabic words) is a vine, with fruit that's very popular in Asia and Africa. If the fruit is allowed to mature, it can be processed to remove everything but the more rigid xylem structure (remember your high school botany class?) leaving a soft, sponge-like mass that is used as a skin polisher."
EC_TONE,ECOTONE.    	An ecotone is a transition area between two different types of land that sit adjacent to each other.
PENTE_,PENTEL.    	Pentel is Japanese company that is known for manufacture of pens and markers.
SA_NS,"SAENS.    	Camille Saint-Saens was one of the great French composers in my opinion. Saint-Saëns composed during the Romantic Era, and it was he who introduced the symphonic poem to France. Even his light and airy ""The Carnival of the Animals"" is a lovely work."
_JO,"OJO.    	In Spanish, one might look a tiger (tigre) in the eye (ojo)."
OM_I,"OMRI.    	Omri was the sixth king of Israel, and was succeeded by his son Ahab."
SIDE_,"SIDE A.    	""Little Deuce Coupe"" is one of those hits that was released as B-side. It's song written by Brian Wilson and Roger Christian that was released by the Beach Boys in 1963 on the B-side to 'Surfer Girl'. The title refers to the Ford Model B automobile. In the 1940s, the 1932 Ford Model B became known as the ideal hot rod. It was given the slang name 'deuce coupé', with 'deuce' being a reference to the 'two' in the '1932' model year."
TIN_TIM,"TINY TIM.    	Tiny Tim is the nickname of Timothy Cratchit, the little disabled boy in the Charles Dickens novella ""A Christmas Carol"". 'A Christmas Carol' is such a popular book that it has not been out of print since its first publication in December 1843."
ID_,"-IDE.    	Glycerides are organic compounds comprising glycerol and one, two or three fatty acids. We're most used to hearing about triglycerides, as they are found in vegetable oils and animal fats."
G_ISHA,GEISHA.    	The Japanese term 'geisha' best translates as 'artist' or 'performing artist'.
S_AIL,"SNAIL.    	Escargot' is the French word for 'snail'. In order to eat snails, apparently they have to be 'purged' before killing them. That means starving them or feeding them on something 'wholesome' for several days before cooking them up. Ugh ..."
XERO_ED,"XEROXED.    	Xerox was founded in 1906 in Rochester, New York and originally made photographic paper and equipment. Real success came for the company in 1959 when it introduced the first plain-paper photocopier. Xerox named Ursula Burns as CEO in 2009, the first African American woman to head up a S&P 100 company. Burn was also the first woman to succeed another female CEO (replacing Anne Mulcahy)."
F_ROOP,"F TROOP.    	Relatively few people outside of the US saw the American sitcom 'F Troop', which was made in the sixties. I remember watching the show as a young lad because it was picked up by the Irish national television service. The only other country that showed 'F Troop' was Australia."
CAP_,"CAPE.    	The Republic of Cape Verde is an island nation in the Atlantic Ocean off the west coast of Africa. The country takes its name from Cap-Vert, a peninsula in Senegal and the most westerly point on the continent. Cape Verde was an uninhabited group of islands when it was colonized by the Portuguese in the 15th century."
MOVI_,"MOVIE.    	Tom Cruise's real name is Tom Cruise Mapother IV. Cruise was born in Syracuse, New York, one of my favorite cities in the US.because that's where I met my wife-to-be ..."
_TRIP,STRIP.    	20. See 38-Across : MINED
A_ELS,AXELS.    	An Axel is a forward take-off jump in figure skating. It was first performed by Norwegian Axel Paulsen at the 1882 World Figure Skating championships.
SC_B,"SCAB.    	We first started calling strikebreakers ""scabs"" in the early 1800s, and before that a scab was a person who refused to join a trade union (back as early 1777). The word probably comes from the use of ""scab"" as a symptom of a skin disease, and so is a term that is meant to insult."
ALKA_I,"ALKALI.    	The 'opposite' of an acid is a base. Acids turn litmus paper red, and bases turn it blue. Acids and bases react with each other to form salts. An important subset of the chemicals called bases are the alkalis, the hydroxides of the alkali metals and of ammonium. The term 'alkali' is sometimes used interchangeably with 'base', especially if that base is readily soluble in water."
SILENT_,SILENT E.    	The last letter in the word 'chorale' is a silent E.
V_M,"VIM.    	'Vim' and 'punch' are words that both mean ""energy"" and ""power""."
AD_IBS,"AD LIBS.    	""Ad libitum"" is a Latin phrase meaning ""at one's pleasure"". In common usage the phrase is usually shortened to ""ad lib"". On the stage the concept of an ""ad lib"" is very familiar. For example, an actor may substitute his or her own words for forgotten lines using an ad lib, or a director may instruct an actor to use his or her own words at a particular point in a performance to promote a sense of spontaneity."
CR_W,CREW.    	A rap star's entourage is usually called his or her 'posse'.
CORDEL_A,"CORDELIA.    	Cordelia was the legendary Queen of the Britons, the youngest daughter of Leir. Cordelia and Leir supposedly reigned before the Romans invaded Britain. Cordelia, her father and her two sisters were immortalized by William Shakespeare in his play 'King Lear'."
LY_CH,"LYNCH.    	Loretta Lynch is the current Attorney General of the US, having assumed office in April of 2015. Lynch is the first African-American woman to hold the post, and only the second woman (Janet Reno was the first)."
_TAHN,UTAHN.    	The Wasatch Range is at the western edge of the Rocky Mountains and runs through Utah. 'Wasatch' is a Ute word meaning 'mountain pass'.
_AMS,DAMS.    	Beavers build dams so that they can live in and around the slower and deeper water that builds up above the dam. This deeper water provides more protection for the beavers from predators such as bears. Beavers are nocturnal animals and do all their construction work at night.
T_ILL,"T-BILL.    	A Treasury note (T-Note) is a government debt that matures in 1-10 years. A T-Note has a coupon (interest) payment made every six months. The T-note is purchased at a discount to face value, and at the date of maturity can be redeemed at that face value. A T-Bill is a similar financial vehicle, but it matures in one year or less, and a T-Bond matures in 20-30 years."
DARW_N,"DARWIN.    	Darwin is the capital and largest city in the Northern Territory of Australia. HMS Beagle landed in the area in 1839. A lieutenant on the ship called the location Port Darwin, in honor of the famed naturalist Charles Darwin. Darwin wasn't on board the Beagle at the time, but he had been on the vessel's prior voyage."
VERD_,"VERDI.    	Giuseppe Verdi was an Italian composer mainly of operas who was active during the Romantic era. Equally as famous as Verdi's operas, are arias from those operas such as ""La donna è mobile"" from 'Rigoletto', 'The Drinking Song' from 'La Traviata' and 'The Chorus of the Hebrew Slaves' from 'Nabucco'."
_RYAN,"BRYAN.    	In the television show 'Malcolm in the Middle', Malcolm's Dad was played by actor Bryan Cranston. Cranston picked up an even bigger role starring in 2008, when he started portraying Walter White, the lead on the AMC hit series 'Breaking Bad'."
L_UIE,"LOUIE.    	'Louie Louie' is an R&B song that was most famously a hit for the Kingsmen in 1963. The Kingsmen were accused of deliberately slurring words in the song that were describing the sexual act. There was even a 31-month investigation by the FBI, after which it was concluded that the accusation was unfounded."
NE_,NEW.    	The roots of the New York Stock Exchange (NYSE) go back to 1792 when a group of 24 stock brokers set up the New York Stock & Exchange Board. They did so in an agreement signed under a buttonwood tree outside 68 Wall Street. That document became known as the Buttonwood Agreement.
E_GENE,"EUGENE.    	The Eugene O'Neill Theater in the Broadway Theater District of New York City was opened in 1925. The venue was known as the Coronet from 1945 to 1959, and at one time it was owned by playwright Neil Simon."
DOO_,"DOOM.    	'Indiana Jones and the Temple of Doom' is the second in the series of 'Indiana Jones' movies, although the story is written as a prequel to the first film, 'Raiders of the Lost Ark'."
SA_RA,"SABRA.    	Jewish people born in the State of Israel, or the historical region of israel, are known as Sabras. 'Sabra' is actually the name of the prickly pear, the thorny desert cactus. Apparently the name 'Sabra' is used because a Jew born in the region is said to be tough on the outside and sweet on the inside, just like a prickly pear."
T_RIC,"TORIC.    	Cheerios breakfast cereal has the distinction of being the first oat-based cereal introduced into the market, hitting the grocery store shelves in 1941. Back then, 'Cheerios' were known as CheeriOats."
S_OOK,"SNOOK.    	Cocking a snook' in general means to show disrespect by making an insulting gesture, and in particular in our culture this can be to thumb one's nose."
M_ST,"MOST.    	""The Guinness Book of World Records"" holds some records of its own. It is the best-selling, copyrighted series of books of all time and is one of the books most often stolen from public libraries! The book was first published in 1954 by two twins, Norris and Ross McWhirter. The McWhirter twins found themselves with a smash hit, and eventually became very famous in Britain hosting a TV show based on world records."
EUGE_E,"EUGENE.    	The playwright Eugene O'Neill was born in a New York City hotel room in what is now called Times Square, in 1888. That building no longer exists and there is a Starbucks on the site today, but you can go take a look at the commemorative plaque at the Northeast corner of 43rd and Broadway. O'Neill died in 1953, in room 401 of the Sheraton Hotel on Bay State Road in Boston. His last words were, 'I knew it. I knew it. Born in a hotel room, and God damn it, died in a hotel room."""
O_N,"OEN-.    	In Greek mythology, Oeno was the goddess of wine, giving us ""oen-"" as a prefix meaning ""wine"". For example, oenology is the study of wine and an oenophile is a wine-lover."
S_EAL,STEAL.    	Players steal bases on a baseball diamond.
_OG,"HOG.    	Some modified Harley-Davidson motorcycles were referred to as 'choppers', as the owners would chop of parts that were deemed unnecessary for speed."
MA_NA,"MAGNA.    	The Magna Carta is a landmark document issued in England in 1215. It represents the first time that an English king had to submit to the will of his subjects, a group of barons who sought to limit the powers of the monarchy. In particular the Magna Carta calls out that no freeman could be punished except through the law of the land. And of course, the Magna Carta was an inspiration for the United States Constitution."
ALTO_,"ALTON.    	Alton Brown is a celebrity chef who is behind the Food Network show 'Good Eats', and the host of 'Iron Chef America'."
KAH_NA,"KAHUNA.    	Like many words in Hawaiian, the term 'kahuna' has several English translations, everything from a priest to an expert in some profession. The expression 'the Big Kahuna' comes from the movie 'Gidget', released in 1959. The Big Kahuna was the leader of one of the surfing gangs in the film, and was played by Cliff Robertson."
M_TA,"META-.    	The word ""metaphysics"" comes from the Greek ""meta"" (beyond) and ""physika"" (physical), and is a branch of philosophy that investigates reality beyond the principles of science. Not something I would understand ..."
F_IE,"FOIE.    	Pâté is a rich spreadable paste made up of a mixture of ground meat and fat, to which various vegetables, herbs and spices may be added. The most famous version of the paste is pâté de foie gras, made from the fattened livers of geese (""foie gras"" means ""fat liver"" in French)."
SCHM_,"SCHMO.    	'Schmo' (also 'shmo') is American slang for a dull or boring person, from the Yiddish word 'shmok'."
EWE_L,"EWELL.    	The actor Tom Ewell is best remembered for playing the male lead in the 'The Seven Year Itch', both on the Broadway stage and in the 1955 Hollywood movie. I also know Ewell as the 'bad guy' in one of my favorite movies, 1949's 'Adam's Rib'."
K_NOBI,"KENOBI.    	Obi-Wan Kenobi is one of the most beloved of the 'Star Wars' characters. Kenobi was portrayed by two fabulous actors in the series of films. As a young man he is played by Scottish actor Ewan McGregor, and as an older man he is played by Alec Guinness."
LY_E,"LYME.    	Lyme disease is an infectious disease that is becoming more and more common. The condition takes its name from the town of Lyme, Connecticut where several cases were diagnosed in 1975. Humans catch the disease when bitten by infected ticks. If caught early enough, the disease is usually successfully treated with antibiotics."
_LAIT,"PLAIT.    	RSVP stands for ""répondez s'il vous plaît"", which is French for ""please, answer""."
_WI,"WWI.    	'Over There' is a song that was popular in both WWI and WWII. 'Over There' was written in 1917 by George M. Cohan, soon after the US declared war against Germany. "
RI_G,"RING.    	The term ""best man"" is Scottish in origin and has been used in English since the early 1800s when it replaced ""groomsman""."
AFG_AN,AFGHAN.    	An afghan is a blanket or a wrap that is knitted or crocheted from very colorful yarns.
TRI_S,"TRIOS.    	The Police was a trio formed in London in 1977, with Sting being the most famous member and the lead singer."
R_E,"RHE.    	On baseball scoreboards we see the letters RHE, standing for Runs, Hits and Errors."
_OOL,"KOOL.    	The drink we know today as Kool-Aid was invented by Edward Perkins and his wife, in Perkins' mother's kitchen in southwest Nebraska. Kool-Aid is now the Official Soft Drink of the state."
C_LEB,"CALEB.    	According to the Bible, after fleeing Egypt the Hebrews were led by Moses to the promised land of Canaan. Moses sent twelve spies into Canaan (one from each of the Twelve Tribes) to report on what awaited them. Ten spies returned with exaggerated stories of giants who would kill the Hebrew army if it entered Canaan. Two spies, Caleb and Joshua, came back with valid reports, that the Hebrews could inhabit the area. As a result of the false reports from the ten spies, the Hebrews did not enter Canaan but instead wandered the desert for another forty years, before they finally took up residence in the promised land. At the end of the forty years, Caleb and Joshua were the only adults that survived the forty-year journey, a reward from God for their obedience."
_ODS,"RODS.    	A 'hot rod' is an American car that has been modified for speed by installing a larger than normal engine. A 'street rod' is generally a more comfortable type of 'hot rod', with the emphasis less on the engine and more on custom paint jobs and interiors. By definition, a street rod must be based on an automobile design that originated prior to 1949."
D_OM,"DOOM.    	Doctor Doom is a supervillain created in the Marvel Comics universe, an archenemy of the Fantastic Four."
DANC_,"DANCE.    	In Greek mythology, the muses are the goddesses who inspire the creation of literature and the arts. The number of muses is a subject of debate at times, but the most popular view is that there are nine:"
P_REX,"PYREX.    	Pyrex glassware is brand name owned by Corning. As well as being used in bakeware and laboratory glassware, Pyrex is often the material of choice for optics in large telescopes used in astronomy. Pyrex is made from borosilicate glass, the main ingredients of which at silica and boron trioxide."
SPAR_,"SPARE.    	In bowling, the downing of all ten pins in two balls in the same frame is called a ""spare"", scoring ten points. The player gets a bonus, equal to the number of pins downed with the next ball, which could be up to ten. Hence, a spare can be worth up to 20 points."
C_AITEA,"CHAI TEA.    	Chai is a drink made from spiced black tea, honey and milk, with ""chai"" being the Hindi word for ""tea"". We often called tea ""a cup of char"" growing up in Ireland, with ""char"" being our slang word for tea, derived from ""chai""."
WIS_,"WISE.    	Apparently the original ""smart Alec"" was Alec Hoag, a pimp, thief and confidence trickster who plied his trade in New York City in the 1840s."
NE_RO,"NEGRO.    	The Rio Negro (Spanish for 'black river') is a tributary of the Amazon in South America. The Rio Negro is the largest blackwater river in the world. A blackwater river is a slow-moving waterway that flows through forestation, collecting decaying vegetable matter that turns the water to a dark coffee color."
CHE_I,"CHERI.    	'Cheri' is a form of familiar address in French, meaning ""dear, darling, precious"". 'Cheri' is the form used when talking to/of a male, and 'cherie' for a female."
_RAM,"PRAM.    	Another word used in the UK that's rarely used over here is ""pram"", which in my day was the most common term for what is called a baby carriage in the US. ""Pram"" is short for ""perambulator""."
J_S,JDS.    	The law degree abbreviated to J.D. stands for Juris Doctor.
E_L,"ERL.    	Der Erlkönig' ('The Erl King') is a poem by the German writer Johann Wolfgang von Goethe. The poem tells of the death of child attacked by the Erl King, a supernatural being. The Austrian composer Franz Schubert made a musical adaptation of Goethe's poem, using the same title."
ESC_OW,"ESCROW.    	One type of escrow account is held by a trusted third party for two parties who have some contractual arrangement, an arrangement that is often in dispute. The third party only releases the funds when both parties have fulfilled their contractual obligations."
D_T,"DIT.    	Dahs and dits are the sound equivalents of dashes and dots of Morse Code. Samuel Morse didn't invent Morse code, but it took his name because it was invented for use on the electric telegraph invented by him."
JE_GA,JENGA.    	(18D. See 8-Down : TOWER)
E_T,EAT.    	A 'grace' is a short prayer recited before or after a meal.
VAM_,VAMP.    	A vamp (short for vampire) is a seductive woman.
ETS_Q,"ET SEQ.    	The Latin phrase 'et sequens' or 'et sequentia' is used in English to mean 'and following', and is abbreviated to 'et seq'. "
CA_E,"CAFE.    	""Bistro"" was originally a Parisian slang term for a ""little wine shop or restaurant""."
OY_,"OYS.    	'Oy vey' is a Yiddish expression of dismay that literally translates as 'oh, pain'. The more usual translation is 'woe is me'."
NAUTIL_S,"NAUTILUS.    	The marine creature called a nautilus is referred to as a ""living fossil"", as it looks just like the spiral-shelled creatures that are commonly found in fossils. The spiral shape is a great example of the Fibonacci series defining a natural phenomenon, as the spiral is a Fibonacci spiral, described by the famous series of numbers. The nautilus moves using jet propulsion, by ingesting water at one end and then squirting it out at the other."
M_KE,"MIKE.    	When the Beach Boys formed in 1961, they were very much a family concern. Brian, Dennis and Carl Wilson were three brothers, Mike Love was their cousin, and the fifth member of the band was family friend Al Jardine. Back then, the manager of the group was Murry Wilson, the father of the three Wilson brothers."
_ONACO,"MONACO.    	The Principality of Monaco is on the Mediterranean coast, and is otherwise surrounded by France, even though it is just under 10 miles from the Italian border. Monaco is the world's most densely populated country, and the world's second smallest country (the smallest being Vatican City). The principality has been very prosperous since the late 1800s, with the economy given a tremendous boost with the opening of several gambling casinos."
