"To be, to Bernadette.   		4 letters",ETRE.    	The French for 'to be' is 'être'.
"Scores in the end zone, for short.   		3 letters",TDS.    	Touchdowns (TDs)
Successor to the mark and franc.   		4 letters,EURO.    	The 'eurozone' or 'euro area' is a monetary and economic union within the European Union of 18 states (as of today) that use the euro as a shared legal tender and their sole currency.
"""Get a room"" elicitor, for short.   		3 letters",PDA.    	PDA is an abbreviation for 'public display of affection'.
Revolutionary Guevara.   		3 letters,"CHE.    	Ernesto ""Che"" Guevara was born in Argentina, and in 1948 he started to study medicine at the University of Buenos Aires. While at school he satisfied his need to ""see the world"" by taking two long journeys around South America, the story of which are told in Guevara's memoir later published as ""The Motorcycle Diaries"". While travelling, Guevara was moved by the plight of the people he saw and their working conditions and what he viewed as capitalistic exploitation. In Mexico City he met brothers Raul and Fidel Castro and was persuaded to join their cause, the overthrow of the US-backed government in Cuba. He rose to second-in-command among the Cuban insurgents, and when Castro came to power Guevara was influential in repelling the Bay of Pigs Invasion and bringing Soviet nuclear missiles to the island. Guevara left Cuba in 1965 to continue his work as a revolutionary. He was captured by Bolivian forces in 1967, and was executed. Fidel Castro led the public mourning of Guevara's death, and soon the revolutionary was an icon for many left-wing movements around the world."
Khartoum's river.   		4 letters,"NILE.    	Khartoum is the capital city of Sudan, and is located at the point where the Blue Nile and White Nile meet."
The younger Saarinen.   		4 letters,"EERO.    	Eero Saarinen was a Finnish American architect, renowned in this country for his unique designs for public buildings such as Gateway Arch in St. Louis, Dulles International Airport Terminal, and the TWA building at JFK. The list of his lesser-known, but still impressive, works includes several buildings erected on academic campuses. For example, the Chapel and Kresge Auditorium on the MIT campus, the Emma Hartman Noyes House at Vassar College, the Law School building at the University of Chicago, and Yale's David S. Ingalls Rink."
"109-Down portrayer in 2003's ""Elf"".   		5 letters",ASNER.    	(109. See 3-Down : SANTA)
CPR expert.   		3 letters,EMT.    	An emergency medical technician (EMT) might administer cardiopulmonary resuscitation (CPR).
Wharton deg.   		3 letters,"MBA.    	Wharton is the business school of the University of Pennsylvania, in Philadelphia."
H's.   		4 letters,"ETAS.    	Eta is the seventh letter of the Greek alphabet, and is a forerunner of our Latin character ""H""."
Two of hearts?.   		5 letters,"ATRIA.    	The heart has four chambers. The two upper chambers (the atria) accept deoxygenated blood from the body and oxygenated blood from the lungs. They squeeze the blood into the two lower chambers of the heart (the ventricles), 'priming' the pump, as it were. One ventricle pumps deoxygenated blood to the lungs, and the other pumps oxygenated blood to the rest of the body."
Maxwell rival.   		3 letters,"REO.    	Maxwell Motor Company made automobiles from 1904 to 1925, first headquartered in Tarrytown, New York. Maxwell ended up in Detroit, and there became one of the top three US car manufacturers in the country, along with Buick and Ford. In 1921, Walter P. Chrysler took a controlling interest in Maxwell, and a few years later the Maxwell assets were absorbed into the Chrysler Corporation."
Hidden means of support?.   		3 letters,"BRA.    	The word ""brassière"" is French in origin, but it isn't the word the French use for a ""bra"". In France what we call a bra is known as a ""soutien-gorge"", translating to ""held under the neck"". The word ""brassière"" is indeed used in France but there it describes a baby's undershirt, a lifebelt or a harness. ""Brassière"" comes from the Old French word for an ""arm protector"" in a military uniform (""bras"" is the French for ""arm""). Later ""brassière"" came to mean ""breastplate"" and from there the word was used for a type of woman's corset. The word jumped into English around 1900."
Piece of land.   		4 letters,"ACRE.    	At one time, an acre was defined as the amount of land a yoke of oxen could plow in a day. This was more precisely defined as a strip of land 'one furrow long' (i.e. one furlong) and one furlong wide. The length of one furlong was equal to 10 chains, or 40 rods. A area of one furlong times 10 rods was one rood."
Bushels per ___ (farm measure).   		4 letters,"ACRE.    	In the imperial system of weights and measures, a bushel is a unit of dry volume made up of 4 pecks. In the US system, a bushel is a dry volume of 8 gallons. We have used the term 'bushel' to mean 'large quantity' since the 14th century."
"Gershwin portrayer in ""Rhapsody in Blue"".   		4 letters","ALDA.    	Actor Robert Alda was the father of Alan Alda. Robert Alda's most famous role was probably George Gershwin in the 1945 movie ""Rhapsody in Blue"". Robert appeared twice in ""M*A*S*H"", alongside his son."
Diamond ___ Trucks (bygone company).   		3 letters,REO.    	Diamond Reo Trucks was a company formed by the merger of Diamond T and Reo Trucks in 1967.
Counterpart of Aurora.   		3 letters,"EOS.    	In Greek mythology, Eos is the goddess of the dawn who lived at the edge of the ocean. Eos would wake each morning to welcome her brother Helios the sun. The Roman equivalent of Eos is Aurora."
Concourse abbr.   		3 letters,ARR.    	Arrival (arr.)
Book reviewer?.   		3 letters,CPA.    	Certified public accountant (CPA)
Popular dorm poster subject.   		3 letters,"CHE.    	Ernesto ""Che"" Guevara was born in Argentina, and in 1948 he started to study medicine at the University of Buenos Aires. While at school he satisfied his need to ""see the world"" by taking two long journeys around South America, the story of which are told in Guevara's memoir later published as ""The Motorcycle Diaries"". While travelling, Guevara was moved by the plight of the people he saw and their working conditions and what he viewed as capitalistic exploitation. In Mexico City he met brothers Raul and Fidel Castro and was persuaded to join their cause, the overthrow of the US-backed government in Cuba. He rose to second-in-command among the Cuban insurgents, and when Castro came to power Guevara was influential in repelling the Bay of Pigs Invasion and bringing Soviet nuclear missiles to the island. Guevara left Cuba in 1965 to continue his work as a revolutionary. He was captured by Bolivian forces in 1967, and was executed. Fidel Castro led the public mourning of Guevara's death, and soon the revolutionary was an icon for many left-wing movements around the world."
"Hawaiian instrument, informally.   		3 letters",UKE.    	The ukulele ('uke') originated in the 1800s and mimicked a small guitar brought to the Hawaiian Islands by Portuguese immigrants.
"Here, to Henri.   		3 letters","ICI.    	""Vous êtes ici"" are important words to know when navigating your way around Paris. They mean, ""You are here"", and you'll often see them on maps in the street."
"""___ on parle français"".   		3 letters","ICI.    	Here, one speaks French."
Two of the heart's chambers.   		5 letters,"ATRIA.    	The heart has four chambers. The two upper chambers (the atria) accept deoxygenated blood from the body and oxygenated blood from the lungs. The atria squeeze the blood into the two lower chambers of the heart (the ventricles), 'priming' the pump, as it were. One ventricle pumps deoxygenated blood to the lungs, and the other pumps oxygenated blood to the rest of the body."
"""Anderson Cooper 360 degrees"" channel.   		3 letters",CNN.    	Anderson Cooper 360 degrees' is a CNN news show that is often referred to simply as 'AC360'.
Super Bowl IV M.V.P.   		3 letters,"LEN.    	Len Dawson is a retired AFL-NFL quarterback, who played for the Dallas Texans/Kansas City Chiefs."
Vintage car inits.   		3 letters,"REO.    	The REO Motor Company was founded by Ransom E. Olds (hence the name REO). The company made cars, trucks and buses, and was in business from 1905 to 1975 in Lansing, Michigan. Among the company's most famous models were the REO Royale and the REO Flying Cloud."
I.R.S. filing time: Abbr..   		3 letters,"APR.    	April 15th wasn&#8217;t always Tax Day in the US. The deadline for returns was March 1st from 1913-18, when it was moved to March 15th. Tax Day has been April 15th since 1955."
Filing month: Abbr..   		3 letters,"APR.    	April 15th wasn&#8217;t always Tax Day in the US. The deadline for returns was March 1st from 1913-18, when it was moved to March 15th. Tax Day has been April 15th since 1955."
Top of a woman's swimsuit.   		3 letters,"BRA.    	The origin of the name ""bikini"", a type of bathing suit, seems very uncertain. My favorite story is that it is named after the Bikini Atoll, site of American A-bomb tests in the forties and fifties. The name ""bikini"" was chosen for the swim-wear because of the ""explosive"" effect it had on men who saw a woman wearing the garment!"
"""American Morning"" airer.   		3 letters","CNN.    	'American Morning' is CNN's flagship morning show. It tries to differentiate itself from the competition by avoiding much of the banal ""chat"" between the news presenters, focusing more on the stories themselves."
Geographical name that's another geographical name backward.   		4 letters,"EIRE.    	""Éire"", is the Irish word for ""Ireland"". ""Erin"" is an anglicized version of ""Éire"" and actually corresponds to ""Éirinn"", the dative case of ""Éire""."
Oil cartel.   		4 letters,"OPEC.    	The OPEC cartel (the Organization of the Petroleum Exporting Countries) was formally established in 1960 and has been headquartered in Vienna since 1965. The US is actually the third largest oil producer in the world (after Russia and Saudi Arabia). One reason America isn't in OPEC, even though we are a big producer, is that we import a lot more than we export. But you probably knew that already ..."
"""O Come, All Ye Faithful,"" e.g.   		4 letters","NOEL.    	'Noël' is the French word for the Christmas season, ultimately coming from the Latin word for ""birth"" (natalis). Noel has come to be used as an alternative name for a Christmas carol."
Garment with underwires.   		3 letters,"BRA.    	The word 'brassière' is French in origin, but it isn't the word the French use for a 'bra'. In France, what we call a bra is known as a 'soutien-gorge', translating to 'held under the neck'. The word 'brassière' is indeed used in France but there it describes a baby's undershirt, a lifebelt or a harness. 'Brassière' comes from the Old French word for an 'arm protector' in a military uniform ('bras' is the French for 'arm'). Later 'brassière' came to mean 'breastplate' and from there the word was used for a type of woman's corset. The word jumped into English around 1900."
Architect Saarinen.   		4 letters,"EERO.    	Eero Saarinen was a Finnish American architect, renowned in America for his unique designs for public buildings such as Gateway Arch in St. Louis, Dulles International Airport Terminal, and the TWA building at JFK."
Greek H's.   		4 letters,"ETAS.    	Eta is the seventh letter of the Greek alphabet, and is a forerunner of our Latin character ""H""."
"Six-pointers, in brief.   		3 letters",TDS.    	Touchdowns (TDs)
Dangerous sprayer.   		3 letters,UZI.    	The first Uzi submachine gun was designed in the late 1940s by Major Uziel Gal of the Israel Defense Forces who gave his name to the gun.
Drying-out danger.   		3 letters,"DTS.    	The episodes of delirium that can accompany withdrawal from alcohol are called Delirium Tremens (the DTs). The literal translation of this Latin phrase is ""trembling madness""."
Government org.   		3 letters,DEA.    	The Drug Enforcement Administration (DEA) was set up in 1973 while President Nixon was in office.
Trendy tuna.   		3 letters,"AHI.    	Yellowfin tuna is usually marketed as ""ahi"", its Hawaiian name. Yellowfin tuna is one big fish, often weighing over 300 pounds."
Classic car inits.   		3 letters,"REO.    	The REO Motor Company was founded by Ransom E. Olds (hence the name REO). The company made cars, trucks and buses, and was in business from 1905 to 1975 in Lansing, Michigan. Among the company's most famous models were the REO Royale and the REO Flying Cloud."
Bit of intimate attire.   		3 letters,"BRA.    	The word ""brassière"" is of course French in origin, but it isn't the word the French use for a ""bra"". In France what we call a bra is known as a ""soutien-gorge"", translating to ""held under the neck"". The word ""brassière"" is indeed used in France but there it describes a baby's undershirt, a lifebelt or a harness. ""Brassière"" comes from the Old French word for an ""arm protector"" in a military uniform (""bras"" is the French for ""arm""). Later ""brassière"" came to mean ""breastplate"" and from there the word was used for a type of woman's corset. The word jumped into English around 1900."
Torque's symbol.   		3 letters,"TAU.    	Torque can be thought of as a turning force, say the force needed to tighten a bolt or a nut."
Org.   		3 letters,DEA.    	The Drug Enforcement Administration (DEA) was set up in 1973 while President Nixon was in office.
Starbuck's order giver.   		4 letters,"AHAB.    	Captain Ahab is the obsessed and far from friendly captain of the Pequod in Herman Melville's ""Moby Dick"". The role of Captain Ahab was played by Gregory Peck in the 1956 John Huston film adaptation. Patrick Stewart played Ahab in a 1998 miniseries in which Peck made another appearance, as Father Mapple."
"Mike Tyson facial feature, for short.   		3 letters","TAT.    	The word ""tattoo"" (often shortened to 'tat') was first used in English in the writings of the famous English explorer Captain Cook. In his descriptions of the indelible marks adorning the skin of Polynesian natives, Cook anglicized the Tahitian word ""tatau"" into our ""tattoo""."
Server of Duff Beer to Homer Simpson.   		3 letters,"MOE.    	Moe Szyslak is the surly bartender in ""The Simpson"" animated TV show. I don't really care for ""The Simpsons"", but Hank Azaria who supplies the voice for the character ... him I like."
"""___ Bangs"" (Ricky Martin hit).   		3 letters","SHE.    	Ricky Martin's real name is Enrique Martin Morales, a native of Puerto Rico. He first achieved fame with the boy band Menudo before going solo in 1991. ""She Bangs"" was a hit from the year 2000 from Ricky Martins's album ""Sound Loaded""."
"Actor who played himself in 1988's ""Moon Over Parador"".   		5 letters","ASNER.    	'Moon Over Parador' is a romantic comedy released in 1988, starring Richard Dreyfuss and Sonia Braga."
Woman's support.   		3 letters,"BRA.    	The word ""brassière"" is of course French in origin, but it isn't the word the French use for a ""bra"". In France what we call a bra is a ""soutien-gorge"", translating to ""held under the neck"". The word ""brassière"" is indeed used in France but there it describes a baby's undershirt, a lifebelt or a harness. ""Brassière"" comes from the Old French word for an ""arm protector"" in a military uniform (""bras"" is the French for ""arm""). Later ""brassière"" came to mean ""breast plate"" and from there was used for a type of woman's corset. The word jumped into English around 1900."
U.K.   		3 letters,"EMI.    	EMI was a British music company, with the acronym originally standing for Electric and Musical Industries."
Enya's homeland.   		4 letters,"EIRE.    	""Éire"", is the Irish word for ""Ireland"". ""Erin"" is an anglicized version of ""Éire"" and actually corresponds to ""Éirinn"", the dative case of ""Éire""."
Dublin's land.   		4 letters,"EIRE.    	""Éire"", is the Irish word for ""Ireland"". ""Erin"" is an anglicized version of ""Éire"" and actually corresponds to ""Éirinn"", the dative case of ""Éire""."
"Lord Nelson, the Hero of the ___.   		4 letters",NILE.    	Lord Nelson was known as the Hero of the Nile after his decisive victory over the French at the Battle of the Nile in 1798.
"Donkey Kong, e.g.   		3 letters","APE.    	The first video game featuring the ape called Donkey Kong was created in 1981. That first 'Donkey Kong' game also introduced the world to the character known as 'Mario', four years before 'Super Mario Bros' became such a big hit."
"""Little"" comics boy.   		4 letters","NEMO.    	Little Nemo was the hero in a comic strip drawn by Winsor McCay in the early 1900s. The strip was called 'Little Nemo in Slumberland' when it was published in the 'New York Herald', and then 'In the Land of Wonderland Dreams' when it moved to the 'New York American'."
Concourse abbr..   		3 letters,ARR.    	Arrival (arr.)
CPR expert.   		3 letters,EMT.    	Emergency medical technician (EMT)
Figure skater Midori.   		3 letters,ITO.    	Midori Ito is a Japanese figure skater. Ito was the first woman to land a triple/triple jump and a triple axel in competition. In fact she landed her first triple jump in training when she was only 8 years old ...
"Aunt, in Andalusia.   		3 letters","TIA.    	Andalusia ('Andalucia' in Spanish) is one of the seventeen autonomous communities in the Kingdom of Spain, and is the most southerly. The capital of Andalusia is the old city of Seville. The name Andalusia comes from its Arabic name, Al-Andalus, reflecting the region's history as the center of Muslim power in Iberia during medieval times."
Hyperion's daughter.   		3 letters,"EOS.    	In Greek mythology, Eos is the goddess of the dawn who lived at the edge of the ocean. Eos would wake each morning to welcome her brother Helios the sun. The Roman equivalent of Eos is Aurora."
"Land capturer, in literature.   		4 letters","NEMO.    	Ned Land was one of the protagonists in Jules Verne's classic ""20,000 Leagues Under the Sea"". Land and his colleagues get captured and are brought aboard the Nautilus submarine by Captain Nemo. In the famous movie adaptation from 1955, Ned Land was played by Kirk Douglas."
Aspiring atty.'s exam.   		4 letters,LSAT.    	The Law School Admission Test (LSAT) has been around since 1948.
Prince of opera.   		4 letters,"IGOR.    	'Prince Igor' is an opera by the Russian composer, Alexander Borodin. Borodin died before he had finished 'Prince Igor', so it was completed by Nikolai Rimsky-Korsakov and Alexander Glazunov. Music from 'Prince Igor' and other Borodin works was used in the American musical 'Kismet'."
Subject precursor.   		5 letters,"IN RE.    	The term ""in re"" is Latin, derived from ""in"" (in) and ""res"" (thing, matter). ""In re"" literally means ""in the matter"", and is used to mean ""in regard to"", or ""in the matter of""."
"Portrayer of 86-Across in ""Elf"".   		5 letters",ASNER.    	(86A. See 92-Across : ST NICK)
Title river in a Christie mystery.   		4 letters,"NILE.    	Agatha Christie wrote a very successful crime novel called ""Death on the Nile"" that was first published in 1937. That novel had started off life as a play, which was was never performed, one that Christie called ""Moon on the Nile"". Christie then adapted the novel back into a play again calling it ""Murder on the Nile"", which opened in London in 1946."
Grant presenter?.   		5 letters,"ASNER.    	Ed Asner is most famous for playing the irascible but lovable Lou Grant on ""The Mary Tyler Moore Show"" and on the spin-off drama ""Lou Grant"". Off-screen Asner is noted for his political activism. He served two terms as president of the Screen Actors Guild, and was very involved in the 1980 SAG strike. When ""Lou Grant"" was cancelled in in 1982, despite decent ratings, there was a lot of talk that the cancellation was a move by the network against Asner personally. In fact, one of Anser's activist colleagues, Howard Hesseman (who played Johnny Fever) found that his show ""WKRP in Cincinnati"" was also cancelled ... on the very same day."
"Neighbor of Dagwood, in the funnies.   		4 letters","ELMO.    	""Blondie"" was created as a comic strip by Chic Young. It was first published in 1930, and is still being created today (although the strip is now controlled by Chic's son, Dean). The strip spawned a series of radio programs (1939-1950) and a series of Blondie films (1938-1950). Blondie is married to Dagwood Bumstead. Dagwood slaves away at a construction company run by Julius Dithers, whose wife is called Cora. Another famous character in the strip is Elmo Tuttle, a pesky neighborhood kid who is always bugging Dagwood."
"Ed of ""Up"".   		5 letters","ASNER.    	Up' is the tenth movie released by Pixar studios, featuring wonderful animation as we have come to expect from Pixar. The film earned itself two Academy Awards. The main voice actor is Ed Asner, whose animated persona as Carl Fredricksen was created to resemble Spencer Tracy, as Tracy appeared in his last film, 'Guess Who's Coming to Dinner'."
Scot's language.   		4 letters,"ERSE.    	There are actually three Erse languages: Irish, Manx (spoken on the Isle of Man) and Scots Gaelic. In their own tongues, these would be Gaeilge (in Ireland), Gaelg (on the Isle of Man) and Gàidhlig (in Scotland)."
Orphaned lion of literature.   		4 letters,"ELSA.    	The life story of Elsa the lion was told by game warden Joy Adamson, who had a very close relationship with the lioness from when Elsa was orphaned as a young cub. Adamson wrote the book ""Born Free"" about Elsa, and then ""Living Free"" which tells the story of Elsa and her three lion cubs. In the 1966 film based on ""Born Free"", Adamson is played by the talented actress Virginia McKenna."
Yamaguchi's 1992 Olympics rival.   		3 letters,ITO.    	Midori Ito is a Japanese figure skater. Ito was the first woman to land a triple/triple jump and a triple axel in competition. In fact she landed her first triple jump in training when she was only 8 years old ...
Barker who pitched a perfect game in 1981.   		3 letters,"LEN.    	Len Barker is a former Major League Baseball pitcher. He pitched a perfect game in 1981 while playing for the Cleveland Indians, the tenth official perfect game in major league history. It was apparently the most pristine of performances, with Barker never getting to ball three against any of the opposing hitters (who played for the Blue Jays, by the way)."
"Sea bream, in a sushi bar.   		3 letters",TAI.    	Tai is the Japanese name for sea bream.
Eponym for a peanut butter cup.   		5 letters,"REESE.    	Reese's Peanut Butter Cups were invented by Harry Burnett ""H.B."" Reese. Peanut Butter Cups were originally called penny cups, reflecting the price at which they were sold. Then inflation took over, and maybe that's why they were broken into smaller 'pieces' ..."
"""Tickle Me"" toy.   		4 letters","ELMO.    	Tickle Me Elmo was a sensational fad in the late nineties, with stores raising prices dramatically above the recommended retail price to take advantage of demand. Reportedly, prices as high as $1500 were paid at the height of the craze. The toy's manufacturer, Tyco, originally planned to market the ""tickle"" toy as Tickle Me Tasmanian Devil (after the ""Looney Tunes"" character), but then went with ""Elmo"" after they bought the rights to use ""Sesame Street"" names."
"Result of drying out, maybe.   		3 letters","DTS.    	The episodes of delirium that can accompany withdrawal from alcohol are called Delirium Tremens (the DTs). The literal translation of this Latin phrase is ""trembling madness""."
"Lobbies, often.   		5 letters","ATRIA.    	In modern architecture, an atrium is a a large open space, often in the center of a building and extending upwards to the roof. The original atrium was an open court in the center of an Ancient Roman house. One could access most of the enclosed rooms of the house from the atrium."
The language Gàidhlig.   		4 letters,"ERSE.    	The Gaels were speakers of one of the Erse tongues. There are actually three Erse languages: Irish, Manx (spoken on the Isle of Man) and Scots Gaelic. In their own tongues, these would be Gaeilge (in Ireland), Gaelg (on the Isle of Man) and Gàidhlig (in Scotland)."
"Who sings ""As Time Goes By"" in ""Casablanca"".   		3 letters","SAM.    	The movie ""Casablanca"" was released in January of 1943, timed to coincide with the Casablanca Conference, the high-level meeting between Roosevelt and Churchill. The film wasn't a box-office hit, but gained critical acclaim, winning three Oscars including Best Picture. The signature song ""As Time Goes By"" was written many years earlier for a 1931 Broadway musical called ""Everybody's Welcome"", and was a hit in 1931 for Rudy Vallee. But today we all remember the Casablanca version, sung by Dooley Wilson (who played ""Sam"" in the film). Poor Dooley didn't get to record it as a single, due to a musician's strike in 1943, so the 1931 Rudy Vallee version was re-released that year and became an even bigger hit second time round."
Dancer/choreographer Michio.   		3 letters,"ITO.    	Michio Itō was a dancer and choreographer from Japan who had a successful career here in the US from 1916 to 1941. Itō was interned as an enemy alien the day after the attack on Pearl Harbor, and was accused of being a spy. In order gain his freedom, Itō opted to return to Japan in 1943. After the war he was cleared of any charges in the US and was hired by the American Occupation Command in Japan to choreograph and oversee productions for US troops."
Biblical anagram of 55-Across.   		4 letters,ABEL.    	(55. Actor Lugosi : BELA)
Canon camera brand.   		3 letters,"EOS.    	I've been using Canon EOS cameras for decades now, and have nothing but good things to say about the cameras and the lenses. The EOS name stands for Electro-Optical System, and was chosen because it evokes the name of Eos, the Titan goddess of dawn from Greek mythology."
Skier's lift.   		5 letters,"T-BAR.    	A T-bar is a type of ski lift on which the skiers are pulled up the hill in pairs, with each pair standing (not sitting!) either side of T-shaped metal bar. The bar is placed behind the thighs, pulling along the skiers as they remain standing on their skis (hopefully!). There's also a J-bar, a similar device, but with each J-shaped bar used by one skier at a time."
Jane who becomes Mrs.   		4 letters,"EYRE.    	""Jane Eyre"" is of course the novel written by Charlotte Brontë, under the pen name Currer Bell. Over the years, I've shared here on my blogs that the ""Jane Eyre"" story line is a little too dark and Gothic for my taste, but a very persuasive blog reader convinced me to look more at the romantic side of the story and give it a second chance. I watched a wonderful 4-hour television adaptation of the novel made by the BBC a while back and I have to say that because I was focused on the relationship between Jane and Rochester, I was able to push past the Gothic influences (that depress me) so I really enjoyed the story. I thoroughly recommend the 2006 BBC adaptation to fans of the novel."
Goddess who gained immortality for her lover but forgot to ask for eternal youth (whoops!).   		3 letters,"EOS.    	In Greek mythology, Eos is the goddess of the dawn who lived at the edge of the ocean. Eos would wake each morning to welcome her brother Helios the sun. Eos was cursed with a sexual desire that could not be sated, so she abducted several young men. One of these was the Trojan prince Tithonus. Eos asked Zeus to make Tithonus immortal, and the request was granted. However, she forgot to ask for eternal youth, and so he lived forever as a helpless old man."
Deg.   		3 letters,MBA.    	President George W. Bush graduated from Yale with an A.B. in history in 1968. He later earned a Master of Business Administration from Harvard Business School. President Bush is the only person with an MBA to have held the nation's highest office.
"Literary Jane who says ""No net ensnares me; I am a free human being with an independent will"".   		4 letters","EYRE.    	""Jane Eyre"" is the celebrated novel written by Charlotte Brontë, under the pen name Currer Bell. Over the years, I've shared here on my blogs that the ""Jane Eyre"" story line is a little too dark and Gothic for my taste, but a very persuasive blog reader convinced me to look more at the romantic side of the story and give it a second chance. I watched a wonderful 4-hour television adaptation of the novel made by the BBC a while back and I have to say that because I was focused on the relationship between Jane and Rochester, I was able to push past the Gothic influences (that depress me) so I really enjoyed the story. I thoroughly recommend the 2006 BBC adaptation to fans of the novel ..."
Jefferson Davis's org.   		3 letters,"CSA.    	The Confederate States of America set up government in 1861 just before Abraham Lincoln took office. The CSA conceded defeat on November 6, 1865. Jefferson Davis was selected as President of the CSA at its formation, and retained the post for the life of the government. After the Civil War he spent two years in prison before being released on bail. He wrote a well-received book, ""The Rise and Fall of the Confederate Government"" that was well received, particularly in the South. He passed away in 1889 in New Orleans, at the ripe old age of 81 years."
"""Rosy-fingered"" Greek goddess.   		3 letters","EOS.    	In Greek mythology, Eos is the goddess of the dawn who lived at the edge of the ocean. Eos would wake each morning to welcome her brother Helios the sun. The Roman equivalent of Eos is Aurora."
"Fictional character who says ""I am not what you call a civilized man!"".   		4 letters","NEMO.    	In the 1954 movie version of ""20,000 Leagues Under the Sea"", Captain Nemo goes down with his ship. In the novel by Jules Verne the fate of Nemo and his crew isn't quite so cut and dry, although the inference is perhaps that they did indeed head for Davy Jones' Locker."
Highland tongue.   		4 letters,"ERSE.    	There are actually three Erse languages. Irish, Manx (spoken on the Isle of Man) and Scots Gaelic. In their own tongues, these would be Gaeilge (in Ireland), Gaelg (on the Isle of Man) and Gaidhlig (in Scotland)."
Wolf Blitzer's channel.   		3 letters,"CNN.    	CNN (Cable News Network) was launched in 1980, and was the first television channel in the world to provide news coverage 24 hours a day."
"It's faster than dial-up, in brief.   		3 letters","DSL.    	DSL originally stood for Digital Subscriber Loop, but is now accepted to mean (Asymmetric) Digital Subscriber Line. DSL is the technology that allows Internet service be delivered down the same telephone line as voice service, by separating the two into different frequency signals."
First person to die in the Bible.   		4 letters,"ABEL.    	In the story of Cain and Abel in the Book of Genesis, Cain murders his brother Abel. Subsequently, God asks Cain, 'Where is Abel thy brother?' Cain replies, 'I know not. Am I my brother's keeper?'"
Photog's choice.   		3 letters,"SLR.    	SLR stands for Single Lens Reflex. Usually cameras with changeable lenses are the SLR type. The main feature of an SLR is that a mirror reflects the image seen through the lens out through the viewfinder, so that the photographer sees exactly what the lens sees. The mirror moves out of the way as the picture is taken, and the image that comes through the lens falls onto unexposed film, or nowadays onto a digital sensor."
Occasion to do a late shift?: Abbr..   		3 letters,"DST.    	On the other side of the Atlantic, Daylight Saving Time (DST) is known as ""summer time"". The idea behind summer/daylight-savings is to move clocks forward an hour in spring and backwards in the fall so that afternoons have more daylight."
Gaelic tongue.   		4 letters,"ERSE.    	There are actually three Erse languages: Irish, Manx (spoken on the Isle of Man) and Scots Gaelic. In their own tongues, these would be Gaeilge (in Ireland), Gaelg (on the Isle of Man) and Gaidhlig (in Scotland)."
"Shooter's choice, briefly.   		3 letters","SLR.    	SLR stands for ""single lens reflex"". Usually cameras with changeable lenses are the SLR type. The main feature of an SLR is that a mirror reflects the image seen through the lens out through the viewfinder, so that the photographer sees exactly what the lens sees. The mirror moves out of the way as the picture is taken, and the image that comes through the lens falls onto unexposed film, or nowadays onto a digital sensor."
Brit.   		3 letters,EMI.    	EMI is a British music company. The company name is an acronym that originally stood for Electric and Musical Industries.
"""American Beauty"" director Mendes.   		3 letters","SAM.    	While I found ""American Beauty"" to be an enjoyable and interesting film (loved Annette Bening in it), I also found it very depressing. If you haven't seen it, the main story is about a man having a midlife crisis (Kevin Spacey) and developing an infatuation for his teenage daughter's flirtatious friend. Definitely worth watching, and it did get huge accolades when it was released in 1999. A blog reader kindly pointed out to me that that film's title is a reference to the American Beauty rose. The rose features prominently in the sexual fantasy sequences, with the Kevin Spacey character dreaming about the young girl lying naked on a bed of rose petals."
First female skater to land a triple/triple jump combination in competition.   		3 letters,"ITO.    	Midori Ito is a Japanese figure skater. Ito was the first woman to land a triple/triple jump and a triple axel in competition. In fact, she landed her first triple jump in training, when she was only 8 years old ..."
"Film character who was asked to ""Play it"".   		3 letters",SAM.    	There is a famous exchange in the movie 'Casablanca' that results in the piano player Sam singing 'As Time Goes By'.
Université breaks.   		4 letters,"ETES.    	In French, students at a university (université) get breaks during summers (étés)."
Voice of Pixar's Mr.   		5 letters,"ASNER.    	""Up"" is the tenth movie released by Pixar studios, featuring wonderful animation as we have come to expect from Pixar. The film earned itself two Academy Awards. The main voice actor is Ed Asner, whose animated persona as Carl Fredricksen was created to resemble Spencer Tracy, as Tracy appeared in his last film, 'Guess Who's Coming to Dinner'."
"Part of the ""sum"" conjugation.   		4 letters","ERAT.    	'Esse' is the Latin for 'to be'. 'Sum' means 'I am' and 'erat' means 'he, she was'."
Exam for an aspiring Esq.   		4 letters,"LSAT.    	The title ""esquire"" is of British origin, and is used differently today depending on whether one is in the US or the UK. Here in America the term is usually reserved for those practicing the law (both male and female). In the UK it is a term of gentle respect, reserved for a male who has no other title that one can use. So a mere commoner like me might receive a letter from the bank say, addressed to W. E. Butler Esq."
Actress ___ Flynn Boyle.   		4 letters,"LARA.    	The actress Lara Flynn Boyle plays Donna Hayward on 'Twin Peaks', and Helen Gamble on 'The Practice'."
Christmas song.   		4 letters,"NOEL.    	'Noël' is the French word for the Christmas season, ultimately coming from the Latin word for ""birth"" (natalis). Noel has come to be used as an alternative name for a Christmas carol."
About.   		5 letters,"IN RE.    	The term ""in re"" is Latin, derived from ""in"" (in) and ""res"" (thing, matter). ""In re"" literally means ""in the matter"", and is used to mean ""in regard to"", or ""in the matter of""."
