Port in the eastern Mediterranean.   		4 letters,ACRE.    	Acre is a port city in northern Israel on Haifa Bay.
Field unit.   		4 letters,"ACRE.    	At one time an acre was defined as the amount of land a yoke of oxen could plow in a day. Eventually, this was more precisely delineated as a strip of land one furlong long (660 feet) and one chain wide (66 feet). The word ""furlong"" is actually derived from the Old English words meaning ""furrow long"", the length of the furrow plowed by the oxen."
Lifesaver's inits.   		3 letters,EMT.    	Emergency medical technician (EMT)
Saint who is one of the Fourteen Holy Helpers.   		4 letters,"ELMO.    	St. Elmo is the patron saint of sailors. He lends his name to the electrostatic weather phenomenon (often seen at sea) known as St. Elmo's fire. The ""fire"" is actually a plasma discharge caused by air ionizing at the end of a pointed object (like the mast of a ship), something often observed during electrical storms."
"Verb with ""vous"".   		4 letters","ETES.    	In French, we are (nous sommes), you are (vous êtes), they are (ils/elles sont)."
"Parts of bowls, for short.   		3 letters","TDS.    	There are touchdowns in all those bowl games, well, most of them anyway ..."
"""Ain't ___ Sweet"" (song classic).   		3 letters","SHE.    	Ain't She Sweet' is a popular song first published in 1927, composed by Milton Ager and Jack Yellen. Ager wrote the song for his daughter, Shana. Shana grew up to become Shana Alexander, a political commentator on CBS's '60 Minutes'."
___ Maria.   		3 letters,"TIA.    	Tia Maria is a coffee liqueur that was invented just after WWII in Jamaica, using Jamaica coffee beans. The name of course translates to ""Aunt Maria""."
"""Star Trek"" prosthesis.   		3 letters","EAR.    	In 'Star Trek', the Vulcan characters (say, Mr Spock) wear prosthetic ears."
Joy Adamson's big cat.   		4 letters,"ELSA.    	The life story of Elsa the lion was told by game warden Joy Adamson, who had a very close relationship with the lioness from when Elsa was orphaned as a young cub. Adamson wrote the book ""Born Free"" about Elsa, and then ""Living Free"" which tells the story of Elsa and her three lion cubs. In the 1966 film based on ""Born Free"", Adamson is played by the talented actress Virginia McKenna."
Carrier to Sweden.   		3 letters,"SAS.    	SAS was formerly known as Scandinavian Airlines System and is the flag carrier of three countries: Denmark, Norway and Sweden. SAS is based at Stockholm Arlanda Airport located just north of the Swedish capital."
"Wiseman who directed ""Live Free or Die Hard"".   		3 letters","LEN.    	Director and screenwriter Len Wiseman is best known for directing the ""Underworld"" series of vampire movies, and the fourth of the ""Die Hard"" films, ""Live Free or Die Hard"". Wiseman met actress Kate Beckinsale on the set of the original ""Underworld"" movie, and the two were married in 2004."
"""Big Love"" setting.   		4 letters","UTAH.    	""Big Love"" is an absolutely superb HBO drama series about a polygamous man and his three families trying to live a relatively ""normal"" life in Utah. The lead is played by Bill Paxton, and his first wife by Jeanne Tripplehorne. I recommend it for its entertainment value, but should point out that it has been frowned upon by some churches."
"Burgundy of ""Anchorman"".   		3 letters","RON.    	Ron Burgundy is the title character in the movie 'Anchorman' series of films. Burgundy is a news anchor played by comedian Will Ferrell. Apparently Burgundy loves a glass of scotch, poetry, and his dog Baxter."
Org.   		3 letters,DEA.    	Drug Enforcement Administration (DEA)
D-Day code name.   		5 letters,"OMAHA.    	The Normandy landings on D-Day in 1944 took place along a 50-mile stretch of the Normandy coast divided into five sectors: Utah, Omaha, Gold, Juno and Sword. The worst fighting by far took place on Omaha Beach, a sector assigned to the US Army that was transported by elements of the US Navy and the Royal Navy."
Exam for an aspiring J.D.   		4 letters,"LSAT.    	J.D. stands for Juris Doctor, and is a graduate law degree."
"The ""E"" of Q.E.D.   		4 letters","ERAT.    	QED is used at the end of a mathematical proof or a philosophical argument. The QED acronym stands for the Latin ""quod erat demonstrandum"" meaning ""that which was to be demonstrated""."
"Bit of ink, for short.   		3 letters","TAT.    	The word ""tattoo"" was first used in English in the writings of the famous English explorer Captain Cook. In his descriptions of the indelible marks adorning the skin of Polynesian natives, Cook anglicized the Tahitian word ""tatau"" into our ""tattoo""."
It's usually closed before leaving.   		3 letters,"TAB.    	When we 'run a tab' at a bar say, we are 'running a tabulation', a listing of what we owe. Such a use of 'tab' is American slang that originated in the 1880s."
"He played Hawkeye on ""M*A*S*H"".   		4 letters","ALDA.    	Alan Alda had a great television career, perhaps most memorably on ""M*A*S*H"". Alda won his first Emmy in 1972, for playing Hawkeye Pierce on ""M*A*S*H"". He won his most recent Emmy in 2006 for his portrayal of Presidential candidate Arnold Vinick in 'The West Wing'. When it comes to the big screen, my favorite of Alda's movies is the 1978 romantic comedy ""Same Time, Next Year"" in which he starred opposite Ellen Burstyn."
118-Across is in it.   		4 letters,OPEC.    	(118A. Neighbor of Oman: Abbr. : UAE)
"Tiny Tim's strings, for short.   		3 letters",UKE.    	The ukulele originated in the 1800s and mimicked a small guitar brought to the Hawaiian Islands by Portuguese immigrants.
Apparatus for pull-ups?.   		5 letters,"T-BAR.    	Here's another nicely disguised meaning. A T-bar is a type of ski lift in which the skiers are pulled up the hill in pairs, with each pair sitting on either side of T-shaped, metal bar."
"""Not with a bang but a whimper"" poet.   		5 letters","ELIOT.    	""This is the way the world ends / Not with a bang but a whimper"" are lines from T.S. Eliot's 1925 poem 'The Hollow Men'."
Times for many Tours tours.   		4 letters,"ETES.    	In French, 'été' (summer) is 'la saison chaude' (the warm season)."
First name in mysteries.   		4 letters,"ERLE.    	I must have read all of the Perry Mason books when I was in college. I think they kept me sane when I was facing the pressure of finals. Author Erle Stanley Gardner was himself a lawyer, although he didn't get into the profession the easy way. He went to law school, but got himself suspended after a month. So, he became a self-taught attorney and opened his own law office in Merced, California. Understandably, he gave up the law once his novels became successful."
Wharton deg.   		3 letters,"MBA.    	Wharton is the business school of the University of Pennsylvania, in Philadelphia."
Anderson Cooper's channel.   		3 letters,"CNN.    	Anderson Cooper is a great news personality on CNN and on various shows around the dial. My favorite appearances of his, although he would call them trivial I am sure, was as host of a great reality game show called ""The Mole"" that aired in 2001."
Character with a prominent back.   		4 letters,"IGOR.    	39 IGOR: Igor has been the assistant to Dracula, Frankenstein and Young Frankenstein, among others. He is almost invariably portrayed as a hunchback."
"___ Szyslak of ""The Simpsons"".   		3 letters","MOE.    	Moe Szyslak is the surly bartender in ""The Simpson"" animated TV show. I don't really care for ""The Simpsons"", but Hank Azaria who supplies the voice for the character ... him I like."
Sigma's follower.   		3 letters,"TAU.    	Tau is the 19th letter of the Greek alphabet, the letter which gave rise to our Roman ""T"". Both the letters tau (T) and chi (X) were symbolically associated with the cross."
Lanai strings.   		3 letters,UKE.    	The ukulele originated in the 1800s and mimicked a small guitar brought to the Hawaiian Islands by Portuguese immigrants.
Heart parts.   		5 letters,"ATRIA.    	The heart has four chambers. The two upper chambers (the atria) accept deoxygenated blood from the body and oxygenated blood from the lungs. The atria squeeze the blood into the two lower chambers of the heart (the ventricles), 'priming' the pump, as it were. One ventricle pumps deoxygenated blood to the lungs, and the other pumps oxygenated blood to the rest of the body."
"""Vous êtes ___"".   		3 letters","ICI.    	""Vous êtes ici"", important words when navigating your way around Paris. It means, ""You are here""."
Teammate of Robinson.   		5 letters,"REESE.    	Pee Wee Reese met Jackie Robinson after Robinson was signed to the Brooklyn Dodgers in 1947. As Reese tells the story, when he greeted Robinson it was the first time he had shaken hands with a black man. In those early days life was difficult for Robinson, and Reese made himself very visible as a friend, supporting the breaking down of racial barriers despite very vocal opposition."
"One of the muskrats in the 1976 hit ""Muskrat Love"".   		3 letters",SAM.    	'Muskrat Love' was a hit in 1976 for Captain & Tennille. The song tells of a romance between two muskrats named Susie and Sam.
Upper support.   		3 letters,"BRA.    	The word ""brassière"" is of course French in origin, but it isn't the French word for a ""bra"". In France a bra is a ""soutien-gorge"", translating to ""held under the neck"". The word 'brassière"" in French is used for a baby's undershirt, a lifebelt or a harness. ""Brassière"" comes from the Old French word for an ""arm protector"" in a military uniform (""bras"" is the French for ""arm""). Later ""brassière"" came to mean ""breast plate"" and from there was used for a type of woman's corset. The word jumped into English around 1900."
Co.   		3 letters,CEO.    	Chief executive officer (CEO)
Big acronym in energy.   		4 letters,"OPEC.    	The Organization of the Petroleum Exporting Countries (OPEC) was founded in 1960 at a conference held in Baghdad, Iraq that was attended by Iraq, Kuwait, Iran, Saudi Arabia and Venezuela. Nine more countries joined the alliance soon after, and OPEC set up headquarters in Geneva, Switzerland and then Vienna, Austria in 1965. The basic aim of OPEC was to wrench control of oil prices from the oil companies and to put it in the hands of the sovereign states that own the natural resource."
Terminal info.   		4 letters,ETAS.    	Expected time of arrival (ETA)
"The bride in Wagner's ""Bridal Chorus"".   		4 letters","ELSA.    	We've often heard the ""Bridal Chorus"" from Richard Wagner's opera ""Lohengrin"". It's the tune to ""Here comes the bride ..."" played regularly at the start of wedding ceremonies as the bride walks down the aisle. In the opera, the ""Bridal Chorus"" is played not at the start of the ceremony, but afterwards, by the women of the wedding party as they accompany the bride, Elsa, to the bridal chamber."
Asian language with no plural form.   		3 letters,"LAO.    	The official name for the country of Laos is the Lao People's Democratic Republic. In the Lao language, the country's name is ""Meuang Lao"". The French ruled Laos as part of French Indochina, having united three separate Lao kingdoms. As there was a plural of ""Lao"" entities united into one, the French added the ""S"" and so today we tend to use ""Laos"" instead of ""Lao""."
One of its sources is Lake Tana.   		4 letters,"NILE.    	Lake Tana is the largest lake in Ethiopia, and is the source of the Blue Nile. The lake has a number of islands of significant size, many of which are home to ancient monasteries."
Perfect-game pitcher Barker.   		3 letters,"LEN.    	Len Barker is a former Major league Baseball pitcher. He pitched a perfect game in 1981, playing for the Cleveland Indians, the tenth official perfect game in major league history. It was apparently the most pristine of performances, with Barker never getting to ball three against any of the opposing hitters (the Blue Jays, by the way)."
Mekong Valley native.   		3 letters,"LAO.    	The official name for the country of Laos is the Lao People's Democratic Republic. In the Lao language, the country's name is ""Meuang Lao"". The French ruled Laos as part of French Indochina, having united three separate Lao kingdoms. As there was a plural of ""Lao"" entities united into one, the French added the ""S"" and so today we tend to use ""Laos"" instead of ""Lao""."
Sedona maker.   		3 letters,"KIA.    	Kia Motors is the second largest manufacturer of cars in South Korea, behind Hyundai. In recent years, Kia has focused on sales into Europe and has been remarkably successful."
Kind of sleep.   		3 letters,REM.    	REM is an acronym standing for Rapid Eye Movement sleep. REM sleep takes up 20-25% of the sleeping hours and is the period associated with one's most vivid dreams.
Second major figure in the Bible alphabetically.   		4 letters,"ABEL.    	I suppose it depends on how one defines 'major', but an alphabetical list of major characters in the Bible might start with:"
"Role in ""Young Frankenstein"".   		4 letters","IGOR.    	Igor has been the assistant to Dracula, Frankenstein and Young Frankenstein, among others. He is almost invariably portrayed as a hunchback."
Four roods.   		4 letters,"ACRE.    	At one time, an acre was defined as the amount of land a yoke of oxen could plow in a day. This was more precisely defined as a strip of land 'one furrow long' (i.e. one furlong) and one furlong wide. The length of one furlong was equal to 10 chains, or 40 rods. A area of one furlong times 10 rods was one rood."
Supermodel Benitez.   		4 letters,"ELSA.    	Elsa Benítez is a Mexican model, known for her appearances in the 'Sports Illustrated Swimsuit Issue'. For a few years she was married to NBA player Rony Seikaly, someone I remember watching play for Syracuse when I lived there."
Skylit rooms.   		5 letters,ATRIA.    	In modern architecture an atrium (plural 'atria' or 'atriums') is a large open space usually in the center of a building and extending upwards to the roof. The original atrium was an open court in the center of an Ancient Roman house. One could access most of the enclosed rooms of the house from the atrium.
"Bonobo, for one.   		3 letters","APE.    	The Bonobo used to be called the Pygmy Chimpanzee, and is a cousin of the Common Chimpanzee. The Bonobo is an endangered species, found in the wild only in the Democratic Republic of the Congo in Africa. Along with the Common Chimpanzee, the Bonobo is genetically the closest species to humans."
2012 role for Chris Diamantopoulos.   		3 letters,"MOE.    	The Three Stooges' is a 2012 movie, kind of a remake of several classic ""Three Stooges"" shorts, set in a contemporary time period. This is not one that I've seen, nor even heard outside of crosswords."
Mixed bag.   		4 letters,"OLIO.    	Olio is a term meaning a hodgepodge or a mixture, coming from the mixed stew of the same name. The stew in turn takes its name from the Spanish ""olla"", the clay pot used for cooking."
"Carrere of ""Wayne's World"".   		3 letters",TIA.    	Tia Carrere is an actress from Honolulu who got her break in the soap opera 'General Hospital'. Carrere is perhaps best known for playing Cassandra Wong in the 'Wayne's World' movies.
Hall-of-Fame QB Dawson.   		3 letters,"LEN.    	Len Dawson is a retired AFL-NFL quarterback, who played for the Dallas Texans/Kansas City Chiefs."
Former owner of Capitol Records.   		3 letters,"EMI.    	EMI is a British music company, with the acronym originally standing for Electric and Musical Industries."
It's often hooked.   		3 letters,"BRA.    	The word ""brassière"" is French in origin, but it isn't the word the French use for a ""bra"". In France what we call a bra is known as a ""soutien-gorge"", translating to ""held under the neck"". The word ""brassière"" is indeed used in France but there it describes a baby's undershirt, a lifebelt or a harness. ""Brassière"" comes from the Old French word for an ""arm protector"" in a military uniform (""bras"" is the French for ""arm""). Later ""brassière"" came to mean ""breastplate"" and from there the word was used for a type of woman's corset. The word jumped into English around 1900."
Zenith.   		4 letters,"ACME.    	The ""acme"" is the highest point, coming from the Greek word ""akme"" which has the same meaning."
"""Am I my brother's keeper?"" brother.   		4 letters","ABEL.    	In the story of Cain and Abel in the Book of Genesis, Cain murders his brother Abel. Subsequently, God asks Cain, 'Where is Abel thy brother?' Cain replies, 'I do not know. Am I my brother's keeper?'"
Animation frame.   		3 letters,"CEL.    	In the world of animation, a cel is a transparent sheet on which objects and characters are drawn. In the first half of the 20th century the sheet was actually made of celluloid, giving the ""cel"" its name."
Revolutionary figure.   		3 letters,"CHE.    	Ernesto ""Che"" Guevara was born in Argentina, and in 1948 he started to study medicine at the University of Buenos Aires. While at school he satisfied his need to ""see the world"" by taking two long journeys around South America, the story of which are told in Guevara's memoir later published as ""The Motorcycle Diaries"". While travelling, Guevara was moved by the plight of the people he saw and their working conditions and what he viewed as capitalistic exploitation. In Mexico City he met brothers Raul and Fidel Castro and was persuaded to join their cause, the overthrow of the US-backed government in Cuba. He rose to second-in-command among the Cuban insurgents, and when Castro came to power Guevara was influential in repelling the Bay of Pigs Invasion and bringing Soviet nuclear missiles to the island. Guevara left Cuba in 1965 to continue his work as a revolutionary. He was captured by Bolivian forces in 1967, and was executed. Fidel Castro led the public mourning of Guevara's death, and soon the revolutionary was an icon for many left-wing movements around the world."
___ Stanley Gardner (Perry Mason's creator).   		4 letters,"ERLE.    	I must have read all of the Perry Mason books when I was in college. I think they kept me sane when I was facing the pressure of exams. Author Erle Stanley Gardner was himself a lawyer, although he didn't get into the profession the easy way. Gardner went to law school, but got himself suspended after a month. So, he became a self-taught attorney and opened his own law office in Merced, California. Understandably, he gave up the law once his novels became successful."
Irish Gaelic.   		4 letters,"ERSE.    	There are three Erse languages: Irish, Manx (spoken on the Isle of Man) and Scots Gaelic. In their own tongues, these would be Gaeilge (in Ireland), Gaelg (on the Isle of Man) and Gaidhlig (in Scotland)."
Narc's org.   		3 letters,DEA.    	The Drug Enforcement Administration (DEA) was set up in 1973 while President Nixon was in office.
Doofus.   		3 letters,"ASS.    	""Doofus"" (also ""dufus"") is student slang that has been around since the sixties. Apparently the word is a variant of the equally unattractive term ""doo-doo""."
Dummkopf.   		3 letters,"ASS.    	""Dummkopf"" is a German word that translates literally as ""dumb head""."
Places for light gatherings?.   		5 letters,ATRIA.    	In modern architecture an atrium (plural 'atria' or 'atriums') is a large open space usually in the center of a building and extending upwards to the roof. The original atrium was an open court in the center of an Ancient Roman house. One could access most of the enclosed rooms of the house from the atrium.
"Canon offering, briefly.   		3 letters",SLR.    	Single-lens reflex (SLR) camera
Credit card co.   		3 letters,APR.    	Annual percentage rate (APR).
Malta adopted it in 2008.   		4 letters,"EURO.    	Euro coins are issued by all the participating European states. The reverse side is a common design used by all countries, whereas the obverse is a design specific to each nation. For example, the one euro coin issued by Malta features the Maltese Cross. That Maltese euro is legal tender right across the eurozone. And by the way, the Irish euro features a harp."
Forever stamp?.   		3 letters,"TAT.    	The word ""tattoo"" (often shortened to 'tat') was first used in English in the writings of the famous English explorer Captain Cook. In his descriptions of the indelible marks adorning the skin of Polynesian natives, Cook anglicized the Tahitian word ""tatau"" into our ""tattoo""."
Leader of ancient Troy?.   		3 letters,TAU.    	The Greek letter tau would be the leading letter in the word 'Troy'.
Part of a plot.   		4 letters,"ACRE.    	At one time, an acre was defined as the amount of land a yoke of oxen could plow in a day. This was more precisely defined as a strip of land 'one furrow long' (i.e. one furlong) and one furlong wide. The length of one furlong was equal to 10 chains, or 40 rods. A area of one furlong times 10 rods was one rood."
Traffic cop's org.?.   		3 letters,DEA.    	The Drug Enforcement Administration was set up in 1973 under the Nixon administration.
Architect Saarinen.   		4 letters,"EERO.    	Eero Saarinen was a Finnish American architect, renowned in America for his unique designs for public buildings, such as Dulles International Airport Terminal, and the TWA building at JFK."
"Flight figures, for short.   		4 letters",ETAS.    	Expected time of arrival (ETA)
Coin of France or Spain.   		4 letters,"EURO.    	Euro coins are issued by all the participating European states. The reverse side is a common design used by all countries, whereas the obverse is a design specific to each nation. For example, the one euro coin issued by Malta features the Maltese Cross. That Maltese euro is legal tender right across the eurozone. The Irish euro features a harp."
"Passing concerns, for short?.   		3 letters",TDS.    	Touchdowns (TDs)
High point.   		4 letters,"ACME.    	The ""acme"" is the highest point, coming from the Greek word ""akme"" which has the same meaning."
A balconette is a low-cut style of one.   		3 letters,BRA.    	A balconette bra is one which features low cups and wide-set straps. Apparently this style of bra was given the name as men in a theatre balcony looking down at a female performer could not see any signs of the bra. No comment ...
Owner of Abbey Road Studios.   		3 letters,"EMI.    	The Abbey Road Studios in London was a large, Georgian townhouse built in the 1830s. It became a recording studio in 1931, and you can even see some YouTube video showing Sir Edward Elgar back then making recordings with the London symphony Orchestra. The studios passed through various owners and by the time the Beatles started their famous recording it was known as EMI Studios. The Beatles recorded practically all of their albums there, between 1962 and 1970. Famously they named a 1969 album after the studio, ""Abbey Road"". That's the one with the cover showing the Fab Four crossing the ""zebra crossing"" outside the studio."
"""Adam Bede"" novelist.   		5 letters","ELIOT.    	""Adam Bede"" was the first novel written by the English writer George Eliot (aka Mary Ann Evans). It was published in 1859 and has been in print since then, over 150 years."
Classic auto.   		3 letters,"REO.    	The REO Motor Company was founded by Ransom E. Olds (hence the name REO). The company made cars, trucks and buses, and was in business from 1905 to 1975 in Lansing, Michigan."
___ chi.   		3 letters,"TAI.    	More properly called tai chi chuan, tai chi is a martial art mostly practiced to improve overall health and increase longevity."
Garment under a blouse.   		3 letters,"BRA.    	A blouse is a loose-fitting shirt, particularly worn by women or children. The term 'blouse' is French, and originally described a peasant's smock."
"Network that aired ""Monk"".   		3 letters",USA.    	'Monk' is a comedy cop show in which the title character is an ex-San Francisco Police Department detective who is recovering from a nervous breakdown.
2015 Women's World Cup champs.   		3 letters,"USA.    	The first FIFA Women's World Cup is a soccer tournament that has been held every four years since 1991. The US national team has won the tournament three times, more than any other nation."
High land.   		4 letters,"MESA.    	""Mesa"" is the Spanish for ""table"" and is of course is how we get the term ""mesa"" that describes a geographic feature. ""What's the difference between a butte and a mesa?"" I hear you cry! Both are hills with flat tops, but a mesa has a top that is wider than it is tall. A butte is a much narrower formation, taller than it is wide."
"""In principio ___ Verbum"" (biblical phrase).   		4 letters","ERAT.    	""In principio erat Verbum"" are the opening lines of what is called the Last Gospel, a passage from the gospel according to St. John. The words (and those that follow) are used in the Roman Catholic Mass, and translate as ""In the beginning was the Word""."
Actress Long.   		3 letters,"NIA.    	Nia Long is an American actress, probably best known for playing Will Smith's sometime girlfriend and fiancee Lisa Wilkes, on the TV show ""The Fresh Prince of Bel Air""."
"""There ___ is, Miss America"".   		3 letters","SHE.    	The beauty pageant theme song, ""There She Is, Miss America"", was written by composer Bernie Wayne. Wayne, who died at the age of 74 in 1993, wrote many hit songs, including ""Blue Velvet"" and ""The Magic Touch"". He also wrote a famous advertising jingle: ""Chock Full O'Nuts Is the Heavenly Coffee""."
Classic record label.   		3 letters,"EMI.    	EMI was a British music company, with the initialism originally standing for Electric and Musical Industries."
Warren of the Warren Commission.   		4 letters,"EARL.    	Earl Warren served as Governor of California from 1943 to 1953 and as US Chief Justice from 1953 until 1969. Earlier in his career, Warren served as district attorney for Alameda County in California, where I happen to be right now writing this post. Warren lent his name to the Warren Commission that he chaired, which investigated the assassination of President Kennedy."
"""Born Free"" lioness.   		4 letters","ELSA.    	The life story of Elsa the lion was told by game warden Joy Adamson, who had a very close relationship with the lioness from when Elsa was orphaned as a young cub. Adamson wrote the book ""Born Free"" about Elsa, and then ""Living Free"" which tells the story of Elsa and her three lion cubs. In the 1966 film based on ""Born Free"", Adamson is played by the talented actress Virginia McKenna."
Mall features.   		5 letters,ATRIA.    	In modern architecture an atrium (plural 'atria' or 'atriums') is a large open space usually in the center of a building and extending upwards to the roof. The original atrium was an open court in the center of an Ancient Roman house. One could access most of the enclosed rooms of the house from the atrium.
Trafficker tracking org.   		3 letters,DEA.    	The Drug Enforcement Administration (DEA) was set up in 1973 while President Nixon was in office.
Miscellany.   		4 letters,"OLIO.    	'Olio' is a term meaning a hodgepodge or a mixture, coming from the mixed stew of the same name. The stew in turn takes its name from the Spanish ""olla"", the clay pot used for cooking."
___ Beach (D-Day site).   		4 letters,"UTAH.    	Utah Beach was the right flank of the Allied assault on Normandy. It was a late consideration in the landing, only being added to the plan when more landing craft became available as D-Day approached. Fighting was relatively light at Utah Beach, compared to the devastation encountered by the other US landing site, Omaha Beach."
Prefix with zone.   		4 letters,"EURO.    	The European Union today stands at a membership of 27 states. The Euro is the official currency of only 16 of the 27. The list of states not using the Euro includes the UK, Denmark, Sweden and Norway."
"Instrument that's cradled, for short.   		3 letters",UKE.    	The ukulele ('uke') originated in the 1800s and mimicked a small guitar brought to the Hawaiian Islands by Portuguese immigrants.
Key above Caps Lock.   		3 letters,"TAB.    	Like most features on our computer keyboards, the tab key is a hangover from the days of typewriters. When using a typewriter, making entries into a table was very tedious, involving lots of tapping on the space bar and backspace key. So, a lever was added to typewriters that allowed the operator to ""jump"" across the page to positions that could be set by hand. Later this was simplified to a tab key which could be depressed, causing the carriage to jump to the next tab stop in much the same way that the modern tab key works on a computer."
SFO info.   		3 letters,ARR.    	Arrival time (arr.)
Viscosity symbols.   		4 letters,"ETAS.    	A viscous liquid might be described as 'thick', and a more viscous liquid is thicker, less likely to flow."
Woe while getting clean.   		3 letters,"DTS.    	The episodes of delirium that can accompany withdrawal from alcohol are called Delirium Tremens (the DTs). The literal translation of this Latin phrase is ""trembling madness""."
Bikini top.   		3 letters,"BRA.    	The origin of the word 'bikini', a type of bathing suit, seems very uncertain. My favorite story is that it is named after the Bikini Atoll, site of American A-bomb tests in the forties and fifties. The name 'bikini' was chosen for the swim-wear because of the 'explosive' effect it had on men who saw a woman wearing the garment!"
"""Have You Seen ___"" (1971 hit).   		3 letters",HER.    	'Have You Seen Her' is a 1971 song recorded by the Chi-Lites.
Flight board abbr.   		3 letters,ARR.    	Arrival (arr.)
"Here, in Haiti.   		3 letters",ICI.    	'Ici' is French for 'here'.
Pinnacle.   		4 letters,"ACME.    	The ""acme"" is the highest point, coming from the Greek word ""akme"" which has the same meaning."
"911 respondent, for short.   		3 letters",EMT.    	Emergency medical technician (EMT)
To be very far away?.   		4 letters,ETRE.    	The French for 'to be' is 'être'.
"""Doctor Zhivago"" role.   		4 letters","LARA.    	Olga Ivinskaya was the mistress of the writer Boris Pasternak. As such, she was the inspiration for the famous Lara character in Pasternak's novel 'Doctor Zhivago'."
Q neighbor.   		3 letters,"TAB.    	Like most features on our computer keyboards, the tab key is a hangover from the days of typewriters. When using a typewriter, making entries into a table was very tedious as it involved lots of tapping on the spacebar and backspace key. So, a lever was added to typewriters that allowed the operator to ""jump"" across the page to positions that could be set by hand. Later this was simplified to a tab key, which could be depressed causing the carriage to jump to the next tab stop in much the same way that the modern tab key works on a computer."
Second wife of Einstein.   		4 letters,"ELSA.    	Albert Einstein's first wife was a fellow student of his at the Zurich Polytechnic, Mileva Marić. The couple had a daughter together before they married in 1903, and then two sons. Albert and Mileva divorced in 1919. Albert was remarried that same year, to Elsa Löwenthal. Albert and Elsa had started a relationship in 1912, while he was still married to his first wife. Elsa had also been married before, divorcing Max Löwenthal in 1908. When Elsa took Albert's name at the time of their marriage, she was regaining her old family name, as she was also an Einstein by birth. Albert and Elsa were first cousins."
Sushi bar offering.   		3 letters,"AHI.    	Yellowfin and bigeye tuna are usually marketed as ""ahi"", the Hawaiian name. They are both big fish, with yellowfish tuna often weighing over 300 pounds, and bigeye tuna getting up to 400 pounds."
French 101 verb.   		4 letters,ETRE.    	The French for 'to be' is 'être'.
It ends in Nov.   		3 letters,"DST.    	On the other side of the Atlantic, Daylight Saving Time (DST) is known as ""summer time"". The idea behind summer/daylight-savings is to move clocks forward an hour in spring (i.e. 'spring forward') and backwards in the fall (i.e. 'fall back') so that afternoons have more daylight."
Good name for someone born on Dec.   		4 letters,"NOEL.    	Noel is the French word for the Christmas season, ultimately coming from the Latin word for ""birth"", ""natalis""."
