P.T.A. interest: Abbr..   		4 letters,EDUC.    	Parent-Teacher Association (PTA)
Rainbow maker.   		5 letters,"PRISM.    	When light passes through a prism, it is split up ('disperses') into differing wavelengths. It then becomes clear that white light is actually a mixture of different colors, which show up as beautiful spectra."
1879's Anglo-___ War.   		4 letters,"ZULU.    	The Anglo-Zulu War of 1879 was fought between British colonial forces and the Zulu kingdom of southern Africa. The war opened with a stunning victory by the Zulu as Isandlwana, but ended with Britain emerging victorious and the Zulu nation losing its independence."
Homeland of many Miamians.   		4 letters,CUBA.    	Cuba is the largest island in the Caribbean. The exact etymology of the name 'Cuba' seems a little unclear. Most believe 'Cuba' to be derived from the Taíno terms for 'where fertile land is abundant' (cubao) or 'great place' (coabana).
Pellet propeller.   		6 letters,"BB GUN.    	A BB gun is an air pistol or rifle that shoots birdshot known as BBs. Birdshot comes in a number of different sizes, from size 9 (0.080"" in diameter) to size FF (.23""). 0.180"" diameter birdshot is size BB, which gives the airgun its name."
Folded food.   		5 letters,CREPE.    	'Crêpe' is the French word for 'pancake'.
Downhill sport.   		4 letters,"LUGE.    	A luge is a small sled used by one or two people, on which one lies face up and feet first. The luge can be compared to the skeleton, a sled for only one person and on which the rider lies face down and goes down the hill head first."
Pie (pine) cutter's tool.   		4 letters,"ADZE.    	An adze (also adz) is similar to an axe, but is different in that the blade of an adze is set at right angles to the tool's shaft. An axe's blade is set in line with the shaft."
Biggest city on the Big Island.   		4 letters,"HILO.    	The largest island in the state of Hawaii is named Hawaii, and nicknamed 'the Big Island'. Of the Hawaiian islands that I've had the pleasure to visit, the Big Island is definitely my favorite."
Brit.   		3 letters,DSO.    	The Distinguished Service Order (DSO) is a British military award that is usually presented to officers with the rank of Major or higher.
Busy Apr.   		4 letters,CPAS.    	Certified public accountant (CPA)
Dreamboat.   		6 letters,"ADONIS.    	In Greek mythology, Adonis is a beautiful young god loved by Aphrodite. Adonis dies in a hunting accident (gored by a boar), but not before he gives Aphrodite a child. Adonis was originally a Phoenician god ""absorbed"" into Greek lore (Phoenicia is modern day Lebanon). The child born of Adonis to Aphrodite was called Beroe, after which is named Beirut, the capital city of Lebanon. We also use the term 'adonis' to mean 'beautiful male'."
"""___ in the Morning"" (radio show).   		4 letters","IMUS.    	Don Imus's syndicated radio show ""Imus in the Morning"" broadcasts from New York City. Imus has been described as a 'shock jock', a disc jockey who deliberately uses provocative language and humor that many would find offensive . I don't like shock jocks ..."
"What goes after cows, ducks and pigs?.   		9 letters","E-I-E-I-O.    	There was an American version of the English children's song ""Old MacDonald Had a Farm"" (E-I-E-I-O), that was around in the days of WWI. The first line of the US version goes ""Old MacDougal had a farm, in Ohio-i-o""."
"Game with a ""perfect score"" of 3,333,360.   		7 letters","PAC-MAN.    	The Pac-Man arcade game was first released in Japan in 1980, and is as popular today as it ever was. The game features characters that are maneuvered around the screen to eat up dots and earn points. The name comes from the Japanese folk hero ""Paku"", known for his voracious appetite. The spin-off game called Ms. Pac-Man was released in 1981."
Mexican wrap.   		6 letters,"SERAPE.    	""Serape"" is the English pronunciation and spelling of the Spanish word ""zarape"". A zarape is like a Mexican poncho, a soft woolen blanket with a hole in the middle for the head. Most serapes have colorful designs that use traditional Mayan motifs."
Winner of the most French Open singles titles.   		5 letters,"NADAL.    	Rafael Nadal is a Spanish tennis player who is noted for his expertise on clay courts, earning him the nickname ""The King of Clay""."
"""The Age of Anxiety"" poet.   		5 letters","AUDEN.    	The noted poet W. H. Auden was born and raised in England, but eventually became a US citizen. As well as hundreds of poems, Auden also wrote librettos for operas, including Igor Stravinsky's 'The Rake's Progress'."
"Wellesley grad, e.g.   		6 letters","ALUMNA.    	Wellesley is a private women's school located in the town of Wellesley, Massachusetts. Wellesley was founded in 1870 and is one of the original Seven Sisters Colleges."
Grab (onto).   		4 letters,"GLOM.    	'Glom' is a slang term meaning 'steal', although it can also be used to mean 'latch onto' when used as 'glom onto'. The term probably comes from the Scots word 'glam' meaning 'to snatch at'."
___ bin Laden.   		5 letters,"OSAMA.    	Osama bin Laden founded his militant Islamist group called al-Qaeda in the late eighties. 'Al-Qaeda' translates as 'the base', and can refer to a military base, and was originally the name of a training camp set up for mujahideen fighters opposing Russians occupying Afghanistan."
24-___.   		5 letters,"KARAT.    	A karat (also 'carat', the spelling outside of North America) is a measure of the purity of gold alloys, with 24-karat representing pure gold."
Last name in despotism.   		4 letters,"AMIN.    	Idi Amin received most of his military training in the British armed forces, eventually achieving the highest rank possible for a Black African in the British Colonial Army in 1959, that of Warrant Officer. On his return to Uganda Amin joined his country's military and quickly rose to the rank of Deputy Commander of the Army. During that time he was quite the athlete. He was a noted rugby player and swimmer, and for nine years held the Ugandan national light-heavyweight boxing title. By the early seventies, Amin was commander of all the armed forces of Uganda and in 1971 seized power in a military coup, displacing the country's president Milton Obote. There followed seven years of brutal rule by Amin during which it is estimated that between 100,000 and 500,000 people were murdered. Amin was ousted from power in 1979 after a war with Tanzania, and fled to Libya where he stayed for a year. He then moved to Saudi Arabia, where he was financially supported by the Saudi Royal Family for the remainder of his life. Amin died in 2003."
"""Super"" parts of the psyche.   		4 letters","EGOS.    	Sigmund Freud created a structural model of the human psyche, breaking it into three parts: the id, the ego, and the super-ego. The id is that part of the psyche containing the basic instinctual drives. The ego seeks to please the id by causing realistic behavior that benefits the individual. The super-ego almost has a parental role, contradicting the id by introducing critical thinking and morals to behavioral choices."
"""___ Doone"" (1869 historical novel).   		5 letters","LORNA.    	The novel 'Lorna Doone: A Romance of Exmoor' was written by Richard Doddridge Blackmore. R. D. Blackmore was an English novelist, very celebrated and in demand in his day (the late 1800s). His romantic story ""Lorna Doone"" was by no means a personal favorite of his, and yet it is the only one of his works still in print."
"Brent of ""Star Trek.   		7 letters","T.N.G."".    	Brent Spiner played Lieutenant Commander Data on television's 'Star Trek: The Next Generation'."
Painter Matisse.   		5 letters,"HENRI.    	Henri Matisse was a French artist renowned for his contribution to modern art. In his early career, Matisse was classed as a ""fauve"", one of the group of artists known as the ""wild beasts"" who emphasized strong color over realism in their works. He was a lifelong friend of Pablo Picasso, and the two were considered to be good-natured rivals so their works are often compared. One major difference between their individual portfolios is that Picasso tended to paint from his imagination, whereas Matisse tended to use nature as his inspiration."
Postpone.   		5 letters,"TABLE.    	These ""tabling"" and ""shelving"" idioms drive me crazy, because they are often misused. If a topic is shelved, it is set aside. If a topic is tabled, it is brought ""off the shelf"" and put 'on the table' for discussion. But, maybe it's just me ..."
"Label of the ""Singing to the Hits"" series.   		5 letters","K-TEL.    	K-Tel was founded in 1962 in Winnipeg, Manitoba by one Philip Kives. K-Tel's recipe for success was the sale of inexpensive goods with a simple sales pitch and mail-order distribution."
Stick in a cabinet.   		5 letters,"Q-TIP.    	Cotton swabs were originally marketed under the name ""Baby Gays"", but this was changed in 1926 to ""Q-Tips"", with the Q standing for ""quality""."
"Obama's signature health measure, for short.   		3 letters",ACA.    	The correct name for what has been dubbed 'Obamacare' is the 'Patient Protection and Affordable Care Act' (ACA).
"Object depicted on the cover of Pink Floyd's ""The Dark Side of the Moon"".   		5 letters",PRISM.    	Pink Floyd were an English rock band founded in 1965. The band's most famous albums are probably 'The Dark Side of the Moon' and 'The Wall'.
Seed cover.   		4 letters,"ARIL.    	The casing surrounding many seeds is called the aril, and it may be quite fleshy. This fruit-like characteristic makes it desirable as a food and aids in the dispersion of the seeds."
Song of praise.   		5 letters,"PAEAN.    	A paean is a poem or song that expresses triumph or thanksgiving. 'Paean' comes from the ancient Greek 'paian' meaning ""song of triumph'."
"Cerberus guards its gates, in myth.   		5 letters","HADES.    	Cerberus is a dog with three heads that appears in both Greek and Roman mythology. Cerberus had the job of guarding the gates of Hades and preventing those who had crossed the River Styx from ever escaping. A sop is a piece of food that has been dipped in some liquid, as one might sop a piece of bread in soup. There is an idiomatic expression, ""to give a sop to Cerberus"", which means to give someone a bribe, or pay someone off. The idea is that if one could bribe Cerberus, give him a sop to eat, then he would let you pass and escape from Hades."
Product that can maintain a bikini line.   		4 letters,NAIR.    	Nair is a hair removal product that has some pretty harsh ingredients. The most important active constituents are calcium hydroxide ('slake lime') and sodium hydroxide ('caustic soda'). Other Nair components seem to be there to soothe the skin after the harsher chemicals have done their job. The name 'Nair' probably comes from combining 'no' and 'hair'.
Olympic racing event.   		4 letters,"LUGE.    	A luge is a small sled used by one or two people, on which one lies face up and feet first. The luge can be compared to the skeleton, a sled for only one person and on which the rider lies face down and goes down the hill head-first. Yikes!"
Record of the year.   		5 letters,"ANNAL.    	'Annal' is a rarely used word, the singular of the more common 'annals'. An annal would be the recorded events of one year, with annals being the chronological record of events in successive years. The term 'annal' comes from the Latin 'annus' meaning 'year'."
Batman co-creator Bob.   		4 letters,KANE.    	The DC Comics superhero Batman was created in 1939 by Bob Kane and Bill Finger.
Love letter letters.   		4 letters,"XOXO.    	In the sequence XOX, the X represents a kiss and the O a hug. Hugs and kisses ..."
Eponymous chair designer.   		5 letters,"EAMES.    	Charles and Ray Eames were a husband-wife team of furniture designers. One of the more famous of their designs is the Eames lounge chair that comes with an ottoman. This trendy piece of furniture featured in a late episode of the television show 'Frasier'. In the show, Frasier's Dad remarks that the Eames chair is so comfortable that he might have gotten rid of his tatty old recliner a long time ago."
Sounds from Santa.   		3 letters,"HOS.    	Saint Nicholas of Myra is the inspiration for Santa Claus. Nicholas was the Bishop of Myra (now in modern-day Turkey) during the 4th century AD, and was known for being generous to the poor. Centuries after he died, his remains were desecrated by Italian sailors and moved to Bari in Italy. One legend has it that the relics were moved again centuries later and reburied in the grounds of Jerpoint Abbey in Co. Kilkenny in Ireland, where you can visit the grave today. I choose to believe that Santa Claus's relics are indeed buried in Ireland ..."
Gallimaufries.   		5 letters,"OLIOS.    	Olio is a term meaning a hodgepodge or a mixture, coming from the mixed stew of the same name. The stew in turn takes its name from the Spanish ""olla"", the clay pot used for cooking."
European hotel fixture.   		5 letters,"BIDET.    	""Bidet"" is a French word that we imported into English. In French, the word ""bidet"" originally described a small horse or a pony. What we know as a bidet was so called because one can straddle it like a horse in order to use it."
TV character whose middle name is JoJo.   		4 letters,BART.    	Bart Simpson is the main character in television's 'The Simpsons'. Bart's name was chosen by the writers as it is an anagram of 'brat'. Bart is voiced by actress and comedian Nancy Cartwright.
Nicholas Gage memoir.   		5 letters,"ELENI.    	Nicholas Gage is a Greek-American author and investigative journalist. Gage wrote two memoirs, ""Eleni"" and ""A Place for Us"". ""Eleni"" tells of his life in Greece during WWII and the Greek Civil War. The title is a tribute to his mother Eleni who was executed by Communists who occupied her village, simply because she helped her children escape from the ravages of a war of occupation. ""Eleni"" was adapted into a movie in 1985, with John Malkovich playing Gage."
Beethoven dedicatee.   		5 letters,"ELISE.    	""Fur Elise"" is a beautiful piece of music written by Beethoven, and is also known as ""Bagatelle in A Minor"". ""Fur Elise"" means simply ""For Elise"", but sadly no one knows the identity of the mysterious dedicatee."
"Figures in 2011's ""J.   		5 letters","G-MEN.    	The nickname 'G-men' is short for ""Government Men"" and refers to agents of the Federal Bureau of Investigation."
Forever ___ (Internet meme).   		5 letters,"ALONE.    	A ""meme"" (short for ""mineme"") is a cultural practice or idea that is passed on verbally or by repetition from one person to another. The term lends itself very well to the online world where links, emails, files etc. are so easily propagated."
"Place for a '55 45, say.   		5 letters","HI-FI.    	Hi-fi systems were introduced in the late forties, and is audio equipment designed to give a much higher quality reproduction of sound than cheaper systems available up to that point. 'Hi-fi' stands for 'high fidelity'."
House entered near the autumnal equinox.   		5 letters,"LIBRA.    	In the world of astrology, the horoscope is divided into twelve 'houses'. These houses are the birth signs with which we are familiar."
Grab (onto).   		4 letters,"GLOM.    	'Glom' is a slang term meaning 'steal', although it can also be used to mean 'latch onto' when used as 'glom onto'. The term probably comes from the Scots word 'glam' meaning 'to snatch at'."
Classic computer game set on an island.   		4 letters,"MYST.    	In the days when I played the occasional video game, the best of the bunch was undoubtedly 'Myst'. It is a game full of puzzles with the player wandering through a beautifully designed interactive world."
"""Remington ___"".   		6 letters","STEELE.    	The eighties detective show 'Remington Steele' stars Stephanie Zimbalist as a private detective, and Pierce Brosnan as the handsome bad boy, who's really a good boy. The show is unusual in that it melds the detective genre with elements of romantic comedy."
Republican politico Michael.   		6 letters,STEELE.    	Michael Steele served as Chairman of the Republican National Committee from 2009 to 2011 and was the first African American to fill the post.
June preceder.   		3 letters,"MAY.    	The month of May was named after Maia, the Greek goddess of fertility."
Fashion designer Browne.   		4 letters,THOM.    	Thom Browne is a fashion designer based in New York City.
Sacred hymn of praise.   		5 letters,"PSALM.    	The Greek word ""psalmoi"" originally meant ""songs sung to a harp"", and gave us the word ""psalms""."
Snake charmer's snake.   		5 letters,"COBRA.    	Snake charmers don't actually hypnotize their cobras, but they do train them. The snake is trained to 'follow' the movement of end of the pungi, the instrument that the charmer uses in the act. The snake presents no danger to the charmer or the audience, as it is typically defanged or has it's mouth partially stitched up so that only the tongue can be moved in and out. Not a very nice practice ..."
Product of the Nucor Corporation.   		5 letters,"STEEL.    	Nucor Corporation is the largest producer of steel in the US, bigger even than US Steel. Despite its size, Nucor doesn't own one blast furnace. Instead, Nucor's business was built on recycling steel using electric arc furnaces."
"""Veni, vidi, vici"" speaker.   		6 letters","CAESAR.    	The oft-quoted statement ""Veni, vidi, vici"" (""I came, I saw, I conquered"") is believed by many to have been written by Julius Caesar. The words date back to 47 BC and refer to the short war between Rome and Pharnaces II of Pontus."
Kinsey topic.   		3 letters,"SEX.    	Alfred Kinsey sure did create a stir with his work and publications. He founded the Institute for Sex Research in 1947, and published the famous 'Kinsey Reports' in 1948 and 1953. I enjoyed the 2004 biopic ""Kinsey"", starring Irish actor, Liam Neeson in the title role."
Key setting.   		5 letters,"OCEAN.    	A ""key"" (also ""cay"") is a low island offshore, as in the Florida Keys. Our term in English comes from the Spanish ""cayo"" meaning ""shoal, reef""."
"""Who goes there?"" response.   		7 letters","IT IS I.    	The much debated statement 'it is I' is actually grammatically correct, and should not be 'corrected' to 'it is me'. Traditionally, pronouns following linking verbs, such as 'is', 'appear' and 'seem', are written in the nominative case. Examples are:"
Chinese ___ (popular bonsai trees).   		4 letters,"ELMS.    	The term ""bonsai"" is used more correctly to describe the Japanese art of growing carefully shaped trees in containers. Bonsai has come to be used as the name for all miniature trees in pots."
Like Vatican guards.   		5 letters,"SWISS.    	The Pontifical Swiss Guard is a small force of about 110 men responsible for the safety of the Pope. To join the Swiss Guard, a recruit must be a single male citizen of Switzerland who has completed basic training with the Swiss military. The commandant of the Guard suggested in 2009 that the force might be open for admission to female recruits one day, but that would be well in the future."
"Good wife in ""The Good Earth"".   		5 letters","O-LAN.    	Pearl S. Buck's novel ""The Good Earth"" won a Pulitzer in 1932, and helped Buck win the Nobel Prize for literature a few years later. The story tells of life in a Chinese village and follows the fortunes of Wang Lung and his wife O-Lan. Although ""The Good Earth"" has been around for decades, it hit the bestseller list again in 2004 when it was a pick for Oprah's Book Club."
"San ___, Italy.   		4 letters","REMO.    	The Italian city of San Remo sits on the Mediterranean, right on the border with France. In Italian the city is named Sanremo, just one word, although the spelling of ""San Remo"" dates back to ancient times."
"""The accuser of our brethren,"" per Revelation.   		5 letters","SATAN.    	Revelation is the last book in the New Testament of the Bible. The book's author is said to be John of Patmos, as called out in this passage:"
___ terrier.   		4 letters,SKYE.    	The Skye terrier is a breed of dog that is actually under threat of extinction. A few years ago there were only 30 Skye terriers born in the breed's native land of the UK.
Pear-shaped stringed instrument.   		4 letters,LUTE.    	A lute player is a 'lutenist'. A nice bit of trivia ...
Menelaus' kingdom.   		6 letters,"SPARTA.    	In Greek mythology, Atreus was the father of Agamemnon and Menelaus. It was Menelaus who married Helen of Troy who was abducted by Paris, and Agamemnon who led the Greeks in the resulting Trojan War."
Author's encl.   		4 letters,SASE.    	One type of enclosure (enc.) in a letter might be a self-addressed stamped envelope (SASE).
Earth goddess created by Chaos.   		4 letters,"GAEA.    	In Greek mythology, Chaos was the first of the primeval gods born at the creation of the universe. Following Chaos came:"
Freudian subjects.   		4 letters,"EGOS.    	Sigmund Freud created a structural model of the human psyche, breaking it into three parts: the id, the ego, and the super-ego. The id is that part of the psyche containing the basic instinctual drives. The ego seeks to please the id by causing realistic behavior that benefits the individual. The super-ego almost has a parental role, contradicting the id by introducing critical thinking and morals to behavioral choices."
Hat with a tassel.   		3 letters,"FEZ.    	""Fez"" is the name given to the red cylindrical hat worn mainly in North Africa, and by Shriners here in the US. The fez used to be a very popular hat across the Ottoman Empire. The etymology of ""fez"" is unclear, although it might have something to do with the Moroccan city named Fez."
"Ewoks' home in ""Star Wars"".   		5 letters","ENDOR.    	The Ewoks are creatures who live on the moon of Endor, first appearing in ""Star Wars Episode VI: Return of the Jedi"". They're the cute and cuddly little guys that look like teddy bears."
"Charlie Brown, e.g.   		4 letters","TOON.    	Charlie Brown is the main character in the long-running comic strip called 'Peanuts', created by Charles Schulz. Charlie has several persistent frustrations in his life, including an inability to fly a kite. The focus of his kite-flying frustration is the dreaded Kite-Eating Tree."
Swell.   		4 letters,"A-OK.    	Our term 'A-OK' is supposedly an abbreviation for 'A(ll systems are) OK', and arose in the sixties during the Space Program."
Spanish bears.   		4 letters,"OSOS.    	In Spanish, ""osa"" is a female bear, and ""oso"" is a male."
Base figs.   		4 letters,NCOS.    	An NCO is a non-commissioned officer in the armed forces. Usually such an officer is one who has earned his or her rank by promotion through the enlisted ranks. A good example would be a sergeant.
"John Boehner, e.g., in two ways: Abbr..   		3 letters",REP.    	John Boehner is both a Republican (Rep.) and Representative (Rep.) in the US House.
Texas' ___ Duro Canyon.   		4 letters,"PALO.    	Palo Duro Canyon in Texas is the second largest canyon in the whole of the US (after the Grand Canyon, of course). The Palo Duro Canyon is 60 miles long and 20 miles wide in places."
Cutlass model of the 1980s-'90s.   		5 letters,CIERA.    	Oldsmobile made the Cutlass Ciera from 1982 to 1996. The Ciera was the brand name's most successful model.
Cousin of a blintz.   		5 letters,CREPE.    	'Crêpe' is the French word for 'pancake'.
Fisher for compliments on one's dress?.   		6 letters,EILEEN.    	The Eileen Fisher brand fashion brand is known for using regular folks to model its clothes in print advertising.
"1960s Angela Davis do, informally.   		3 letters","FRO.    	Angela Davis is a political activist and former leader of the Communist Party USA. Davis also ran twice in the eighties as candidate for Vice President on the Communist Party USA ticket, alongside Presidential candidate Gus Hall."
Group of people.   		4 letters,"HOMO.    	The Homo genus includes the species Homo sapiens (modern humans), but we're the only species left in that genus. The last known species related to humans was Homo neanderthalensis (Neanderthal Man) which died off about 24,000 years ago. However, another species was discovered in Indonesia in 2003 that has been dubbed Homo floresiensis (Flores Man ... sometimes called ""hobbit""), and it may possibly have lived as recently as 12,000 years ago. Watch this space ..."
Prefix with biology.   		4 letters,"EXO-.    	Exobiology is the study of life in the universe, and central to the work of exobiologists is the search for life beyond earth. A fascinating field, I would imagine ..."
"""Madam Secretary"" star.   		5 letters","LEONI.    	Téa Leoni is an American actress. One of Leoni's early parts was in the great film ""A League of Their Own"" (a minor role, Racine at first base). She also played Sam Malone's fiancée on ""Cheers"" and opposite Adam Sandler in ""Spanglish"". My favorite of her more prominent movie roles was as Jane in ""Fun with Dick and Jane"". Leoni is now playing the title role in the drama series 'Madam Secretary', a show that I really enjoy ..."
Sleuth played by Lorre.   		4 letters,"MOTO.    	The mysterious Mr. Moto is a Japanese secret agent who appears in six novels by American author, John P. Marquand. Mr. Moto was famously played by Peter Lorre in a series of eight films released in the 1930s."
Second place?.   		4 letters,"TENS.    	Someone adding up numbers might count the ones, tens, hundreds etc."
Companion of Aramis and Porthos.   		5 letters,"ATHOS.    	Alexandre Dumas' ""Three Musketeers"" are Athos, Porthos and Aramis, and their young protégé is D'Artagnan. A musketeer was an infantry soldier who was equipped with a musket. Funnily enough, the three 'musketeers"" really don't use their muskets, and are better known for their prowess with their swords."
"Singer with the album ""Live at the Polynesian Palace"".   		6 letters","DON HO.    	Don Ho apparently had a pretty liberal arrangement with his wife. When Ho was touring with his two backing singers, Patti Swallie and Elizabeth Guevara, all three of them shared a room together. He had two children with each of his roommates, giving a total of ten kids including the six he had with his wife. The arrangement was quite open, it seems, with all ten kids visiting each other regularly. To each his own ..."
Athens rival.   		6 letters,"SPARTA.    	Sparta was a city-state in ancient Greece, famous for her military might. Spartan children had a tough upbringing, and newborn babies were bathed in wine to see if the child was strong enough to survive. Every child was presented to a council of elders that decided if the baby was suitable for rearing. Those children deemed too puny were executed by tossing them into a chasm. We've been using the term 'spartan' to describe something self-disciplined or austere since the 1600s."
"Early times, for short.   		3 letters","AMS.    	The 12-hour clock has been around a long time, and was even used in sundial format in Ancient Egypt. Our use of AM and PM dates back to Roman times, with AM standing for Ante Meridiem (before noon) and PM standing for Post Meridiem (after noon). However, the Romans originally used the AM concept a little differently, by counting backwards from noon. So, 2AM to the Romans would be two hours before noon, or 10AM as we would call it today."
Locale of the Battle of Stoney Creek in the War of 1812.   		7 letters,"ONTARIO.    	The Battle of Stoney Creek took place during the War of 1812 in June 1813, near the modern-day community of Stoney Creek in Ontario. The action consisted of a surprise attack by the British who overwhelmed the American forces and captured two American generals. Casualties were shared evenly by both sides, but the Americans were badly shaken and never again ventured so far north of the Niagara River."
Lacto-___ vegetarian.   		3 letters,"OVO.    	A lacto-ovo vegetarian is someone who does not consume meat or fish, but does eat eggs (ovo) and dairy (lacto) products."
Noted 19th-century bagatelle dedicatee.   		5 letters,"ELISE.    	""Fur Elise"" is a beautiful piece of music written by Beethoven, and is also known as ""Bagatelle in A Minor"". ""Fur Elise"" means simply ""For Elise"", but sadly no one knows for sure the identity of the mysterious dedicatee."
___ Romana.   		3 letters,"PAX.    	A 'pax' (Latin for 'peace') is a period of history marked by an absence of war and conflict, although that stability is usually a result of one nation predominating. We often use the more specific term 'pax Romana' to describe such a situation, referring back to such a time in Ancient Rome."
"They face liabilities in their work, in brief.   		4 letters",CPAS.    	Certified public accountant (CPA)
Big uranium exporter.   		5 letters,"NIGER.    	Uranium is the largest export for the country of Niger in Western Africa. So-called yellowcake uranium powder from Niger was at the center of the argument supporting the invasion of Iraq in 2003. Intelligence reports suggested that Saddam Hussein was making attempts to buy uranium from Niger, although the documents supporting the intelligence were later shown to be forgeries."
Game-winning line.   		3 letters,OOO.    	That would be in tic-tac-toe.
Unit of electrical conductance.   		3 letters,MHO.    	Conductance (measured in mhos) is the inverse of resistance (measured in ohms). The mho has been replaced by the SI unit called the siemens.
Cheese choice.   		5 letters,"SWISS.    	Swiss cheese is a relatively generic term, a type of cheese produced in various countries and not necessarily in Switzerland. What they all have in common though, is a resemblance to the original Swiss Emmental cheese."
U.S.   		3 letters,"NIH.    	The National Institutes of Health (NIH) is made up of 27 different institutes that coordinate their research and services. Examples of member institutes are the National Cancer Institute, the National Institute of Mental Health and the National Institute on Aging."
Mork's planet.   		3 letters,"ORK.    	""Mork & Mindy"" was broadcast from 1978 to 1982. We were first introduced to Mork (played by Robin Williams) in a special episode of ""Happy Days"". The particular episode in question has a bizarre storyline culminating in Fonzie and Mork having a thumb-to-finger duel. Eventually Richie wakes up in bed, and alien Mork was just part of a dream! Oh, and ""Nanu Nanu"" means both ""hello"" and ""goodbye"" back on the planet Ork. ""I am Mork from Ork, Nanu Nanu"". Great stuff ..."
N.C.A.A.'s Gamecocks.   		3 letters,USC.    	The Gamecocks are the varsity sports teams of the University of South Carolina. The moniker comes from the nickname given to the Revolutionary war hero Thomas Sumter who was from South Carolina. Sumter was known as the 'Carolina Gamecock' in view of his fierce fighting style.
"Time Lords on ""Doctor Who,"" e.g.   		6 letters","ALIENS.    	The Time Lords are an alien race on the BBC sci-fi show 'Doctor Who'. In fact, the title character, known as 'the Doctor', is a Time Lord."
Songwriter Novello.   		4 letters,"IVOR.    	Ivor Novello was one of the most popular entertainers in Britain in the early 20th century. Novello was a Welsh composer, singer and actor. On top of his success on the stage and in front of the camera, he even wrote the dialogue for the 1932 movie ""Tarzan the Ape Man"" starring Johnny Weissmuller."
Animals in un zoológico.   		4 letters,"OSOS.    	In Spanish, ""osa"" is a female bear, and ""oso"" is a male. An 'oso' might be found in 'un zoológico' (a zoo)."
"Onetime lover of Riker on ""Star Trek.   		7 letters","T.N.G."".    	Deanna Troi is a character on ""Star Trek: The Next Generation"" who is played by the lovely Marina Sirtis. Sirtis is a naturalized American citizen and has what I would call a soft American accent on the show. However, she was born in the East End of London and has a natural accent off-stage that is more like that of a true Cockney."
Killers at sea.   		5 letters,"ORCAS.    	The taxonomic name for the killer whale is Orcinus orca. The use of the name ""orca"", rather than ""killer whale"", is becoming more and more common. The Latin word ""Orcinus"" means ""belonging to Orcus"", with Orcus being the name for the Kingdom of the Dead."
"Dallas cager, informally.   		3 letters","MAV.    	The Mavericks are the NBA franchise in Dallas, Texas. The team was founded in 1980, and the Mavericks name was chosen by fan votes. The choice of 'Mavericks' was prompted by the fact that the actor James Garner was a part-owner of the team, and Garner of course played the title role in the 'Maverick' television series."
Reagan attorney general Edwin.   		5 letters,"MEESE.    	Ed Meese was born in Oakland, California just down the road here and spent 24 years in the office of the Treasurer of Alameda County, the county in which I live. After military service, Meese earned himself a law degree at UC Berkeley. Later, as Chief of Staff for President Reagan, he was instrumental in a famous decision to crack down on student protesters at Berkeley which resulted in one protester dying and a two-week occupation of the city by the California National Guard."
Home of Creighton U.   		3 letters,"NEB.    	Creighton University is a private Jesuit school in Omaha, Nebraska that was founded in 1878. Originally called Creighton College, it was funded with a bequest of $200,000 from Mary Lucretia Creighton in honor of her husband, banker Edward Creighton."
Lowly workers.   		5 letters,PEONS.    	A peon is a lowly worker with no real control over his/her working conditions. The word comes into English from Spanish where it has the same meaning.
Brit.   		3 letters,DSO.    	The Distinguished Service Order (DSO) is a British military award that is usually presented to officers with the rank of Major or higher.
Adventure with a guide.   		6 letters,"SAFARI.    	""Safari"" is a Swahili word, meaning ""journey"" or ""expedition""."
___ browns (breakfast order).   		4 letters,"HASH.    	""Hash"", meaning a dish of beef and vegetables mashed together, is a very American term and one that really surprised me when I first came across it. ""Hash"" just seems like such an unappetizing item, but I soon found out how delicious it was. The name ""hash"" in this context comes from the French ""hacher"" meaning ""to chop"". Back in the early 1900s the dish called ""hashed browned potatoes"" was developed, which quickly morphed into ""hash browns"". From there the likes of corned beef hash was introduced."
Machine part.   		3 letters,CAM.    	Cams are wheels found on the cam shaft of a car's engine (and other machines). The cams are eccentric in shape rather than circular. The rotation of the cams causes the intake and exhaust valves of the cylinders to open and close.
W.S.J.   		3 letters,"NYT.    	""The New York Times"" has been published since 1851. These days a viable alternative to buying the paper is to read the news online. NYTimes.com is the most popular online newspaper website in the country, and I'm proud to be one of the 30 million visitors to the site each month."
Bananagrams game piece.   		4 letters,TILE.    	Bananagrams is a fun game that was introduced in 2006. Bananagrams is a little like Scrabble in that letter tiles are used to make interlocking words.
Base for Blackbeard.   		6 letters,"NASSAU.    	Nassau, the capital of the Bahamas, used to be called Charles Town. After having been burnt to the ground by the Spanish in 1684, it was rebuilt and named Nassau in honor of King William III of England, a Dutchman from the House of Orange-Nassau (aka William of Orange). Nassau is a favored location for the James Bond series of movies. The city and surroundings feature in ""Thunderball"", ""Never Say Never Again"", ""Casino Royale"" and ""For Your Eyes Only""."
Org.   		5 letters,"NAACP.    	W. E. B. Du Bois was sociologist and civil rights activist from Massachusetts. Du Bois was the first African American to receive a doctorate from Harvard, and went on to become a professor at Atlanta University. In 1909, he was a co-founder of the National Association for the Advancement of Colored People (NAACP)."
Abductors in a tabloid story.   		6 letters,"ALIENS.    	""Tabloid"" is the trademarked name (owned by Burroughs, Wellcome and Co,) for a ""small tablet of medicine"", a name that goes back to 1884. The word ""tabloid"" had entered into general use to mean a compressed form of anything, and by the early 1900s was used in ""tabloid journalism"", applied to newspapers that had short, condensed articles and stories printed on smaller sheets of paper."
