MS_,MSS.    	Editors work with manuscripts.
AR_,"ARP.    	Jean Arp was a French artist renowned for his work with torn and pasted paper, although that wasn't the only medium he used. Arp was the son of a French mother and German father and spoke both languages fluently. When he was speaking German he gave his name as Hans Arp, but when speaking French he called himself Jean Arp. Both 'Hans' and 'Jean' translate into English as 'John'. In WWI Arp moved to Switzerland to avoid being called up to fight, taking advantage of Swiss neutrality. Eventually he was told to report to the German Consulate and fill out paperwork for the draft. In order to get out of fighting, Arp messed up the paperwork by writing the date in every blank space on the forms. Then he took off all of his clothes and walked with his papers over to the officials in charge. Arp was sent home ..."
A_SN,"ASSN.    	The National Education Association (NEA) is the largest labor union in the country, mainly representing public school teachers."
AAR_,"AARE.    	The Aar (also called the Aare in German) is the longest river entirely in Switzerland. A famous spot along the river is the Reichenbach Falls in the center of the country, actually a series of waterfalls near the city of Meiringen. These falls are celebrated in the world of literature as it was here that Sherlock Holmes fell to his supposed doom with his nemesis Professor Moriarty (in ""The Adventure of the Final Problem"")."
TA_,"TAJ.    	The most famous mausoleum in the world has to be the Taj Mahal in Agra, India. The Taj Mahal was built after the death of the third wife of Shah Jahan, Mumtaz Mahal (hence the name of the mausoleum). The poor woman died in childbirth delivering the couple's 14th child."
ER_E,"ERNE.    	The ern (also erne) is also called the white-tailed eagle, and the sea-eagle."
ZE_,"ZEN.    	Zen is one of the Buddhist schools, that became it's own tradition in China back in the 7th century AD. Zen is a Japanese spelling of the Chinese word ""chan"", which in turn derives from the Sanskrit word ""dhyana"" meaning ""meditation""."
_TT,ATT.    	Attorney (att.)
NEPA_,"NEPAL.    	Nepal lies to the northeast of India. Today, the state is known as the Federal Democratic Republic of Nepal. In 2008, the Communist Party of Nepal won the country's general election. Soon after, the Assembly voted to change the form of government, moving away from a monarchy and creating a secular republic."
_TES,"UTES.    	The Runnin' Utes are the basketball team of the University of Utah. The team was given the nickname the Runnin' Redskins back when Jack Gardner was the head coach from 1953 to 1971. The ""Runnin'"" part of the name was chosen because Gardner was famous for playing quick offenses. The ""Redskins"" name was later dropped in favor of the less controversial ""Utes""."
I_LA,"ISLA.    	Crete is the largest of the Greek Islands. Crete figures heavily in Greek mythology. Zeus was born in a cave at Mount Ida, the highest peak on the island. Crete was also home to the Labyrinth where the Minotaur was slain by Theseus. Icarus and Daedalus, after having crafted the Labyrinth, escaped from the island using wings that they crafted."
UA_,"UAR.    	The UAR, United Arab Republic, was a union between Egypt and Syria, made in 1958 and dissolved in 1961 when Syria pulled out of the arrangement."
RO_A,"ROSA.    	Rosa Parks was one of a few brave women in days gone by who refused to give up her seat on a bus to a white woman. It was the stand taken by Rosa Parks on December 1, 1955 that sparked the Montgomery, Alabama Bus Boycott. President Clinton presented Ms. Parks with the Presidential Medal of Freedom in 1996. When she died in 2005, Rosa Parks became the first ever woman to have her body lie in honor in the US Capitol Rotunda."
_IS,"GIS.    	The initials ""G.I."" stand for ""Government Issue"" and not ""General Infantry"" as is often believed. GI was first used in the military to denote equipment made from Galvanized Iron and during WWI, incoming German shells were nicknamed ""GI cans"". Soon after, the term GI came to be associated with ""Government Issue"" and eventually became an adjective to describe anything associated with the Army."
GT_,"GTO.    	The words 'turn it on, wind it up, blow it out' appear in the song 'G.T.O', the debut recording for the surf rock group of the sixties known as Ronny & the Daytonas."
AL_A,"ALMA.    	""The Book of Alma: The Son of Alma"" is the full name of the longest book in the Book of Mormon. Alma was also known as Alma the Younger, a prophet."
_DO,"ADO.    	""Brouhaha"" was a French word that back in the 1550s meant ""the cry of the devil disguised as clergy"" . Wow ..."
R_P,"RAP.    	Jay Z is a rap artist whose real name is Shawn Carter. Jay Z married the singer Beyoncé in 2008, and by all accounts, the celebrity couple keep their lives together very private. That said, when the couple had their first child, the cries of their two-day-old daughter were used at the end of the 2002 Jay Z song 'Glory', for which baby Blue Ivy Carter was given a credit on the record as 'B.I.C'. That made young Blue Ivy the youngest person to ever appear on a Billboard chart."
_EE,TEE.    	Someone might make a letter T (tee) with his or her hands to call for a 'timeout'.
A_OK,"AMOK.    	The phrase ""to run amok"" (sometimes 'to run amuck') has been around since the 1670s and is derived from the Malay word for ""attacking furiously"", ""amuk"". The word ""amok"" was also used as a noun to describe Malay natives who were ""frenzied"". Given Malaya's troubled history, the natives probably had good reason for that frenzy ..."
_RTE,"ARTE.    	In Spanish, one sees works of art (arte) in a museum (un museo)."
_EE,"TEE.    	Tank top' is another one of those terms that always catches me out, as it has a different meaning on each side of the Atlantic. In the US a tank top is a sleeveless shirt, something we would call a 'vest' back in Ireland (and the US 'vest' is what we call a 'waist coat'). A tank top in Ireland is a sleeveless sweater, which further adds to the confusion. The name 'tank top' is derived from 'tank suit', an old name for a woman's one-piece bathing suit. The use of 'tank' for the bathing suit came from 'swimming tank', an obsolete term used in the 1920s for a swimming pool."
U_EA,"UVEA.    	The ciliary body is a layer of spherical tissue on the inside of the eyeball. It produces the fluid that fills the eyeball, and it also has muscles attached to the eye's lens. These muscles adjust the shape of the lens causing it to change focus. The uvea is a larger layer of tissue, also spherical, of which the ciliary body is part."
UB_R,"UBER.    	Uber is a ridesharing service that was founded in 2009 and is based in San Francisco. The service is somewhat controversial and has been described as an illegal taxicab operation. Central to Uber's service is the company's mobile app, which can use the client's GPS location to help find the nearest available ride. Personally, I love the service and only have had good experiences ..."
AT_,ATT.    	Attorney (att.)
A_DRE,"ANDRE.    	Renowned tennis professional Andre Agassi wrote an autobiography called ""Open"", published in 2009. An amazing revelation in the book is that Agassi's famous head of hair was actually a wig for much of his playing career. Can you imagine how hard it must have been to play tennis at his level with a rug stuck on?"
N_N,"NIN.    	Anais Nin was a French writer, famous for her journals that she wrote for over sixty years from the age of 11 right up to her death. She also wrote highly regarded erotica, and cited D. H. Lawrence as one author from whom she drew inspiration."
EI_,"EIN.    	Brahms' ""Ein Deutsches Requiem"" (A German Requiem) is a huge work. It is performed by an ensemble of full orchestra with chorus and soloists, and has seven movements that last up to 80 minutes."
ET_,ETO.    	General Dwight D. Eisenhower (DDE) was in command of the European Theater of Operations (ETO) during WWII.
_AE,"UAE.    	Dubai is one of the seven Emirates that make up the federation known as the United Arab Emirates (UAE). The two largest members of the UAE (geographically) are Dubai and Abu Dhabi, the only two of the seven members that have veto power over UAE policy."
S_DAN,"SEDAN.    	The American ""sedan"" car is the equivalent of the British ""saloon"" car. By definition, a sedan car has two rows of seating and a separate trunk (boot in the UK), although in some models the engine can be at the rear of the car."
E_O,"ETO.    	Dwight D. Eisenhower was in command of the European Theater of Operations during WWII. If you're a WWII buff like me, there's a great made-for-TV movie starring Tom Selleck as Eisenhower called ""Ike: Countdown to D-Day"" that came out in 2004."
U_ES,"UTES.    	The Runnin' Utes are the basketball team of the University of Utah. The team was given the nickname the Runnin' Redskins back when Jack Gardner was the head coach from 1953 to 1971. The ""Runnin'"" part of the name was chosen because Gardner was famous for playing quick offenses. The ""Redskins"" name was later dropped in favor of the less controversial ""Utes""."
PH_,"PHI.    	The golden ratio, denoted by the Greek letter phi, is a mathematical constant that often turns up in the world of art. Phi is approximately equal to 1.61, and is represented by the two distances, a and b, where (a+b)/a = a/b. Somehow we perceive the ratio of 1.61 as ""pleasing"" so it appears in many works of art and in building design. For example, many aspects of the Parthenon in Athens have the ratio of 1.61 (width compared to height). Leonardo da Vinci's famous drawing of the Vitruvian Man also illustrates the golden ratio in the proportions of the human body, where he shows that the distance from the foot to the navel, compared to the distance from the navel to the head, is 1.61."
O_NI,"OMNI.    	Conrad Hilton was a native of New Mexico, but he bought his first hotel in Cisco, Texas, in 1919. He did well on the deal and opened up hotels all over Texas in the following years, and built the first high-rise Hilton Hotel in Dallas. Hilton went on to build the world's first international hotel chain. Hilton was married three times, most famously to actress Zsa Zsa Gabor from 1942 to 1946."
_TUI,"ETUI.    	An etui is an ornamental case used to hold small items, in particular sewing needles. We imported the design, and the word ""etui"" from French. The French also have a modern usage of ""etui"" ... a case for carrying CDs!"
M_SO,"MISO.    	Miso is the name of the seasoning that makes the soup. Basic miso seasoning is made by fermenting rice, barley and soybeans with salt and a fungus (!) to produce a paste. The paste can be added to stock to make miso soup, or perhaps to flavor tofu."
A_ERO,"ALERO.    	The Oldsmobile Alero was the last car made under the Oldsmobile brand, produced from 1999 to 2004."
O_R,OAR.    	A scull is a boat used for competitive rowing. The main hull of the boat is often referred to as a shell.
I_AHO,"IDAHO.    	The US state of Idaho has a panhandle that extends northwards between Washington and Montana, right up to the border with Canada. Across that border is the Canadian province of British Columbia."
RI_A,"RITA.    	""Lovely Rita"" is a Beatles song on the ""Sgt. Pepper's Lonely Hearts Club Band"" album. When the album was released in 1967, the term ""meter maid"" wasn't used in the UK, although it was a slang term used in the US. The song helped spread the usage of ""meter maid"" all around the English-speaking world. Apparently the inspiration for the song was McCartney getting a parking ticket one day outside the Abbey Road Studios. He accepted the ticket with good grace, from a warden named Meta Davis. McCartney felt that Meta ""looked like a Rita"", so that was the name she was given in the song."
L_D,"LCD.    	Liquid Crystal Displays are the screens that are found in most laptops today, and flat panel computer screens. They basically replaced Cathode Ray Tube screens, the old television technology."
N_PAL,"NEPAL.    	The flag of Nepal is the only national flag in the world that is not rectangular in shape. Rather it has the shape of two pennants, two triangles, one atop the other."
ALM_,"ALMA.    	The literal translation for the Latin term ""alma mater"" is ""nourishing mother"". 'Alma mater' was used in Ancient Rome to refer to mother goddesses, and in Medieval Christianity the term was used to refer to the Virgin Mary. Nowadays, one's alma mater is the school one attended, either high school or college, usually one's last place of education."
D_ERE,"DEERE.    	John Deere invented the first commercially successful steel plow in 1837. Prior to Deere's invention, farmers used an iron or wooden plow that constantly had to be cleaned as rich soil stuck to its surfaces. The cast-steel plow was revolutionary as its smooth sides solved the problem of 'stickiness'. The Deere company that John founded uses the slogan 'Nothing Runs Like a Deere', and has a leaping deer as its logo."
EAR_,"EARP.    	Wyatt Earp participated in what has to be the most famous gunfight in the history of the Old West, the Gunfight at the O.K. Corral, in Tombstone, Arizona. Strangely enough, the fight didn't happen at the O.K. Corral, but took place six doors down the street in a vacant lot next to a photography studio."
OPAR_,"OP ART.    	Op art is also known as optical art, and puts optical illusions to great effect."
LI_,LIN.    	Lin Biao was a military leader in the Chinese Communist Party who distinguished himself in the Chinese Civil War that led to the founding of the Republic of China (Taiwan) and the People's Republic of China (mainland China).
NO_,"NON.    	'Oui' is 'yes' in French, and 'non' is 'no'."
_ITA,"RITA.    	The Puerto Rican singer, dancer and actress Rita Moreno is one of the few performers to have won an Oscar, Emmy, Grammy and Tony. Moreno got her big break, and won her Oscar, for playing Anita in the 1961 screen adaption of 'West Side Story'."
EI_,"EIN.    	Aachen is a city in the very west of Germany, right on the border with Belgium and the Netherlands. In English, we quite often refer to this city by its French name, Aix-la-Chapelle."
_RS,ARS.    	'Ars subtilior' is a style of music that originated in the 14th century in France and northern Spain. Pieces representing the style are relatively refined and complex. The term 'ars subtilior' translates from Latin as 'more subtle art'.
_PART,"OP ART.    	Op art is also known as optical art, and puts optical illusions to great effect."
_BM,"IBM.    	IBM was founded as the Tabulating Machine Company in 1896. It changed its name to the Computing Tabulating Recording Corporation (CTR) in 1911, and was listed on the New York Stock Exchange in 1916. The name of International Business Machines was given first to the Canadian subsidiary, and then the South American subsidiary. In 1924, it was decided to adopt the International Business Machines name for the whole company. Good choice ..."
EDI_,"EDIE.    	Edie Falco won her three Emmy Awards for playing Carmela Soprano in HBO's outstanding drama series, ""The Sopranos""."
_RONO,"ORONO.    	The town of Orono is home to the University of Maine, founded in 1862. The college is actually located on an island (Marsh island) lying between the Penobscot and Stillwater rivers. The town of Orono is named after Joseph Orono, a chief of the Penobscot Nation."
NO_,NON.    	In France a referendum (référendum) leads to votes of yes or no (oui ou non).
L_N,"LIN.    	The Civil Rights Memorial in Montgomery, Alabama remembers forty people who died over the years in the struggle for equal rights between 1954 (the year of the Brown v. Board of Education decision) and 1968 (the year Martin Luther King was assassinated). The memorial was designed by Maya Lin, whose most famous work is the Vietnam Veteran's Memorial in Washington, D.C."
UA_,"UAE.    	Burj Khalifa is a spectacular skyscraper in Dubai, United Arab Emirates. It is the tallest man-made structure in the world, and has been so since the completion of its exterior in 2009. The space in the building came onto the market at a really bad time, during the global financial crisis. The building was part of a US$20 billion development of downtown Dubai that was backed by the city government which had to go looking for a bailout from the neighboring city of Abu Dhabi. The tower was given the name Burj Khalifa at the last minute, apparently as a nod to the UAE president Khalifa bin Zayed Al Nahyan who helped to broker the bailout. "
TA_,"TAJ.    	The most famous mausoleum in the world has to be the Taj Mahal in Agra, India. The Taj Mahal was built after the death of the third wife of Shah Jahan, Mumtaz Mahal (hence the name of the mausoleum). The poor woman died in childbirth, delivering the couple's 14th child!"
A_U,"ASU.    	Arizona State University (ASU) has a long history, founded as the Tempe Normal School for the Arizona Territory in 1885. The athletic teams of ASU used to be known as the Normals, then the Bulldogs, and since 1946 they've been called the Sun Devils."
G_S,"GIS.    	The United Service Organization (USO) was founded in 1941 at the request of FDR ""to handle the on-leave recreation of the men in the armed forces"". A USO tour is undertaken by a troupe of entertainers, many of whom are big-name celebrities. A USO tour usually includes troop locations in combat zones."
APN_A,"APNEA.    	Sleep apnea ('apnoea' in British English) can be caused by an obstruction in the airways, possibly due to obesity or enlarged tonsils."
E_A,"ENA.    	Ena is Bambi's aunt in the 1942 Disney film 'Bambi'. The movie is based on the novel ""Bambi, A Life in the Woods"" written by Austrian author Felix Salten, first published in 1923."
_HEA,"SHEA.    	Shea Stadium in Flushing Meadows, New York was named after William A. Shea, the man credited with bringing National League baseball back to the city in the form of the New York Mets. Shea Stadium was dismantled (not imploded) in 2008-2009, and the site now provides additional parking for the new stadium nearby called Citi Field."
_AE,"TAE.    	Tae kwon do is the national sport of Korea. ""Tae"" means ""to strike or break with foot""; ""kwon"" means ""to strike or break with fist""; ""do"" means ""way"" or ""art"". Along with judo, taekwondo is one of only two martial arts included in the Olympic Games."
