_RE,"TRE.    	In Italian, one sixth of eighteen (diciotto) is three (tre)."
_OO,"LOO.    	When I was growing up in Ireland, a ""bathroom"" was a room that had a bath and no toilet. The separate room with the commode was called ""the toilet"" or sometimes the W.C. (the water closet). Apparently the term closet was used because in the 1800s when homeowners started installing toilets indoors they often displaced clothes and linens in a ""closet"", as a closet was the right size to take the commode. It has been suggested that the British term ""loo"" comes from Waterloo (water-closet ... water-loo), but no one seems to know for sure. Another suggestion is that the term comes from the card game of ""lanterloo"" in which the pot was called the loo!"
O_OE,"OBOE.    	A wind quintet is a group of five woodwind players, usually flute, oboe, clarinet, horn and bassoon."
_NO,"UNO.    	In my youth I remember being taught a great card game, by a German acquaintance of mine, called Mau Mau. Years later I discovered that Uno is basically the same game, but played with a purpose-printed deck instead of the regular deck of playing cards that's used for Mau Mau. I hear that Mau Mau is derived from the game called Crazy Eights."
ARE_,"ARES.    	The Greek god Ares is often referred to as the Olympian god of warfare, but originally he was regarded as the god of bloodlust and slaughter. Ares united with Aphrodite to create several gods, including Phobos (Fear), Deimos (Terror) and Eros (Desire). The Roman equivalent to Ares was Mars."
E_YA,"ENYA.    	Enya's real name is Eithne Ní Bhraonáin, which can translate from Irish into Enya Brennan. Her Donegal family (in the northwest of Ireland) formed a band called Clannad, which included Enya. In 1980 Enya launched her very successful solo career, eventually becoming Ireland's best-selling solo musician. And ... she sure does turn up a lot in crosswords!"
_MA,AMA.    	The American Medical Association (AMA) might be said to wage war on the common cold.
A_ES,"ARES.    	The Greek god Ares is often referred to as the Olympian god of warfare, but originally he was regarded as the god of bloodlust and slaughter. Ares united with Aphrodite to create several gods, including Phobos, Deimos and Eros. The Roman equivalent to Ares was Mars."
_SHE,"ASHE.    	The Arthur Ashe Stadium in Queens, New York opened in 1997 and is the largest outdoor, tennis-only venue in the world. The stadium is sometimes criticized for not having a retractable dome to protect the playing surface from inclement weather, a constant cause of debate."
ATA_I,"ATARI.    	The kids today probably don't realize that we had a video game console back in the seventies, and it wasn't a Nintendo nor was it a PlayStation. The Atari 2600 game system introduced the idea of separating out computing hardware (the console) from the game code (a cartridge). The same concept persists to this day, although cartridges have been displaced by discs and downloads."
R_O,"ROO.    	Like most of the characters in A. A. Milne's ""Winnie the Pooh"", Roo was inspired by on a stuffed toy belonging to Milne's son Christopher Robin."
E_AN,"ELAN.    	Our word ""élan"" was imported from French, in which language the word has a similar meaning to ours i.e ""style"" or ""flair""."
TR_,"TRE.    	'One, two, three' in Italian is ""uno, due, tre""."
I_A,"IDA.    	Ida Morgenstern is a character on the seventies sitcom 'Rhoda'. Ida is the mother of the title character, Rhoda Morgenstern. Ida was played by Nancy Walker, and Rhoda by Valerie Harper."
TS_,"TSA.    	The Transportation Security Administration (TSA) was created in 2001, soon after the 9/11 attacks. TSA personnel carry out the baggage and body searches at US airports. The TSA has a Trusted Traveler program that allows certain passengers to move more quickly through security screening. These passengers pay the TSA a one-time fee that covers a background check after which successful applicants are issued a Known Traveler Number (KTN)."
_LAN,"ELAN.    	Our word ""élan"" was imported from French, in which language the word has a similar meaning to ours i.e ""style"" or ""flair""."
E_S,EDS.    	Editors read manuscripts.
_NYA,"ENYA.    	Enya's real name is Eithne Patricia Ni Braonain, which can translate from the Irish into Enya Brennan. Her Donegal family (in the northwest of Ireland) formed a band called Clannad, which included Enya. In 1980 Enya launched her very successful solo career. She sure does turn up a lot in crosswords!"
T_AR,"TSAR.    	The year 1917 saw two revolutions in Russia, with the pair collectively called 'the Russian Revolution'. As a result of the February Revolution that centered on Petrograd, the last Emperor of Russia (Tsar Nicholas II) abdicated and members of the Imperial parliament took control of the country, forming the Russian Provisional Government. The Provisional Government was itself overthrown in the October Revolution, by Vladimir Lenin and the Bolshevik party."
ANN_,"ANNA.    	Anna Paquin is an actress from New Zealand, who won an Oscar as an 11-year-old for her role in ""The Piano"". In the HBO series ""True Blood"" she plays Sookie Stackhouse, a role for which she won a Golden Globe."
EL_E,"ELLE.    	""Elle"" magazine was founded in 1945 in France and today has the biggest circulation of any fashion magazine in the world. ""Elle"" is the French word for ""she""."
AJ_R,"AJAR.    	Our word ""ajar"" is thought to come from Scottish dialect, in which ""a char"" means ""slightly open""."
SS_,"SST.    	The most famous warship to bear the name USS Intrepid was an aircraft carrier launched during WWII and decommissioned in 1974. The Intrepid was the first US carrier to launch planes with steam catapults, and she was also a recovery ship for two NASA space missions: one Mercury flight and one Gemini flight. You can go see the Intrepid now in New York City where she is the base for the Intrepid Sea-Air-Space Museum. You can even see a retired British Airways Concorde at the museum."
L_S,LAS.    	The Las Cienegas National Conservation Area is located in the Sonoran desert of Arizona.
SR_,SRO.    	A packed theater might display a Standing Room Only (SRO) sign.
_SS,ESS.    	The leading letter in the word 'squad' is S (ess).
A_NA,"ANNA.    	Up in the Air' is a really enjoyable comedy-drama from 2009, an adaptation of a novel of the same name by Walter Kirn. It's all about life on the road and business travel, and stars George Clooney. It reminded me of my decades of business travel, something I usually enjoyed, to be honest. Clooney's young sidekick in the movie is played very ably by Anna Kendrick."
E_S,"ESS.    	'Slalom' is an anglicized version of the Norwegian word ""slalam"" that translates as ""skiing race""."
_TRA,"ATRA.    	Fortunately for crossword setters, the Atra razor was introduced by Gillette in 1977. The Atra was sold as the Contour in some markets and its derivative products are still around today."
N_S,NES.    	The acronym Super NES (or SNES) stands for Super Nintendo Entertainment System. Our kids probably have one somewhere ...
_AS,"LAS.    	The University of Nevada, Las Vegas (UNLV) was established in 1957 as the Southern Division of the University of Nevada, Reno. One of UNLV's flagship departments is the William F. Harrah College of Hotel Administration, which is consistently ranked as one of the best hotel and hospitality colleges in the nation. I suppose that's not surprising given the proximity to the Las Vegas Strip."
AJA_,"AJAR.    	Our word ""ajar"" is thought to come from Scottish dialect, in which ""a char"" means ""slightly open""."
_AO,"TAO.    	The Chinese character ""tao"" translates as ""path"", but the concept of Tao signifies the true nature of the world."
ENO_,"ENOS.    	Enos, as the son of Seth, was the grandson of Adam."
_RES,"ARES.    	The Greek god Ares is often referred to as the Olympian god of warfare, but originally he was regarded as the god of blood-lust and slaughter. Ares united with Aphrodite to create several gods, including Phobos, Deimos and Eros. The Roman equivalent to Ares was Mars."
A_A,"ARA.    	The constellation of Ara takes its name from the Latin word for ""altar""."
E_S,EDS.    	Editors (eds.)
ESS_,"ESSO.    	The brand name Esso has its roots in the old Standard Oil company as it uses the initial letters of ""Standard"" and ""Oil"" (ESS-O). The Esso brand was replaced by Exxon in the US, but ESSO is still used in many other countries."
O_TO,"OTTO.    	Otto Octavius is a supervillain in the comic book universe. Also known as Doctor Octopus, Octavius is primarily a foe of Spider-Man."
IRE_E,"IRENE.    	The actress Irene Rich worked in movies during the transition from the silent era to talkies. Rich also did a lot of work on radio where she had her own show. ""The Irene Rich Show"" was a series of mini-dramas in which Rich played opposite her leading man, Gale Gordon, who later played ""Mr. Mooney"", Lucille Ball's boss on ""The Lucy Show""."
IRE_E,"IRENE.    	""Goodnight, Irene"", also known as ""Irene, Goodnight"", is a lovely American folk song that was first recorded commercially back in 1932 by blues singer Lead Belly. The song made it to number one in the charts for the Weavers in 1950 and for Frank Sinatra in the same year."
A_OE,"ALOE.    	Aloe vera has a number of alternate names that are descriptive of its efficacy as a medicine. These include the First Aid plant, Wand of Heaven, Silent Healer and Miracle Plant."
STE_,"STET.    	""Stet"" is a Latin word meaning ""let it stand"". In editorial work, the typesetter is instructed to disregard any change previously marked by writing the word ""stet"" and then underscoring that change with a line of dots or dashes."
IRE_E,"IRENE.    	Hurricane Irene caused extensive flooding in 2011 as it travelled through the Caribbean, up the East Coast of the United States and into the Atlantic seaboard of Canada. The hurricane was unusual in that it came so far up north. Fifty-five deaths were attributed to Irene."
SR_,SRO.    	Standing Room Only (SRO)
_TTO,"OTTO.    	Sgt. Snorkel is Beetle Bailey's nemesis in the cartoon strip. Snorkel has a dog called Otto that he dresses up to look just like himself. He started off as a regular dog, but artist Mort Walker decide to make him more like his owner, and he became a big hit."
T_E,"TRE.    	In Italian, three (tre) is a low number (numero)."
A_RA,"ATRA.    	Fortunately for crossword setters, the Atra razor was introduced by Gillette in 1977. The Atra was sold as the Contour in some markets and its derivative products are still around today."
T_A,TSA.    	Transportation Security Administration (TSA)
AM_,AMA.    	American Medical Association (AMA)
_TTO,"OTTO.    	Sgt. Snorkel ('Sarge') is Beetle Bailey's nemesis in the cartoon strip that bears his name. Snorkel has a dog called Otto that he dresses up to look just like himself. Otto started off as a regular dog, but artist Mort Walker decide to draw him more like his owner, and soon Otto became a big hit."
_LOE,"ALOE.    	Aloe vera has a number of alternate names that are descriptive of its efficacy as a medicine. These include the First Aid plant, Wand of Heaven, Silent Healer and Miracle Plant."
T_A,"TSA.    	The Transportation Security Administration (TSA) was created in 2001, soon after the 9/11 attacks."
ALO_,"ALOE.    	Aloe vera has a number of alternate names that are descriptive of its efficacy as a medicine. These include the First Aid plant, Wand of Heaven, Silent Healer and Miracle Plant."
_DS,"EDS.    	""Mad"" magazine has been around since 1952, although back then it was more of a comic book than a magazine."
RE_,"REA.    	The Rural Electrification Administration (REA) was one of the New Deal agencies set up by President Franklin Roosevelt. Created in 1935, the agency's goal was to provide electrical power to rural areas, something that the profit-conscious power companies weren't willing to take on by themselves."
EL_N,"ELAN.    	Our word ""élan"" was imported from French, in which language the word has a similar meaning to ours, i.e ""style"" or ""flair""."
NE_,"NEA.    	The National Endowment for the Arts (NEA) is an agency funded by the federal government that offers support and financing for artistic projects. The NEA was created by an Act of Congress in 1965. Between 1965 and 2008, the NEA awarded over $4 billion to the arts, with Congress authorizing around $170 million annually through the eighties and much of the nineties. That funding was cut to less than $100 million in the late nineties due to pressure from conservatives concerned about the use of funds, but it is now back over the $150 million mark. I wonder how long that will last though ..."
N_S,NES.    	The acronym Super NES (or SNES) stands for Super Nintendo Entertainment System. Our kids probably have one somewhere ...
P_I,PSI.    	Pounds Per Square Inch (PSI) is a measure of pressure.
_DA,"IDA.    	Mount Ida College is a private school in Newton, Massachusetts that was founded in 1899 as an all-female high school. Mount Ida became co-educational in 1972, and offered its first bachelor's degrees in the eighties."
AB_,ABA.    	The American Bar Association (ABA)
UT_,"UTE.    	The Ute is a group of Native American tribes that now resides in Utah and Colorado. The Ute were not a unified people as such, but rather a loose association of nomadic groups."
AR_,"ARA.    	Ara Parseghian coached the Notre Dame football team from 1964 to 1974, a period known as ""The Era of Ara""."
A_RA,"ATRA.    	Fortunately for crossword setters, the Atra razor was introduced by Gillette in 1977. The Atra was sold as the Contour in some markets and its derivative products are still around today. I just learned that the Atra was the first razor to feature a pivoting head, definitely a selling point, I'd say ..."
AR_S,"ARES.    	The Greek god Ares is often referred to as the Olympian god of warfare, but originally he was regarded as the god of blood-lust and slaughter."
_RA,ARA.    	Ara Vos Prec' is the title of a 1920 collection of poems by T. S. Eliot. The phrase 'Ara vos prec' is a phrase from Dante's 'Inferno'.
I_A,"IDA.    	Accounting to mythology, Zeus was born in a cave at Mount Ida, the highest peak on the island of Crete."
ASI_,"ASIA.    	The former Soviet Socialist Republic of Georgia is now an independent country. Supposedly, the Georgian people were given their name because they especially revered St. George. The flag of Georgia does indeed feature five St. George's crosses."
ASH_,"ASHE.    	Arthur Ashe was a professional tennis player from Richmond, Virginia. In his youth, Ashe found himself having to travel great distances to play against Caucasian opponents due to the segregation that still existed in his home state. He was rewarded for his dedication by being selected for the 1963 US Davis Cup team, the first African American player to be so honored. Ashe continued to run into trouble because of his ethnicity though, and in 1968 was denied entry into South Africa to play in the South African Open. In 1979 Ashe suffered a heart attack and had bypass surgery, with follow-up surgery four years later during which he contracted HIV from blood transfusions. Ashe passed away in 1993 due to complications from AIDS. Shortly afterwards, Ashe was posthumously awarded the Presidential Medal of Freedom by President Bill Clinton."
_TRA,"ATRA.    	Fortunately for crossword setters, the Atra razor was introduced by Gillette in 1977. It was sold as the Contour in some markets, and its derivative products are still around today."
_LLE,"ELLE.    	In French, our lady (notre dame) is a 'she' (elle)."
_TTO,"OTTO.    	Otto Graham was not only a professional football player for the Cleveland Browns, but he also played professional basketball for the Rochester Royals (now the Sacramento Kings)."
