Sautéed seafood dish.   		6 letters,SCAMPI.    	The Italian dish known as 'scampi' is a serving of shrimp in garlic butter and dry white wine.
L.A.   		3 letters,"USC.    	The University of Southern California (USC) is a private school in Los Angeles. Apart from its excellent academic record, USC is known the success of its athletic program. USC athletes have won more Olympic medals than the students of any other university in the world. The USC marching band is very famous as well, and is known as the 'Spirit of Troy'. The band has performed with many celebrities, and is the only college band to have two platinum records."
Title character of a 2002 Disney film.   		4 letters,"LILO.    	""Lilo & Stitch"" was released by Disney in 2002. Compared to other Disney feature-length cartoons, ""Lilo & Stitch"" was relatively cheaply produced, using the voices of lesser known actors. One interesting change had to take place in the storyline during production, when Lilo was meant to fly a Jumbo Jet through downtown Honolulu in one sequence. This was replaced with a sequence using a spaceship instead, as the producers were sensitive to public sentiment after the September 11 attacks."
Record label for Booker T.   		4 letters,"STAX.    	Booker T. & the M.G.'s were in effect the house band at Stax Records, and so appeared on loads of famous recordings, including some by Wilson Pickett and Otis Redding. As such, they became synonymous with what became known as the Stax Sound. One of the unique things about the band was that it was racially integrated, with two white guys making a name for themselves in soul music, which at the time was very much part of black culture. And of course, they produced the fabulous 1962 hit 'Green Onions'."
Dweller along the Skunk River.   		5 letters,IOWAN.    	The Skunk River in Iowa is a tributary of the Mississippi. I guess it's named after a skunk ...
"Raphael's ""___ Madonna"".   		7 letters","SISTINE.    	The 'Sistine Madonna' is a painting created by the Italian artist Raphael in 1513-1514. The work was commissioned by the Benedictine monks of the Monastery of San Sisto in northern Italy, hence the painting's name."
Tasty mushroom.   		5 letters,"MOREL.    	The morel is that genus of mushroom with the honeycomb-like structure on the cap. They're highly prized, especially in French cuisine. Morels should never be eaten raw as they are toxic, with the toxins being removed by thorough cooking."
Maker of Caplio cameras.   		5 letters,RICOH.    	Ricoh is a Japanese company that started out in 1936 and by the year 2000 was the biggest manufacturer of copiers in the world. The company is also well known as a supplier of cameras. The most successful of Ricoh's lines of cameras is the compact model called a Caplio.
Old Testament book: Abbr..   		4 letters,"ESTH.    	Esther was a Jewish queen, wife of the Persian king Ahasuerus, and the heroine of the Book of Esther in the Bible. By the way, Esther is the only book in the Bible that doesn&#8217;t mention ""God""."
"""___ appétit!"".   		3 letters","BON.    	Bon appetit, enjoy your meal in French. The Germans say the exact same thing, only in German ... Guten Appetit. Just thought you'd like to know ..."
Stationery securer.   		4 letters,"BRAD.    	'Brad' is a name given to the brass fastener that is used to hold sheets of paper together. The brad is used by inserting it through holes punched in the paper, and then spreading out the two legs of the fastener."
Dance for 1-Down.   		4 letters,"PROM.    	A prom is a formal dance held upon graduation from high school (we call them ""formals"" over in Ireland). The term ""prom"" is short for ""promenade"", the name given to a type of dance or ball."
Emmy-winning AMC series set in the 1960s.   		7 letters,"MAD MEN.    	If you haven't seen the AMC show ""Mad Men"" then I urge you to go buy the first season on DVD and allow yourself to get addicted. It is a great series set in the sixties, telling all that goes on in and around the advertising business on Madison Avenue in New York City. It brings you right back to the days of three-martini lunches, office affairs, and chain-smoking of cigarettes. Great stuff ..."
Iona College athlete.   		4 letters,"GAEL.    	Iona College is a Roman Catholic school run by Christian Brothers in New Rochelle, New York."
Winter hrs.   		3 letters,CST.    	Central Standard Time.
Doily material.   		4 letters,"LACE.    	There was a draper in London in the seventeenth century called Doiley, and he gave his name to fabric that he sold, which in turn gave its name to the ornamental mats we call doilies. I can't stand them!"
Old French line.   		4 letters,ROIS.    	There was a line of kings (rois) in France.
Button between * and #.   		4 letters,"OPER.    	The operator button is the zero on the phone, which lies between the * and the # keys."
Some collectible lithographs.   		5 letters,"ERTES.    	Erté was the pseudonym of French artist (Russian born) Romain de Tirtoff. Erté is the French pronunciation of his initials ""R.T."""
"""Is you is or is you ___ ma' baby?"".   		5 letters",AIN'T.    	Is You Is or Is You Ain't My Baby' is a song released in 1944 by Louis Jordan.
"Chicago exchange, for short.   		4 letters","MERC.    	The Chicago Mercantile Exchange started its life as the Chicago Butter and Egg Board in 1898. The Merc is the site for exchange of commodities, among other things."
Prime minister of 1945.   		6 letters,"ATTLEE.    	Clement Attlee served as leader of Britain's Labour Party and as Deputy Prime Minister in the coalition government during the war years under the leadership of Winston Churchill, a Conservative. Attlee swept into power right after WWII in a landslide victory over Churchill and was responsible for major changes not only in Britain but around the waning British Empire. It was under Attlee that former British colonies like India, Pakistan, Burma, Sri Lanka and Jordan became independent. Also, the Palestine Mandate was terminated in 1948, while he was in office, with the state of Israel being declared the very next day."
Personal ad designation.   		3 letters,SWM.    	Single white male (SWM)
Strike force?: Abbr..   		3 letters,PBA.    	PBA: the Professional Bowlers Association.
Cameo shape.   		4 letters,"OVAL.    	Cameo is a method of carving, often the carving of a gemstone or a piece of jewelry. The resulting image is in relief (sits proud of the background), whereas an engraved image would be produced by the similar carving method known as intaglio. Nowadays, the term cameo is used for any piece of oval-shaped jewelry that contains the image of a person's head, usually in profile (maybe even a photograph)."
Doctor Zhivago.   		4 letters,"YURI.    	""Doctor Zhivago"" is of course the epic novel by Boris Pasternak, first published in 1957. I haven't tried to read it, but the 1965 film version is a must see, directed by David Lean and starring Omar Sharif in the title role. The story centers on Yuri Zhivago, a doctor and poet, and how he is affected by the Russian Revolution and the Russian Civil War."
Negro leagues star Buck ___.   		6 letters,"O'NEIL.    	Buck O'Neil was a first baseman and manager with the Kansas City Monarchs, a team in the Negro American League."
"""___ the other reindeer"" (common mishearing of a Yuletide lyric).   		5 letters","OLIVE.    	All of the other reindeer' is a lyric from the song 'Rudolph the Red-Nosed Reindeer'. Apparently the line is sometimes misheard as 'Olive, the other reindeer'. The song 'Rudolph the Red-Nosed Reindeer' was written by Johnny Marks, and was based on the story created by Marks' brother-in-law, Robert L. May."
Clijsters of tennis.   		3 letters,"KIM.    	Kim Clijsters is a retired professional tennis player from Belgium who was one point ranked number one in women's tennis. Kim's younger sister Elke was also a professional tennis player, and her father Leo was a Belgian footballer player. A competitive family, I would guess ..."
Ball game.   		5 letters,"BOCCE.    	The Italian bowling game of 'bocce' (anglicized as 'bocci') is based on a game played in Ancient Rome. 'Bocce' is the plural of the Italian word ""boccia"" meaning ""bowl""."
Their scores may be on transcripts.   		4 letters,"SATS.    	Today the standardized test for admission to colleges is known as the SAT Reasoning Test, but it used to be called the Scholastic Aptitude Test and Scholastic Assessment Test, which led to the acronym SAT."
Cambodia's Lon ___.   		3 letters,"NOL.    	Lon Nol was a soldier and politician in Cambodia, later serving twice as the country's president. When the Khmer Rouge took over Cambodia in 1975, Nol escaped the country to Indonesia. He eventually found a home in Fullerton, California, where he died in 1985."
Jack of old westerns.   		4 letters,"ELAM.    	Jack Elam was a movie actor noted for playing the bad guy in Westerns. When Elam was a boy scout, he was accidentally stabbed in the eye with a pencil. The incident left him blind in that eye, and the iris remained skewed to the outside of his face. This gave him a crazed, wide-eyed look that helped add a sense of menace to the characters Elam played."
Cousins of fjords.   		4 letters,"RIAS.    	A ria is actually a drowned river valley. It is formed where the sea level has raised, and the sea has flooded a valley. As a result, a ria can be confused with a fjord. A fjord is also a drowned valley, but that valley was originally formed by glaciation and not by river erosion."
Sharon's predecessor as Israeli P.M.   		5 letters,"BARAK.    	Ehud Barak served as Prime Minister of Israel from 1999 to 2001. He left office after he called a special election for Prime Minister and lost the vote to Ariel Sharon. He resigned from the Knesset and took an advisory job with the US company Electronic Data Systems (EDS), and did some security related work with a private equity company. In 2007, Barak took over leadership of Israel's Labor Party, and is now the country's Minister of Defense."
Follower of juillet.   		4 letters,"AOUT.    	Août is the French for August, and juillet is French for July (note that the name of months aren't capitalized in French)."
"Poet who originated the phrase ""no country for old men"".   		5 letters","YEATS.    	American novelist Cormac McCarthy published the novel ""No Country for Old Men"" in 2005, and saw it adapted into a very successful film of the same name released in 2007. The title comes from the opening line of the William Butler Yeats poem ""Sailing to Byzantium"", which we Irish schoolkids all had to read and learn to recite ..."
Eur.   		3 letters,"SWE.    	The country of Sweden emerged during the Middle Ages, and became one of the great powers of Europe in the days of the Swedish Empire in 17th and early 18th century. Since then Sweden's influence has waned. What was the eastern part of Sweden was lost to Russia in the early 1800s, and is now modern-day Finland. In the 20th century Sweden has adopted a very non-aggressive stance and was neutral in both World Wars."
1980s All-Star catcher Tony.   		4 letters,PENA.    	Tony Peña is a former professional baseball catcher and manager. He is now a coach with the New York Yankees.
Star in the Swan constellation.   		5 letters,"DENEB.    	Deneb is the brightest star in the constellation Cygnus, the Swan. The name ""Deneb"" comes from the Arabic word ""dhaneb"" meaning tail, as it lies at ""the tail"" of the swan."
Boilermaker component.   		4 letters,"BEER.    	A boilermaker is a beer cocktail, a serving of beer mixed with a shot of whiskey, or sometimes a shot of tequila or vodka. If the whiskey is still in a shot glass when it's dropped into the beer, then it's known as a depth charge."
Sashimi fish.   		4 letters,"OPAH.    	Opah is the more correct name for the fish also known as the sunfish, moonfish or Jerusalem haddock. I've seen one in the Monterrey Aquarium. It was huge ..."
"""___ & Stitch"" (Disney film).   		4 letters","LILO.    	""Lilo & Stitch"" was released by Disney in 2002. Compared to other Disney feature-length cartoons, ""Lilo & Stitch"" was relatively cheaply produced, using the voices of lesser known actors. One interesting change had to take place in the storyline during production, when Lilo was meant to fly a Jumbo Jet through downtown Honolulu in one sequence. This was replaced with a sequence using a spaceship instead, as the producers were sensitive to public sentiment after the September 11 attacks."
"""___ Lisa"".   		4 letters","MONA.    	Leonardo da Vinci's masterpiece that we know in English as the ""Mona Lisa"" is called ""La Gioconda"" in Italian, the language of the artist. It's also known as ""La Joconde"" by the Government of France which owns the painting and displays it in the Louvre Museum in Paris. The title comes from the name of the subject, almost certainly Lisa Gherardini, wife of Francesco del Giocondo. Giocondo was a wealthy silk merchant in Florence who commissioned the painting for the couple's new home to celebrate the birth of their second son."
Look from a 31-Down.   		4 letters,LEER.    	112. Gillette product : ATRA
"Inc., in France.   		3 letters","CIE.    	""Cie."" is an abbreviation used in French. 'Cie.' is short for ""compagnie"", the French word for ""company"", and is used as we would use ""Co."""
Supermodel Klum.   		5 letters,"HEIDI.    	German-born Heidi Klum is married to the successful English singer, Seal. She is a talented lady and has built a multi-faceted career based on her early success as a model. She is the force behind the Bravo reality show called ""Project Runway"" that has been on the air since 2004. Klum has been nominated for an Emmy for the show 4-5 times."
New Deal inits.   		3 letters,"WPA.    	The Work Progress Administration was the largest of the New Deal agencies. It employed millions of people during the Depression, putting them to work on various public works projects. The total spending through the WPA from 1936 to 1939 was nearly $7 billion."
Dame's lead-in?.   		5 letters,"NOTRE.    	Notre Dame de Paris is the spectacular Gothic cathedral that sits on the Île de la Cité, one of the islands in the middle on the River Seine in Paris. Notre Dame is home to many beautiful and significant artifacts, the most famous of which is the Crown of Thorns supposedly worn by Jesus Christ at his execution, placed in the cathedral in 1239. It's also home to some magnificent gargoyles on the roof, and you can climb up to the roof and take a very close look at them."
Fashion inits.   		4 letters,"DKNY.    	Donna Karan is an American fashion designer, creator of the DKNY clothing label. Karan was very much raised in the fashion industry, as her mother was a model and her stepfather a tailor."
Egg ___ yung.   		3 letters,"FOO.    	Egg foo yung is a dish served in Chinese restaurants, and is basically an omelet. It probably takes its name from a flower called the Fu Yung."
Good earth.   		5 letters,LOESS.    	Loess is a wind-blown accumulation of silt. The word is German in origin and was first used to describe the silt along the Rhine Valley.
Cain's eldest son.   		5 letters,"ENOCH.    	Enoch was the great-grandfather of Noah, and the great-grandson of Adam. Cain was Enoch's father."
"""I Will Follow ___"" (1963 #1 hit).   		3 letters","HIM.    	""I Will Follow Him"" was a hit for Little Peggy March in 1963. The song is a translation of a French tune called 'Chariot' that had been a hit for English singer Petula Clark."
Month in l'été.   		4 letters,"AOUT.    	In French, August (août) is a month in the summer (l'été)."
"""Schedule a pickup"" co.   		3 letters","UPS.    	United Parcel Service (UPS) is based in Sandy Springs, Georgia and has its own airline that operates out of Louisville, Kentucky."
Criticizes.   		4 letters,"RAPS.    	To rap' is 'to criticize', as in 'to rap someone's knuckles'."
Halliwell of the Spice Girls.   		4 letters,"GERI.    	Geri Halliwell was called Ginger Spice because of her red hair when she was with the Spice Girls, although as she was quite a bit older than the rest of the group, she was less charitably sometimes referred to as ""Old Spice""."
"Avert, with ""off"".   		5 letters","STAVE.    	The word ""stave"" was originally the plural of ""staff"", a wooden rod. To ""stave off"" originated with the concept of holding off with a staff."
Gillette razor name.   		4 letters,TRAC.    	Gillette introduced the Trac II in 1971. The Trac II was the world's first twin-blade razor.
Home to Seaquarium and MetroZoo.   		5 letters,"MIAMI.    	When Miami Seaquarium opened in 1955 it was the largest marine-life attraction in the world. Remember the TV show ""Flipper"" from the sixties? That's where much of the show's footage was shot. Nearby is Miami MetroZoo, the biggest zoological gardens in Florida. MetroZoo, and its animals, has suffered in more than one of Florida's hurricanes. 1965's Hurrican Betsy destroyed the zoo, and killed 250 animals, and then 1992's Hurrican Andrew also had a devastating effect, from which the zoo took years to recover."
Sports org.   		3 letters,"IOC.    	The International Olympic Committee was founded in 1894, and has its headquarters in Lausanne, Switzerland."
Female charmer of myth.   		7 letters,"LORELEI.    	Lorelei is the name of a legendary mermaid who lured fishermen by singing a beautiful song, so that they steered their boats onto rocks lurking beneath the water's surface."
Locale for an Adam's apple.   		4 letters,"NECK.    	The voice box or larynx is where pitch and volume of sound are manipulated when we talk. The structure called the Adam's apple that protrudes from the human neck is formed by the thyroid cartilage that surrounds the larynx. The Adam's apple of males tends to increase in size during puberty, so the feature tended to be associated more with males in days gone by, perhaps leading to the name 'Adam's' apple."
Churchill's predecessor and successor.   		6 letters,"ATTLEE.    	Clement Attlee served was leader of Britain's Labour Party and served as Deputy Prime Minister in the coalition government during the war years under the leadership of Winston Churchill, a Conservative. Attlee swept into power right after WWII in a landslide victory over Churchill, and was responsible for major changes not only Britain but around the waning British Empire. It was under Attlee that former British colonies like India, Pakistan, Burma, Sri Lanka and Jordan became independent. Also, the Palestine Mandate was terminated in 1948, and the state of Israel was formally created the very next day."
What Little Boy Blue blew.   		4 letters,HORN.    	Here's another English nursery rhyme:
"Anne of ""Archie Bunker's Place"".   		5 letters","MEARA.    	Anne Meara has been married to follow comedic actor Ben Stiller since 1954. They are the parents of actors Ben and Amy Stiller. Meara costarred with Carroll O'Connor and Martin Balsam in the eighties sitcom ""Archie Bunker's Place"", a spin off from ""All in the Family""."
Himalayan cryptids.   		5 letters,"YETIS.    	A yeti is a beast of legend, also called an abominable snowman. ""Yeti"" is a Tibetan term, and the beast is fabled to live in the Himalayan regions of Nepal and Tibet. Our equivalent legend in North America is that of Bigfoot, also known as Sasquatch. The study of animals whose existence have not yet been substantiated is called cryptozoology, and a cryptid is a creature or plant that isn't recognized by the scientific community, but the existence of which has been suggested."
Cosmetician Adrien.   		5 letters,ARPEL.    	The Adrien Arpel company was founded in 1962 and sold its products across Europe. The company starting selling in the US in 1968.
Riga resident.   		4 letters,LETT.    	Latvia is one of the former Soviet Socialist Republics. People from Latvia are called Letts.
Last name of twin gymnasts in the 2004 Olympics.   		4 letters,"HAMM.    	Paul and Morgan Hamm competed in the 2004 Olympic Games in Athens, representing the United States. Paul and Morgan won the silver medal in the team event, and Paul won the gold in the all-around competition."
Transition.   		5 letters,"SEGUE.    	A 'segue' is a transition from one topic to the next. ""Segue"" is an Italian word that literally means ""now follows"". It was first used in musical scores directing the performer to play into the next movement without a break."
"Stock exchange debuts, briefly.   		4 letters","IPOS.    	An Initial Public Offering (IPO) is the very first offer of stock for sale by a company on the open market. In other words, an IPO marks the first time that a company is traded on a public exchange. Companies have an IPO to raise capital to expand (usually)."
2009 Best Musical nominee.   		5 letters,"SHREK.    	Before ""Shrek"" was a successful movie franchise and Broadway musical, it was a children's picture book called ""Shrek!"" authored and illustrated by William Steig. The title ""Shrek!"" came from the German/Yiddish word Schreck, meaning ""fear"" or ""terror""."
"Not finalized, at law.   		4 letters","NISI.    	A decree nisi is a court order, one that only comes into force when certain specified conditions are met. At the point where the conditions are met, it becomes a decree absolute and is binding. 'Nisi' is Latin for 'unless'."
Small price to pay.   		4 letters,CENT.    	Nicely worded clue ...
Comics villain ___ Luthor.   		3 letters,"LEX.    	Lex Luthor is the arch-nemesis of Superman in comics. Luthor has been portrayed in a number of guises in the comic world as well in movies and on the small screen. He appeared as Atom Man in the 1950 film series ""Atom Man vs. Superman"", and was played by actor Lyle Talbot, opposite Kirk Alyn's Superman."
Greek New Age musician.   		5 letters,"YANNI.    	Yanni is a remarkable Greek musician, very successful in the world of New Age music. What I find remarkable is that he is a self-taught musician."
Crescent moon feature.   		4 letters,"HORN.    	Either ends of a crescent moon are called the ""horn"", for obvious reasons."
Kind of request in a Robert Burns poem.   		3 letters,"SMA.    	The Scots dialect word sma' means ""small"". It famously appears in the Robert Burns poem, ""To a Mouse"". The pertinent lines read:"
Basic subj.   		4 letters,ANAT.    	A surgeon studies the subject of anatomy.
Much of Mauritania.   		6 letters,"SAHARA.    	The Islamic Republic of Mauritania is a country in North Africa, on the Atlantic coast. The country is named after the old Roman province of Mauretania, although the ancient province was located further north in what is now Morocco and part of Algeria."
"""Hair"" do.   		4 letters","AFRO.    	The full name of the famed stage show from the sixties is ""Hair: The American Tribal Love-Rock Musical"". This controversial work outraged many when it was first performed in the sixties as it attacked many aspects of life at the time. For example, the song ""Air"" is a satirical look at pollution, sung by a character who comes onto the stage wearing a gas mask. The opening lines are ""Welcome, sulfur dioxide. Hello carbon monoxide. The air ... is everywhere"". How things have changed in fifty years said he, satirically! I've never had the chance to see 'Hair' in a live production, but it's on 'the bucket list' ..."
___ favor.   		3 letters,"POR.    	'Por favor' is Spanish for ""please""."
Olympian Thorpe.   		3 letters,"JIM.    	Jim Thorpe was quite the all-rounder, played professional football, basketball, and basketball, and also won Olympic golds in two other all-rounder events, the pentathlon and decathlon (in 1912). However, he lost his medals when it was revealed that he had been paid for playing baseball before the Games, and back then, amateur status was important to the Olympic governing body."
"Kind of torch on ""Survivor"".   		4 letters","TIKI.    	A tiki torch is a bamboo torch that's very commonly used in Tiki culture. Tiki culture is a relatively modern invention dating from the 20th century, and is the experience created in Polynesian-style restaurants. The word ""Tiki"" is borrowed from Polynesia."
Gentlemen: Abbr..   		6 letters,"MESSRS.    	The abbreviation 'Messrs.' is used at the head of a list of male names, in place of 'Misters'. It is an abbreviation of the French 'messieurs', the plural of 'monsieur'."
Election results abbr.   		3 letters,PCT.    	Percent (pct.)
Ivanhoe's creator.   		5 letters,"SCOTT.    	""Ivanhoe"" is a historical novel by Sir Walter Scott, set in 12th-century England."
___ vu.   		4 letters,DEJA.    	'Déjà vu' is French for 'already seen'.
Preschooler.   		4 letters,"TYKE.    	""Tyke"" has been used playfully to describe a young child since at least 1902, but for centuries before that a tyke was a cur or mongrel, or perhaps a lazy or lower-class man."
Anathema.   		4 letters,BANE.    	An anathema or bane is a source of persistent annoyance. Anathema is the Latin word for an excommunicated person.
"""Beauty and the Beast,"" e.g.   		4 letters","DUET.    	The 1991 song ""Beauty and the Beast"" was written specially for the animated Disney film of the same name. It was performed during the film by Angela Lansbury, but was sung as a duet in the closing credits by Celine Dion and Peabo Bryson."
Scorsese subject.   		5 letters,"MAFIA.    	Martin Scorcese obviously has a great interest in his Italian-American heritage, and has made lots of films that feature the Italian-American culture, including the darker side, the Mafia. He has collaborated on nine films with box office star Robert de Niro (e.g. ""Raging Bull"", ""Taxi Driver"") and lately seems to be working a lot with Leonardo DiCaprio, with whom he has made four films (e.g. ""The Aviator"", ""Shutter Island"")."
Composer Ned.   		5 letters,"ROREM.    	American composer Ned Rorem is famous for his musical compositions, but also for his ""Paris Diary of Ned Rorem"" which was published in 1966. He talks openly about his sexuality in the book, but also about the sexuality of others including Noel Coward, Leonard Bernstein and Samuel Barber."
Lift in greeting.   		4 letters,"DOFF.    	One doffs one's hat, usually as a mark of respect. To doff is to take off, with ""doff"" being a contraction of ""do off"". The opposite of 'doff' is 'don'."
Founder of experimental physiology.   		5 letters,"GALEN.    	Galen of Pergamum was a physician of Ancient Rome. He mainly worked on monkeys, dissecting their bodies to learn about physiology as it was not permitted to dissect human bodies in his day."
Admissions honcho.   		4 letters,"DEAN.    	'Honcho' is a slang term for a leader or manager. The term comes to us from Japanese, in which language a ""hancho"" is a squad (han) leader (cho)."
Ruckus.   		3 letters,"DIN.    	The word 'ruckus' is used to mean a commotion, and has been around since the late 1800s. ""Ruckus"" is possibly a melding of the words 'ruction' and 'rumpus'."
"___ Sendler, heroine of W.W.   		5 letters","IRENA.    	Irena Sendler was a Polish nurse with the Polish Underground during WWII. Snedler played a leading role in smuggling about 2,500 children out of the Warsaw Ghetto, saving them from the Holocaust. However, she was discovered by the Nazis, tortured and sentenced to death. Sendler managed to escape, and survived the war."
"""Good buddy"".   		4 letters","CBER.    	A CBer is someone who operates a Citizens' Band radio. In 1945, the FCC set aside certain frequencies for the personal use of citizens. The use of the Citizens' Band increased throughout the seventies as advances in electronics brought down the size of transceivers and their cost. There aren't many CB radios sold these days though, as they have largely been replaced by cell phones."
Vice president under Nixon.   		5 letters,"AGNEW.    	Spiro Agnew served as Vice-President under Richard Nixon, before becoming the only VP in American history to resign because of criminal charges (there was a bribery scandal). Agnew was also the first Greek-American to serve as US Vice-President as he was the son of a Greek immigrant who had shortened the family name from Anagnostopoulos."
