ED_,EDD.    	Edd Hall is most famous as the former announcer for Jay Leno on 'The Tonight Show'.
SHI_,"SHIN.    	The tibia is the shin bone, the larger of the two bones right below the knee. The tibia is the strongest weight-bearing bone in the human body. ""Tibia"" is the Roman name for a Greek flute and it is thought that the shin bone was given the same name because flutes were often fashioned out of the shin bones of animals."
AS_H,"ASCH.    	""Moses"" was a novel by Sholem Asch, first published in 1951."
EC_O,"ECHO.    	In Greek mythology, Echo is one of the Oreads, the mountain nymphs. She fell in love with the vain Narcissus, and followed him into the forest one day. Narcissus heard her following him, and called out, ""Who's there?"". Echo answered, ""Who's there?"" Again he called out, and again Echo echoed his words back to him. Get the gist?"
_LG,"ALG.    	Algebra is a branch of mathematics in which arithmetical operations are performed on variables rather than specific numbers (x,y etc). The term 'algebra' comes from the Arabic 'al jebr' meaning 'reunion of broken parts'."
CAR_L,"CAROL.    	Oliver!' is stage musical by Lionel Bart that is based on the Charles Dickens novel 'Oliver Twist'. 'Oliver!' was adapted successfully for the big screen in 1968. The film version won six Academy Awards, including Best Picture and Best Director for Carol Reed. Leading the movie's cast are Mark Lester in the title role, Ron Moody as Fagin and Oliver Reed as Bill Sikes."
_IOLA,"VIOLA.    	A contrabass is a very low-pitched musical instrument, the most common example of which is the double bass. It is not necessarily a stringed instrument, as 'contrabass' refers to the low pitch rather than the type of instrument. So, there is a contrabass clarinet and a contrabass flute."
_NTSY,"ANTSY.    	The word 'antsy' embodies the concept of 'having ants in one's pants', meaning being nervous and fidgety. However, 'antsy' has been used in English since the 1830s, whereas 'ants in the pants' originated a century later."
K_EV,"KIEV.    	Chicken Kiev may indeed be a Ukrainian dish, named for the capital city of Kiev. It is a boneless chicken breast rolled around garlic, herbs and butter, breaded and deep fried. It was my Dad's favorite ..."
BAR_,"BARR.    	The comedienne Roseanne Barr is perhaps best known as the star of her own sitcom called 'Roseanne' in which she played the character Roseanne Conner. In 2012 Barr unsuccessfully vied for the Green Party's nomination for US President. She didn't give up though, and was successful in winning the nomination of the Peace and Freedom Party. In the 2012 presidential election she earned over 60,000 votes, and placed sixth in the list of candidates."
CAR_L,"CAROL.    	The word ""carol"" came into English via the Old French word ""carole"", which meant a ""dance in a ring"". When ""carol"" made it into English, about 1300 AD, it was used to describe a dance as well as a joyful song. Around 1500 AD, carols that were sung came to be associated with Christmas."
S_POR,"SAPOR.    	""Sapor"" is another word for a flavor, a quality that can be tasted. ""Sapor"" is the Latin word for ""taste, flavor""."
AS_H,"ASCH.    	Sholem Asch was a Polish-born American novelist and dramatist who published his work in Yiddish. One of his plays was ""God of Vengeance"", a highly regarded work performed all over Europe and translated into many languages. It opened on Broadway in 1923, but the adult themes (it was set in a brothel, and featured a lesbian relationship) led to the entire cast being arrested and convicted on obscenity charges."
SM_T,"SMUT.    	The word ""pornography"" comes from the Greek ""pornographos"" meaning ""writing of prostitutes""."
TO_H,"TOSH.    	""Tosh"" is British slang for ""foolish nonsense"", and is likely a combination of ""trash"" and ""bosh""."
_VIAN,"EVIAN.    	Évian-les-Bains (or simply Évian) is in the very east of France, on the shores of Lake Geneva directly across the lake from Lausanne, Switzerland. As one might imagine, Évian is the home of Évian mineral water, the most successful business in town. Personally, I can't stand the distinctive taste of Évian water ..."
PERO_,PEROT.    	The Reform Party of the USA was founded in 1995 by Ross Perot with the intent of creating an alternative to the Republican and Democratic Parties. The Reform Party's biggest success was the election of Jesse Ventura as Governor of Minnesota.
ORC_,"ORCS.    	Orcs are mythical humanoid creatures that appear in the writings of J. R. R. Tolkien. Since Tolkien's use of orcs, they have also been featured in other fantasy fiction and in fantasy games."
B_TE,"BYTE.    	In the world of computers, a ""bit"" is the basic unit of information. A bit has a value of 0 or 1. A ""byte"" is a small collection of bits (usually 8), the number of bits needed to uniquely identify a character of text."
YE_,YEW.    	Here are some lines from the poem 'Yew Trees' by William Wordsworth:
EEN_,EENY.    	
O_H,"OSH.    	Osh is the second largest city in the former Soviet Republic of Kyrgyzstan (after the capital Bishkek). Osh was a center of silk production and lies along the old Silk Road, the trade route that traversed Asia."
TO_T,"TORT.    	The word ""tort"" comes to us directly from the French word, meaning ""mischief, injury or wrong"". It's a fitting word, as tort law is generally about negligence, when the action of one party causes injury to another, in an action that is outside of the scope of criminal law."
_OSH,"TOSH.    	Peter Tosh was a musician from Jamaica, a member of the Wailers reggae band. Sadly, Tosh was murdered in a home invasion and extortion attempt in 1987."
PAB_O,"PABLO.    	Pablo Neruda was the pen name, and eventually the legal name, used by Chilean writer Neftali Ricardo Reyes Basoalto. Basoalto chose the name as a homage to Czech poet Jan Neruda."
HA_S,HANS.    	'Frozen' is a 2013 animated feature from Walt Disney Studios that is based on the Hans Christian Andersen fairy tale 'The Snow Queen'.
AMPER_,"AMPERE.    	The unit of electric current is the ampere, abbreviated correctly to ""A"". It is named after French physicist Andre-Marie Ampere, one of the main scientists responsible for the discovery of electromagnetism."
IP_NA,"IPANA.    	Ipana toothpaste was introduced in 1915 and was at the height of its popularity in the forties and fifties. Sales declined in the sixties and the product was withdrawn from the US market in the seventies. Bucky the Beaver was the ""spokesman"" for Ipana. Bucky the Beaver's slogan was ""Brusha... Brusha... Brusha. Get the New Ipana - it's dandy for your teeth!"""
JAM_,"JAMB.    	A door or window jamb is the vertical portion of the frame. The term ""jamb"" comes from the French word ""jambe"" meaning ""leg""."
K_DS,"KEDS.    	Keds is a brand name of athletic shoe first introduced in 1916 by US Rubber. The shoe was originally marketed as a rubber-soled, canvas-topped sneaker."
_TEP,"UTEP.    	The University of Texas at El Paso (UTEP) was founded in 1914, originally as the Texas State School of Mines and Metallurgy. To this day there is a mineshaft on the campus, and the mascot of the school's sports teams is Paydirt Pete, a prospector from the mining industy."
LO_TO,"LOTTO.    	The Powerball lottery game is available in most states of the US, as is its major rival called Mega Millions."
MET_,"META.    	In recent decades the prefix 'meta-' has started to be used as a standalone adjective. In this sense 'meta' means 'self-referential', describing something that refers to itself. For example, 'This sentence starts with the word 'this' and ends with the word 'this'' might be called a meta sentence. A movie that is about the making of a movie could also be described as meta. For example, 'The Blair Witch Project' might be described as meta, which is a movie about some young people making a scary movie about the Blair Witch."
N_Z,"NEZ.    	Pince-nez are eyeglasses clipped to the bridge of the nose. ""Pince-nez"" is French, translating as 'pinch the nose'."
O_AWA,"OZAWA.    	Seiji Ozawa is most famous for his work as music director of the Boston Symphony Orchestra, although he is also the principal conductor of the Vienna State Opera. Ozawa is renowned for wearing a white turtleneck under his dress suit when he conducts, rather than the traditional starched shirt and white tie."
OTO_,"OTOS.    	The Otoe (also Oto) Native American tribe originated in the Great Lakes region as part of the Winnebago or Siouan tribes. The group that would become the Otoe broke away from the Winnebago and migrated southwestwards ending up in the Great Plains. In the plains the Otoe adopted a semi-nomadic lifestyle dependent on the horse, with the American bison becoming central to their diet."
F_D,"FAD.    	Crossword-like puzzles have been around at least since 1873. A puzzle that resembles what we know today as a crossword first appeared in the 'New York World' in 1913. This 'word-cross' puzzle was created by a journalist from Liverpool, England called Arthur Wynne. The crossword phenomenon really took off in the 1920s. Crosswords became so popular that libraries became crowded with solvers seeking out help from dictionaries and encyclopedias."
EE_Y,EENY.    	
IT_,"-ITE.    	The island we know as Manhattan was inhabited by the Lenape Indians when the first Europeans explorers arrived in the area. According to the logbook of one of the officers on explorer Henry Hudson's yacht, the island was called ""Manna-hata"" in the local language, from which the modern name derives."
_EV,NEV.    	The Shoshone Mountains run in a north-south direction in west central Nevada. The range takes its name from the Shoshone Native American tribe.
AG_,"AGR.    	The US Department of Agriculture dates back to 1862, when it was established by then-president Abraham Lincoln."
PI_T,"PITT.    	Billy Beane is the general manager of the Oakland Athletics baseball team. Michael Lewis wrote his book 'Moneyball' about the way Billy Beane built his team by bringing on board players who were 'undervalued', getting the maximum benefit from his limited payroll budget. I must admit I know nothing about baseball, but I thoroughly enjoyed reading 'Moneyball', and the film adaptation with Brad Pitt playing Beane."
_BERON,"OBERON.    	All of the twenty-seven moons of the planet Uranus are named for characters from literature, characters created by William Shakespeare and Alexander Pope. The five major moons are so large that they would be considered planets in their own right if they were orbiting the sun directly. The names of these five moons are:"
CA_RI,"CAPRI.    	The island of Capri off the coast of Southern Italy has been a tourist resort since the days of ancient Rome. Capri is home to the famous Blue Grotto, a sea cave that is illuminated with sunlight that's colored blue as it passes through the seawater into the cave. Natives of Capri are known as Capriotes."
DO_A,"DOHA.    	Doha is the capital city of the state of Qatar located on the Persian Gulf. The name ""Doha"" translates from Arabic as ""the big tree""."
L_NTO,LENTO.    	A lento passage is a piece of music that has a slow tempo.
K_DS,"KEDS.    	Keds is a brand name of athletic shoe first introduced in 1916 by US Rubber. The shoe was marketed as a rubber-soled, canvas-topped sneaker."
J_MB,"JAMB.    	A door or window jamb is the vertical portion of the frame. The term ""jamb"" comes from the French word ""jambe"" meaning ""leg""."
UN_,"UNI.    	Sea urchins are globular, spiny creatures found just about everywhere in the ocean. The 'roe' of a sea urchin is eaten as a delicacy in several cuisines around the world. In a sushi restaurant, the sea urchin roe is called 'uni'. The term 'roe' normally means 'fish eggs', but in the case of the sea urchin it refers to the gonads of both the male and female."
T_SS,"TASS.    	TASS is the abbreviation used for the former news agency that had the full name Telegraph Association of the Soviet Union (Telegrafnoe Agentstvo Sovetskogo Soyuza). When the Soviet Union dissolved in 1992, the Moscow-based agency's scope changed along with its name. It is now known as the Information Telegraph Agency of Russia (ITAR-TASS)."
_DHOC,"AD HOC.    	The Latin phrase 'ad hoc' means 'for this purpose'. An ad hoc committee, for example, is formed for a specific purpose and is disbanded after making its final report."
TOR_RO,"TORERO.    	Votre toast, je peux vous le rendre' is more commonly called 'The Toreador Song', and is one of the most famous arias in Georges Bizet's opera 'Carmen'. ""Toreador"" is an old Spanish word for a bullfighter, but it's a term not used any more in Spain nor in Latin America. In English we use the term ""toreador"", but in Spanish a bullfighter is a ""torero""."
SAN_A,"SANTA.    	The city of Santa Barbara on the California coast was indirectly named by Spanish explorer Sebastián Vizcaíno in 1602. He named the channel between the mainland and the Channel Islands 'Santa Barbara Channel', while naming one of the islands 'Santa Barbara'. Some time later, the Spanish established the Santa Barbara Mission on the Feast of Saint Barbara in 1786."
H_I,"HAI.    	'Hai' is the Japanese word for ""yes""."
_AK,"OAK.    	Oak Hill Academy is a private secondary school in Mouth of Wilson, Virginia. Oak Hill is famous for its basketball program, with many graduates eventually playing in the NBA."
_NBC,"CNBC.    	CNBC is a business news channel owned by NBC. Launched in 1989, up until 1991 CNBC was known as the Consumer News and Business Channel."
R_EG,"ROEG.    	Nicolas Roeg is film director from England with quite the pedigree when it comes to association with great movies. He contributed to 1962's 'Lawrence of Arabia', and he himself directed noted films like 'Walkabout' (1972), 'Don't Look Now' (1973) and 'The Man Who Fell to Earth' (1976)."
EO_,EOE.    	An Equal Opportunity Employer.
U_NA,"USNA.    	President Jimmy Carter is a graduate of the US Naval Academy (USNA). The future president served in the Navy on surface ships and submarines, and chose to pursue a career in the submarine service as he was interested in nuclear power and believed it had a great future in submarine design. As a result, Carter became an expert in nuclear propulsion. In 1952, the Navy sent him to the Chalk River Laboratories in Canada to lead the US effort to shutdown the reactor after an accident and partial meltdown of a reactor core. He and his team had to be lowered into the leaking reactor core for mechanical disassembly, staying there for only seconds at a time to minimise exposure to radiation. Decades later as US President, it was this experience that influenced his decision not to complete the development of the neutron bomb."
IND_A,"INDIA.    	Cricket is the national game of England. The term 'cricket' apparently comes from the Old French word 'criquet' meaning 'goalpost, stick'."
CN_C,CNBC.    	'American Greed' is documentary series in the 'true crime' genre that is aired weekly on CNBC. The crimes explored are corporate and white collar crimes.
GOY_,"GOYA.    	Francisco Goya was a Spanish painter, often called the last of the Old Masters and the first of the moderns. Two of Goya's most famous works are ""The Nude Maja"" and ""The Clothed Maja""."
CAE_,"CAEN.    	Caen, on the River Orne, lies in the Calvados department of France in the northwest of the country. Caen is famous for the WWII Battle of Caen that left the town practically destroyed. Caen is also the burial place of the Norman King William I of England, also known as William the Conqueror after his victory at the Battle of Hastings in 1066."
_ORT,"TORT.    	The word ""tort"" is a French word meaning ""mischief, injury or wrong"". Tort law is generally about negligence, when the action of one party causes injury to another but that action falls outside of the scope of criminal law."
AC_S,"ACES.    	Man, where are the grammar police when you need them ... beaten, beaten, beaten!!"
Z_E,ZOE.    	Zoë Kravitz is an actress and singer. Zoe has a couple of famous parents: musician Lenny Kravitz and actress Lisa Bonet.
EMI_S,"EMIRS.    	An emir is a prince or chieftain, most notably in the Middle East. In English, 'emir' can also be written as 'amir' and 'ameer' (watch out for those spellings in crosswords!)."
CAPR_,"CAPRI.    	The island of Capri off the coast of Southern Italy has been a tourist resort since the days of ancient Rome. Capri is home to the famous Blue Grotto, a sea cave that is illuminated with sunlight that's colored blue as it passes through the seawater into the cave."
REA_,"REAR.    	'Derrière' is a French term meaning 'back part, rear'."
ZI_,"ZIT.    	The slang term 'zit', meaning 'pimple', came into the language in 1966, but no one seems to know its exact derivation."
CA_RA,"CAPRA.    	I can't tell you how many of Frank Capra's movies are on my list of all-time favorites. He directed such classics as 'It Happened One Night', 'Mr. Deeds Goes to Town', 'Lost Horizon', 'Mr. Smith Goes to Washington', 'Meet John Doe', 'Arsenic and Old Lace' and the holiday favorite 'It's a Wonderful Life'. Capra was the first person to win three directorial Oscars: for 'It Happened One Night', 'Mr. Deeds Goes to Town' and 'You Can't Take It With You'. Capra also did his bit during WWII, enlisting just a few days after Pearl Harbor was attacked. Given his great talent, and the fact that he enlisted at the relatively advanced age of 44, the US Army put him to work directing 11 documentary war films in the 'Why We Fight' series, for which he was awarded the Distinguished Service Medal."
P_BST,"PABST.    	Frederick Pabst was a brewer from the Milwaukee, Wisconsin area who had immigrated to the US from Prussia with his parents. Pabst bought himself into his father-in-law's small brewery and over the years grew the enterprise into a public company, eventually changing the name from 'Best' to 'Pabst'. The most famous beer from Pabst is of course Pabst Blue Ribbon."
_MP,"IMP.    	Puck (aka Robin Goodfellow) is a character in William Shakespeare's 'A Midsummer Night's Dream', one of the Fairies in the tale. One of Puck's tasks in the storyline is to use love juice that is made from a flower that has been hit by cupid's arrow. The magical juice is applied to the eyelids of someone sleeping, so that the person wakes and falls in love with the first living things he or she sees. Of course, Puck drops the love juice on the wrong character ..."
_CS,ACS.    	Room coolers are air conditioning units (ACs).
SHEB_,"SHEBA.    	Sheba is referenced in the Bible several times. The ""Queen of Sheba"" is mentioned as someone who traveled to Jerusalem to behold the fame of King Solomon. No one knows for sure where the kingdom of Sheba was located, although there is evidence that it was actually the ancient Semitic civilization of Saba. The Sabeans lived in what today is Yemen, on the Arabian Peninsula."
TK_S,"TKOS.    	In boxing, a knockout (KO) is when one of the fighters can't get up from the canvas within a specified time, usually 10 seconds. This can be due to fatigue, injury, or the participant may be truly ""knocked out"". A referee, fighter or doctor may also decide to stop a fight without a physical knockout, especially if there is concern about a fighter's safety. In this case the bout is said to end with a technical knockout (TKO)."
D_LI,"DELI.    	The word ""delicatessen"" (or 'deli' for short) came into English from the German ""Delikatessen"". The Germans borrowed the word from French, in which language ""délicatesse"" means ""delicious things (to eat)"". The term's ultimate root is ""delicatus"", the Latin for ""giving pleasure, delightful""."
AM_FM,"AM/FM.    	The radio spectrum is divided into bands based on frequency. ""High band"" is composed of relatively high frequency values, and ""low band"" is composed of frequencies that are relatively low. FM radio falls into the band called Very High Frequency, or VHF. Television signals use frequencies even higher than VHF, frequencies in the Ultra High Frequency band (UHF). AM radio uses lower frequencies that fall into the relatively low bands of Low, Medium and High Frequency (LF, MF, and HF)."
OPIA_E,"OPIATE.    	Opiates are the narcotic alkaloids found in the opium poppy plant, although some synthetic versions and derivatives of the same alkaloids are also called opiates. To produce opiates, the latex sap of the opium poppy is collected and processed. The naturally-occurring drugs of morphine and codeine can both be extracted from the sap. Some synthesis is required to make derivative drugs like heroin and oxycodone."
J_LO,"J.LO.    	Selena's Quintanilla-Perez, known professionally simply as ""Selena"", was murdered in 1995 by the president of her own fan club, at the height of her career. In a 1997 biopic about Selena's life, Jennifer Lopez played the title role."
_ANTA,"SANTA.    	Saint Nicholas of Myra is the inspiration for Santa Claus. Nicholas was the Bishop of Myra (now in modern-day Turkey) during the 4th century AD, and was known for being generous to the poor. Centuries after he died, his remains were desecrated by Italian sailors and moved to Bari in Italy. One legend has it that the relics were moved again centuries later and reburied in the grounds of Jerpoint Abbey in Co. Kilkenny in Ireland, where you can visit the grave today. I choose to believe that Santa Claus's relics are indeed buried in Ireland ..."
