Part of P.D.A.: Abbr..   		4 letters,ASST.    	Personal Digital Assistant (PDA)
"""Mad Men"" award.   		4 letters","CLIO.    	The Clio Awards are the Oscars of the advertising world and are named after Clio, the Greek Muse of History. Clio was also the recorder of great deeds, the proclaimer and celebrator of great accomplishments and a source of inspiration and genius. The Clio Awards were first presented in 1959."
Fleck on the banjo.   		4 letters,"BELA.    	Béla Fleck is a banjo player who performed with the bands New Grass Revival and Béla Fleck and the Flecktones. Fleck was born in New York City and was given the name Béla Anton Leoš Fleck. He was named after Hungarian composer Béla Bartók, Austrian composer Anton Webern, and Czech composer Leoš Janáček. That's quite a name to live up to, but by all accounts Fleck is one of the most technically proficient banjo players the world has ever known."
"""Kill Bill"" actress Lucy.   		3 letters","LIU.    	Lucy Liu is an actress from Queens, New York. Liu's big break came when she was chosen to play the Ling Woo character in ""Ally McBeal"". I liked her in the 2000 film ""Charlie's Angels"" but as I am no fan of Quentin Tarantino, I did not enjoy the movie ""Kill Bill"". I am having fun watching one of Liu's more recent projects, in which she plays Jane Watson, one of the two lead characters in the TV crime drama 'Elementary'."
Card game for two.   		6 letters,"ECARTE.    	Ecarte is a card game that comes to us from France, with a name that translates into 'discarded"". It is a game like Whist, but is played with a stripped-down deck."
Dancer's leader.   		5 letters,"SANTA.    	We get the names for Santa's reindeer from the famous 1823 poem called 'A Visit from St. Nicholas', although we've modified a couple of the names over the years. The full list is:"
Alter ego who carries a notepad.   		4 letters,"KENT.    	Superman's comic book creators gave their character's alter-ego the name 'Clark Kent' by melding the names of Clark Gable and Kent Taylor, two leading men of the cinema. However, they modeled Clark's character more on the silent film actor Harold Lloyd."
Fruit juice brand.   		3 letters,"POM.    	POM Wonderful is a privately-held company that has been making fruit juice drinks since 2002. The main product line is pomegranate juice, hence the company name."
Rocks on the Rhein?.   		3 letters,EIS.    	'Eis' is the German word for 'ice'.
Switch that changes bands on the radio.   		5 letters,"AM/FM.    	The radio spectrum is divided into bands based on frequency. ""High band"" is composed of relatively high frequency values, and ""low band"" is composed of frequencies that are relatively low. FM radio falls into the band called Very High Frequency, or VHF. Television signals use frequencies even higher than VHF, frequencies in the Ultra High Frequency band (UHF). AM radio uses lower frequencies that fall into the relatively low bands of Low, Medium and High Frequency (LF, MF, and HF)."
Chicago-born choreographer.   		5 letters,"FOSSE.    	Bob Fosse won more Tony Awards for choreography than anyone else, a grand total of eight (and another Tony for direction). Fosse also won an Oscar for Best Director for his 1972 movie ""Cabaret"", even beating out the formidable Francis Ford Coppola who was nominated that same year for ""The Godfather""."
Cousins of clarinets.   		5 letters,"OBOES.    	The oboe is perhaps my favorite of the reed instruments. The name ""oboe"" comes from the French ""hautbois"" which means ""high wood"". When you hear an orchestra tuning before a performance you'll note (pun intended!) that the oboe starts off the process by playing an ""A"". The rest of the musicians in turn tune to that oboe's ""A""."
International powerhouse in cricket.   		5 letters,"INDIA.    	Cricket is the national game of England. The term 'cricket' apparently comes from the Old French word 'criquet' meaning 'goalpost, stick'."
Hit musical set in Buenos Aires.   		5 letters,"EVITA.    	""Evita"" was the followup musical to ""Jesus Christ Superstar"" for Andrew Lloyd Weber and Time Rice. Both of these works were originally released as album musicals, and very successful ones at that (I remember buying them when they first came out). For the original album's cast they chose Irish singer Colm Wilkinson (or C. T. Wilkinson, as we know him back in Ireland) to play ""Che"", the narrator of the piece."
W.W.   		4 letters,"AXIS.    	Before WWII, Hungary's prime minister was lobbying for an alliance between Germany, Hungary and Italy and worked towards such a relationship that he called an ""axis"". The main Axis powers during the war of course were Germany, Italy and Japan. However, also included in the relationship were Romania, Bulgaria and the aforementioned Hungary."
Noted septet.   		4 letters,"SEAS.    	The phrase 'the seven seas' has been used for centuries by many different peoples. The actual definition of what constitutes the collection of seven has varied depending on the period and the culture. Nowadays we consider the seven largest bodies of water as the seven seas, namely:"
Leopard's marking.   		4 letters,"SPOT.    	The four 'big cats' are the tiger, lion, jaguar and leopard. The smallest of these is the leopard."
Actress Poehler and others.   		4 letters,"AMYS.    	Amy Poehler was a cast member on Saturday Night Live from 2001 to 2008, notable from many great sketches, including those where she played Hillary Clinton opposite Tina Fey's Sarah Palin. Poehler also starred with Fey in the 2008 movie ""Baby Mama"", and now has her own show on NBC called ""Parks and Recreation""."
Adjective on taco truck menus.   		5 letters,"ASADA.    	'Carne Asada' translates from Spanish as ""roasted meat""."
"""Girl With a Hoop"" painter.   		6 letters","RENOIR.    	Pierre-Auguste Renoir was a French painter, very much at the forefront of the Impressionist Movement. Renoir was a prolific artist, with several thousand works attributed to him. The largest collection of Renoirs is actually in the United States. You can see 181 of his paintings at the Barnes Foundation just outside Philadelphia."
"""___ Loser"" (Beatles song).   		5 letters","I'M A.    	John Lennon wrote ""I'm a Loser"". He once said in an interview, with reference to the song, ""Part of me suspects I'm a loser and part of me thinks I'm God Almighty."" Typical John Lennon humor, I'd say ..."
Army E-3.   		3 letters,PFC.    	Private First Class (PFC)
Carne ___ (Mexican restaurant order).   		5 letters,"ASADA.    	'Carne Asada' translates from Spanish as ""roasted meat""."
Bizet priestess.   		5 letters,"LEILA.    	""The Pearl Fishers"" ('Les Pêcheurs de Perles') is the second most famous opera produced by Georges Bizet, the French composer from the Romantic era. 'The Pearl Fishers' is about two Ceylon fishermen (Nadir and Zurga) who are lifelong friends, but that friendship is threatened when the pair fall in love with the same woman (Leila)."
Tater ___.   		3 letters,"TOT.    	Ore-Ida founders came up with the idea for Tater Tots when they were deciding what to do with residual cuts of potato. They chopped up the leftovers, added flour and seasoning, and extruded the mix through a large hole making a sausage which they cut into small cylinders. We eat 70 million pounds of this extruded potato every year!"
Glittery stone.   		5 letters,GEODE.    	A geode is a rock in which there is a cavity lined or filled with crystal formations.
Nutritional figs.   		4 letters,RDAS.    	Recommended Daily Allowances (RDAs) were introduced during WWII and are a set of recommendations for the standard daily allowances of specific nutrients. RDAs were effectively absorbed into a broader set of dietary guidelines in 1997 called Recommended Daily Intakes (RDIs). RDIs are used to determine the Daily Values (DV) of foods that are printed on nutrition fact labels on most food that we purchase.
"""The Hobbit"" hero.   		5 letters","BILBO.    	Bilbo Baggins is the main character in Tolkien's ""The Hobbit"", and makes an appearances in ""The Lord of the Rings"" trilogy."
Sailors.   		4 letters,"TARS.    	A Jack Tar, or just ""tar"", was a seaman in the days of the British Empire. The term probably arose due to a sailor's various uses of tar back then, including waterproofing his clothes and using tar in his hair to slick down his ponytail."
Partner of anon.   		4 letters,"EVER.    	""Ever and anon"" means ""now and then""."
Store.   		7 letters,"ARSENAL.    	Our word ""arsenal"" comes from the Italian ""arzenale"", a work adapted from the Arabic for ""workshop"". There was a large wharf in Venice called the Arzenale that became associated with the storage of weapons and ammunition, and this led to our contemporary usage of ""arsenal""."
"Dallas institution, for short.   		3 letters","SMU.    	Southern Methodist University (SMU) is located in University Park, Texas (part of Dallas), and was founded in 1911. SMU is home to the George W. Bush Presidential Library."
Banking inits.   		4 letters,"FDIC.    	During the Great Depression, President Franklin D. Roosevelt signed into law the Banking Act of 1933. The legislation established the Federal Deposit Insurance Corporation (FDIC), intended to be a temporary government corporation that provided insurance on deposits made by customers of qualified financial institutions. The first accounts to be covered, in 1934, had an insurance limit of $2,500. Since the financial crisis of 2008, that limit is $250,000."
Way to stand.   		3 letters,"PAT.    	To stand pat is to resist change. The term comes from the game of poker, in which one 'stands pat' if one keeps one's hand as is, not drawing any extra cards."
Morn's counterpart.   		4 letters,"E'EN.    	Using poetic terminology, morn's (morning's) counterpart is e'en (evening)."
Fox relative.   		7 letters,"ARAPAHO.    	The Arapaho tribe lived on the eastern plains of Colorado and Wyoming. The Arapaho traditionally wintered in small camps in the foothills of the Rockies, and then relocated to plains in the spring where they hunted the buffalo that were gathering to give birth to their young."
U.S.M.C.   		3 letters,PFC.    	Private First Class (PFC)
Et ___ (and others).   		4 letters,"ALII.    	Et alii (et al.) is the equivalent of et cetera (etc.), with et cetera being used in place of a list of objects, and et alii used for a list of names. In fact ""et al."" can stand for et alii (for a group of males, or males and females), aliae (for a group of women) and et alia (for a group of neuter nouns, or for a group of people where the intent is to retain gender-neutrality)."
Prefix with monde.   		4 letters,"DEMI.    	The demimonde (""half-world"" in French) was name given to the courtesan class in French, British and American society in the 19th century. The term ""half-world"" is meant to suggest that these women lived on the fringes of polite society. Famous characters of the demi-monde in the arts would be Violetta (""La Traviata""), perhaps Becky Sharp from ""Vanity Fair"" and maybe Colette's ""Gigi""."
"Actor Davis of ""Grumpy Old Men"".   		5 letters","OSSIE.    	Ossie Davis was a very successful African-American actor, but also a director, poet, playwright and social activist. One of Davis's better known performances was in the 1993 movie 'Grumpy Old Men', in which he played the owner of the bait shop by the lake."
"""The Lady's Got Potential"" musical.   		5 letters","EVITA.    	""Evita"" was the followup musical to ""Jesus Christ Superstar"" by Andrew Lloyd Weber and Time Rice. Both of these works were originally released as album musicals, and very successful ones at that (I remember buying the albums when they first came out). For the original album's cast of ""Evita"" they chose Irish singer Colm Wilkinson (or C. T. Wilkinson, as we know him back in Ireland) to play ""Che"", the narrator of the piece."
Diamond wts.   		3 letters,"KTS.    	I know that 'karat' is a variant spelling of 'carat', the measure of the purity of gold. I don't recall seeing 'karat' used as a variant of 'carat', the unit of mass used in measuring gemstones. Again, I might have missed something ..."
"""Don't Look Now"" diretcor.   		4 letters","ROEG.    	Nicolas Roeg is film director from England with quite the pedigree when it comes to association with great movies. He contributed to 1962's 'Lawrence of Arabia', and he himself directed noted films like 'Walkabout' (1972), 'Don't Look Now' (1973) and 'The Man Who Fell to Earth' (1976)."
Official proceedings.   		4 letters,"ACTA.    	Actum (plural ""acta"") is the Latin word for ""deed"". ""Acta"" is used in English to describe many official records, including minutes, proceedings etc."
Gym request.   		4 letters,"SPOT.    	Fellow weightlifters might 'spot' each other, helping the person lifting take on more weight than would normally be possible."
Goofus.   		3 letters,OAF.    	In urban slang a 'goofus' is an innocent type of person who acts in a silly manner. The term derives from the character Goofus who appears in the 'Goofus & Gallant' cartoons published in the 'Highlights for Children' kid's magazine.
Ending with Manhattan.   		4 letters,"-ITE.    	The island we know as Manhattan was inhabited by the Lenape Indians when the first Europeans explorers arrived in the area. According to the logbook of one of the officers on explorer Henry Hudson's yacht, the island was called ""Manna-hata"" in the local language, from which the modern name derives."
"""___ of Roses"" (1995 adult contemporary album).   		5 letters","BETTE.    	I am a huge, huge fan of Bette Midler. I love everything about the woman, her bawdy humor, her expansive personality, and of course her amazing voice. Midler will forever be associated with the 1979 film ""The Rose"", loosely based on the life of the self-destructive singer, Janis Joplin, with Bette Midler playing the leading role. Bette Midler shows she can act in this movie, and boy does she show that she can sing. The title song was written by Amanda McBroom and became a huge hit for Midler in 1979."
___ cotta.   		5 letters,"TERRA.    	The name ""terra cotta"" comes to us from Latin via Italian and means ""baked earth"". Terra cotta is a ceramic made from clay which is left unglazed. Maybe the most famous work in terra cotta is the Terracotta Army, the enormous collection of life-size figures that was buried with the Qin Shi Huang, the First Emperor of China around 210 BC. I had the privilege of seeing some of this collection when it toured the US a few years ago, and just the few pieces on display were so very impressive."
C train?.   		3 letters,"DEF.    	The 'train' of letters following C are D, E and F."
Starter follower.   		6 letters,"ENTREE.    	Entrée means ""entry"" in French. An entrée can be something that helps one get 'a way in"", an interview for example perhaps helped along by a recommendation letter. In Europe, even in English-speaking countries, the entrée is the name for the ""entry"" to the meal, the first course. I found it very confusing to order meals when I first came to America!"
Copy from CD to PC.   		3 letters,RIP.    	Ripping' is the process of copying audio or video onto a hard disk. Ripping isn't the same as direct copying as the process involves changing the format of the audio or video content.
Ohio city where Goodyear is headquartered.   		5 letters,"AKRON.    	For part of the 1800s, the Ohio city of Akron was the fasting growing city in the country, feeding off the industrial boom of that era. The city was founded in 1825 and its location, along the Ohio and Erie canal connecting Lake Erie with the Ohio River, helped to fuel Akron's growth. Akron sits at the highest point of the canal and the name 'Akron' comes from the Greek word meaning 'summit'. Indeed, Akron is the county seat of Summit County."
Jackanapes.   		3 letters,"IMP.    	A'jackanapes' is an impudent person or an impish child. The term originated with William de la Pole, 1st Duke of Suffolk. The Duke was a bit of an upstart, a member of the nouveau riche who rose into noble ranks from the merchant class. The de la Pole family had a collar and chain on its coat of arms, a symbol that was associated with monkey leashes in those days. As a result, the Duke was given the derisive name of Jack of Naples, a slang term for a monkey at that time, and this was shortened to 'Jackanapes'."
Bottled water with three mountain peaks in its logo.   		5 letters,"EVIAN.    	Évian-les-Bains (or simply Évian) is in the very east of France, on the shores of Lake Geneva directly across the lake from Lausanne, Switzerland. As you might imagine, Évian is the home of Évian mineral water, the most successful business in town. I can't stand the taste of Évian water ..."
Symbol of wisdom.   		6 letters,"ATHENA.    	The Greek goddess Athena (sometimes 'Athene') is often associated with wisdom, among other attributes. In many representations. Athena is depicted with an owl sitting on her head. It is this linkage of the owl with the goddess of wisdom that led to today's perception of the owl as being ""wise"". Athena's Roman counterpart was Minerva."
Work from a folder.   		7 letters,ORIGAMI.    	The Japanese word 'origami' is derived from ori (folding) and kami (paper).
Schlemiel.   		3 letters,"OAF.    	A 'schlemiel' is an awkward and clumsy person. 'Shlemiel' is the Yiddish for 'a bungler', with the term coming from the German story 'The Wonderful History of Peter Schlemihl', published in 1813."
"Ice Bucket Challenge, for one.   		3 letters","FAD.    	The ALS Ice Bucket Challenge is a viral phenomenon in which participants are challenged to be filmed having a bucket of ice water poured over their heads. Each participant then gets to nominate up to three other people to do the same. Usually the nominees are given a day or two to comply, but can make a charitable donation is they want to avoid the icy shower. Happily, many participants opt to take the challenge, and also make a donation."
Chicken ___.   		4 letters,"KIEV.    	Chicken Kiev may indeed be a Ukrainian dish, named for the capital city of Kiev. It is a boneless chicken breast rolled around garlic, herbs and butter, breaded and deep fried. It was my Dad's favorite ..."
Eastern European capital.   		4 letters,"KIEV.    	Kiev is the capital of Ukraine and a beautiful city, from what I've heard from friends who have visited ..."
Grand ___.   		5 letters,"TETON.    	Grand Teton National Park is located just south of Yellowstone NP, and a must-see if you are visiting the latter. The park is named after the tallest peak in the magnificent Teton Range known as Grand Teton. The origins of the name ""Teton"" is not very clear, although my favorite story is that it was named by French trappers, as the word ""tetons"" in French means ""breasts""!"
Elvis ___ Presley.   		4 letters,"ARON.    	Elvis Aron Presley was the younger of two identical twins. is brother was stillborn, delivered 35 minutes before Elvis. The brother was named Jesse Garon Presley. So, though born a twin, Elvis was raised as an only child."
Feature of the Tokyo Imperial Palace.   		4 letters,"MOAT.    	A 'moat' is a protective trench that surrounds a castle, say, or a an exhibit in a zoo. A moat may or may not be filled with water."
"Heart diagnostic, in brief.   		3 letters","EKG.    	An EKG measures electrical activity in the heart. Back in my homeland of Ireland, an EKG is known as an ECG (for electrocardiogram). We use the German name in the US, Elektrokardiogramm, giving us EKG. Apparently the abbreviation EKG is preferred as ECG might be confused (if poorly handwritten, I guess) with EEG, the abbreviation for an electroencephalogram."
Guitar accessory.   		4 letters,"CAPO.    	A capo is a clamp-like device that is placed around the neck of a guitar to shorten the strings, and hence raise the pitch. The full name, rarely used these days, is ""capo tasto"", which is Italian for ""head tie""."
Mountain goat.   		4 letters,IBEX.    	Ibex is a common name for various species of mountain goat. 'Ibex' is a Latin name that was used for wild goats found in the Alps and Apennines in Europe.
What a garage protects.   		4 letters,"AUTO.    	We imported the word 'garage' into English from French, in which language the term historically described a place for storing or sheltering something. Later the term specifically applied to a 'shelter' for a car. The verb 'garer' is French for 'to shelter'."
Rapper Mos ___.   		3 letters,"DEF.    	Mos Def is the stage name of actor and rapper Dante Terrell Smith-Bay. Mos Def is one of the few rap stars who is really making a name for himself in the world of movies. He received critical acclaim for roles in 2003's ""The Italian Job"" , 2005's ""The Hitchhiker's Guide to the Galaxy"", and a featured role in an episode of television's ""House""."
Fictional Potawatomi tribesman.   		5 letters,"TONTO.    	On the television version of 'The Lone Ranger', Tonto was played by the actor Jay Silverheels. In the 2013 movie 'The Lone Ranger', Tonto was played by Johnny Depp."
Alfred H.   		4 letters,"BARR.    	Alfred H. Barr, Jr. was the first director of the Museum of Modern Art (MoMA) in New York City, serving from 1929 to 1943."
Helper: Abbr..   		4 letters,ASST.    	Assistant (asst.)
Sparkly rock.   		5 letters,GEODE.    	A geode is a rock in which there is a cavity lined or filled with crystal formations.
Deli meat.   		6 letters,"SALAMI.    	Salame (note the ""e"" at the end) is an Italian sausage that is traditionally associated with the peasant classes. The meat in the sausage is preserved with salt, and it can be hung and stored for as long as ten years. The name ""salame"" comes from ""sale"", the Italian word for salt, and ""-ame"", a suffix indicating a collective noun. Our English word ""salami"" is actually the Italian plural for ""salame""."
Weapons stockpile.   		7 letters,"ARSENAL.    	Our word ""arsenal"" comes from the Italian ""arzenale"", a work adapted from the Arabic for ""workshop"". There was a large wharf in Venice called the Arzenale that became associated with the storage of weapons and ammunition, and this led to our contemporary usage of ""arsenal""."
Old Testament section.   		5 letters,"TORAH.    	The word ""Torah"" best translates as ""teaching"", I am told."
"Madeline of ""What's Up, Doc?"".   		4 letters","KAHN.    	Madeline Kahn was an American actress best known for her comedic roles, especially those directed by Mel Brooks. Kahn also had her own TV sitcom, called 'Oh Madeline'. But, it only lasted the one season, in 1983."
Milwaukee brewer.   		5 letters,"PABST.    	Pabst Blue Ribbon (PBR) is the most recognizable brand of beer from the Pabst Brewing Company. There appears to be some dispute over whether or not Pabst beer ever won a ""blue ribbon"" prize, but the company claims that it did so at the World's Columbian Exposition in Chicago in 1893. The beer was originally called Pabst Best Select, and then just Pabst Select. With the renaming to Blue Ribbon, the beer was sold with an actual blue ribbon tied around the neck of the bottle until it was dropped in 1916 and incorporated into the label."
"""Something to Talk About"" singer, 1991.   		5 letters","RAITT.    	Bonnie Raitt is a blues singer, originally from Burbank, California. Raitt has won nine Grammys for her work, but she is perhaps as well known for her political activism as she is for her music. She was no fan of President George W. Bush while he was in office, and she sure did show it."
Sporty car roofs.   		6 letters,"T-TOPS.    	A T-top is a car roof that has removable panels on either side of a rigid bar that runs down the center of the vehicle, above the driver."
Stupefying thing.   		6 letters,"OPIATE.    	Opiates are the narcotic alkaloids found in the opium poppy plant, although some synthetic versions and derivatives of the same alkaloids are also called opiates. To produce opiates, the latex sap of the opium poppy is collected and processed. The naturally-occurring drugs of morphine and codeine can both be extracted from the sap. Some synthesis is required to make derivative drugs like heroin and oxycodone."
"""This is dedicated to the ___ love"".   		5 letters","ONE I.    	'Dedicated to the One I Love' is a song that is most associated with the Mamas and the Papas as they had a hit with it in 1967. Back in 1961, the same song was a big hit for The Shirelles."
Drug used to treat Parkinson's.   		6 letters,"L-DOPA.    	The name of the drug L-3,4-DihydrOxyPhenylAlanine can be shortened, thankfully, to L-DOPA. Swedish scientist Arvid Carlsson won a Nobel Prize for showing that L-DOPA could be used to reduce the symptoms of Parkinson's Syndrome."
"Cool, in hip-hop slang.   		3 letters","DEF.    	The slang word ""def"" meaning ""excellent, cool"" may come from the word ""definite"". A word I'd only come across in crosswords ..."
"Daphne du Maurier, e.g.   		4 letters",DAME.    	Dame Daphne du Maurier was an author and playwright from England. My guess is that du Maurier's most famous works are the novel 'Rebecca' and the short story 'The Birds'. Both 'Rebecca' and 'The Birds' were adapted into movies directed by Alfred Hitchcock.
"Sitting Bull, e.g.   		5 letters","TETON.    	The Lakota people (also called Teton) are Native Americans from the Great Plains, occupying lands mainly in North and South Dakota. The list of famous persons from the Lakota people includes Sitting Bull and Crazy Horse, who were instrumental in the Lakota victory at the Battle of Little Bighorn."
Home to Vegas: Abbr..   		3 letters,"NEV.    	Back in the 1800s, the Las Vegas Valley was given its name from the extensive meadows (""las vegas"" is Spanish for ""the meadows"") present in the area courtesy of the artesian wells drilled by local farmers. Las Vegas was incorporated as a city in 1905, in the days when it was a stopping-off point for pioneers travelling west. It eventually became a railroad town, although with the coming of the railroad growth halted as travelers began to bypass Las Vegas. The city's tourism industry took off in 1935 with the completion of the nearby Hoover Dam, which is still a popular attraction. Then gambling was legalized, and things really started to move. Vegas was picked, largely by celebrated figures in ""the mob"", as a convenient location across the California/Nevada state line that could service the vast population of Los Angeles. As a result, Las Vegas is the most populous US city founded in the 20th century (Chicago is the most populous city founded in the 19th century, just in case you were wondering)."
Stand an artist might take.   		5 letters,"EASEL.    	The word ""easel"" comes from an old Dutch word meaning ""donkey"" would you believe? The idea is that an easel carries its load (an oil painting, say) just as a donkey would carry its load."
Fearsome birds.   		4 letters,"ROCS.    	The mythical roc is a huge bird of prey, reputedly able to carry off and eat elephants. The roc was said to come from the Indian subcontinent. The supposed existence of the roc was promulgated by Marco Polo in the accounts that he published of his travels through Asia."
Northern native.   		5 letters,"ALEUT.    	The Aleuts live on the Aleutian Islands of the North Pacific, and on the Commander Islands at the western end of the same island chain. The Aleutian Islands are part of the United States, and the Commander Islands are in Russia."
Gooey treat.   		6 letters,"S'MORE.    	S'mores are treats peculiar to North America, usually eaten around a campfire. A s'more consists of a roasted marshmallow and a layer of chocolate sandwiched between two graham crackers. The earliest written reference to the recipe is in a 1927 publication called ""Tramping and Trailing with the Girl Scouts"". Girl Scouts always did corner the market on cookies and the like!"
"Colt, e.g.   		3 letters","ARM.    	Samuel Colt was fascinated as a young man by the science behind gunpowder and its used in weapons. He decided early on in his life, that he would respond to the challenge of the day, how to achieve the impossible, a weapon that fire more than the two times available at the time using a double-barreled rifle. He came up with the concept of the revolver while at sea, modeling his design on the spoked wheel that steered the ships on which he served. His revolver made him a very rich man in his own lifetime. By the time he died in 1862, his estate was valued at around $15 million. Can you imagine? $15 million back in 1862?"
___ Bowl.   		4 letters,"HULA.    	The annual college football game called the Hula Bowl isn't played anymore. The inaugural game was in 1947, and it was cancelled in 2008."
Network for business news.   		4 letters,"CNBC.    	CNBC is a business news channel owned by NBC. Launched in 1989, up until 1991 CNBC was known as the Consumer News and Business Channel."
Member of the chordophone family.   		5 letters,"VIOLA.    	Musical instruments that produce sounds through the vibration of strings can be described collectively as 'chordophones'. Examples are violins, violas, guitars and pianos."
Kemo Sabe's sidekick.   		5 letters,"TONTO.    	On the television version of 'The Lone Ranger', Tonto was played by the actor Jay Silverheels."
Coins worth 100 kurus each.   		5 letters,"LIRAS.    	The currency of Turkey is the Turkish lira, which is divided into 100 kuruş."
Hometown of Columbus.   		5 letters,"GENOA.    	Genoa is a seaport in the very north of Italy, in the region known as Liguria. One of Genoa's most famous sons was Christopher Columbus. Another was the violinist Niccolò Paganini."
"R.E.M.'s ""The ___ Love"".   		5 letters","ONE I.    	The One I Love' is a song released in 1987 by the rock band R.E.M. The lyrics are somewhat cynical. The song starts out with 'This one goes out to the one I love', but then the second line is less wholesome, 'A simple prop to occupy my time' ..."
Cathedral area.   		4 letters,"NAVE.    	In large Christian churches, the nave is the main approach to the altar, where most of the congregation are seated."
"Clark ___, alter ego of Superman.   		4 letters","KENT.    	Superman's comic book creators gave their title character's alter-ego the name 'Clark Kent' by melding the names of Clark Gable and Kent Taylor, two leading men of the cinema. However, they modeled Clark's character more on the silent film actor Harold Lloyd."
"They may result in title changes, for short.   		4 letters",TKOS.    	Technical knockout (TKO)
Western followers?.   		5 letters,POSSE.    	Our word 'posse' comes from an Anglo-Latin term from the early 15th century 'posse comitatus' meaning 'the force of the county'.
Holy text.   		5 letters,"TORAH.    	The word ""Torah"" best translates as ""teaching"", I am told."
Part of AMPAS.   		4 letters,"ARTS.    	The Academy of Motion Picture Arts and Sciences (AMPAS) is the organization that gives the annual Academy Awards also known as the ""Oscars"". The root of the name ""Oscar"" is hotly debated, but what is agreed is that the award was officially named ""Oscar"" in 1939. The first Academy Awards were presented at a brunch in 1929 with an audience of just 29 people. The Awards ceremony is a slightly bigger event these days ..."
Little Thief's people.   		4 letters,"OTOS.    	Little Thief was a chief of the Oto Native American tribe, one who met with Lewis and Clark on their expedition through the American West."
"Roseanne of ""Roseanne"".   		4 letters","BARR.    	The comedian Roseanne Barr is perhaps best known as the star of her own sitcom called 'Roseanne' in which she played the character Roseanne Conner. In 2012 Barr unsuccessfully vied for the Green Party's nomination for US President. She didn't give up though, and was successful in winning the nomination of the Peace and Freedom Party. In the 2012 presidential election she earned over 60,000 votes, and placed sixth in the list of candidates."
Clark ___ (Superman's alter ego).   		4 letters,"KENT.    	Superman's comic book creators gave their title character's alter-ego the name 'Clark Kent' by melding the names of Clark Gable and Kent Taylor, two leading men of the cinema at the time Superman was created. However, they modeled Clark's character more on the silent film actor Harold Lloyd."
Lone Star State sch.   		4 letters,"UTEP.    	The University of Texas at El Paso (UTEP) was founded in 1914, originally as the Texas State School of Mines and Metallurgy. To this day there is a mine shaft on the campus, and the mascot of the school's sports teams is Paydirt Pete, a prospector from the mining industry."
Egypt's capital.   		5 letters,"CAIRO.    	Cairo is the capital city of Egypt. It is the largest city on the continent of Africa and is nicknamed 'The City of a Thousand Minarets' because of its impressive skyline replete with Islamic architecture. The name 'Cairo' is a European corruption of the city's original name in Arabic, 'Al-Qahira'."
Egypt's ___ Dam.   		5 letters,"ASWAN.    	The Egyptian city of Aswan lies in the south of the country, on the River Nile. Aswan is famous for its stone quarries, going back to ancient times. The most celebrated granite rock from the area is called syenite. Stone from Aswan was shipped northwards along the Nile and used in the construction of the pyramids. From ancient times right up to 1970, the annual flooding of the Nile was a significant event in Egypt. The flooding allowed the deposition of fertile silt far beyond the banks of the river, helping the region's agriculture. However, the flooding was unpredictable. So the Aswan Dam was built in the sixties and from 1970 the flooding was brought under control."
Fair-hiring inits.   		3 letters,EOE.    	An Equal Opportunity Employer.
One appointed to the Royal Victorian Order.   		4 letters,DAME.    	The Royal Victorian Order was established by Queen Victoria in 1896. Admission to the order is the personal gift of the ruling British monarch.
Lummox.   		3 letters,"OAF.    	The word ""lummox"", meaning 'oaf', comes from East Anglian slang (northeast of London). The term is probably a contraction of ""lumbering ox""."
"Ali ___ of ""The Arabian Nights"".   		4 letters","BABA.    	There is some controversy about the story ""Ali Baba and the Forty Thieves"" in that it has been suggested that it was not part of the original collection of Arabic tales called ""One Thousand and One Nights"". The suggestion is that it was added by one of its European translators."
Itar-___ news agency.   		4 letters,"TASS.    	TASS is the abbreviation used for the former news agency, the Telegraph Association of the Soviet Union (Telegrafnoye Agentstvo Sovetskovo Soyuza). When the Soviet Union dissolved in 1992, the Moscow-based agency's scope changed, along with its name. It is now known as the Information Telegraph Agency of Russia (ITAR-TASS)."
"Dress smartly, with ""out"".   		3 letters","TOG.    	The verb ""tog"", meaning to dress up, comes from the Latin ""toga"". ""Tog"" can be use as an informal word for a coat or a cloak. Back in Ireland, togs are what we call swimming shorts."
Nonsense.   		4 letters,"TOSH.    	""Tosh"" is British slang for ""foolish nonsense"", and is likely a combination of ""trash"" and ""bosh""."
Geiger of Geiger counter fame.   		4 letters,"HANS.    	Hans Geiger was the German physicist who co-invented the Geiger counter, which detects and measures ionizing radiation like alpha and beta particles and gamma rays."
___ monster.   		4 letters,"GILA.    	A Gila monster is a venomous lizard found in the southwestern US and northern Mexico, and is the only venomous lizard native to America. Gila monsters move along at a snail's pace so it isn't really a danger to humans."
