Reggae/dancehall artist ___ Paul.   		4 letters,"SEAN.    	Sean Paul is the stage name of Sean Paul Ryan Francis Henriques, a Jamaican reggae artist."
Dickens boy.   		3 letters,"TIM.    	Tiny Tim is the nickname of Timothy Cratchit, the little disabled boy in the Charles Dickens novella ""A Christmas Carol"". 'A Christmas Carol' is such a popular book that it has never been out of print since its first publication in December 1843."
Chowder head?.   		3 letters,CEE.    	The first (head) letter in the word 'chowder' is the letter C (cee).
"109 acres, for Vatican City.   		4 letters","AREA.    	Vatican City is a sovereign city-state that is walled off within the city of Rome. Vatican City is about 110 acres in area, and so is the smallest independent state in the world. With about 800 residents, it is also the smallest state in terms of population. Although the Holy See dates back to early Christianity, Vatican City only came into being in 1929. At that time, Prime Minister Benito Mussolini signed a treaty with the Holy See on behalf of the Kingdom of Italy that established the city-state."
Batman portrayer Kilmer.   		3 letters,"VAL.    	Val Kilmer's first big leading role in a movie was playing Jim Morrison in Oliver Stone's 1991 biopic ""The Doors"". A few years later, Morrison was chosen for the lead in another big production, ""Batman Forever"". Things haven't really gone as well for Kilmer since then, I'd say. Off the screen, he flirted with the idea of running for Governor of New Mexico in 2010. A Hollywood actor as a Governor? Would never happen ..."
___-Magnon.   		3 letters,"CRO.    	Remains of early man, dating back to 35,000 years ago, were found in Abri de Cro-Magnon in southwest France, giving the name to those early humans. Cro-Magnon remains are the oldest human relics that have been discovered in Europe."
Needle holder.   		4 letters,"ETUI.    	An etui is an ornamental case used to hold small items, in particular sewing needles. We imported both the case design and the word ""etui"" from France. The French also have a modern usage of ""etui"", using the term to depict a case for carrying CDs."
N.L.   		3 letters,"PHI.    	Philadelphia's baseball team was founded in 1883 as the Quakers, with the name changing to the Philadelphias and Phillies not long into the team's history. The Phillies have been based in the same city using the same team name longer than any other team in US professional sports."
Fr.   		3 letters,MME.    	Madame (Mme.).
"Mrs., in Marseille.   		3 letters","MME.    	Marseille (often written 'Marseilles' in English) is the second largest city in France, after Paris. Marseille is also the largest commercial port in the country. I used to live nearby, and it's a lovely, lovely place."
Butterfly or Bovary: Abbr..   		3 letters,"MME.    	Puccini's ""Madama Butterfly"" is the most-performed opera in the US. The opera that we see today is actually the second version that Puccini produced. The original version was first staged in 1904 at La Scala in Milan where it received a very poor reception. Puccini reworked the piece, breaking the second act into two new acts and making some other significant changes. The opera was relaunched a few months later and it was a resounding success."
Move like a fly.   		3 letters,"ARC.    	In baseball, a fly ball arcs high across the field."
"Many a candidate, briefly.   		3 letters",POL.    	Politician (pol.)
Soccer immortal.   		4 letters,"PELE.    	Pele is the nickname of Edison de Nascimento, who has gone by the name Pele for most of his life. He is now retired, but for my money was the world's great ever soccer player. He is the only person to have been part of three World Cup winning squads. Pele is a national treasure in his native Brazil."
"French ""a"".   		3 letters","UNE.    	""Une"" is the French word for ""a"", but only when used with a feminine noun (like ""une dame"": a lady)."
Polo Ralph Lauren competitor.   		4 letters,"IZOD.    	Jack Izod was a tailor of some repute over in England, producing shirts for King George V as well as other members of the Royal Family. As Izod was about to retire, he was approached for the use of his name by an American clothing manufacturer based in New York. The brand Izod of London was introduced to America in 1938."
Oregon's capital.   		5 letters,"SALEM.    	Salem is the state capital of Oregon. It is thought that the city takes its name from the older city of Salem, Massachusetts."
Diamond stat.   		3 letters,RBI.    	Run batted in (RBI)
Hitter's stat.   		3 letters,RBI.    	Runs batted in (RBI)
"Casino offering, derived from the Latin for ""five each"".   		4 letters","KENO.    	The name ""Keno"" has French or Latin roots, with the French ""quine"" being a term for five winning numbers, and the Latin ""quini"" meaning ""five each"". The game originated in China and was introduced into the West by Chinese immigrants who were working on the first Transcontinental Railroad in the 1800s."
Designer inits.   		3 letters,"YSL.    	Yves Saint-Laurent was a French fashion designer, actually born in Algeria. He started off working as an assistant to Christian Dior at the age of 17. Dior died just four years later, and as a very young man Saint-Laurent was named head of the House of Dior. However, in 1950 Saint-Laurent was conscripted into the French Army and ended up in a military hospital after suffering a mental breakdown from the hazing inflicted on him by his fellow soldiers. His treatment included electroshock therapy and administration of sedatives and psychoactive drugs. He was released from prison, managed to pull his life back together, and started his own fashion house. A remarkable story ..."
"""Metamorphoses"" poet.   		4 letters",OVID.    	The Roman poet Publius Ovidius Naso is today known simply as Ovid. Ovid is usually listed alongside the two other great Roman poets: Horace and Virgil.
Ron who played Tarzan.   		3 letters,"ELY.    	Ron Ely is most famous for playing the title role in the ""Tarzan"" TV series in the sixties. Years later, Ely hosted the 1980 and 1981 ""Miss America"" pageants right after longtime host Bert Parks retired, before the job was taken over by Gary Collins. And, Ely is a successful mystery novelist. He wrote ""Night Shadows"" and ""East Beach"" in the mid-nineties, both of which featured his private eye Jake Sands."
"Awareness-raising spot, for short.   		3 letters",PSA.    	Public service announcement (PSA)
"Cards, on scoreboards.   		3 letters","STL.    	The St. Louis Cardinals were originally called the ""Brown Stockings"", changing their name to the ""Perfectos"" in 1899. The new name obviously didn't go down well with the locals, as the owners changed it one year later to the Cardinals."
"""Dragnet"" broadcast, for short.   		3 letters",APB.    	An All Points Bulletin (APB) is a broadcast from one US law enforcement agency to another.
Home of Paris.   		4 letters,"TROY.    	In Greek legend, Paris was the son of the king of Troy. Paris eloped with Helen, Queen of Sparta, and this act was a major trigger for the Trojan War. Also it was Paris who fatally wounded Achilles by shooting him in the heel with an arrow."
John.   		3 letters,"LAV.    	Our word 'lavatory' originally referred to a washbasin, and comes from the Latin 'lavatorium', a place for washing. In the 1600s a ""lavatory"" came to mean a washroom, and in the 1920s a toilet."
Monopoly quartet: Abbr..   		3 letters,RRS.    	There are four railroads (RRs) in Monopoly.
Coll.   		3 letters,"RAS.    	RAs are resident assistants, or resident advisers, the peer leaders found in residence halls, particularly on a college campus."
Rive Gauche's river.   		5 letters,"SEINE.    	The famous 'Left Bank' ('La Rive Gauche') of the River Seine in Paris is the river's southern bank. The area south of the river was traditionally quite bohemian and was home to artists, students and intellectuals."
Fuego extinguisher.   		4 letters,"AGUA.    	In Spanish, a fire (fuego) might be extinguished using water (agua)."
Manhunt letters.   		3 letters,APB.    	An All Points Bulletin (APB) is a broadcast from one US law enforcement agency to another.
Little pasta.   		4 letters,"ORZO.    	Orzo is pasta that has been formed into granular shapes, much like barley. And indeed, ""orzo"" is the Italian word for ""barley""."
N.Y.C.-based grp.   		3 letters,"MTA.    	The MTA is the Metropolitan Transportation Authority, which has public transportation responsibility in the state of New York (as well as part of Connecticut)."
Dickens orphan.   		4 letters,"NELL.    	""The Old Curiosity Shop"" by Charles Dickens tells the story of little 14-year-old Nell Trent and her grandfather who live in the Old Curiosity Shop in London. If you visit London, there actually is an ""Old Curiosity Shop"", in Westminster. It is an establishment selling odds and ends, old curiosities, and is believed to have been the inspiration for the shop in the Dickens story. The building has been around since the 1500s, but the name ""The Old Curiosity Shop"" was added after the book was published."
Fashion mogul Gunn.   		3 letters,"TIM.    	Tim Gunn is a fashion consultant, and these days a television personality as well. He makes regular appearances on the reality TV show 'Project Runway', and is so popular a character that he now has his own show called 'Tim Gunn's Guide in Style'."
Rude dude.   		3 letters,"CAD.    	Our word ""cad"", meaning ""a person lacking in finer feelings"", is a shortening of the word ""cadet"". ""Cad"" was first used for a servant, and then students at British universities used ""cad"" as a term for a boy from the local town. ""Cad"" took on its current meaning in the 1830s."
March org.?.   		4 letters,"ROTC.    	The Reserve Officers' Training Corps (ROTC) is a training program for officers based in colleges all around the US. The ROTC program was established in 1862 when as a condition of receiving a land-grant to create colleges, the federal government required that military tactics be part of a new school's curriculum."
"""Iliad"" locale.   		4 letters","TROY.    	The Iliad is an epic poem by the Greek poet Homer, which tells the story of the siege of Ilium (also known as Troy) during the Trojan war."
Onetime sponsor of what is now Minute Maid Park.   		5 letters,"ENRON.    	Enron Field, as it was known, is a retractable-roof ballpark that was built next to Houston's old Union Station. Enron paid $100 million to get its name on the field, and then when the world found out what a scam Enron actually was, the Astros bought back the contract for the name, for a mere $2.1 million. The stadium became Astros Field for a few months, until the Coke people paid $170 million for a 28-year contract to christen the stadium Minute Maid Park. A good deal for the Astros, I'd say."
Novelist Anaïs.   		3 letters,"NIN.    	Anaïs Nin was a French author, famous for her journals that she wrote for over sixty years from the age of 11 right up to her death. Nin also wrote highly-regarded erotica and cited D. H. Lawrence as someone from whom she drew inspiration. Nin was married to banker and artist Hugh Parker Guiler in 1923. Decades later in 1955, Nin married former actor Rupert Pole, even though she was still married to Guiler. Nin and Pole had their marriage annulled in 1966, but just for legal reasons, and they continued to live together as husband and wife until Nin passed away in 1977."
Powerful old Pontiac.   		3 letters,GTO.    	GTO stands for Gran Turismo Omologato.
Paris possessive.   		3 letters,"SES.    	SES is the French for ""their""."
Mitchell heroine.   		6 letters,"O'HARA.    	As casting proceeded for the movie version of ""Gone With the Wind"", Clark Gable was a shoo-in from day one. The role of Scarlett was considered very desirable in the acting community, with Bette Davis on the short list, and Katherine Hepburn demanding an appointment with producer David O. Selznick to discuss the role. Vivien Leigh was an unlikely contender, an English actress for the definitive Southern belle role. Selznick was adamant though, and stuck by his choice despite a lot of protests."
Muesli ingredient.   		3 letters,"OAT.    	""Meusli"" is a Swiss-German term describing a breakfast serving of oats, nuts, fruit and milk. Delicious ..."
Tabloid couple.   		4 letters,"ITEM.    	An unmarried couple known to be involved with each other might appear in the gossip columns. This appearance as ""an item"" in the papers, led to the use of ""item"" to refer to such a couple, but only since the very early seventies."
"""Bien ___!"".   		3 letters","SUR.    	""Bien sûr"" translates from French as ""of course"", although a literal translation is ""well sure""."
"Surprising discovery at the Lascaux cave that's 17,000 years old.   		3 letters","ART.    	The cave paintings in a cave complex near the village of Lascaux in southwestern France are perhaps the best-known examples of Upper Paleolithic art in the world. The paintings are about 17,300 years old, are about 2,000 in number and mainly depict large animals and human figures. The cave complex was discovered in 1940 by an 18-year-old man, and was opened to the public in 1948. However, public access has created many problems with damage to the paintings caused by carbon dioxide and by fungus and mold. Right now, human access to the caves is extremely limited."
"""Seduction of the Minotaur"" author.   		3 letters","NIN.    	Anaïs Nin was a French author, famous for her journals that she wrote for over sixty years from the age of 11 right up to her death. Nin also wrote highly regarded erotica and cited D. H. Lawrence as someone from whom she drew inspiration. Nin was married to banker and artist Hugh Parker Guiler in 1923. Decades later in 1955, Nin married former actor Rupert Pole, even though she was still married to Guiler. Nin and Pole had their marriage annulled in 1966, but just for legal reasons, and they continued to live together as husband and wife until Nin passed away in 1977."
"Poet who wrote ""If you want to be loved, be lovable"".   		4 letters",OVID.    	The Roman poet Publius Ovidius Naso is today known simply as Ovid. Ovid is usually listed alongside the two other great Roman poets: Horace and Virgil.
Cookware item.   		4 letters,OLLA.    	An olla is a traditional clay pot used for the making of stews. 'Olla' was the Latin word used in Ancient Rome to describe a similar type of pot.
___ salts.   		5 letters,"EPSOM.    	Epsom is most famous for its racecourse, at which is run the Epsom Derby every year, one of the three races that make up the English Triple Crown. You might also have heard of Epsom salts. Epsom salts are magnesium sulfate, originally prepared by boiling down mineral waters (Epsom was indeed a spa town at one time)."
___-Magnon.   		3 letters,"CRO.    	Remains of early man, dating back to 35,000 years ago, were found in Abri de Cro-Magnon in southwest France, giving the name to those early humans. Cro-Magnon remains are the oldest human relics that have been discovered in Europe."
Yuletide quaff.   		3 letters,"NOG.    	It's not really clear where the term ""nog"" (as in 'eggnog') comes from although it might derive from the word ""noggin"", which was originally a small wooden cup that was long associated with alcoholic drinks."
"Marie Curie, e.g.: Abbr..   		3 letters","MME.    	Marie Curie lived a life of firsts. She was the first female professor at the University of Paris, the first woman to win a Nobel Prize, and indeed was the first person to win two Nobel prizes (in 1903 and 1911). Most of Curie&#8217;s work was in the field of radioactivity, and was carried out in the days when the impact of excessive radiation on the human body was not understood. She died from aplastic anemia, caused by high exposure to radiation. To this day, Curie's personal papers are kept preserved in lead-lined boxes as they are highly radioactive, even her personal cookbook."
Actress Ward.   		4 letters,"SELA.    	Sela Ward turns up in crosswords a lot. She played Teddy Reed in the TV show ""Sisters"" in the nineties, was in ""Once and Again"" from 1999-2002. I don't know either show. I do know her from ""House"" though. She played the hospital's lawyer, and Greg House's ex-partner. That was a fun role, I thought."
Mennonite group.   		5 letters,"AMISH.    	The Amish are a group of Christian churches, a sub-group of the Mennonite churches. The Amish church originated in Switzerland and Alsace in 1693 when it was founded by Jakob Ammann. It was Ammann who gave the name to the Amish people. Many Amish people came to Pennsylvania in the 18th century."
"Eye layer whose name derives from the Latin for ""grape"".   		4 letters",UVEA.    	The uvea is the middle of the three layers that make up the eyeball. The term comes from the Latin 'uva' meaning 'grape'.
Article used by Einstein.   		3 letters,"DER.    	'Der' is the German for 'the', when used with a masculine noun."
Some advanced degs.   		3 letters,MSS.    	Master of Science (MS)
Spanish pot.   		4 letters,OLLA.    	An olla is a traditional clay pot used for the making of stews. 'Olla' was the Latin word used in Ancient Rome to describe a similar type of pot.
"Before, to Kipling.   		3 letters","ERE.    	Rudyard Kipling was a British poet and writer famous for his tales of the British Raj, the rule of the British Empire in India. Kipling was actually born in Bombay, but returned with his family to England when he was very young. After being educated in England, he returned to India and from there traveled the world. Kipling's most famous works are the stories 'The Jungle Book', 'Just So Stories', 'The Man Who Would Be King', and the poems 'Mandalay', 'Gunga Din' and 'If-'."
Fashion inits.   		3 letters,"YSL.    	Yves Saint-Laurent was French fashion designer, actually born in Algeria. He started off working as an assistant to Christian Dior, at the age of 17. Dior died just four years later, and as a very young man Saint-Laurent was named head of the House of Dior. However, in 1950, Saint-Laurent was conscripted into the French Army, and ended up in a military hospital after suffering a mental breakdown from the hazing inflicted by his fellow soldiers. His treatment included electroshock therapy and administration of sedatives and psychoactive drugs. He was released from prison, managed to pull his life back together, and started his own fashion house. Remarkable ..."
One of Heinrich Schliemann's excavations.   		4 letters,TROY.    	Heinrich Schliemann was an amateur archaeologist who focused on the locating the places mentioned in the works of Homer. Schliemann was one of the principal archaeologists who discovered the ancient city of Troy.
"Lieutenant ___ of ""Forrest Gump"".   		3 letters","DAN.    	Actor Gary Sinise was nominated for a Best Supporting Actor Oscar for playing Lieutenant Dan Taylor in the 1994 film ""Forrest Gump"". Senise has been playing the lead in television's ""CSI: NY"" since 2004. The actor was awarded the Presidential citizen medal by President George W. Bush for his work helping Iraqi school children and his work with the USO."
Buzzing pest.   		4 letters,"GNAT.    	Gnats are attracted to the smell of rotting food, and to vinegar. Simple homemade traps that use vinegar are often constructed to attract and kill gnats."
"""Little Birds"" author.   		3 letters","NIN.    	Anaïs Nin was a French author, famous for her journals that she wrote for over sixty years from the age of 11 right up to her death. Nin also wrote highly regarded erotica and cited D. H. Lawrence as someone from whom she drew inspiration. Nin was married to banker and artist Hugh Parker Guiler in 1923. Decades later in 1955, Nin married former actor Rupert Pole, even though she was still married to Guiler. Nin and Pole had their marriage annulled in 1966, but just for legal reasons, and they continued to live together as husband and wife until Nin passed away in 1977."
Mumbai music.   		4 letters,"RAGA.    	Raga isn't really a type of music as such, but has been described as the ""tonal framework"" in which Indian classical music is composed. Ravi Shankar is perhaps the most famous raga virtuoso (to us Westerners)."
Triple Crown stat.   		3 letters,"RBI.    	In baseball, a player can earn the Triple Crown when he is the leader in three specific statistics. The pitching Triple Crown includes wins, strikeouts and earned run average (ERA). The batting Triple Crown includes home runs, runs batted in (RBI) and batting average."
"___ Lysacek, 2010 Olympic figure skating gold medalist.   		4 letters","EVAN.    	Evan Lysacek is a US figure skater, the 2009 world champion, and the 2010 Olympic champion. You might have seen Lysacek on ""Dancing with the Stars"", on which he placed second."
"___ Field (Minute Maid Park, once).   		5 letters","ENRON.    	Enron Field, as it was known, is a retractable-roof ballpark that was built next to Houston's old Union Station. Enron paid $100 million to get its name on the field, and then when the world found out what a scam Enron actually was, the Astros bought back the contract for the name, for a mere $2.1 million. The stadium became Astros Field for a few months, until the Coke people paid $170 million for a 28-year contract to christen the stadium Minute Maid Park. A good deal for the Astros, I'd say."
Card initials.   		3 letters,"STL.    	The St. Louis Cardinals were originally called the 'Brown Stockings', changing their name to the 'Perfectos' in 1899. That obviously didn't go down well with the locals, as the owners changed it one year later to the Cardinals."
African antelope.   		3 letters,"GNU.    	A gnu is also known as a wildebeest, an antelope native to Africa. ""Wildebeest"" is actually the Dutch word for ""wild beast""."
Loch Lomond local.   		4 letters,"SCOT.    	I would guess that Loch Lomond is one of the two most famous lakes in Scotland. Loch Ness is famous for its ""monster"", and Loch Lomond is famous for the lovely song ""The Bonnie Banks o' Loch Lomond"". Oh, ye'll tak' the high road, and I'll tak' the low road ..."
Docs with little flashlights.   		4 letters,"ENTS.    	Ear, Nose and Throat specialist (ENT)"
About 7% of it is American.   		5 letters,"SAMOA.    	The official name for the South Pacific country formerly known as Western Samoa is the Independent State of Samoa. ""Samoa"" is the western part of the island group, with American Samoa lying to the southeast. The whole group of islands used to be known as Navigators Island, a name given by European explorers in recognition of the seafaring skills of the native Samoans."
TV's Warrior Princess.   		4 letters,"XENA.    	The Xena character, famously played by New Zealander Lucy Lawless, was introduced in a made-for-TV movie called 'Hercules and the Amazon Women'. Lawless reprised the role in a series called ""Hercules: The Legendary Journeys"". Xena became so popular that a series was built around her character, with Lawless retained for the title role."
Refusal from Putin.   		4 letters,"NYET.    	'Nyet' is Russian for 'no', and 'da' is Russian for 'yes'."
Brazilian soccer legend.   		4 letters,"PELE.    	Pelé is the nickname of Edson de Nascimento, a soccer player who has used the name Pelé for most of his life. Pelé is now retired, and for my money was the world's greatest ever player of the game. He is the only person to have been part of three World Cup winning squads, and is a national treasure in his native Brazil."
Rank in kendo.   		3 letters,DAN.    	Kendo is a Japanese martial art based on sword fighting.
"""Little"" Dickens girl.   		4 letters","NELL.    	""The Old Curiosity Shop"" by Charles Dickens tells the story of little 14-year-old Nell Trent and her grandfather who live in the Old Curiosity Shop in London. If you visit London, there actually is an ""Old Curiosity Shop"", in Westminster. It is an establishment selling odds and ends, old curiosities, and is believed to have been the inspiration for the shop in the Dickens story. The building has been around since the 1500s, but the name ""The Old Curiosity Shop"" was added after the book was published."
Silver of fivethirtyeight.com.   		4 letters,"NATE.    	Nate Silver is a statistician who first gained notoriety by developing a forecasting system that predicted the future performance of baseball players. He then made a name for himself in the world of politics by predicting the outcome of the 2008 US presidential race. Silver successfully predicted the outcome of the election in 49 of the 50 states, missing out on Indiana, which Barack Obama won by less than 1% of the vote."
Troops' support grp.   		3 letters,"USO.    	The United Service Organization was founded in 1941 at the request of FDR, ""to handle the on-leave recreation of the men in the armed forces"". A USO tour is a tour by a troupe of entertainers, many who are big-name celebrities, to troop locations that often including combat zones."
LAX watchdog.   		3 letters,FAA.    	The Federal Aviation Administration ...
Take back.   		4 letters,REPO.    	Repossess ...
German article.   		3 letters,"DER.    	'Der', 'die' and 'das' are German words meaning 'the'. 'Der' is used with a masculine noun, 'die' with a feminine noun and 'das' with a neuter noun."
Eastern European.   		4 letters,SLAV.    	The Slavic peoples are in the majority in communities covering over half of Europe. This large ethnic group is traditionally broken down into three smaller groups:
"Shrek, for one.   		4 letters","OGRE.    	Before ""Shrek"" was a successful movie franchise and Broadway musical, it was a children's picture book called ""Shrek!"" authored and illustrated by William Steig. The title ""Shrek!"" came from the German/Yiddish word Schreck, meaning ""fear"" or ""terror""."
Joe Biden's home: Abbr..   		3 letters,"DEL.    	Vice President Joe Biden was a US Senator representing the state of Delaware from 1973 until he joined the Obama administration. While he was a senator, Vice President Biden commuted to Washington from Wilmington, Delaware almost every working day. He was such an active customer and supporter of Amtrak that the Wilmington Station was renamed as the Joseph R. Biden Railroad Station in 2011. Biden has made over 7,000 trips from that station, and the Amtrak crews were known to even hold the last train for a few minutes so that he could catch it. Biden earned himself the nickname 'Amtrak Joe'."
Player of a big scaredy-cat?.   		4 letters,"LAHR.    	Bert Lahr's most famous role was that of the cowardly lion in ""The Wizard of Oz"". Lahr had a long career in burlesque, vaudeville and on Broadway. Remember the catch phrase made famous by the cartoon character Snagglepuss, ""Heavens to Murgatroyd!""? Snagglepuss stole that line from a 1944 movie called, ""Meet the People"" in which it was first uttered by none other than Bert Lahr."
Sauce brand since 1937.   		4 letters,"RAGU.    	The Ragu brand of pasta sauce is owned by Unilever. The name "" Ragù"" is the Italian word for a sauce used to dress pasta, however the spelling is off a little. In Italian the word is ""Ragù"" with a grave accent over the ""u"", but if you look at a jar of the Unilever sauce, it is spelled ""Ragú"" on the label, with an acute accent. Sometimes I think we just don't try ..."
What to call some femmes: Abbr..   		3 letters,"MME.    	In France, some women (femmes) might be addressed as 'Madame' (Mme.)."
Dickens's Tiny ___.   		3 letters,"TIM.    	Tiny Tim is the nickname of Timothy Cratchit, the little disabled boy in the Charles Dickens novella ""A Christmas Carol"". 'A Christmas Carol' is such a popular book that it has not been out of print since its first publication in December 1843."
Seat seeker.   		3 letters,POL.    	A politician (pol) usually seeks a seat.
Tolkien creatures.   		4 letters,"ENTS.    	Ents are those tree-like creatures that live in J. R. R. Tolkien's Middle-earth in his series of books ""The Lord of the Rings"". 'Ent' is an Old English word for 'giant'."
Vladimir's veto.   		4 letters,"NYET.    	""Nyet"" is Russian for ""no"", and 'da' is Russian for 'yes'."
"Fey of ""30 Rock"".   		4 letters",TINA.    	30 Rock' is a sitcom on NBC that was created by the show's star Tina Fey. Fey is an ex-performer and writer from 'Saturday Night Live' and uses her experiences on that show as a basis for the '30 Rock' storyline. '30 Rock' aired its last episode in early 2013.
Target of a 1972 ban.   		3 letters,"DDT.    	DDT is dichlorodiphenyltrichloroethane (don't forget now!). DDT was used with great success to control disease-carrying insects during WWII, and when made available for use after the war it became by far the most popular pesticide. And then Rachel Carson published her famous book ""Silent Spring"", suggesting there was a link between DDT and diminishing populations of certain wildlife. It was the public outcry sparked by the book, and reports of links between DDT and cancer, that led to the ban on the use of the chemical in 1972. That ban is touted as the main reason that the bald eagle was rescued from near extinction."
Duma dissent.   		4 letters,"NYET.    	'Nyet' is Russian for 'no', and 'da' is Russian for 'yes'."
"Party planner, for short?.   		3 letters","POL.    	""Pol"" is an informal term for a politician."
"Singer Bareilles with the 2007 hit ""Love Song"".   		4 letters","SARA.    	Sara Bareilles achieved success with her 2007 'Love Song' with the help of the iTunes online store. In one week in June of that year, iTunes offered the song as ""free single of the week"" and it quickly became the most downloaded song in the store, and from there climbed to the number spot in the charts."
Stinker.   		3 letters,"CAD.    	Our word ""cad"", meaning ""a person lacking in finer feelings"", is a shortening of the word ""cadet"". ""Cad"" was first used for a servant, and then students at British universities used ""cad"" as a term for a boy from the local town. ""Cad"" took on its current meaning in the 1830s."
Bird that's also the name of an Irish river.   		4 letters,ERNE.    	The ern (also erne) is also called the white-tailed eagle or sea-eagle.
Anonymous John.   		3 letters,"DOE.    	Though the English court system does not use the term today, John Doe first appeared as the ""name of a person unknown"" in England in 1659, along with another unknown, Richard Roe. Joe Blow is just a variant of John Doe, and Jane Doe is an unknown female."
Math is part of it: Abbr..   		4 letters,PSAT.    	I think the acronym PSAT stands for Preliminary Scholastic Aptitude Test.
Cowardly Lion portrayer.   		4 letters,"LAHR.    	Bert Lahr's most famous role was the cowardly lion in ""The Wizard of Oz"". Lahr had a long career in burlesque, vaudeville and on Broadway. Remember the catch phrase made famous by the cartoon character Snagglepuss, ""Heavens to Murgatroyd!""? Snagglepuss stole that line from a 1944 movie called, ""Meet the People"" in which it was first uttered by none other than Bert Lahr."
East Coast city where tourism peaks in October.   		5 letters,"SALEM.    	Salem is a seaport on the Massachusetts coast. It is noted as the location of the Salem Witch Trials of 1692, an event that the city commemorates during the run up to Halloween every year in October."
2016 Republican convention site: Abbr..   		3 letters,"CLE.    	The 2016 Republican National Convention is scheduled for July 18-21, in the Quicken Loans Arena in Cleveland. Assuming Donald Trump gets the nomination, he will the first Republican presidential candidate without political experience since 1952. That was when Dwight D. Eisenhower won the top of the ticket. "
Poet Teasdale.   		4 letters,"SARA.    	Sara Teasdale was a poet from St. Louis, Missouri although she spent much of her adult life in New York City. Examples of Teasdale's most famous poems are ""There Will Come Soft Rains"" and ""I Shall Not Care"". Teasdale committed suicide in 1933 by taking an overdose of sleeping pills."
Numbers game.   		4 letters,"KENO.    	The name ""Keno"" has French or Latin roots, with the French ""quine"" being a term for five winning numbers, and the Latin ""quini"" meaning ""five each"". However, the game actually originated in China. Keno was introduced to the West by Chinese immigrants who were working on the first Transcontinental Railroad in the 1800s."
Muscat citizen.   		5 letters,"OMANI.    	Oman lies on the southeast coast of the Arabian Peninsula and is neighbored by the OAE, Saudi Arabia and Yemen. The capital city of Muscat has a strategic location on the Gulf of Oman and has a history of invasion and unrest. Centuries of occupation by the Persians ended in 1507 when the Portuguese took the city in a bloody attack. The Portuguese held Muscat for much of the next one hundred years until finally being ousted by local Omani forces in 1648. A Yemeni tribe invaded the area in 1741 and set up a monarchy that has been in place in Oman ever since."
"Satyajit Ray's ""The ___ Trilogy"".   		3 letters","APU.    	Satyajit Ray was a Bengali filmmaker, famous for directing ""The Apu Trilogy"". These were three Bengali films that were released between 1955 and 1959. They featured music composed by Ravi Shankar, and are considered to be some of the greatest movies of all times by international critics, yet they were filmed on tiny budgets."
"Company whose logo was, appropriately, crooked.   		5 letters","ENRON.    	After all the trials following the exposure of fraud at Enron, several of the key players ended up in jail. Andrew Fastow was the Chief Financial Officer. He plea-bargained and received ten years without parole, and became the key witness in the trials of others. Even Fastow's wife was involved and she was sentenced to one year for helping her husband hide money. Jeffrey Skilling (ex-CEO) was sentenced to 24 years and 4 months. Kenneth Lay (CEO) died in 2006 after he had been found guilty but before he could be sentenced. The accounting firm Arthur Andersen was found guilty of obstruction of justice for shredding thousands of pertinent documents and deleting emails and files (a decision that the Supreme Court later overturned on a technicality). But still, Arthur Andersen collapsed under the weight of the scandal and 85,000 people lost their jobs (despite only a handful being directly involved with Enron)."
H-dos-O?.   		4 letters,"AGUA.    	In Spanish, 'H-dos-O' (H-two-O) is the chemical symbol for 'agua' (water)."
Kilmer of Hollywood.   		3 letters,"VAL.    	Val Kilmer's first big leading role in a movie was playing Jim Morrison in Oliver Stone's 1991 biopic ""The Doors"". A few years later, Morrison was chosen for the lead in another big production, ""Batman Forever"". Things haven't really gone as well for Kilmer since then, I'd say. Off the screen, he flirted with the idea of running for Governor of New Mexico in 2010. A Hollywood actor as a Governor? Would never happen ..."
Capone's nemesis.   		4 letters,"NESS.    	Eliot Ness was the Treasury agent charged with the task of bringing down the notorious Chicago gangster Al Capone. When Ness took on the job in 1930, Chicago law-enforcement agents were renowned for being corrupt, for being on the take. Ness handpicked 50 prohibition agents who he thought he could rely on, later reducing the group to a cadre of 15 and ultimately just 11 trusted men. That group of 11 earned the nickname ""The Untouchables"", the agents who couldn't be bought."
It has a 30-min.   		4 letters,PSAT.    	Preliminary Scholastic Aptitude Test(PSAT)
"2010 film ""___ Men"".   		4 letters","REPO.    	Repo Men' is a 2010 sci-fi film starring Jude Law and Forest Whitaker. The movie is based on an Eric Garcia novel called 'the Repossession Mambo', and wasn't very well received by the critics."
"John who wrote ""Appointment in Samarra"".   		6 letters","O'HARA.    	""Appointment in Samarra"" was John O'Hara's first novel, published in 1934. Samarra is a city north of Baghdad in Iraq, although the story itself takes place in a fictional town in Pennsylvania. The novel deals with the last three days in the life of Julian English, describing how he destroys himself with a series compulsive acts leading up to his suicide. This one doesn't qualify as light reading for the plane ..."
Symbol of Aphrodite.   		4 letters,"ROSE.    	As always seems to be the case with Greek gods, Eros and Aphrodite have overlapping spheres of influence. Aphrodite was the goddess of love between a man and a woman, but Eros was the god who stirred the passions of the male."
___ Jima.   		3 letters,"IWO.    	Iwo Jima is a volcanic island located south of Tokyo that today is uninhabited. The name is Japanese for 'Sulfur Island', referring to the sulfur mining on which Iwo Jima's economy once depended. There were about a thousand Japanese civilians living on the island prior to WWII. In 1944, there was a massive influx of Japanese military personnel in anticipation of the inevitable US invasion. As the Japanese military moved in, the civilians were forced out and no one has lived there since."
