ACR_,ACRE.    	Acre is a port city in northern Israel on Haifa Bay.
M_E,"MOE.    	The Three Stooges' is a 2012 movie, kind of a remake of several classic ""Three Stooges"" shorts, set in a contemporary time period. This is not one that I've seen, nor even heard outside of crosswords."
OL_O,"OLIO.    	Olio is a term meaning a hodgepodge or a mixture, coming from the mixed stew of the same name. The stew in turn takes its name from the Spanish ""olla"", the clay pot used for cooking."
T_A,TIA.    	Tia Carrere is an actress from Honolulu who got her break in the soap opera 'General Hospital'. Carrere is perhaps best known for playing Cassandra Wong in the 'Wayne's World' movies.
LE_,"LEN.    	Len Dawson is a retired AFL-NFL quarterback, who played for the Dallas Texans/Kansas City Chiefs."
EM_,"EMI.    	EMI is a British music company, with the acronym originally standing for Electric and Musical Industries."
BR_,"BRA.    	The word ""brassière"" is French in origin, but it isn't the word the French use for a ""bra"". In France what we call a bra is known as a ""soutien-gorge"", translating to ""held under the neck"". The word ""brassière"" is indeed used in France but there it describes a baby's undershirt, a lifebelt or a harness. ""Brassière"" comes from the Old French word for an ""arm protector"" in a military uniform (""bras"" is the French for ""arm""). Later ""brassière"" came to mean ""breastplate"" and from there the word was used for a type of woman's corset. The word jumped into English around 1900."
A_ME,"ACME.    	The ""acme"" is the highest point, coming from the Greek word ""akme"" which has the same meaning."
A_EL,"ABEL.    	In the story of Cain and Abel in the Book of Genesis, Cain murders his brother Abel. Subsequently, God asks Cain, 'Where is Abel thy brother?' Cain replies, 'I do not know. Am I my brother's keeper?'"
CE_,"CEL.    	In the world of animation, a cel is a transparent sheet on which objects and characters are drawn. In the first half of the 20th century the sheet was actually made of celluloid, giving the ""cel"" its name."
CH_,"CHE.    	Ernesto ""Che"" Guevara was born in Argentina, and in 1948 he started to study medicine at the University of Buenos Aires. While at school he satisfied his need to ""see the world"" by taking two long journeys around South America, the story of which are told in Guevara's memoir later published as ""The Motorcycle Diaries"". While travelling, Guevara was moved by the plight of the people he saw and their working conditions and what he viewed as capitalistic exploitation. In Mexico City he met brothers Raul and Fidel Castro and was persuaded to join their cause, the overthrow of the US-backed government in Cuba. He rose to second-in-command among the Cuban insurgents, and when Castro came to power Guevara was influential in repelling the Bay of Pigs Invasion and bringing Soviet nuclear missiles to the island. Guevara left Cuba in 1965 to continue his work as a revolutionary. He was captured by Bolivian forces in 1967, and was executed. Fidel Castro led the public mourning of Guevara's death, and soon the revolutionary was an icon for many left-wing movements around the world."
ERL_,"ERLE.    	I must have read all of the Perry Mason books when I was in college. I think they kept me sane when I was facing the pressure of exams. Author Erle Stanley Gardner was himself a lawyer, although he didn't get into the profession the easy way. Gardner went to law school, but got himself suspended after a month. So, he became a self-taught attorney and opened his own law office in Merced, California. Understandably, he gave up the law once his novels became successful."
E_SE,"ERSE.    	There are three Erse languages: Irish, Manx (spoken on the Isle of Man) and Scots Gaelic. In their own tongues, these would be Gaeilge (in Ireland), Gaelg (on the Isle of Man) and Gaidhlig (in Scotland)."
D_A,DEA.    	The Drug Enforcement Administration (DEA) was set up in 1973 while President Nixon was in office.
AS_,"ASS.    	""Doofus"" (also ""dufus"") is student slang that has been around since the sixties. Apparently the word is a variant of the equally unattractive term ""doo-doo""."
A_S,"ASS.    	""Dummkopf"" is a German word that translates literally as ""dumb head""."
ATR_A,ATRIA.    	In modern architecture an atrium (plural 'atria' or 'atriums') is a large open space usually in the center of a building and extending upwards to the roof. The original atrium was an open court in the center of an Ancient Roman house. One could access most of the enclosed rooms of the house from the atrium.
S_R,SLR.    	Single-lens reflex (SLR) camera
A_R,APR.    	Annual percentage rate (APR).
_URO,"EURO.    	Euro coins are issued by all the participating European states. The reverse side is a common design used by all countries, whereas the obverse is a design specific to each nation. For example, the one euro coin issued by Malta features the Maltese Cross. That Maltese euro is legal tender right across the eurozone. And by the way, the Irish euro features a harp."
T_T,"TAT.    	The word ""tattoo"" (often shortened to 'tat') was first used in English in the writings of the famous English explorer Captain Cook. In his descriptions of the indelible marks adorning the skin of Polynesian natives, Cook anglicized the Tahitian word ""tatau"" into our ""tattoo""."
_AU,TAU.    	The Greek letter tau would be the leading letter in the word 'Troy'.
_CRE,"ACRE.    	At one time, an acre was defined as the amount of land a yoke of oxen could plow in a day. This was more precisely defined as a strip of land 'one furrow long' (i.e. one furlong) and one furlong wide. The length of one furlong was equal to 10 chains, or 40 rods. A area of one furlong times 10 rods was one rood."
DE_,DEA.    	The Drug Enforcement Administration was set up in 1973 under the Nixon administration.
_ERO,"EERO.    	Eero Saarinen was a Finnish American architect, renowned in America for his unique designs for public buildings, such as Dulles International Airport Terminal, and the TWA building at JFK."
ETA_,ETAS.    	Expected time of arrival (ETA)
E_RO,"EURO.    	Euro coins are issued by all the participating European states. The reverse side is a common design used by all countries, whereas the obverse is a design specific to each nation. For example, the one euro coin issued by Malta features the Maltese Cross. That Maltese euro is legal tender right across the eurozone. The Irish euro features a harp."
_DS,TDS.    	Touchdowns (TDs)
AC_E,"ACME.    	The ""acme"" is the highest point, coming from the Greek word ""akme"" which has the same meaning."
_RA,BRA.    	A balconette bra is one which features low cups and wide-set straps. Apparently this style of bra was given the name as men in a theatre balcony looking down at a female performer could not see any signs of the bra. No comment ...
EM_,"EMI.    	The Abbey Road Studios in London was a large, Georgian townhouse built in the 1830s. It became a recording studio in 1931, and you can even see some YouTube video showing Sir Edward Elgar back then making recordings with the London symphony Orchestra. The studios passed through various owners and by the time the Beatles started their famous recording it was known as EMI Studios. The Beatles recorded practically all of their albums there, between 1962 and 1970. Famously they named a 1969 album after the studio, ""Abbey Road"". That's the one with the cover showing the Fab Four crossing the ""zebra crossing"" outside the studio."
EL_OT,"ELIOT.    	""Adam Bede"" was the first novel written by the English writer George Eliot (aka Mary Ann Evans). It was published in 1859 and has been in print since then, over 150 years."
_EO,"REO.    	The REO Motor Company was founded by Ransom E. Olds (hence the name REO). The company made cars, trucks and buses, and was in business from 1905 to 1975 in Lansing, Michigan."
T_I,"TAI.    	More properly called tai chi chuan, tai chi is a martial art mostly practiced to improve overall health and increase longevity."
BR_,"BRA.    	A blouse is a loose-fitting shirt, particularly worn by women or children. The term 'blouse' is French, and originally described a peasant's smock."
_SA,USA.    	'Monk' is a comedy cop show in which the title character is an ex-San Francisco Police Department detective who is recovering from a nervous breakdown.
U_A,"USA.    	The first FIFA Women's World Cup is a soccer tournament that has been held every four years since 1991. The US national team has won the tournament three times, more than any other nation."
M_SA,"MESA.    	""Mesa"" is the Spanish for ""table"" and is of course is how we get the term ""mesa"" that describes a geographic feature. ""What's the difference between a butte and a mesa?"" I hear you cry! Both are hills with flat tops, but a mesa has a top that is wider than it is tall. A butte is a much narrower formation, taller than it is wide."
ER_T,"ERAT.    	""In principio erat Verbum"" are the opening lines of what is called the Last Gospel, a passage from the gospel according to St. John. The words (and those that follow) are used in the Roman Catholic Mass, and translate as ""In the beginning was the Word""."
N_A,"NIA.    	Nia Long is an American actress, probably best known for playing Will Smith's sometime girlfriend and fiancee Lisa Wilkes, on the TV show ""The Fresh Prince of Bel Air""."
S_E,"SHE.    	The beauty pageant theme song, ""There She Is, Miss America"", was written by composer Bernie Wayne. Wayne, who died at the age of 74 in 1993, wrote many hit songs, including ""Blue Velvet"" and ""The Magic Touch"". He also wrote a famous advertising jingle: ""Chock Full O'Nuts Is the Heavenly Coffee""."
EM_,"EMI.    	EMI was a British music company, with the initialism originally standing for Electric and Musical Industries."
EAR_,"EARL.    	Earl Warren served as Governor of California from 1943 to 1953 and as US Chief Justice from 1953 until 1969. Earlier in his career, Warren served as district attorney for Alameda County in California, where I happen to be right now writing this post. Warren lent his name to the Warren Commission that he chaired, which investigated the assassination of President Kennedy."
E_SA,"ELSA.    	The life story of Elsa the lion was told by game warden Joy Adamson, who had a very close relationship with the lioness from when Elsa was orphaned as a young cub. Adamson wrote the book ""Born Free"" about Elsa, and then ""Living Free"" which tells the story of Elsa and her three lion cubs. In the 1966 film based on ""Born Free"", Adamson is played by the talented actress Virginia McKenna."
AT_IA,ATRIA.    	In modern architecture an atrium (plural 'atria' or 'atriums') is a large open space usually in the center of a building and extending upwards to the roof. The original atrium was an open court in the center of an Ancient Roman house. One could access most of the enclosed rooms of the house from the atrium.
DE_,DEA.    	The Drug Enforcement Administration (DEA) was set up in 1973 while President Nixon was in office.
OL_O,"OLIO.    	'Olio' is a term meaning a hodgepodge or a mixture, coming from the mixed stew of the same name. The stew in turn takes its name from the Spanish ""olla"", the clay pot used for cooking."
_TAH,"UTAH.    	Utah Beach was the right flank of the Allied assault on Normandy. It was a late consideration in the landing, only being added to the plan when more landing craft became available as D-Day approached. Fighting was relatively light at Utah Beach, compared to the devastation encountered by the other US landing site, Omaha Beach."
EU_O,"EURO.    	The European Union today stands at a membership of 27 states. The Euro is the official currency of only 16 of the 27. The list of states not using the Euro includes the UK, Denmark, Sweden and Norway."
_KE,UKE.    	The ukulele ('uke') originated in the 1800s and mimicked a small guitar brought to the Hawaiian Islands by Portuguese immigrants.
T_B,"TAB.    	Like most features on our computer keyboards, the tab key is a hangover from the days of typewriters. When using a typewriter, making entries into a table was very tedious, involving lots of tapping on the space bar and backspace key. So, a lever was added to typewriters that allowed the operator to ""jump"" across the page to positions that could be set by hand. Later this was simplified to a tab key which could be depressed, causing the carriage to jump to the next tab stop in much the same way that the modern tab key works on a computer."
AR_,ARR.    	Arrival time (arr.)
ETA_,"ETAS.    	A viscous liquid might be described as 'thick', and a more viscous liquid is thicker, less likely to flow."
DT_,"DTS.    	The episodes of delirium that can accompany withdrawal from alcohol are called Delirium Tremens (the DTs). The literal translation of this Latin phrase is ""trembling madness""."
B_A,"BRA.    	The origin of the word 'bikini', a type of bathing suit, seems very uncertain. My favorite story is that it is named after the Bikini Atoll, site of American A-bomb tests in the forties and fifties. The name 'bikini' was chosen for the swim-wear because of the 'explosive' effect it had on men who saw a woman wearing the garment!"
HE_,HER.    	'Have You Seen Her' is a 1971 song recorded by the Chi-Lites.
_RR,ARR.    	Arrival (arr.)
IC_,ICI.    	'Ici' is French for 'here'.
A_ME,"ACME.    	The ""acme"" is the highest point, coming from the Greek word ""akme"" which has the same meaning."
EM_,EMT.    	Emergency medical technician (EMT)
E_RE,ETRE.    	The French for 'to be' is 'être'.
LA_A,"LARA.    	Olga Ivinskaya was the mistress of the writer Boris Pasternak. As such, she was the inspiration for the famous Lara character in Pasternak's novel 'Doctor Zhivago'."
_AB,"TAB.    	Like most features on our computer keyboards, the tab key is a hangover from the days of typewriters. When using a typewriter, making entries into a table was very tedious as it involved lots of tapping on the spacebar and backspace key. So, a lever was added to typewriters that allowed the operator to ""jump"" across the page to positions that could be set by hand. Later this was simplified to a tab key, which could be depressed causing the carriage to jump to the next tab stop in much the same way that the modern tab key works on a computer."
ELS_,"ELSA.    	Albert Einstein's first wife was a fellow student of his at the Zurich Polytechnic, Mileva Marić. The couple had a daughter together before they married in 1903, and then two sons. Albert and Mileva divorced in 1919. Albert was remarried that same year, to Elsa Löwenthal. Albert and Elsa had started a relationship in 1912, while he was still married to his first wife. Elsa had also been married before, divorcing Max Löwenthal in 1908. When Elsa took Albert's name at the time of their marriage, she was regaining her old family name, as she was also an Einstein by birth. Albert and Elsa were first cousins."
AH_,"AHI.    	Yellowfin and bigeye tuna are usually marketed as ""ahi"", the Hawaiian name. They are both big fish, with yellowfish tuna often weighing over 300 pounds, and bigeye tuna getting up to 400 pounds."
E_RE,ETRE.    	The French for 'to be' is 'être'.
D_T,"DST.    	On the other side of the Atlantic, Daylight Saving Time (DST) is known as ""summer time"". The idea behind summer/daylight-savings is to move clocks forward an hour in spring (i.e. 'spring forward') and backwards in the fall (i.e. 'fall back') so that afternoons have more daylight."
N_EL,"NOEL.    	Noel is the French word for the Christmas season, ultimately coming from the Latin word for ""birth"", ""natalis""."
