NAI_,"NAIF.    	A naïf is someone who is naive, as ""naïf"" is the French word for ""naive""."
_SEXUAL,"ASEXUAL.    	Asexual reproduction differs from sexual reproduction in that only one parent is involved. Asexual reproduction is common among simpler organisms and some plants and fungi. Asexual reproduction is thought be useful in providing a rapid growth of a population, whereas sexual reproduction has the advantage of creating genetic diversity, and improving the chances of adaptation to a changing environment."
MOI_A,"MOIRA.    	Moira Shearer was a ballet dancer and actress born Scotland. Shearer's most famous film role was in 1948's 'The Red Shoes', in which she played the lead character, a ballet dancer called Vicky Page. She was married to the respected English journalist and broadcaster Ludovic Kennedy."
TEE_IE,"TEENIE.    	""Itsy Bitsy Teenie Weenie Yellow Polka Dot Bikini"" was first released in 1960, and was a number on hit that year for Brian Hyland. At the time, bikini bathing suits were considered very risque in society, but their popularity grew dramatically, with the song getting a lot of the credit for the new-found acceptance."
ROL_,"ROLL.    	Sushi is a Japanese dish that has as its primary ingredient cooked, vinegared rice. The rice is usually topped with something, most often fish, and can be served in seaweed rolls. If you want raw fish by itself, then you have to order 'sashimi'."
IRON_ST,"IRONIST.    	An ""ironist"", one who uses irony."
EMOJ_,"EMOJI.    	An emoji is a character found on many cell phones now that is much like an emoticon, but more elaborate."
P_AHEN,"PEAHEN.    	Yep, the female peafowl, the peahen, has very dull plumage compared to the extravagant display on the tail of the peacock."
N_DS,NED'S.    	Ned's Declassified School Survival Guide' is a sitcom for children that originally aired on Nickelodeon from 2004 to 2007.
_ETT,"KETT.    	'Etta Kett' was a comic strip that first ran in 1925. The strip ceased to be published in 1974, when creator Paul Robinson passed away. The initial intent was to offer tips to teenagers on manners and social graces, hence the name of the title character Etta Kett (sounds like 'etiquette')."
AUST_N,"AUSTEN.    	In Jane Austen's 'Emma', Mr. Knightly says the following to Emma, while discussing her young friend Harriet Smith:"
_RAYS,"X-RAYS.    	X-rays were first studied comprehensively by the German physicist Wilhelm Röntgen (also ""Roentgen""), and it was he who gave the name ""X-rays"" to this particular type of radiation. Paradoxically, in Röntgen's native language of German, X-rays are routinely referred to as ""Röntgen rays"". In 1901 Röntgen won the first Nobel Prize in Physics that was ever awarded, recognition for his work on X-rays."
RE_NER,"REINER.    	The great director and actor Rob Reiner first came to prominence playing 'Meathead', Archie and Edith Bunker's son-in-law in 'All in the Family' (for which he won Emmy Awards in 1974 and 1978). Since then, Reiner has directed a long string of hit movies including, 'The Princess Bride', 'Stand by Me', 'This Is Spinal Tap', 'When Harry Met Sally', 'Misery' and 'A Few Good Men'."
DO_CE,DOLCE.    	Sorrento is a small town on the Italian coast that sits on a peninsula overlooking the Bay of Naples. It is an extremely popular tourist destination. The island of Capri lies off the western tip of the Sorrento Peninsula.
LAOT_E,LAO TSE.    	Lao Tse is a central figure in the development of the religion/philosophy of Taoism.
MA_N,"MAIN.    	When one thinks of the word 'main' in the context of the sea, the Spanish Main usually comes to mind. Indeed, the use of the more general term 'main', meaning the sea, originates from the more specific ""Spanish Main"". ""Spanish Main"" originally referred to land and not water, as it was the name given to the mainland coast around the Caribbean Sea in the days of Spanish domination of the region."
LAVI_,"LA VIE.    	The literal translation of the title to the French song ""La Vie en rose"" is ""Life In Pink"", but a better translation would be ""Life Through Rose-Colored Glasses""."
ESTAD_S,"ESTADOS.    	Chihuahua is a state (estado) in northern Mexico, sharing a border with Texas and New Mexico. It is the largest state in the country, so has the nickname ""El Estado Grande"". The state takes its name from the Chihuahuan Desert which lies largely within its borders. And of course the Chihuahua breed of dog takes its name from the state."
MCRA_,"MCRAE.    	Carmen McRae was a jazz singer from Harlem in New York City. McRae's inspiration was singer Billie Holiday, whom McRae met when she was 17 years old."
BEN_N,"BENIN.    	Porto-Novo is the capital city of Benin in West Africa. Porto-Novo may be the nation's capital but it isn't the biggest city, and nor is it the most economically important. That honor goes to the city of Cotonou."
O_FEO,"ORFEO.    	Monterdi was a true pioneer. ""L'Orfeo"" is one of the first operas ever composed, first performed in 1607. It is still performed regularly to this day."
SHAG_Y,"SHAGGY.    	The old English sheepdog was developed as a herding breed. It has a very furry coat, with hair covering the face and eyes. The breed is very popular in literature, film and television. The list of famous fictional examples of the breed include Edison in 'Chitty Chitty Bang Bang' and Nana in 'Hook'."
H_CK,"HOCK.    	The term ""in hock"" is an American invention. Back in the mid-19th century it meant both ""in debt"" and ""in prison"". The work ""hock"" came from the Dutch ""hok"" meaning ""jail""."
B_AT,"BRAT.    	A bratwurst (sometimes 'brat' in the US) is a German sausage. The name comes from 'brät-' meaning 'finely chopped meat', and 'Wurst' meaning 'sausage'."
M_NOTTI,"MENOTTI.    	""Amahl and the Night Visitors"" has a special place in the repertoire, in that it is the first opera specifically composed for American television. It was commissioned by NBC and written by Gian Carlo Minotti, and first performed at the NBC studios in Rockefeller Center on Christmas Eve, 1951. In today's world of commercially-driven television, I don't see that happening again ..."
NINEHOLE_,"NINE HOLES.    	By now, everyone must know everything there is to know about Tiger Woods. But did you know that his real name is Eldrick Tont Woods? ""Tont"" is a traditional Thai name."
ANK_E,"ANKLE.    	An espadrille is sandal, with its origins in the Pyrenees. The shoe is traditionally made from rope and canvas, and often laces would extend from the shoe and wrap around the ankle to secure the shoe to the foot."
H_S,"HUS.    	Jan Hus was Czech priest, famous today for having been burnt at the stake in 1415 as he was deemed guilty of heresy against the Catholic Church. Hus was an important contributor to Protestantism, over 100 years before Martin Luther made his famous proclamations."
TO_,"TOO.    	Too, too pretentious :)"
_OSHE,"MOSHE.    	Moshe Dayan had a long and distinguished military career, and played a pivotal and militarily active role as Minister for Defense during the Six-Day War of 1967. He was a very recognizable figure with a black patch over his left eye. He was fighting for the Allies in Vichy French Lebanon during WWII and was using a pair of binoculars that was hit by an enemy bullet smashing metal and glass fragments into his eye."
SATO_I,"SATORI.    	Satori is a Japanese term, used in the Zen Buddhist tradition. It does not refer to full enlightenment (nirvana) but is rather a step along the way, a flash of awareness."
_ATES,"GATES.    	Whatever one has to say about Microsoft, it's products and it's approach to business, one has to acknowledge the philanthropic work done by Bill Gates and the Bill & Melinda Gates Foundation. Bill Gates has a lot of money, but he has given away billions to charity, and now works full time with the Foundation."
R_W,"ROW.    	The coxswain of a boat is one in charge, particularly of its steering and navigation."
AL_UTS,"ALEUTS.    	The Aleuts live in the Aleutian Islands (part of the United States), but also the Commander Islands at the western end of the island chain. The Commander Islands are in Russia."
SE_IN,"SERIN.    	Serins form a whole group of small finches, that includes canaries."
A_ATOL,"AMATOL.    	Amatol is a mixture of TNT and ammonium nitrate. It is no longer used today, but featured extensively in the two world wars. TNT, which was relatively costly, was able to ""go further"" with the addition of cheaper ammonium nitrate (fertilizer) with very little degradation in destructive power."
FOND_,FONDA.    	'Klute' is an entertaining 1971 crime thriller film starring Jane Fonda and Donald Sutherland. Fonda won the Best Actress Oscar for her performance.
NOV_MBER,"NOVEMBER.    	As well as being a romantic poet, William Cullen Bryant was a journalist, and for many years was the editor of the ""New York Evening Post"". There is a park in New York City named in Bryant's honor, at the intersection of 42nd Street and Sixth Avenue. Bryant was influential in the creation of another New York Park, one a little larger. That would be Central Park ..."
SEEGE_,"SEEGER.    	'If I Had a Hammer' is a song written in 1949 by Pete Seeger and Lee Hays. The song has been released by many artists, but my guess would be that the most famous recording was by Peter, Paul and Mary in 1962."
I_ARET,"IMARET.    	Imarets were inns or hostels used by pilgrims throughout the Ottoman Empire. The network of imarets was set up to provide food to anyone in need, so also served as 'soup kitchens'."
E_AL.,"ET AL..    	Et alii is the equivalent of et cetera, with et cetera being used in place of a list of objects, and et alii used for a list of names."
E_ETEST,"EYE TEST.    	The Snellen chart is named after its developer, Herman Snellen, who introduced it way back, in 1862."
SLUR_,"SLURS.    	In written music, the notes are written on a staff. A curved line called a slur is used to connect notes that should be played legato i.e. smoothly, without a noticeable break between the notes."
RED_,"REDD.    	Redd Foxx was the stage name of John Elroy Sanford, best known for starring in ""Sanford and Son"". ""Sanford and Son"" was an American version of a celebrated hit BBC sitcom that I grew up with in Ireland, called ""Steptoe and Son""."
STA_P,"STAMP.    	The ""forever stamp"" for first-class postage was introduced in 2006 (and about time!). Now we have stamps that are good for first-class postage forever, no matter how the rates change."
C_EETOS,"CHEETOS.    	Cheetos snacks were developed by the same guy who created Fritos, hence the name. They've been on the market since 1948, and up until the turn of the century, the name was written ""Chee-tos"". Oh, and Cheetos contain pork enzymes, so vegetarians beware!"
_UADS,"QUADS.    	The quadriceps femoris is the muscle group at the front of the thigh. It is the strongest muscle in the human body, and is also the leanest. The 'quads' are actually a group of four muscles in the upper leg, hence the use of the prefix 'quad-'."
_CLAIRS,"ECLAIRS.    	The name for the pastry known as an 'éclair' is clearly French in origin. The French word for lightning is 'éclair', but no one seems to be too sure how it came to be used for the rather delicious bakery item."
N_MOY,"NIMOY.    	Leonard Nimoy of course played the logical Mr. Spock on the original ""Star Trek"" television series. He has to be the most popular character, and keeps popping up in ""Star Trek"" spin offs to this day. Nimoy first worked alongside William Shatner in an episode of ""The Man from U.N.C.L.E."" (I loved that show!), with Nimoy playing a bad guy, and Shatner an U.N.C.L.E. recruit."
_RAIG,"CRAIG.    	Daniel Craig, as the sixth reincarnation of James Bond, is really taking the franchise in a different direction. Many like it, but I'd rather see Pierce Brosnan back in the role myself."
MRTOA_,"MR TOAD.    	Mr. Toad is one of the main characters in the children's novel ""The Wind in the Willows"" by Kenneth Graham. A. A. Milne (of ""Winnie the Pooh"" fame) wrote several plays based on ""The Wind in the Willows"", the first of which is ""Toad of Toad Hall"". And, Mr Toad's Wild Ride was one of the original rides at Disneyland when the park opened in 1955."
T_OLLS,"TROLLS.    	In Internet terms, a ""troll"" is someone who attempts to disrupt online group activities. The fishing term ""troll"" is used to describe such a person, as he or she throws out off-topic remarks in an attempt to ""lure"" others into some emotional response."
S_BRA,"SABRA.    	Jewish people born in the State of Israel, or the historical region of israel, are known as Sabras. 'Sabra' is actually the name of the prickly pear, the thorny desert cactus. Apparently the name 'Sabra' is used because someone born in the region is said to be tough on the outside and sweet on the inside, just like a prickly pear."
MA_EIRA,"MADEIRA.    	Madeira is a Portuguese-owned archipelago that lies to the southwest of mainland Portugal. Madeira is famous for its wine, which is a fortified beverage (as is port, sherry and Marsala wine)."
PR_XY,"PROXY.    	Our word ""proxy"", meaning ""the agency of one who acts instead of another"", comes from the Latin ""procurare"" meaning ""to manage"", the same root as for our word ""procure""."
V_C,"VAC.    	The vacuum cleaner has been around since 1860, an invention by Daniel Hess of Iowa."
A_UA,AQUA.    	Sgt. Pepper's Lonely Heart Club Band was the alter-ego of the Beatles and was the title of a famous studio album released in 1967.
EAG_ET,"EAGLET.    	An aerie is the nest of an eagle, and a young eagle is an eaglet."
SERAP_,"SERAPH.    	'Epipsychidion' is an 1821 poetic work by Percy Bysshe Shelley, that had the subtitle 'Verses addressed to the noble and unfortunate Lady, Emilia V--, now imprisoned in the convent of --.' In reality, the work is addressed to Countess Teresa Viviani, the 19-year-old daughter of the governor of Pisa who was placed in the Convent of Saint Anna by her father. Shelly had visited the young woman at the convent several times before writing the poem."
M_ASMA,MIASMA.    	The word miasma was first used for the poisonous atmosphere thought to arise from swamps and rotting matter and cause disease. Now it is just a thick cloud of gas or smoke.
P_SO,"PASO.    	The lively and dramatic dance called the pasodoble is very much associated with the Spanish bullfight, but in fact it originated in southern France. The dance is based on music that is played at bullfights when the bullfighters enter the arena, and when they close in for the kill. Not a big fan of bullfighting ..."
M_NES,"MANES.    	Jon Bon Jovi was born John Francis Bongiovi, Jr. Tina Turner was born Anna Mae Bullock."
S_LLER,"SELLER.    	On Wall Street, the bears tend to sell, and bulls tend to buy."
GU_,"GUV.    	'Guv' is an informal word replacing 'governor', used in the UK. It is usually a friendly address to a man, sort of like our 'Mac' or 'Dad'."
FAY_,"FAYE.    	Tammy Faye Messner was famously married to televangelist (and convicted felon) Jim Bakker. She had quite the look on television, with layer upon layer of makeup, long (false) eyelashes and tattooed eyebrows."
AR_OSO,ARIOSO.    	An arioso (plural 'ariosi') is a solo vocal piece in a classical work such as an opera or an oratorio. An arioso's structure lies somewhere between that of a full-blown aria and speech-like recitative.
FO_I,"FOCI.    	One way to envision the two foci of an ellipse is to imagine two nails sticking up out of a board, placed a small distance apart. A loop of string is placed on the board, with the nails in the middle. A pen is then placed inside the loop, and moved as far away from the nails as possible, confined by the string. The pen is then run around the nails, stretching out the string so that it is taut. The pen will draw and ellipse, and the point where the nails are, they are the two foci of the ellipse."
LU_G,"LUNG.    	The alveoli are the little air sacs in the lungs of mammals, the site of gas exchange with the blood. Carbon dioxide is taken out of the blood and replaced with oxygen. Isn't life remarkable?"
TULS_N,"TULSAN.    	For much of the 20th century, Tulsa had the nickname ""Oil Capital of the World"", but that title has been taken over by Houston, Texas. Prior to Tulsa discovering oil, the title belonged to Cleveland, Ohio!"
R_INER,"REINER.    	The multi-talented Carl Reiner is from the Bronx, New York. Reiner was married to singer Estelle Roberts. You might remember Roberts from the film 'When Harry Met Sally' that was directed by Carl's son, Rob Reiner. Estelle was the woman in the deli who said the famous line ' I'll have what's she's having' on seeing how excited Meg Ryan apparently was with her sandwich."
_LY,"SLY.    	Three-card Monte is that betting game where some innocent bystander is tricked into betting he or she can spot where the money card (often the queen) is after three cards have been moved around and placed face down on a table in front of the dealer. There are all sorts of way folks get cheated in this ""game"", including perhaps ""someone"" in the crowd ""stealing"" the bets off the table and making a run for it. Usually though, it's all about sleight of hand."
PEL_E,"PELEE.    	Mount Pelee on the Caribbean island of Martinique is still active and is considered one of the most dangerous volcanoes on the planet. When it erupted in 1902, it killed over 30,000 people, most of whom perished when a cloud of hot gases settled over the town of St. Pierre, instantly igniting everything that was flammable."
DI_TA,"DICTA.    	""Dictum"" is a legal term, describing a statement by a court as part of a judgment."
