Lollapalooza.   		4 letters,"ONER.    	A lollapalooza is something outstanding, one of a kind."
"Sophia of ""Marriage Italian-Style"".   		5 letters","LOREN.    	Sophia Loren certainly has earned her exalted position in the world of movies. In 1962 Loren won an Oscar for Best Actress for her role in the Italian film 'Two Women', the first actress to win an Academy Award for a non-English speaking performance. She received a second nomination for Best Actress for her role in 'Marriage Italian-Style', another Italian-language movie, released in 1964."
Kind of terrier.   		4 letters,SKYE.    	The Skye terrier is a breed of dog that is actually under threat of extinction. A few years ago there were only 30 Skye terriers born in the breed's native land of the UK.
N.H.L.'s ___ Memorial Trophy.   		4 letters,"HART.    	The Hart Memorial Trophy is awarded annually to the player judged to be most valuable for his team in the NHL. The award is named for Dr. David Hart, a Canadian who donated the original trophy to the league."
Long Island county west of Suffolk.   		6 letters,"NASSAU.    	Nassau County on Long Island, New York is so called as Long Island used to have the name 'Nassau'. The Dutch gave it that name in honor of Price William of Nassau, Prince of Orange, later to be King William III of England. The county's colors are orange and blue, the colors of the House of Orange. Nassau County is the richest county per capita in the whole of New York State."
"Poet with a ""fanatic's heart"".   		5 letters","YEATS.    	Irish poet and dramatist William Butler Yeats won the Nobel Prize in Literature in 1923 for ""inspired poetry"" that gave ""expression to a whole nation"". Yeats was Ireland's first Nobel laureate."
They can make waves.   		5 letters,"SINES.    	A sine wave is a mathematical function that describes a simple, smooth, repetitive oscillation. The sine wave is found right throughout the natural world. Ocean waves, light waves and sound waves all have a sine wave pattern."
Telegraph extension?.   		4 letters,-ESE.    	'Telegraphese' is the clipped form of language that was used in writing a telegram.
One-horse carriage.   		4 letters,"SHAY.    	A shay is a light carriage. It is an American design based on the French 'chaise', from which it takes its name. A shay is sometimes called a ""whisky"", as riders would 'whisk' around from stop to stop."
"""___ Mio"".   		6 letters","O SOLE.    	""'O sole mio"" is a famous Italian song from Naples, written in 1898. The lyrics are usually sung in the original Neapolitan, as opposed to Italian. The title translates from Neapolitan into ""My Sun"" (and not into ""O, My Sun"" as one might expect). It's a love song of course, sung by a young man declaring that there is a sun brighter than that in the sky, the sun that is his lover's face. Awww ..."
"Small, low island.   		3 letters","CAY.    	A ""key"" (also ""cay"") is a low island offshore, as in the Florida Keys for example. Our term in English comes from the Spanish ""cayo"" meaning ""shoal, reef""."
U.R.L.   		3 letters,"ORG.    	Internet addresses are Uniform Resource Locators. The Internet addresses that end with the letters .org were originally intended for use by non-profit organizations, but as anyone can register a .org name, there are plenty of commercial concerns that use it ... so be careful!"
Carrier with the WorldPass frequent flier program.   		6 letters,"PAN AM.    	Pan Am started out as a mail and passenger service between Key West, Florida and Havana, Cuba in 1927. From very early in the company's life it was the de facto representative air carrier of the United States. For many years Pan Am's fleet was built around the Boeing 314 Clipper, a long-range flying boat that was one of the largest aircraft around at the time. Pan Am adopted the Clipper as part of its image, even using ""clipper"" as the call sign for its flights."
"Troi on ""Star Trek.   		7 letters","T.N.G."".    	Deanna Troi, the character on ""Star Trek: The Next Generation"", is played by the lovely Marina Sirtis. Sirtis is a naturalized American citizen and has what I would call a soft American accent on the show. However, she was born in the East End of London and has a natural accent off-stage that is more like that of a true Cockney."
See 33-Down: Abbr..   		3 letters,DIR.    	Director (dir.)
Letters in love letters.   		4 letters,"XOXO.    	In the sequence XOXO, I think the X represents a kiss, and the O a hug. Hugs and kisses ..."
"Looney Tunes ""devil,"" for short.   		3 letters","TAZ.    	The 'Looney Tunes' character known as the Tasmanian Devil, or 'Taz', first appeared on screens in 1964 but gained real popularity in the 1990s."
Swimwear brand.   		6 letters,"SPEEDO.    	Speedo brand swim-wear was first produced in Australia in 1928, by a hosiery company that wanted to diversify. The brand name was chosen after a slogan competition among the employees was won by ""Speed on in your Speedos"". It was a long time ago, I guess ..."
Hip-hopper's headgear.   		6 letters,"DO-RAG.    	Hip-hoppers might wear do-rags today, but they have been around for centuries. If you recall the famous image of Rosie the Riveter, she was wearing a do-rag. The etymology is pretty transparent, a piece of cloth (rag) to hold a hairstyle (do) in place."
Potter's potions professor.   		5 letters,"SNAPE.    	Severus Snape is a character in the Harry Potter novels, played by the wonderful Alan Rickman in the movies."
Chair designer Charles.   		5 letters,"EAMES.    	Charles and Ray Eames were a husband-wife team of furniture designers. One of the more famous of their designs is the Eames lounge chair that comes with an ottoman. This trendy piece of furniture featured in a late episode of the television show 'Frasier'. In the show, Frasier's Dad remarks that the Eames chair is so comfortable that he might have gotten rid of his tatty old recliner a long time ago."
Gen ___.   		4 letters,"XERS.    	The term Generation X originated in the UK where it was the name of a book by Jane Deverson. Her book detailed the results of a study of British youths in 1964, contrasting their lifestyle to those of previous generations. It was Canadian author Douglas Coupland who was responsible for popularizing the term, with his more successful publication ""Generation X: Tales for an Accelerated Culture"". By the latest accepted definition, Gen-Xers were born between 1961 and 1981."
"""ER"" doctor.   		4 letters","ROSS.    	You know, I've never seen ""ER"". The most famous doctor in the TV show has to have been Dr. Doug Ross, played by George Clooney, the role that really gave Clooney his big break."
"Politico who said ""Buck up or stay in the truck"".   		5 letters","PALIN.    	When John McCain selected Sarah Palin as candidate for Vice President in the 2008 presidential election, she became the first Alaskan to go on the national ticket for a major party. She also became the first woman nominated for Vice President by the Republican Party."
Some photog purchases.   		4 letters,"SLRS.    	SLR stands for ""single lens reflex"". Usually cameras with changeable lenses are the SLR type. The main feature of an SLR is that a mirror reflects the image seen through the lens out through the viewfinder, so that the photographer sees exactly what the lens sees. The mirror moves out of the way as the picture is taken, and the image that comes through the lens falls onto unexposed film, or nowadays onto a digital sensor."
Not haut.   		3 letters,"BAS.    	In French, things can be 'bas' (low) or 'haut' (high)."
Terrestrial salamanders.   		4 letters,"EFTS.    	Newts wouldn't be my favorite animals in the world. They are found all over the world, living on land or in the water depending on the species, but always associated with water, even if it is only for breeding. Newts metamorphose through three distinct developmental stages during their lives. They start of as larvae in water, fertilized eggs that often cling to aquatic plants, unlike the eggs of frogs and toads which float freely. The eggs hatch into tadpoles, the first developmental form of the newt. After living some months as tadpoles swimming around in the water, they undergo metamorphosis, sprouting legs and replacing their external gills with lungs. At this juvenile stage they are known as efts, and leave the water to live on land. A more gradual transition takes place then, as the eft takes on the lizard-like appearance of the adult newt."
User of the Force.   		4 letters,"JEDI.    	The Jedi are the 'good guys' in the 'Star Wars' series of movies. The most famous Jedi knights from the films are Obi-Wan Kenobi (played by Alec Guinness, and later Ewan McGregor) and Yoda (voiced by Frank Oz). Well, they're my favorites anyway ..."
Observatory subj.   		4 letters,ASTR.    	Astronomy (Astr.).
Kings prophet.   		6 letters,"ELISHA.    	The prophet Elisha is mentioned both in the Hebrew Bible and the Qur'an. In the Islamic tradition, Elisha is usually known by his Arabic name, Alyasa."
Military group.   		5 letters,"CADRE.    	A ""cadre"" is most commonly a group of experienced personnel at the core of a larger organization that the small group trains or heavily influences. ""Cadre"" is a French word meaning a ""frame"". We use it in the sense that a cadre is a group that provides a ""framework"" for the larger organization."
End of the NATO phonetic alphabet.   		4 letters,ZULU.    	The NATO phonetic alphabet is also called the International Civil Aviation Organization (ICAO) phonetic alphabet.
"Whistle-blower, in slang.   		5 letters",ZEBRA.    	'Zebra' is a slang term for a referee in football.
"Looney Tunes devil, for short.   		3 letters","TAZ.    	The 'Looney Tunes' character known as the Tasmanian Devil, or 'Taz', first appeared on screens in 1964 but gained real popularity in the 1990s."
Jungian principle.   		5 letters,"ANIMA.    	The concept of anima and animus is found in the Carl Jung school of analytical psychology. The idea is that within each male their resides a feminine inner personality called the anima, and within each female there is a male inner personality known as the animus."
"Subject of an annual festival in Holland, Mich.   		5 letters","TULIP.    	There are many tulip festivals around the US, almost all taking place in cities originally inhabited by Dutch settlers. The biggest of these is the Tulip Time Festival that has been held annually since 1929."
Charity allotment.   		4 letters,"DOLE.    	The word ""dole"", meaning ""financial relief"", originated as the Old English word ""dal"", the state of sharing, giving out. Our term ""on the dole"", relating to institutional relief, dates back to the twenties."
Destiny.   		5 letters,"KARMA.    	'Karma' is religious concept with its basis in Indian faiths. Karma embraces the notion of cause and effect. Good deeds have good consequences at some later point in one's life, future life, or afterlife and vice versa."
Wild scene.   		3 letters,ZOO.    	This place is like a zoo! It's crazy!
"Rays' home, informally.   		7 letters","ST PETE.    	St. Petersburg, Florida is often referred to as St. Pete by locals and visitors alike. The neighboring city of St. Petersburg Beach also had its name shortened routinely, so in 1994 the residents voted to change the name officially to St. Pete Beach."
"Process, as ore.   		5 letters","SMELT.    	Metals are found in ore in the form of oxides. In order to get pure metal from the ore, it is heated and the oxides reduced (i.e. the oxygen is removed) in the chemical process known as smelting. The oxygen is extracted by adding a source of carbon or carbon monoxide which uses up the excess oxygen atoms to make carbon dioxide, a waste product of smelting."
"Some growlers, in Granada.   		4 letters","OSOS.    	In Spanish, ""osa"" is a female bear, and ""oso"" is a male."
___ II (razor brand).   		4 letters,"TRAC.    	Gillette introduced the Trac II in 1971, the world's first twin-blade razor."
Oenophile's specification.   		4 letters,"YEAR.    	In Greek mythology Oeno was the goddess of wine, giving us ""oen-"" as a prefix meaning ""wine"". For example, oenology is the study of wine and an oenophile is a wine-lover."
2000 election scrap.   		4 letters,"CHAD.    	We are all familiar with ""hanging chads"" after the famous Florida election recounts of 2000. A chad is any piece of paper punched out from a larger sheet. So, those round bits of paper we've all dropped over the floor when emptying a hole punch, they're chads."
Bog product.   		4 letters,"PEAT.    	When dead plant matter accumulates in marshy areas, it may not fully decay due to a lack of oxygen or acidic conditions. We are familiar with this in Ireland, because what can form then is peat, and we have lots of peat bogs. If the peat bogs get covered over with sedimentary matter, then over time pressure and heat can dry out the peat forming a soft brown material called lignite. Given further heat and pressure, and time, this lignite converts to coal. So, lignite is a material with characteristics between peat and coal, and is often called ""brown coal""."
"Author of the 2009 book subtitled ""A Plan to Solve the Climate Crisis"".   		7 letters","AL GORE.    	""Our Choice: A Plan to Solve the Climate Crisis"" is the 2009 sequel to former Vice President Al Gore's famous book on climate change, ""An Inconvenient Truth""."
Three-time P.G.A.   		5 letters,"SNEAD.    	Sam Snead was probably the most successful golfer never to win a US Open title, as he won a record 82 PGA Tour events. He did win seven majors, but never the US Open. He was also quite the showman. He once hit the scoreboard at Wrigley Field stadium with a golf ball, by teeing off from home plate."
21-Down runs them.   		5 letters,"OBITS.    	'Obituary' comes from the Latin 'obituaris', originally the record of the death of a person, although the literal meaning is 'pertaining to death'."
"T-bone, for one.   		5 letters","STEAK.    	The T-bone and porterhouse are related cuts of meat, with the latter being a larger version of the former, and both being cut from the short loin."
N'awlins sandwich.   		7 letters,"PO' BOY.    	A po' boy is a submarine sandwich from Louisiana. There are a lot of theories about where the name came from, and none sound too convincing to me. A po' boy differs from a regular submarine sandwich in that it uses Louisiana French bread, which is soft in the middle and crusty on the outside."
Himalayan legends.   		5 letters,"YETIS.    	A yeti is a beast of legend, also called an abominable snowman. Yeti is a Tibetan term for the beast, which is fabled to live in the Himalayan regions of Nepal and Tibet. Our equivalent legend in North America is that of Bigfoot."
Echolocation-using mammal.   		3 letters,"BAT.    	Echolocation when used by animals is known as biosonar. The best-known example of an animal using biosonar is probably the bat, although not all species of bat use sounds to locate objects."
Protective tooth layer.   		6 letters,ENAMEL.    	Tooth enamel covers the crowns of our teeth. Tooth enamel is the hardest substance in the human body. It is composed of 96% crystalline calcium phosphate.
Actress Graff.   		5 letters,"ILENE.    	Ilene Graff is an American actress, probably best known for playing Marsha Owens, the wife of George in the TV series ""Mr. Belvedere""."
Any 40-Across character.   		4 letters,"TOON.    	The word 'cartoon' was originally used for a 'drawing on strong paper', a durable drawing used as a model for another work. The term comes from the French word 'carton' meaning 'heavy paper, pasteboard'. Cartoons have been around a long time, with some of the most famous having being drawn by Leonardo da Vinci."
Setting for Ansel Adams.   		6 letters,"F-STOP.    	Varying the f-stop in a lens varies how big the lens opening (the aperture) is when a photograph is taken. Smaller apertures (higher f-stop values) admit less light, but result in a greater depth of field (more of the photograph is in focus)."
"Speak on C-Span, say.   		5 letters","ORATE.    	C-SPAN is a privately funded, non-profit cable channel that broadcasts contimuous coverage of government proceedings."
Race in a chute.   		4 letters,"LUGE.    	A luge is a small sled used by one or two people, on which one lies face up and feet first. It can be compared to the skeleton, a sled for only one person, and on which the rider lies face down and goes down the hill head first."
Kentucky's Fort ___.   		4 letters,"KNOX.    	Fort Knox is actually a US Army base, but it lends its name to the adjacent facility that is more correctly called the United States Bullion Depository. Most of the US gold reserves are in ""Fort Knox"", although it isn't the biggest gold repository in the US. That honor goes to the vault under the Federal Reserve Bank of New York in Manhattan. Most of the gold stored in the New York vault belongs to foreign nations and banks."
Currency unit taken out of circulation in 1953.   		3 letters,"RIN.    	The rin was a Japanese coin that was worth one thousandth of a yen. After WWII the Japanese yen was greatly devalued, so the rin became completely obsolete and was pulled from circulation in 1953."
Subj.   		4 letters,"ASTR.    	Galileo was a prominent supporter of heliocentrism, the principle that the Earth and the other planets revolve around the Sun. The commonly accepted model at the time was geocentrism, that the Earth was at the center of the universe. Galileo fell foul of the Roman Inquisition as a result of his views, and was found guilty of heresy in 1615. As a result, Galileo spent the rest of his life under house arrest."
Crackle and pop's partner.   		4 letters,"SNAP.    	The three elves Snap, Crackle and Pop are the mascots for Kellogg's Rice Krispies. They first appeared in an ad campaign in 1933, although the phrase ""snap, crackle and pop"" had been used for the cereal before then in a radio ads. By the way, the elves are selling ""Rice Bubbles"" in Australia, and the elves have different names in other parts of the world (like ""Cric!, Crac! and Croc! in Quebec)."
Horsefeathers.   		5 letters,"TRIPE.    	'Tripe' is an informal term meaning 'rubbish, of little value'. Tripe is actually the rubbery lining of say a cow, which in the UK is traditionally eaten with onions."
___-jongg.   		3 letters,"MAH.    	""Mahjong"" (also 'mahjongg' and 'mah-jongg') is the Chinese word for ""sparrow"". Mahjong is a game that originated in China, and is usually played by four players. There is a myth that the game was developed by the Chinese philosopher, Confucius. The myth also suggests that Confucius was fond of birds, and hence chose the name ""sparrow""."
"""Friends"" friend.   		4 letters","ROSS.    	Ross Geller is the character on ""Friends"" played by David Schwimmer. The role was actually written with Schwimmer in mind, so Ross was the first of the ""Friends"" to be cast."
Interior decorator's concern.   		5 letters,"MOTIF.    	A motif is a recurring element in an artistic work, including a piece of music."
Old Japanese coin.   		3 letters,"RIN.    	The rin was a Japanese coin that was worth one thousandth of a yen. After WWII the Japanese yen was greatly devalued, so the rin became completely obsolete and was pulled from circulation in 1953."
One of Homer's greatest creations?.   		4 letters,"BART.    	On the animated TV show 'The Simpsons', Bart Simpson's father is Homer."
Volunteer's place: Abbr..   		4 letters,"TENN.    	Tennessee uses the nickname 'Volunteer State' as during the War of 1812 volunteer soldiers from Tennessee fought with valor, especially during the Battle of New Orleans."
Quatrain's longer relative.   		6 letters,"SESTET.    	A sestet is a group of six lines of poetry, whereas a quatrain is a group of four lines."
Step on French soil.   		3 letters,PAS.    	'Pas' is the French word for 'step'.
Ones whose business is picking up?.   		4 letters,"CABS.    	A hansom cab is a very specific design of horse and buggy that was patented by Joseph Hansom in 1834 in England. The 'cab' in the name is short for 'cabriolet', an earlier design of carriage on which the hansom was based. It's from 'hansom cab' that we get our modern term 'cab'."
Hotelier Helmsley.   		5 letters,"LEONA.    	Leona Helmsley was a high-rolling real estate investor and hotel operator in New York City. She was convicted of income tax evasion in 1989 and sentenced to 16 years in jail. At her trial a witness quoted her as saying ""We don't pay taxes. Only the little people pay taxes ..."""
Org.   		3 letters,WBA.    	The World Boxing Association presents ornate belts to its title holders.
Italian bell town.   		4 letters,"ATRI.    	Henry Wadsworth Longfellow wrote ""The Sicilian's Tale; The Bell of Atri"", a narrative poem set in the small town of Atri in the Abruzzo region of Italy."
"Treasured violin, for short.   		5 letters","STRAD.    	Generations of the Stradivari family produced violins, the most famous of which were constructed by Antonio Stradivari."
"The ""m"" of e = mc^2.   		4 letters","MASS.    	In Albert Einstein's famous equation E=mc&#178;, 'E' stands for energy, 'm' stands for mass, and 'c' stands for the speed of light (from the Latin 'celeritas' meaning 'speed')."
Nova lead-in.   		5 letters,"BOSSA.    	Bossa Nova is style of music from Brazil that evolved from samba. The most famous piece of bossa nova is the song ""The Girl from Ipanema""."
Small island.   		3 letters,"CAY.    	A key is a low island offshore (as in the Florida Keys), also known as a cay. Our term in English comes from the Spanish ""cayo"" meaning ""shoal, reef""."
"Mary's upstairs neighbor, in 1970s TV.   		5 letters","RHODA.    	Rhoda lived in the apartment upstairs in ""The Mary Tyler Moore Show"". In its day, ""The Mary Tyler Moore show"" was a real trail-blazer. It was the first television series with a lead character who was an independent-minded, career oriented, single ... woman."
Early online forum.   		6 letters,"USENET.    	Remember the good old days, when you read messages online in ""newsgroups""? Well, that system of aggregating public messages is known as Usenet, and it's still around today. Usenet started operating in 1980, some ten years before the World Wide Web was introduced (which system has displaced Usenet in terms of popularity). Usenet definitely played a significant part in the history of the Internet. For instance, the terms ""FAQ"" and ""spam"" were both born on Usenet."
Unskilled laborers.   		5 letters,PEONS.    	A peon is a lowly worker with no real control over his/her working conditions. The word comes into English from Spanish where it has the same meaning.
British mil.   		3 letters,"DSO.    	The Distinguished Service Order (DSO) is a British military award, usually awarded to officers of the rank Major or higher."
Cays.   		5 letters,"ISLES.    	A key is a low island offshore, also known as a cay (as in the Florida Keys). Our term in English comes from the Spanish ""cayo"" meaning ""shoal, reef""."
Artist Rousseau.   		5 letters,"HENRI.    	Henri Rousseau was a French Post-Impressionist painter. He was self-taught, only starting to paint seriously in his forties. He worked as a tax collector until he was 49 years old, when he retired to focus on his art. Rousseau's most famous painting is ""The Sleeping Gypsy"", a celebrated work that depicts a lion standing beside a sleeping woman in the moonlight. You can take a look at it in New York's Museum of Modern Art."
Model glider material.   		5 letters,"BALSA.    	Balsa is a very fast growing tree that is native to parts of South America. Even though balsa wood is very soft, it is actually classified as a hardwood, the softest of all the hardwoods (go figure!). Balsa is light and strong, so is commonly used in making model airplanes. Amazingly, in WWII a full-size British plane, the de Havilland Mosquito, was built largely from balsa and plywood. No wonder they called it ""The Wooden Wonder"" and ""The Timber Terror""."
Walgreens competitor.   		3 letters,"CVS.    	The name CVS once stood for Consumer Value Stores, although these days the company uses the acronym to stand for Convenience, Value and Service."
Swing bandleader Garber.   		3 letters,"JAN.    	Jan Garber was known as ""The Idol of the Airwaves"" back in the twenties and thirties, famous for his jazz and swing music on the radio."
"""America's Got Talent"" panelist.   		5 letters","SIMON.    	NBC's show 'America's Got Talent' is part of a global franchise based in the UK. The original show is called 'Britain's Got Talent', with the whole franchise being created by Simon Cowell. The original host for the American show was Regis Philbin (for one season), followed by Jerry Springer (for seasons two and three). Nick Cannon took over hosting in 2009 (season four)."
Org.   		5 letters,"NAACP.    	The full name of the NAACP, the National Association for the Advancement of Colored People, is remarkable in that it actually still uses the old but offensive term ""colored people"". The NAACP was founded in 1909, by a group that included suffragette and journalist Mary White Ovington, wealthy socialist William English Walling, and civil rights activist Henry Moscowitz. Another member of the founding group was W. E. B Du Bois, the first African American to earn a doctorate at Harvard University."
Where the Styx flows.   		5 letters,"HADES.    	The River Styx in Greek mythology was the river that formed the boundary between Earth and the Underworld (also called Hades). The souls of the newly dead had to cross the River Styx in a ferryboat piloted by Charon. Traditionally, a coin would be placed in the mouths of the dead ""to pay the ferryman""."
Animated devil.   		3 letters,"TAZ.    	The 'Looney Tunes' character known as the Tasmanian Devil, or 'Taz', first appeared on screens in 1964 but gained real popularity in the 1990s."
Walk-___.   		3 letters,"ONS.    	A 'walk-on' is a small part in a play, usually one without any lines."
D-Day carriers: Abbr..   		4 letters,"LSTS.    	LST stands for Landing Ship, Tank. LSTs were the large vessels with doors at either ends, from which tanks and other vehicles could roll off onto beaches. The design concept persists to this day in the huge fleet of commercial roll-on/roll-off ferries, all inspired by the LST."
Sicilian smoker.   		7 letters,"MT ETNA.    	Mt. Etna is the largest of three active volcanoes in Italy. Mt Etna is about 2 1/2 times the height of its equally famous sister, Mt. Vesuvius."
Dubai denizens.   		5 letters,"ARABS.    	Dubai is one of the seven Emirates that make up the federation known as the United Arab Emirates (UAE). The two largest members (geographically) of the UAE are Dubai and Abu Dhabi, the only two of the seven that have veto power over UAE policy."
Some capts.-to-be.   		3 letters,"LTS.    	The word ""lieutenant"" come from French, with ""lieu"" meaning ""in place"" and ""tenant"" meaning ""holding"". ""Lieutenant"" then means somebody holding a position in the absence of his or her superior. In America of course ""lieutenant"" is pronounced loo-tenant, whereas back in the British Isles we say ""lef-tenant""."
Intro to Chinese?.   		5 letters,"INDO-.    	In the strict sense of the term, Indochina is a region in Southeast Asia that corresponds to the former French territory known as French Indochina. Today this region is made up of the countries of Cambodia, Laos and Vietnam. However, the term 'Indochina' is sometimes used more generally to describe Mainland Southeast Asia, and in this usage it includes Myanmar, Singapore and Thailand."
Attila or one of his followers.   		3 letters,HUN.    	The Huns were a nomadic people who originated in Eastern Europe in the 4th century. Under the command of Attila the Hun they developed a unified empire that stretched from modern-day Germany across to the steppes of Central Asia. The whole of the Hunnic Empire collapsed within a year of Attila's death in 453 AD.
"""Marriage Italian-Style"" actress.   		5 letters","LOREN.    	Sophia Loren certainly has earned her exalted position in the world of movies. In 1962 Loren won an Oscar for Best Actress for her role in the Italian film ""Two Women"", the first actress to win an Academy Award for a non-English speaking performance. She received a second nomination for Best Actress for her role in ""Marriage Italian-Style"", another Italian-language movie, released in 1964."
Some racecars.   		3 letters,"GTS.    	GT stands for ""Grand Touring"" or ""Gran Turismo""."
Wood shaper.   		4 letters,"ADZE.    	An adze, while similar to an axe, is different in that the blade of an adze is set at right angles to the tool's shaft, whereas in an axe the blade is set inline with the shaft."
Certain foot specialist.   		5 letters,"ODIST.    	In poetry a foot is the natural unit of stressed and unstressed syllables which make up the work. For example, an iambic foot consists of an unstressed syllable, followed by a stressed syllable."
Oenophile's concern.   		4 letters,"YEAR.    	An oenophile is a lover of wine, and the year of the wine is important I hear ..."
Maurice Chevalier song.   		4 letters,"MIMI.    	Maurice Chevalier had a few signature songs, like 'Mimi' from 1932, and everyone's favorite 'Thank Heavens for Little Girls' that came from the wonderful 1958 movie 'Gigi'."
"Service branch disbanded in 1978, briefly.   		3 letters","WAC.    	The Women's Army Auxiliary Corps (WAAC) was formed in 1942, and the unit was converted to full status the following year to become the Women's Army Corps (WAC). Famously, General Douglas MacArthur referred to the WACs as his ""best soldiers"", saying they worked harder, complained less and were better disciplined than men. The WACs were disbanded in 1978 and the serving members were integrated into the rest of the army."
Asian body of water that's now largely dried up.   		8 letters,"ARAL SEA.    	The Aral Sea is a great example of how man can have a devastating effect on his environment. In the early sixties the Aral Sea covered 68,000 square miles of Central Asia. Soviet Union irrigation projects drained the lake to such an extent that today the total area is less than 7,000 square miles, with 90% of the lake now completely dry. Sad ..."
One of Chaucer's pilgrims.   		5 letters,"REEVE.    	A reeve was a senior official in the days of Anglo-Saxon England, perhaps a chief magistrate of a town. Famously, a reeve appears in Geoffrey Chaucer's 'Canterbury Tales'. 'The Reeve's Tale' is the third tale in the book."
Designer Geoffrey.   		5 letters,"BEENE.    	Geoffrey Beene was an American fashion designer. On his list of notable clients were three First Ladies, Lady Bird Johnson, Pat Nixon and Nancy Reagan."
Pronto.   		3 letters,PDQ.    	Pretty Damn Quick!
Ed promoters.   		4 letters,PTAS.    	Parent-Teacher Association (PTA)
Like most of Mauritania.   		4 letters,"ARID.    	The Islamic Republic of Mauritania is a country in North Africa, on the Atlantic coast. The country is named after the old Roman province of Mauretania, although the ancient province was located further north in what is now Morocco and part of Algeria."
Some encls.   		5 letters,"SASES.    	Self-Addressed, Stamped Envelopes."
"Subject of a lesson for Katharina in ""The Taming of the Shrew"".   		4 letters","LUTE.    	William Shakespeare's ""The Taming of the Shrew"" is about a courting couple. The male is Petruchio, a gentleman of Verona, and the female is Katharina, the so-called ""shrew"". As the play progresses, the ""shrew"" is ""tamed"" and becomes an ""obedient"" bride ... a controversial storyline in the contemporary world, to say the least. Regardless, modern adaptations have been made, including 1948's Broadway musical ""Kiss Me Kate"" and the 1999 romantic comedy ""10 Things I Hate About You""."
Choreographer Lubovitch.   		3 letters,"LAR.    	Lar Lubovitch is an American choreographer, noted for his stage work of course, but also for choreographing figure skating routines for the likes of John Curry, Peggy Fleming and Dorothy Hamill."
Soul.   		5 letters,ANIMA.    	The anima is a the soul or self of an individual.
Liliuokalani Gardens site.   		4 letters,"HILO.    	The Lili'uokalani Gardens are in Hilo on the Big Island of Hawai'i. Much of the garden is built in th style of a Japanese garden, and it is reputed to be the largest such display outside of Japan itself."
Game with knights.   		5 letters,"CHESS.    	It is believed that the game of chess originated in northwest India, evolving from a 6th-century game called ""caturanga"", a Sanskrit word meaning ""four divisions"". These four (military) divisions were represented in the game:"
Apple types.   		5 letters,"IMACS.    	The iMac is a desktop computer platform from Apple, introduced in 1998. One of the main features of the iMac is its ""all-in-one"" design, with the computer console and monitor integrated."
Hall-of-Famer Yastrzemski.   		4 letters,CARL.    	Yaz was the nickname for Carl Yastrzemski who played his whole career with the Boston Red Sox.
Pair of cymbals operated by a pedal.   		6 letters,"HI-HAT.    	In a drum kit, a hi-hat is that pair of cymbals that sit on a stand and are played by using a foot pedal. The top cymbal is raised and lowered by the foot pedal creating the sound."
"James of ""Las Vegas"".   		4 letters","CAAN.    	James Caan is an actor from the Bronx in New York City. Caan is noted for his appearances in some very big movies such as 'The Godfather', 'Misery', 'A Bridge Too Far', 'Rollerball' and more recently 'Elf'. Caan is quite the sportsman. He plays golf with an 8 handicap, and is a 6-Dan Black Belt Master of Gosoku Karate."
New York Times pieces since 1970.   		6 letters,"OP-EDS.    	Op-Ed is an abbreviation for ""opposite the editorial page"". Op-Eds started in ""The New York Evening World"" in 1921 when the page opposite the editorials was used for articles written by a named guest writer, someone independent of the editorial board."
Be Ciceronian.   		5 letters,"ORATE.    	Cicero was a very influential figure in Ancient Rome, in not a small part due to his renowned ability to deliver a persuasive speech. Ciceronian .... such a nice word ..."
___ sapiens.   		4 letters,"HOMO.    	The Homo genus includes, of course, the species Homo sapiens (modern humans), but we're the only species left in that genus. The last known species related to humans was Homo neanderthalensis (Neanderthal Man) which died off about 24,000 years ago. However, another species was discovered in Indonesia in 2003 that has been dubbed Homo floresiensis (Flores Man ... sometimes called ""hobbit""), and it may possibly have lived as recently as 12,000 years ago. Watch this space ..."
Egg opener?.   		3 letters,"OVO.    	All of the prefixes ovo-, ovi-, and ov- mean relating to an egg (ovum)."
"""32 Flavors"" singer Davis, 1998.   		5 letters","ALANA.    	Alana Davis is a singer-songwriter from New York City. Alana is the daughter of pianist Walter Davis, Jr., who played with the likes of Charlie Parker and Dizzy Gillespie."
Bygone point-to-point communication.   		5 letters,"TELEX.    	Telex grew out of the world of the telegraph. What Telex brought to telegraphy was the ability to route messages. Instead of having to talk to an operator to route a particular message to the intended party, the user of a telex could route the message directly to another telex machine by way of a rotary dial, very similar to that on a telephone."
Humorist Rooney.   		4 letters,"ANDY.    	Andy Rooney began his career in newspapers during WWII working for ""Stars and Stripes"" in London. He had some memorable experiences during the war, including flying on the first American bombing raid over Germany. He was also one of the first American journalists to visit the German concentration camps as they were liberated. He started his segment called ""A Few Minutes with Andy Rooney"" on CBS's ""60 Minutes"" way back in 1978, and so was on our screens for over 40 years. Rooney passed away in 2011. He was a cool, cool guy ..."
Nascar Hall-of-Famer Jarrett and others.   		4 letters,"NEDS.    	Ned Jarrett is retired now, a two-time NASCAR champion and father of NASCAR drivers Dale and Glenn Jarrett."
Bristle on barley.   		3 letters,"AWN.    	An awn isn't specific to barley. An awn is the name given to hair or bristle-like structures found in numerous species of plants. In some species, like barley, the awns can contain photosynthetic tissue."
[Snap snap].   		3 letters,PDQ.    	Pretty Darn Quick ...
