One-sixth of diciotto.   		3 letters,"TRE.    	In Italian, one sixth of eighteen (diciotto) is three (tre)."
___ Vegas.   		3 letters,"LAS.    	Back in the 1800s, the Las Vegas Valley was given its name from the extensive meadows (""las vegas"" is Spanish for ""the meadows"") present in the area courtesy of the artesian wells drilled by local farmers. Las Vegas was incorporated as a city in 1905, in the days when it was a stopping-off point for pioneers travelling west. It eventually became a railroad town, although with the coming of the railroad growth halted as travelers began to bypass Las Vegas. The city's tourism industry took off in 1935 with the completion of the nearby Hoover Dam, which is still a popular attraction. Then gambling was legalized, and things really started to move. Vegas was picked, largely by celebrated figures in ""the mob"", as a convenient location across the California/Nevada state line that could service the vast population of Los Angeles. As a result, Las Vegas is the most populous US city founded in the 20th century (Chicago is the most populous city founded in the 19th century, just in case you were wondering)."
"""Michael Collins"" actor.   		3 letters","REA.    	Stephen Rea is an Irish actor, whose most famous role was that of the ""retired"" IRA man in the brilliant 1992 film ""The Crying Game"". He also starred in the chilling movie ""Stuck"", a 2007 film that is based on a true story about a woman who commits a hit and run on a homeless man. The woman leaves the scene of the crime with the victim still ""stuck"" in her windshield. The woman then leaves the man to die in her garage. Chilling, eh? But as I said, a true story ..."
N.F.L.   		3 letters,"DRE.    	Dré Bly is a football cornerback who won a Super Bowl ring with the St. Louis Rams in the year 2000. Bly's real name is Donald André Bly, hence the nickname ""Dré""."
Injury-monitoring org.   		4 letters,"OSHA.    	The Occupational Safety and Health Administration was created in 1970 during the Nixon administration. OSHA regulates workplaces in the private sector. OSHA regulates just one government agency, the US Postal Service."
"""My Gal ___"".   		3 letters","SAL.    	""My Gal Sal"" is a song written by composer Paul Dresser. ""My Gal Sal"" is also the name of the movie recounting Dresser's life made in 1942. It stars Victor Mature as Dresser, and Rita Hayworth as Sally ""Sal"" Elliott."
"James who sang ""Good Rockin' Daddy"".   		4 letters","ETTA.    	Etta James was best known for her beautiful rendition of the song 'At Last'. Sadly, as she disclosed in her autobiography, James lived a life that was ravaged by drug addiction leading to numerous legal and health problems. Ms. James passed away in January 2012 having suffered from leukemia."
Former name of Exxon stations.   		4 letters,"ESSO.    	The brand name Esso has its roots in the old Standard Oil company as it uses the initial letters of ""Standard"" and ""Oil"" (ESS-O). The Esso brand was replaced by Exxon in the North America, but ESSO is still used in many other countries."
"Elba, for one.   		4 letters","ISLE.    	I had a lovely two-week vacation in Tuscany once, including what was supposed to be a two-night stay on the island of Elba. I had envisioned Elba as a place full of history, and maybe it is, but it is also overrun with tourists who use it as a beach getaway. We left after one day and we won't be going back ..."
One less than quattro.   		3 letters,"TRE.    	In Italian, tre (three) precedes quattro (four)."
First name at Woodstock.   		4 letters,"ARLO.    	Arlo Guthrie was the first performer at Woodstock, followed by Joan Baez."
God in the 49-Across.   		4 letters,"ARES.    	The Greek god Ares is often referred to as the Olympian god of warfare, but originally he was regarded as the god of blood-lust and slaughter."
"Eponym of a Southern ""-ville"".   		4 letters",ASHE.    	Samuel Ashe was the Governor of North Carolina from 1795 to 1798. North Carolina's Ashe County and the cities of Asheboro and Asheville are named in his honor.
Symbol for Freud's field.   		3 letters,PSI.    	The Greek letter 'psi' is used as a symbol for the fields of psychology and psychiatry.
It's a gas up north.   		4 letters,"ESSO.    	The brand name Esso has its roots in the old Standard Oil company as it uses the initial letters of ""Standard"" and ""Oil"" (ESS-O). The Esso brand was replaced by Exxon in the US, but ESSO is still used in many other countries."
"""Undo"" mark.   		4 letters","STET.    	""Stet"" is a Latin word meaning ""let it stand"". In editorial work, the typesetter is instructed to disregard any change previously marked by writing the word ""stet"" and then underscoring that change with a line of dots or dashes."
Beautician employer.   		3 letters,"SPA.    	The word ""spa"" migrated into English from Belgium, as Spa is the name of a municipality in the east of the country that is famous for its healing hot springs. The name ""Spa"" comes from the Walloon word ""espa"" meaning ""spring, fountain""."
Paolantonio of ESPN.   		3 letters,"SAL.    	Sal Paolantonio is a reporter for ESPN based in Phildelphia, mostly associated with coverage of the Philadelphia Eagles, New York Giants and the New York Jets."
Org.   		3 letters,AMA.    	American Medical Association (AMA)
Big name in headphones.   		3 letters,"DRE.    	Beats by Dre is a brand of audio products made by Beats Electronics, a company that was co-founded by rapper Dr. Dre. Apple bought Beats for $3 billion in 2014, the largest acquisition by far in the company's history."
Dutch cheese.   		4 letters,"EDAM.    	One cheese that is recognized by its coating is Edam. Edam cheese takes the name after the Dutch town of Edam in North Holland. It is famous for its coating of red paraffin wax, a layer of protection that helps it travel well and prevents spoiling. You might occasionally come across an Edam cheese that is coated in black wax. This means that the underlying cheese has been aged for a minimum of 17 weeks."
Teatro La Fenice offering.   		5 letters,"OPERA.    	Teatro La Fenice is a famous opera house in Venice, Italy. The current building was opened in 2003, replacing a prior structure destroyed by arson in 1996. The older building was itself a replacement of another theater building destroyed by fire in 1836. Perhaps quite fittingly, ""fenice"" is the Italian for ""phoenix""."
Writer Waugh.   		4 letters,"ALEC.    	Alec Waugh was the older brother of the more famous Evelyn Waugh. Both were successful novelists (Evelyn of ""Brideshead Revisited"" fame), but what I like about Alec is that he supposedly invented the cocktail party. He invited his friends around ""for tea"" in the twenties, and served them all rum swizzles instead!"
Winter Palace autocrat.   		4 letters,"TSAR.    	The Winter Palace is a magnificent building in St. Petersburg in Russia, home to the Russian tsars (and tsarinas). The Winter Palace houses the famous Hermitage Museum. I was lucky enough to visit the Palace and museum some years ago, and I have to say that I have rarely been more impressed by a historical building."
___ Sea (shrinking body of water).   		4 letters,"ARAL.    	The Aral Sea is great example of how man can have a devastating effect on the environment. In the early sixties the Aral Sea covered 68,000 square miles of Central Asia. Soviet Union irrigation projects drained the lake to such an extent that today the total area is less than 7,000 square miles, with 90% of the lake now completely dry. Sad ..."
Pooh's young pal.   		3 letters,"ROO.    	Like most of the characters in A. A. Milne's ""Winnie the Pooh"", Roo is based on one of his son's (Christopher Robin Milne) stuffed toys."
New Ager who sings in Irish Gaelic.   		4 letters,"ENYA.    	Enya's real name is Eithne Patricia Ní Bhraonáin, which can translate from the Irish into Enya Brennan. Her Donegal family (in the northwest of Ireland) formed a band called Clannad, which included Enya. In 1980 Enya launched her very successful solo career. And she sure does turn up a lot in crosswords!"
___ Style Awards.   		4 letters,ELLE.    	The Elle Style Awards have been presented annually since 2002 by 'Elle' magazine.
"Pooh's friend in ""Winnie-the-Pooh"".   		3 letters","ROO.    	Like most of the characters in A. A. Milne's ""Winnie the Pooh"", Roo is based on one of Christopher Robin Milne's stuffed toys (Christopher Robin was Milne's son)."
___ of Man.   		4 letters,"ISLE.    	The Isle of Man is a large island located in the middle of the Irish Sea between Great Britain and Ireland. I used to spend a lot of time there in my youth, and a very interesting place it is indeed. The Isle of Man is classed as a British Crown Dependency, and isn't part of the United Kingdom at all. It is self-governing and has its own parliament called the Tynwald. The Tynwald was created in AD 979, and is arguably the oldest continuously-running parliament in the world. The inhabitants of the island speak English, although they do have their own language as well called Manx, which is very similar to Irish Gaeilge and Scottish Gaelic. And then there are the Manx cats, the ones without any tails. I've seen lots of them, and can attest that they are found all over the island."
Grasp.   		3 letters,"KEN.    	Ken' is a noun meaning 'understanding, perception'. One might say, for example, 'half the clues in Saturday's crossword are beyond my ken, beyond my understanding'."
Panhandle state: Abbr..   		3 letters,"IDA.    	The US state of Idaho has a panhandle that extends northwards between Washington and Montana, right up to the border with Canada. Across that border is the Canadian province of British Columbia. Most of Idaho is in the Mountain Time Zone, but Northern Idaho (the Panhandle) is in the Pacific Time Zone."
Grp.   		4 letters,"NASA.    	The Soviet Union launched the Sputnik satellite towards the end of 1957, a development that shocked the establishment in the US. Within months, President Eisenhower made his move, creating the Advanced Research Projects Agency (ARPA, now DARPA) and the National Aeronautics and Space Administration (NASA)."
"Old Tetris runner, briefly.   		3 letters",NES.    	The Nintendo Entertainment System (NES) was sold in North America from 1985 to to 1995. The NES was the biggest selling gaming console of the era.
Beehive State native.   		3 letters,"UTE.    	The Ute is a group of Native American tribes that now resides in Utah and Colorado. The Ute were not a unified people as such, but rather a loose association of nomadic groups."
Dept.   		4 letters,"OSHA.    	The Occupational Safety and Health Administration was created in 1970 during the Nixon administration. OSHA regulates workplaces in the private sector only, the one exception being the US Postal Service."
His chariot was drawn by fire-emitting horses.   		4 letters,"ARES.    	The Greek god Ares is indeed bellicose. He is often referred to as the Olympian god of warfare, but originally he was regarded as the god of blood-lust and slaughter."
Gillette brand.   		4 letters,"ATRA.    	Fortunately for crossword setters, the Atra razor was introduced by Gillette in 1977. It was sold as the Contour in some markets and its derivative products are still around today."
Neutral shade.   		4 letters,"ECRU.    	The shade called ecru is a grayish, yellowish brown. The word ""ecru"" comes from French and means ""raw, unbleached"". ""Ecru"" has the same roots as our word ""crude""."
Eastern path.   		3 letters,"TAO.    	The Chinese character ""tao"" translates as ""path"", but the concept of Tao signifies the true nature of the world."
Kind of fingerprinting.   		3 letters,"DNA.    	I've always been fascinated by the fact that the DNA of living things is so very similar across different species. Human DNA is almost exactly the same for every individual (to the degree of 99.9%). However, those small differences are sufficient to distinguish one individual from another, and to determine whether or not individuals are close family relations."
"2000 comedy ""Me, Myself & ___"".   		5 letters","IRENE.    	Me, Myself & Irene' is a 2000 comedy film starring Jim Carrey ('Me' and 'Myself') and Renée Zellweger (Irene). It's a perfect vehicle for Carrey, as his character is a state trooper who develops a second personality after a psychotic breakdown. You can just imagine how Jim Carrey plays that extra, unrepressed persona!"
"Death Row Records co-founder, familiarly.   		3 letters","DRE.    	Dr. Dre is the stage name of rapper Andre Romelle Young. Dr. Dre is perhaps as well known for his own singing career as he is for producing records and starting the careers of others such Snoop Dog, Eminem and 50 Cent."
Late 19th-century anarchist's foe.   		4 letters,"TSAR.    	By definition, an anarchist is someone who feels that government is oppressive and should be gotten rid of. Anarchists stood side-by-side with the Bolsheviks in the February Revolution of 1917 that led to the abdication of Tsar Nicholas II and the end of the Russian Empire."
Letters that delight angels.   		3 letters,SRO.    	Standing room only (SRO)
Nephew of 8-Down.   		4 letters,"ENOS.    	Enos, as the son of Seth, was the grandson of Adam and Eve."
Metal in 60-Across's motto.   		3 letters,"ORO.    	""Oro y Plata"" means ""gold and silver"", and is the state motto of Montana. The motto was written in Spanish, solely because ""it had a nice ring to it""."
___ Plus.   		4 letters,"ATRA.    	Fortunately for crossword setters, the Atra razor was introduced by Gillette in 1977. The Atra was sold as the Contour in some markets and its derivative products are still around today."
Asia's ___ Sea.   		4 letters,"ARAL.    	The Aral Sea is another great example of how man can have a devastating effect on the environment. In the early sixties the Aral Sea covered 68,000 square miles of Central Asia. Soviet Union irrigation projects drained the lake to such an extent that today the total area is less than 7,000 square miles, with 90% of the lake now completely dry. Sad ..."
Kanga's offspring.   		3 letters,"ROO.    	Kanga is a friend of Winnie-the-Pooh, and is a kangaroo. She is the mother of Roo, who appears more frequently in the storyline."
"Performer of the 2001 Oscar-nominated song ""May It Be"".   		4 letters","ENYA.    	Enya's real name is Eithne Ní Bhraonáin, which can translate from Irish into Enya Brennan. Her Donegal family (in the northwest of Ireland) formed a band called Clannad, which included Enya. In 1980 Enya launched her very successful solo career. She sure does turn up a lot in crosswords!"
"""The Two Towers"" denizen.   		3 letters","ENT.    	Ents are those tree-like creatures that live in J. R. R. Tolkien's Middle-earth in his series of books ""The Lord of the Rings"". 'Ent' is an Old English word for 'giant'."
"Bush beast, briefly.   		3 letters","ROO.    	The name 'kangaroo' comes from the Australian Aborigine term for the animal. There's an oft-quoted story that James Cook (later Captain Cook) asked a local native the name of this remarkable looking animal, and the native responded with 'kangaroo'. The story is that the native was actually saying 'I don't understand you', but as cute as that tale is, it's just an urban myth."
Letter after chi.   		3 letters,PSI.    	The Greek letter psi is the one that looks a bit like a trident or a pitchfork.
Bath can.   		3 letters,"LOO.    	When I was growing up in Ireland, a ""bathroom"" was a room that had a bath and no toilet. The separate room with the commode was called ""the toilet"" or sometimes the W.C. (the water closet). Apparently the term closet was used because in the 1800s when homeowners started installing toilets indoors they often displaced clothes and linens in a ""closet"", as a closet was the right size to take the commode. It has been suggested that the British term ""loo"" comes from Waterloo (water-closet ... water-loo), but no one seems to know for sure. Another suggestion is that the term comes from the card game of ""lanterloo"" in which the pot was called the loo!"
Wind quintet member.   		4 letters,"OBOE.    	A wind quintet is a group of five woodwind players, usually flute, oboe, clarinet, horn and bassoon."
Card game from Mattel.   		3 letters,"UNO.    	In my youth I remember being taught a great card game, by a German acquaintance of mine, called Mau Mau. Years later I discovered that Uno is basically the same game, but played with a purpose-printed deck instead of the regular deck of playing cards that's used for Mau Mau. I hear that Mau Mau is derived from the game called Crazy Eights."
"Father of Fear, in myth.   		4 letters","ARES.    	The Greek god Ares is often referred to as the Olympian god of warfare, but originally he was regarded as the god of bloodlust and slaughter. Ares united with Aphrodite to create several gods, including Phobos (Fear), Deimos (Terror) and Eros (Desire). The Roman equivalent to Ares was Mars."
"""Trains and Winter Rains"" singer, 2008.   		4 letters","ENYA.    	Enya's real name is Eithne Ní Bhraonáin, which can translate from Irish into Enya Brennan. Her Donegal family (in the northwest of Ireland) formed a band called Clannad, which included Enya. In 1980 Enya launched her very successful solo career, eventually becoming Ireland's best-selling solo musician. And ... she sure does turn up a lot in crosswords!"
Cold war grp.?.   		3 letters,AMA.    	The American Medical Association (AMA) might be said to wage war on the common cold.
Olympian war god.   		4 letters,"ARES.    	The Greek god Ares is often referred to as the Olympian god of warfare, but originally he was regarded as the god of bloodlust and slaughter. Ares united with Aphrodite to create several gods, including Phobos, Deimos and Eros. The Roman equivalent to Ares was Mars."
New York stadium eponym.   		4 letters,"ASHE.    	The Arthur Ashe Stadium in Queens, New York opened in 1997 and is the largest outdoor, tennis-only venue in the world. The stadium is sometimes criticized for not having a retractable dome to protect the playing surface from inclement weather, a constant cause of debate."
___ 2600 (early game console).   		5 letters,"ATARI.    	The kids today probably don't realize that we had a video game console back in the seventies, and it wasn't a Nintendo nor was it a PlayStation. The Atari 2600 game system introduced the idea of separating out computing hardware (the console) from the game code (a cartridge). The same concept persists to this day, although cartridges have been displaced by discs and downloads."
Pal of Pooh.   		3 letters,"ROO.    	Like most of the characters in A. A. Milne's ""Winnie the Pooh"", Roo was inspired by on a stuffed toy belonging to Milne's son Christopher Robin."
Passion.   		4 letters,"ELAN.    	Our word ""élan"" was imported from French, in which language the word has a similar meaning to ours i.e ""style"" or ""flair""."
Due follower.   		3 letters,"TRE.    	'One, two, three' in Italian is ""uno, due, tre""."
Mrs.   		3 letters,"IDA.    	Ida Morgenstern is a character on the seventies sitcom 'Rhoda'. Ida is the mother of the title character, Rhoda Morgenstern. Ida was played by Nancy Walker, and Rhoda by Valerie Harper."
"Handler of many trays, for short.   		3 letters","TSA.    	The Transportation Security Administration (TSA) was created in 2001, soon after the 9/11 attacks. TSA personnel carry out the baggage and body searches at US airports. The TSA has a Trusted Traveler program that allows certain passengers to move more quickly through security screening. These passengers pay the TSA a one-time fee that covers a background check after which successful applicants are issued a Known Traveler Number (KTN)."
Dash.   		4 letters,"ELAN.    	Our word ""élan"" was imported from French, in which language the word has a similar meaning to ours i.e ""style"" or ""flair""."
Those who read 61-Across.   		3 letters,EDS.    	Editors read manuscripts.
One-named Irish Grammy winner.   		4 letters,"ENYA.    	Enya's real name is Eithne Patricia Ni Braonain, which can translate from the Irish into Enya Brennan. Her Donegal family (in the northwest of Ireland) formed a band called Clannad, which included Enya. In 1980 Enya launched her very successful solo career. She sure does turn up a lot in crosswords!"
February Revolution target.   		4 letters,"TSAR.    	The year 1917 saw two revolutions in Russia, with the pair collectively called 'the Russian Revolution'. As a result of the February Revolution that centered on Petrograd, the last Emperor of Russia (Tsar Nicholas II) abdicated and members of the Imperial parliament took control of the country, forming the Russian Provisional Government. The Provisional Government was itself overthrown in the October Revolution, by Vladimir Lenin and the Bolshevik party."
"""X-Men"" actress Paquin.   		4 letters","ANNA.    	Anna Paquin is an actress from New Zealand, who won an Oscar as an 11-year-old for her role in ""The Piano"". In the HBO series ""True Blood"" she plays Sookie Stackhouse, a role for which she won a Golden Globe."
Fashion magazine.   		4 letters,"ELLE.    	""Elle"" magazine was founded in 1945 in France and today has the biggest circulation of any fashion magazine in the world. ""Elle"" is the French word for ""she""."
"Cracked open, as a door.   		4 letters","AJAR.    	Our word ""ajar"" is thought to come from Scottish dialect, in which ""a char"" means ""slightly open""."
"Display at the Intrepid Sea-Air-Space Museum, for short.   		3 letters","SST.    	The most famous warship to bear the name USS Intrepid was an aircraft carrier launched during WWII and decommissioned in 1974. The Intrepid was the first US carrier to launch planes with steam catapults, and she was also a recovery ship for two NASA space missions: one Mercury flight and one Gemini flight. You can go see the Intrepid now in New York City where she is the base for the Intrepid Sea-Air-Space Museum. You can even see a retired British Airways Concorde at the museum."
Arizona's ___ Cienegas National Conservation Area.   		3 letters,LAS.    	The Las Cienegas National Conservation Area is located in the Sonoran desert of Arizona.
Packed letters?.   		3 letters,SRO.    	A packed theater might display a Standing Room Only (SRO) sign.
Squad leader?.   		3 letters,ESS.    	The leading letter in the word 'squad' is S (ess).
"Kendrick of ""Up in the Air"".   		4 letters","ANNA.    	Up in the Air' is a really enjoyable comedy-drama from 2009, an adaptation of a novel of the same name by Walter Kirn. It's all about life on the road and business travel, and stars George Clooney. It reminded me of my decades of business travel, something I usually enjoyed, to be honest. Clooney's young sidekick in the movie is played very ably by Anna Kendrick."
Slaloming shape.   		3 letters,"ESS.    	'Slalom' is an anglicized version of the Norwegian word ""slalam"" that translates as ""skiing race""."
Razor brand.   		4 letters,"ATRA.    	Fortunately for crossword setters, the Atra razor was introduced by Gillette in 1977. The Atra was sold as the Contour in some markets and its derivative products are still around today."
Nintendo's Super ___.   		3 letters,NES.    	The acronym Super NES (or SNES) stands for Super Nintendo Entertainment System. Our kids probably have one somewhere ...
"The ""L"" of U.N.L.V.   		3 letters","LAS.    	The University of Nevada, Las Vegas (UNLV) was established in 1957 as the Southern Division of the University of Nevada, Reno. One of UNLV's flagship departments is the William F. Harrah College of Hotel Administration, which is consistently ranked as one of the best hotel and hospitality colleges in the nation. I suppose that's not surprising given the proximity to the Las Vegas Strip."
Cracked a little.   		4 letters,"AJAR.    	Our word ""ajar"" is thought to come from Scottish dialect, in which ""a char"" means ""slightly open""."
Path to enlightenment.   		3 letters,"TAO.    	The Chinese character ""tao"" translates as ""path"", but the concept of Tao signifies the true nature of the world."
Nephew of Cain.   		4 letters,"ENOS.    	Enos, as the son of Seth, was the grandson of Adam."
Mars' Greek counterpart.   		4 letters,"ARES.    	The Greek god Ares is often referred to as the Olympian god of warfare, but originally he was regarded as the god of blood-lust and slaughter. Ares united with Aphrodite to create several gods, including Phobos, Deimos and Eros. The Roman equivalent to Ares was Mars."
Celestial altar.   		3 letters,"ARA.    	The constellation of Ara takes its name from the Latin word for ""altar""."
"Jet crew, briefly.   		3 letters",EDS.    	Editors (eds.)
Standard offspring.   		4 letters,"ESSO.    	The brand name Esso has its roots in the old Standard Oil company as it uses the initial letters of ""Standard"" and ""Oil"" (ESS-O). The Esso brand was replaced by Exxon in the US, but ESSO is still used in many other countries."
Spider-Man villain ___ Octavius.   		4 letters,"OTTO.    	Otto Octavius is a supervillain in the comic book universe. Also known as Doctor Octopus, Octavius is primarily a foe of Spider-Man."
Rich of old films.   		5 letters,"IRENE.    	The actress Irene Rich worked in movies during the transition from the silent era to talkies. Rich also did a lot of work on radio where she had her own show. ""The Irene Rich Show"" was a series of mini-dramas in which Rich played opposite her leading man, Gale Gordon, who later played ""Mr. Mooney"", Lucille Ball's boss on ""The Lucy Show""."
"""Goodnight"" girl of song.   		5 letters","IRENE.    	""Goodnight, Irene"", also known as ""Irene, Goodnight"", is a lovely American folk song that was first recorded commercially back in 1932 by blues singer Lead Belly. The song made it to number one in the charts for the Weavers in 1950 and for Frank Sinatra in the same year."
Skin cream ingredient.   		4 letters,"ALOE.    	Aloe vera has a number of alternate names that are descriptive of its efficacy as a medicine. These include the First Aid plant, Wand of Heaven, Silent Healer and Miracle Plant."
Typesetting direction.   		4 letters,"STET.    	""Stet"" is a Latin word meaning ""let it stand"". In editorial work, the typesetter is instructed to disregard any change previously marked by writing the word ""stet"" and then underscoring that change with a line of dots or dashes."
Destructive 2011 East Coast hurricane.   		5 letters,"IRENE.    	Hurricane Irene caused extensive flooding in 2011 as it travelled through the Caribbean, up the East Coast of the United States and into the Atlantic seaboard of Canada. The hurricane was unusual in that it came so far up north. Fifty-five deaths were attributed to Irene."
Sold-out sign.   		3 letters,SRO.    	Standing Room Only (SRO)
"""Beetle Bailey"" bulldog.   		4 letters","OTTO.    	Sgt. Snorkel is Beetle Bailey's nemesis in the cartoon strip. Snorkel has a dog called Otto that he dresses up to look just like himself. He started off as a regular dog, but artist Mort Walker decide to make him more like his owner, and he became a big hit."
Low numero.   		3 letters,"TRE.    	In Italian, three (tre) is a low number (numero)."
Razor introduced in 1977.   		4 letters,"ATRA.    	Fortunately for crossword setters, the Atra razor was introduced by Gillette in 1977. The Atra was sold as the Contour in some markets and its derivative products are still around today."
Fed.   		3 letters,TSA.    	Transportation Security Administration (TSA)
Doc grp.   		3 letters,AMA.    	American Medical Association (AMA)
Comics canine.   		4 letters,"OTTO.    	Sgt. Snorkel ('Sarge') is Beetle Bailey's nemesis in the cartoon strip that bears his name. Snorkel has a dog called Otto that he dresses up to look just like himself. Otto started off as a regular dog, but artist Mort Walker decide to draw him more like his owner, and soon Otto became a big hit."
Soothing plant.   		4 letters,"ALOE.    	Aloe vera has a number of alternate names that are descriptive of its efficacy as a medicine. These include the First Aid plant, Wand of Heaven, Silent Healer and Miracle Plant."
Screener's org.   		3 letters,"TSA.    	The Transportation Security Administration (TSA) was created in 2001, soon after the 9/11 attacks."
African healer.   		4 letters,"ALOE.    	Aloe vera has a number of alternate names that are descriptive of its efficacy as a medicine. These include the First Aid plant, Wand of Heaven, Silent Healer and Miracle Plant."
"Mad people, e.g.: Abbr..   		3 letters","EDS.    	""Mad"" magazine has been around since 1952, although back then it was more of a comic book than a magazine."
New Deal power agcy.   		3 letters,"REA.    	The Rural Electrification Administration (REA) was one of the New Deal agencies set up by President Franklin Roosevelt. Created in 1935, the agency's goal was to provide electrical power to rural areas, something that the profit-conscious power companies weren't willing to take on by themselves."
Zest.   		4 letters,"ELAN.    	Our word ""élan"" was imported from French, in which language the word has a similar meaning to ours, i.e ""style"" or ""flair""."
PBS backer.   		3 letters,"NEA.    	The National Endowment for the Arts (NEA) is an agency funded by the federal government that offers support and financing for artistic projects. The NEA was created by an Act of Congress in 1965. Between 1965 and 2008, the NEA awarded over $4 billion to the arts, with Congress authorizing around $170 million annually through the eighties and much of the nineties. That funding was cut to less than $100 million in the late nineties due to pressure from conservatives concerned about the use of funds, but it is now back over the $150 million mark. I wonder how long that will last though ..."
"""Super"" game console.   		3 letters",NES.    	The acronym Super NES (or SNES) stands for Super Nintendo Entertainment System. Our kids probably have one somewhere ...
Tire measure: Abbr..   		3 letters,PSI.    	Pounds Per Square Inch (PSI) is a measure of pressure.
Massachusetts' Mount ___ College.   		3 letters,"IDA.    	Mount Ida College is a private school in Newton, Massachusetts that was founded in 1899 as an all-female high school. Mount Ida became co-educational in 1972, and offered its first bachelor's degrees in the eighties."
Legal org.   		3 letters,ABA.    	The American Bar Association (ABA)
Beehive State native.   		3 letters,"UTE.    	The Ute is a group of Native American tribes that now resides in Utah and Colorado. The Ute were not a unified people as such, but rather a loose association of nomadic groups."
Coach Parseghian.   		3 letters,"ARA.    	Ara Parseghian coached the Notre Dame football team from 1964 to 1974, a period known as ""The Era of Ara""."
First razor with a pivoting head.   		4 letters,"ATRA.    	Fortunately for crossword setters, the Atra razor was introduced by Gillette in 1977. The Atra was sold as the Contour in some markets and its derivative products are still around today. I just learned that the Atra was the first razor to feature a pivoting head, definitely a selling point, I'd say ..."
"Father of Deimos and Phobos, in myth.   		4 letters","ARES.    	The Greek god Ares is often referred to as the Olympian god of warfare, but originally he was regarded as the god of blood-lust and slaughter."
"Eliot's ""___ Vos Prec"".   		3 letters",ARA.    	Ara Vos Prec' is the title of a 1920 collection of poems by T. S. Eliot. The phrase 'Ara vos prec' is a phrase from Dante's 'Inferno'.
Mount with the Cave of Zeus.   		3 letters,"IDA.    	Accounting to mythology, Zeus was born in a cave at Mount Ida, the highest peak on the island of Crete."
Part of Georgia is in it.   		4 letters,"ASIA.    	The former Soviet Socialist Republic of Georgia is now an independent country. Supposedly, the Georgian people were given their name because they especially revered St. George. The flag of Georgia does indeed feature five St. George's crosses."
Tennis player who posthumously received a Presidential Medal of Freedom.   		4 letters,"ASHE.    	Arthur Ashe was a professional tennis player from Richmond, Virginia. In his youth, Ashe found himself having to travel great distances to play against Caucasian opponents due to the segregation that still existed in his home state. He was rewarded for his dedication by being selected for the 1963 US Davis Cup team, the first African American player to be so honored. Ashe continued to run into trouble because of his ethnicity though, and in 1968 was denied entry into South Africa to play in the South African Open. In 1979 Ashe suffered a heart attack and had bypass surgery, with follow-up surgery four years later during which he contracted HIV from blood transfusions. Ashe passed away in 1993 due to complications from AIDS. Shortly afterwards, Ashe was posthumously awarded the Presidential Medal of Freedom by President Bill Clinton."
Pioneering razor with a pivoting head.   		4 letters,"ATRA.    	Fortunately for crossword setters, the Atra razor was introduced by Gillette in 1977. It was sold as the Contour in some markets, and its derivative products are still around today."
"Notre dame, e.g.   		4 letters","ELLE.    	In French, our lady (notre dame) is a 'she' (elle)."
Cleveland Browns great Graham.   		4 letters,"OTTO.    	Otto Graham was not only a professional football player for the Cleveland Browns, but he also played professional basketball for the Rochester Royals (now the Sacramento Kings)."
