ERN_T,ERNST.    	(61A. See 13-Down : MACH)
O_T,OAT.    	Kellogg's has been making Cracklin' Oat Bran since 1977. The recipe for the cereal was revamped in 1989 in order to reduce the saturated fat content.
R_GU,"RAGU.    	The Ragu brand of pasta sauce is owned by Unilever. The name "" Ragù"" is the Italian word for a sauce used to dress pasta, however the spelling is off a little. In Italian the word is ""Ragù"" with a grave accent over the ""u"", but if you look at a jar of the Unilever sauce, it is spelled ""Ragú"" on the label, with an acute accent. Sometimes I think we just don't try ..."
_NIL,"ANIL.    	Anil is another name for the indigo plant, as well as the name for the blue indigo dye that is obtained from it. The color of anil is relatively close to navy blue."
_PAM,"SPAM.    	Apparently the term ""SPAM"", used for unwanted email, is taken from a ""Monty Python"" sketch. In the sketch (which I've seen) the dialog is taken over by the word SPAM, a play on the glut of canned meat in the markets of Britain after WWII. So ""SPAM"" is used for the glut of emails that takes over online communication. I can just imagine nerdy Internet types (like me) adopting something from a ""Monty Python"" sketch to describe an online phenomenon ..."
SL_V,SLAV.    	The Slavic peoples are in the majority in communities covering over half of Europe. This large ethnic group is traditionally broken down into three smaller groups:
AP_,APB.    	An All Points Bulletin (APB) is a broadcast from one US law enforcement agency to another.
D_E,"DOE.    	A male deer is usually called a 'buck', and a female a 'doe'."
OGR_,"OGRE.    	Dungeons & Dragons is a complex role-playing game first published in 1974, by Tactical Studies Rules Incorporated (TSR). Dungeons & Dragons was probably the first of the modern role-playing games to be developed, and the most successful. It is still played by lots of people today, including my nerdy son ..."
ROT_,"ROTC.    	The Reserve Officers' Training Corps (ROTC) is a training program for officers based in colleges all around the US. The ROTC program was established in 1862 when, as a condition of receiving a land-grant to create colleges, the federal government required that military tactics be a part of a new school's curriculum."
_VEA,UVEA.    	The uvea is the middle of the three layers that make up the eyeball.
SA_A,"SARA.    	Sara Bareilles achieved success with her 2007 'Love Song' with the help of the iTunes online store. In one week in June of that year, iTunes offered the song as ""free single of the week"" and it quickly became the most downloaded song in the store, and from there climbed to the number spot in the charts."
P_I,"PHI.    	Phi Beta Kappa was the first collegiate Greek fraternity in the US, founded in 1776 at the College of William and Mary. The organization served as a model for future collegiate fraternities and sororities, although in the 19th century Phi Beta Kappa distanced itself from the fraternal focus and transformed into the honor society that it is today, recognizing academic excellence. The initials Phi Beta Kappa stand for 'philosophia biou kybernētēs', which translates into 'philosophy is the guide of life'. The symbol of the Phi Beta Kappa Society is a golden key."
R_M,"RPM.    	The first vinyl records designed to play at 33 1/3 rpm were introduced by RCA Victor in 1931, but were discontinued due to quality problems. The first Long Play (LP) 33 1/3 rpm disc was introduced by Columbia Records many years later in 1948, with RCA Victor following up with a 45 rpm ""single"" the following year, in 1949."
AR_NA,"ARENA.    	Arena Football is played indoors, on a smaller field that American (and Canadian) football. The sport was invented in 1981, and the Arena Football League (AFL) was around from 1987 till 2008. There's a new AFL in business now, which started playing games in 2010 apparently."
GNA_,"GNAT.    	A punkie is biting midge, a nasty little bug similar to a gnat."
DD_,"DDT.    	DDT is dichlorodiphenyltrichloroethane (don't forget now!). DDT was used with great success to control disease-carrying insects during WWII, and when made available for use after the war it became by far the most popular pesticide. And then Rachel Carson published her famous book ""Silent Spring"", suggesting there was a link between DDT and diminishing populations of certain wildlife. It was the public outcry sparked by the book, and reports of links between DDT and cancer, that led to the ban on the use of the chemical in 1972. That ban is touted as the main reason that the bald eagle was rescued from near extinction."
FD_,FDA.    	The Federal Drug Administration (FDA) approves drugs for specific conditions. It is quite legal for a healthcare professional to prescribe an approved medication for a use that is different to the FDA-approved indication. This usage of the drug is described as 'off-label'.
ARE_A,"ARENA.    	Portland's Rose Garden is a multipurpose arena, primarily built to home the Trail Blazers, the city's NBA team."
LT_,"LTD.    	There has been a lot of speculation about what the abbreviation LTD stands for in the car model known as ""Ford LTD"". Many say it is an initialism standing for Luxury Trim Decor, and others say that it is short for ""limited"". Although the car was produced in Australia with the initialism meaning Lincoln Type Design, it seems LTD was originally chosen as just three meaningless letters that sound well together."
US_,"USO.    	The United Service Organization (USO) was founded in 1941 at the request of FDR ""to handle the on-leave recreation of the men in the armed forces"". A USO tour is undertaken by a troupe of entertainers, many of whom are big-name celebrities. A USO tour usually includes troop locations in combat zones."
P_A,PSA.    	Public service announcement (PSA)
_WO,"TWO.    	Since the days of President George Washington, there was an informal tradition that a US President could hold office for two terms, but would not run for a third. Franklin D. Roosevelt was the only president to break with this tradition. President Roosevelt was elected to office four times, and died a few months after starting his fourth term. It was President Roosevelt's decision to ignore the term limit tradition that led to the adoption of the Twenty-Second Amendment of the Constitution, which provides that 'no person shall be elected to the office of President more than twice'."
CL_,"CLE.    	The Cleveland baseball franchise started out in 1869 as the Forest Citys named after ""Forest City"", which is the nickname for Cleveland. After a number of transitions, in 1914 the team took on the name ""Indians"". The media came up with name ""Indians"" after being asked for suggestions by the team owners. ""Indians"" was inspired by the successful Boston team of the day, the Boston Braves."
_AD,"TAD.    	Our word 'smidgen', meaning a small amount, might come from the Scots word 'smitch' that means the same thing or ""a small insignificant person""."
TI_,TIM.    	Tim Meadows is a comedian and actor who was a cast member on 'Saturday Night Live' (SNL) from 1991 to 2000. That nine years is one of the longest tenures of any SNL cast member.
_SO,"ESO.    	""Eso Beso"" is Spanish for ""That Kiss"", and is the name of a hit song recorded by Canadian-born singer Paul Anka."
G_N,GIN.    	Gin rummy is a variant of the slower game of standard rummy and was introduced in 1909 by Elwood Baker and his son.
PH_,"PHI.    	The golden ratio, denoted by the Greek letter phi, is a mathematical constant that often turns up in the world of art. Phi is approximately equal to 1.61, and is represented by the two distances, a and b, where (a+b)/a = a/b. Somehow we perceive the ratio of 1.61 as ""pleasing"" so it appears in many works of art and in building design. For example, many aspects of the Parthenon in Athens have the ratio of 1.61 (width compared to height). Leonardo da Vinci's famous drawing of the Vitruvian Man also illustrates the golden ratio in the proportions of the human body, where he shows that the distance from the foot to the navel, compared to the distance from the navel to the head, is 1.61."
ER_ST,"ERNST.    	Max Ernst was a painter and sculptor, a pioneer in the Dada movement and Surrealism. Ernst was born near Cologne in Germany in 1891 and he was called up to fight in WWI, as were most young German men at that time. In his autobiography he writes ""Max Ernst died the 1st of August, 1914"" a statement about his experiences in the war. In reality, Ernst died in 1976 having lived to the ripe old age of 85."
A_TRO,ASTRO.    	40. See 34-Across : STAR
_SSAY,"ESSAY.    	Frank Rich was until relatively recently the chief theatre critic for the New York Times. Prior to taking that position, Rich was an essayist and op-ed columnist for the same paper."
I_T,"IRT.    	The Interborough Rapid Transit Company was the original, private operator of the New York Subway when it opened in 1904. The city took over ownership of the system in 1940, but the lines originally operated by the IRT are still known by the IRT moniker."
_ARE,HARE.    	The Hare Krishna mantra dates back to the 15th century. It is a 16-word mantra that can be written as:
_LO,"ILO.    	The ILO (International Labour Organization) is an agency now administered by the UN, but it was established by the League of Nations after WWI. The ILO deals with important issues such as health and safety, discrimination, child labor and forced labor. The organization was recognized for its work in 1969 when it was awarded the Nobel Peace Prize."
_OR,"TOR.    	The Toronto Blue Jays, founded in 1977, are the only team outside the US to win a World Series, doing so in 1992 and 1993. And, now that Montreal Expos have relocated to Washington, the Blue Jays are now the only Major League Baseball Team outside of the US."
D_E,DOE.    	32. 62-Across's woodlands mate : STAG
_AS,"RAS.    	RAs are resident assistants or resident advisers, the peer leaders found in residence halls, particularly on a college campus."
_ES,"SES.    	'Ses' is the French word for 'his', 'her' or 'its', when referring to a group of items."
_DYS,"EDY'S.    	Dreyers' ice cream sells its products under the name Dreyers in the Western United States, and Edy's in the Eastern states. The company's founders were William Dryer and Joseph Edy."
SM_G,"SMOG.    	""Smog"" is of course a portmanteau word formed by melding ""smoke"" and ""fog"". The term was first used to describe the air around London in the early 1900s."
_AV,"LAV.    	When I was growing up in Ireland, a ""bathroom"" was a room that had a bath and no toilet. The separate room with the commode was called ""the toilet"" or sometimes the W.C. (the water closet). Apparently the term closet was used because in the 1800s when homeowners started installing toilets indoors they often displaced clothes in a ""closet"", as a closet was the right size to take the commode. It has been suggested that the British term ""loo"" comes from Waterloo (water-closet ... water-loo), but no one seems to know for sure."
ES_,"ESO.    	'Bodega' is the Spanish term for a winery, or these days also a grocery store."
NY_T,"NYET.    	""Nyet"" is Russian for ""no"", and 'da' is Russian for 'yes'."
TA_,"TAD.    	Back in the 1800s ""tad"" was used to describe a young child, and this morphed into our usage of ""small amount"" in the early 1900s. The original use of ""tad"" for a child is very likely a shortened version of ""tadpole""."
NEI_,"NEIL.    	Neil Patrick Harris got his big break very early in his career, playing the title role in television's 'Doogie Howser, M.D.' More recently he played a lead roles on the sitcom 'How I Met Your Mother', portraying the shallow womanizer Barney Stinson. Harris is also quite the magician and serves on the Board of Directors of Hollywood's Magic Castle, a nightclub for magicians and magic enthusiasts."
AN_L,"ANIL.    	Anil is another name for the indigo plant, as well as the name for the blue indigo dye that is obtained from it. The color of anil is relatively close to navy blue."
A_T,"ART.    	Some stories when published are illustrated with art, I guess ..."
_RO,"CRO.    	Remains of early man, dating back to 35,000 years ago, were found in Abri de Cro-Magnon in southwest France, giving the name to those early humans. Cro-Magnon remains are the oldest human remains that have been discovered in Europe."
CA_,"CAD.    	Our word ""cad"", meaning ""a person lacking in finer feelings"", is a shortening of the word ""cadet"". ""Cad"" was first used for a servant, and then students at British universities used ""cad"" as a term for a boy from the local town. ""Cad"" took on its current meaning in the 1830s."
SM_G,"SMOG.    	""Smog"" is of course a portmanteau word, formed by melding ""smoke"" and ""fog""."
ESS_X,"ESSEX.    	Essex is a county in England, referred to as one of the 'home counties'."
SPA_,"SPAM.    	I think that the oft-quoted story may be true that the term ""SPAM"", used for unwanted email, is taken from a ""Monty Python"" sketch. In the sketch (which I've seen) the dialog is taken over by the word SPAM, a play on the glut of canned meat in the markets of Britain after WWII. So ""SPAM"" is used for the glut of emails that takes over online communication. I can just imagine nerdy Internet types (like me) adopting something from a ""Monty Python"" sketch to describe an online phenomenon ..."
_AD,"CAD.    	Our word ""cad"", meaning ""a person lacking in finer feelings"", is a shortening of the word ""cadet"". ""Cad"" was first used for a servant, and then students at British universities used ""cad"" as a term for a boy from the local town. ""Cad"" took on its current meaning in the 1830s."
ST_,"STA.    	The Massachusetts Bay Transportation Authority is called the MBTA, or more usually 'the T'. It's called 'the T' because the company's logo is the letter T in a circle."
NY_T,"NYET.    	""Nyet"" is the Russian for ""no""."
ESSA_,"ESSAY.    	Op-ed is an abbreviation for ""opposite the editorial page"". Op-eds started in ""The New York Evening World"" in 1921 when the page opposite the editorials was used for articles written by a named guest writer, someone independent of the editorial board."
RAG_,"RAGU.    	The Ragu brand of pasta sauce is owned by Unilever. The name ""Ragu"" is the Italian word for sauce used to dress pasta, however, the spelling is off a little. In Italian the word is ""Ragù"" with a grave accent over the ""u"", but if you look at a jar of the Unilever sauce, it is spelled ""Ragú"" on the label, with an acute accent. Sometimes I think we just don't try ..."
_MANI,"OMANI.    	Oman is lies on the southeast coast of the Arabian Peninsula, neighbored by the OAE, Saudi Arabia and Yemen. Most of central Oman is covered by a gravel desert, with mountains along the north and southeast coasts."
_AGA,"RAGA.    	Raga isn't really a type of music, but has been described as the ""tonal framework"" in which Indian classical music is composed. Ravi Shankar is perhaps the most famous raga virtuoso (to us Westerners)."
U_E,"UNE.    	The indefinite article in French is 'un' or 'une', depending on gender of the associated noun."
_NAT,"GNAT.    	Gnats are attracted to the smell of rotting food, and to vinegar. Simple homemade traps that use vinegar are often constructed to attract and kill gnats."
GN_T,"GNAT.    	Gnats are attracted to the smell of rotting food, and to vinegar. Simple homemade traps that use vinegar are often constructed to attract and kill gnats."
NA_,"NAN.    	Nan Talese is an editor working at Doubleday. She is married to author Gay Talese, who is apparently in the process of writing a novel based on their life together."
R_I,RBI.    	Runs batted in (RBI)
AMIS_,"AMISH.    	The Amish are a group of Christian churches, a sub-group of the Mennonite churches. The Amish church originated in Switzerland and Alsace in 1693 when it was founded by Jakob Ammann. It was Ammann who gave the name to the Amish people. Many Amish people came to Pennsylvania in the 18th century."
AVI_,"AVIA.    	The Avia brand name for athletic shoes was chosen as ""avia"" is the Latin word for ""to fly"", and suggests the concept of aviation. Avia was founded in Oregon in 1979."
AC/_C,"AC/DC.    	Anyone with a laptop with an external power supply has an AC/DC converter, that big 'block' in the power cord. It converts the AC current from a wall socket into the DC current that is used by the laptop."
_AD,"CAD.    	Our word ""cad"", meaning ""a person lacking in finer feelings"", is a shortening of the word ""cadet"". ""Cad"" was first used for a servant, and then students at British universities used ""cad"" as a term for a boy from the local town. ""Cad"" took on its current meaning in the 1830s."
_RT,ART.    	Friedrich Nietzsche was a German philosopher. Not my cup of tea ...
A_V,ATV.    	All-terrain vehicle (ATV)
DO_,"DOE.    	Although the English court system does not use the term today, John Doe first appeared as the ""name of a person unknown"" in England in 1659, along with another unknown, Richard Roe. The female equivalent of John Doe is Jane Doe, with the equivalent to Richard Roe being Jane Roe (as in Roe v. Wade, for example)."
_RS,"RRS.    	The Pennsylvania Railroad (PRR) was a large rail network in the northeast that was founded in 1846. Even though the 'Pennsy' (as it was called) was the busiest railroad in the first half of the twentieth century, it went out of business in 1968. The PRR was also the largest public company in the world at one point, and it still holds the record for the longest continuous dividend history, having paid out an annual dividend for over a hundred years in a row."
E_O,"ESO.    	""Eso Beso"" is Spanish for ""That Kiss"", and was the name of a hit for Canadian-born singer Paul Anka."
D_R,DER.    	'Der' is one form of the word 'the' in German.
E_G,"ENG.    	The original thirteen colonies collaborated to set up a Continental Congress that led to the declaration of independence in 1776. There was a larger set of colonies in British America at that time, but the remainder opted to stay loyal to the Crown. The loyal colonies were the British West Indies, Newfoundland, the Province of Quebec, Nova Scotia, and East and West Florida. "
_RA,"FRA.    	Fra Mauro was a 15th-century monk who lived in the Monastery of St. Michael in the Republic of Venice. Prior to entering the monastic life, Mauro had been much-traveled merchant and soldier. As a monk, he became a cartographer and made maps of the world in consultation with city merchants who traveled the globe. The 'Fra Mauro Map' is a famous map of the world he created in 1459 that is surprisingly accurate."
_WO,TWO.    	Moses Malone played in both the ABA and NBA. When he retired in 1995 he was the last former player from the defunct ABA who was still playing professional basketball.
AVI_,"AVIA.    	The Avia brand name for athletic shoes was chosen as ""avia"" is the Latin word for ""to fly"", and suggests the concept of aviation. Avia was founded in Oregon in 1979."
