Announcer Hall.   		3 letters,EDD.    	Edd Hall is most famous as the former announcer for Jay Leno on 'The Tonight Show'.
Peevish state.   		4 letters,"SNIT.    	The exact etymology of 'snit', meaning 'fit of temper', isn't really known. The term was first used in print in the play 'Kiss the Boys Goodbye' by Clare Booth Luce, which dates back to the 1930s and is set in the American South."
"Brief records, in brief.   		3 letters","EPS.    	An extended-play record, CD or download (EP) contains more music than a single, but less than an LP."
"""You Must Love Me"" musical.   		5 letters","EVITA.    	""Evita"" was the follow up musical to ""Jesus Christ Superstar"" for Andrew Lloyd Webber and Tim Rice. Both of these works were originally released as album musicals, and very successful ones at that (I remember buying them when they first came out). 'Evita' was made into a film in 1996, with Madonna playing the title role and Welsh actor Jonathan Pryce playing her husband Juan Perón."
Actress/screenwriter Kazan.   		3 letters,ZOE.    	The actress Zoe Kazan is a granddaughter of famed film and theater director Elia Kazan.
Like arroyo areas.   		4 letters,"ARID.    	An arroyo is a small stream, or more often, a dry riverbed."
Alternative to draw or hold 'em.   		4 letters,"STUD.    	Stud poker is the name given to many variants of the game, all characterized by the dealer giving each player a mix of cards face-down and face-up. The cards facing downwards are called ""hole cards"", cards only visible to the individual who holds that particular hand. That gives rise to the phrase ""ace in the hole"", a valuable holding that only the player with the ace is aware of."
Buckeye city.   		5 letters,"AKRON.    	For part of the 1800s, the Ohio city of Akron was the fasting growing city in the country, feeding off the industrial boom of that era. The city was founded in 1825 and its location, along the Ohio and Erie canal connecting Lake Erie with the Ohio River, helped to fuel Akron's growth. Akron sits at the highest point of the canal and the name ""Akron"" comes from the Greek word meaning ""summit"". Indeed, Akron is the county seat of Summit County."
"Unwanted spot, in slang.   		3 letters","ZIT.    	The slang term 'zit', meaning ""pimple"", came into the language in 1966, but no one seems to know its exact derivation."
Safari's is a compass.   		4 letters,"ICON.    	Safari is Apple's flagship Internet browser, mainly used on its Mac line of computers. Personally, I use Google Chrome ..."
"""God Rest Ye Merry, Gentlemen,"" e.g.   		5 letters","CAROL.    	'God Rest Ye Merry, Gentlemen' is a favorite Christmas carol of mine. Note the correct punctuation. For years I thought the first line was 'God rest you, merry gentlemen'. In fact, the verb 'rest' here means 'keep, continue to remain'. Rewriting the line in contemporary English might be 'May God keep you happy, gentlemen'."
Universal Human Rights Mo.   		3 letters,"DEC.    	The Universal Declaration of Human Rights was adopted by the United Nations on December 10, 1948."
Greenish creature.   		6 letters,"IGUANA.    	An iguana is a lizard, and as such is cold-blooded. There are times when pet iguanas need heat from a UV lamp to maintain body temperature."
Dashboard abbr.   		3 letters,MPH.    	Miles per hour (mph)
Baseball Hall-of-Famer Roush.   		3 letters,"EDD.    	Edd Roush was a big hitter who played Major League Baseball, starting in 1913 for the Chicago White Sox. He jumped ship to the Federal League in 1914, a league set up to compete with the already well-established National and American Leagues. The upstart league only lasted a couple of seasons. When Edd Roush passed away in 1988 at the age of 94, he was the last surviving player from the short-lived Federal League."
"Gradually slowing, in mus.   		3 letters","RIT.    	Rit. (or sometimes ritard.) is the abbreviation for ritardando, the musical direction to slow down the tempo."
Ladies' man.   		4 letters,"STUD.    	The word ""stud"", meaning ""a male horse kept for breeding"", is derived from the Old English word ""stod"", which described a whole herd of horses."
"Worker bees, e.g.   		5 letters","CASTE.    	The bees in a hive are divided into three castes, three societal levels:"
Exams for future attys.   		5 letters,LSATS.    	The Law School Admission Test (LSAT) has been around since 1948.
Besmirches.   		4 letters,"TARS.    	""Besmirch"" is a derivative of ""smirch"", with both words meaning to ""make dirty"". In particular, to besmirch is to sully someone's reputation."
"___ Hamels, 2008 World Series M.V.P.   		4 letters",COLE.    	Cole Hamels is a starting pitcher for the Philadelphia Phillies. Hamels is married to Heidi Strobel who was a contestant on the sixth series of the reality television show 'Survivor'.
Waffle ingredients.   		4 letters,"EGGS.    	You can't get a Belgian waffle in Belgium, and the nearest thing is probably a Brussels waffle. Brussels waffles were introduced to the world in 1958, and arrived in the US in 1962 at the Century 21 Exposition in Seattle. The name 'Brussels' was changed to 'Bel-Gem' for the US market, which evolved into 'Belgian'."
Big band member.   		4 letters,"TUBA.    	The tuba is the lowest pitched of all the brass instruments, and one of the most recent additions to the modern symphony orchestra (usually there is just one tuba included in an orchestral line-up). ""Tuba"" is the Latin word for ""trumpet, horn""."
Lady of the Haus.   		4 letters,"FRAU.    	In Germany, the lady of the house (haus) is the wife (frau)."
1986 rock autobiography.   		7 letters,"I, TINA.    	""I, Tina"" is the 1986 autobiography of Tina Turner. The book was so successful it was adapted into a movie called ""What's Love Got to Do With It?"" The film version was released in 1993 and starring Angela Bassett as Tina Turner."
Quality that produces taste.   		5 letters,"SAPOR.    	""Sapor"" is another word for a flavor, a quality that can be tasted. ""Sapor"" is the Latin word for ""taste, flavor""."
"1942 Harry James hit ""___ My Guy"".   		4 letters","HE'S.    	Harry James was a very popular bandleader, particularly in the swing era. After a stint with Benny Goodman's orchestra, Harry James set up his own band based in Philadelphia. One member of his band, back in 1939, was a vocalist that James wanted to rename as Frankie Satin, but the singer decided to hold onto his own name, Frank Sinatra."
"""State of the Union"" director, 1948.   		5 letters","CAPRA.    	I can't tell you how many of Frank Capra's movies are on my list of all-time favorites. He directed such classics as 'It Happened One Night', 'Mr. Deeds Goes to Town', 'Lost Horizon', 'Mr. Smith Goes to Washington', 'Meet John Doe', 'Arsenic and Old Lace' and the holiday favorite 'It's a Wonderful Life'. Capra also did his bit during WWII, enlisting just a few days after Pearl Harbor was attacked. Given his great talent, and the fact that he enlisted at the relatively advanced age of 44, the US Army put him to work directing 11 documentary war films in the 'Why We Fight' series, for which he was awarded the Distinguished Service Medal."
Forty winks.   		3 letters,"NAP.    	Back in the early 1800s, folks took 'nine winks' when getting a few minutes of sleep during the day. Dr. William Kitchiner extended this concept in his 1821 self-help book 'The Art of Invigorating and Prolonging Life'. He suggested 'A Forty Winks Nap', which we seem to have been taking ever since. Mind you, I'm up to about eighty winks most days ..."
Blarney.   		3 letters,"ROT.    	Blarney is a town in County Cork in the south of Ireland. Blarney is home to Blarney Castle, and inside the castle is the legendary Blarney Stone. ""Kissing the Blarney Stone"" is a ritual engaged in by oh so many tourists (indeed, I've done it myself!), but it's not a simple process. The stone is embedded in the wall of the castle, and in order to kiss it you have to sit on the edge of the parapet and lean way backwards so that your head is some two feet below your body. There is a staff member there to help you and make sure you don't fall. The Blarney Stone has been labelled as the world's most unhygienic tourist attraction! But once you've kissed it, supposedly you are endowed with the ""gift of the gab"", the ability to talk eloquently and perhaps deceptively without offending. The term 'blarney' has come to mean flattering and deceptive talk."
Hurrays for matadors.   		4 letters,"OLES.    	'Matador' is a Spanish word used in English for a bullfighter, although the term isn't used in the same way in Spanish. The equivalent in Spanish is ""torero"". ""Matador"" translates aptly enough as 'killer'."
Classic toothpaste brand.   		5 letters,"IPANA.    	Ipana toothpaste was introduced in 1915 and was at the height of its popularity in the forties and fifties. Sales declined in the sixties and the product was withdrawn from the US market in the seventies. Bucky the Beaver was the ""spokesman"" for Ipana. Bucky the Beaver's slogan was ""Brusha... Brusha... Brusha. Get the New Ipana - it's dandy for your teeth!"""
Ice sheet.   		4 letters,"FLOE.    	An ice floe is a sheet of ice that has separated from the ice field, and is floating freely on the ocean."
A power of dos.   		4 letters,"OCHO.    	In Spanish, two (dos) raised to the power of three is eight (ocho)."
Football Hall-of-Famer Hirsch.   		5 letters,"ELROY.    	Running back Elroy Hirsch was famous for his unusual running style, earning him the nickname ""Crazylegs"". Hirsch starred in a biopic of his life released in 1953, and called ""Crazylegs"". That wasn't his only acting role, as he also appeared in a 1957 airline disaster movie called ""Zero Hour!""."
Teacher's advanced deg.   		3 letters,EDD.    	Doctor of Education (Ed.D.)
High line in the Middle East.   		5 letters,"EMIRS.    	An emir is a prince or chieftain, most notably in the Middle East. In English, 'emir' can also be written as 'amir' and 'ameer' (watch out for those spellings in crosswords!)."
Nancy Drew's aunt.   		6 letters,"ELOISE.    	I loved the Nancy Drew mysteries as a kid (I know, as a boy I ""shouldn't"" have been reading them!). They were written by a number of ghost writers after the character was introduced by Edward Stratemeyer in 1930. Nancy's Aunt Eloise was often the source of the mysteries that were to be solved, as Nancy was often summoned to Eloise's New York City apartment to help unravel some case or other."
Carne ___ (Mexican dish).   		5 letters,"ASADA.    	Carne Asada translates from Spanish as ""roasted meat"", and is a roast beef dish."
Turkish money.   		5 letters,"LIRAS.    	The word ""lira"" is used in a number of countries for currency. ""Lira"" comes from the Latin for ""pound"" and is derived from a British pound sterling, the value of a Troy pound of silver. For example, the lira (plural 'lire') was the official currency of Italy before the country changed over to the euro."
Gen.   		5 letters,"E LEE.    	Robert E. Lee is of course renowned as a southern officer in the Civil War. Lee was a somewhat reluctant participant in the war in that he opposed the secession of his home state of Virginia from the Union. At the beginning of the war, President Lincoln invited Lee to take command of the whole Union Army but he declined, choosing instead to stay loyal to his home state."
"Drunk motorist's infraction, for short.   		3 letters","DWI.    	In some states, there is no longer a legal difference between a DWI (Driving While Intoxicated) and a DUI (Driving Under the Influence). Other states retain that difference, so that by definition a DUI is a lesser offence than a DWI."
"""Pippin"" Tony winner.   		5 letters","FOSSE.    	Pippin' is a stage musical by Stephen Schwartz that was first produced in 1972, on Broadway. The original Broadway production was directed and choreographed by Bob Fosse, for which work Fosse won two Tony Awards in 1973. The title character's father in 'Pippin' is named Charlemagne. The father-son characters are inspired by the Holy Roman Emperors Charlemagne and Pepin."
___'acte.   		4 letters,"ENTR.    	The term entr'acte comes to us from French, and is the interval between two acts of a theatrical performance. It often describes some entertainment provided during that interval."
___ beetle.   		4 letters,STAG.    	Stag beetles are so called as the males of the species have large mandibles that resemble the antlers of stags.
"""Crashing the Party"" author, 2002.   		5 letters",NADER.    	Ralph Nader's 2002 book 'Crashing the Party' describes his experiences running as a third-party candidate in the 2000 US presidential election.
"Mini-albums, informally.   		3 letters","EPS.    	An extended-play record, CD or download (EP) contains more music than a single, but less than an LP."
Rapper ___ Wayne.   		3 letters,"LIL.    	Lil Wayne's real name is ... Dwayne Carter, Jr."
"Amazon transactions, e.g.   		5 letters","ETAIL.    	""Etail"" is the term used these days for online shopping. Etail is often compared to regular shopping in the ""real world"" by juxtaposing it with a ""brick and mortar"" store."
Grub.   		4 letters,"EATS.    	""Grub"" is slang for food. The word 'grub' has been used in this sense since way back in the 1600s, possible derived from birds eating grubs."
Lower part of the leg.   		4 letters,"SHIN.    	The tibia is the shin bone, the larger of the two bones right below the knee. The tibia is the strongest weight-bearing bone in the human body. ""Tibia"" is the Roman name for a Greek flute and it is thought that the shin bone was given the same name because flutes were often fashioned out of the shin bones of animals."
"""Moses"" novelist.   		4 letters","ASCH.    	""Moses"" was a novel by Sholem Asch, first published in 1951."
Oread in love with her own voice.   		4 letters,"ECHO.    	In Greek mythology, Echo is one of the Oreads, the mountain nymphs. She fell in love with the vain Narcissus, and followed him into the forest one day. Narcissus heard her following him, and called out, ""Who's there?"". Echo answered, ""Who's there?"" Again he called out, and again Echo echoed his words back to him. Get the gist?"
Some H.S.   		3 letters,"ALG.    	Algebra is a branch of mathematics in which arithmetical operations are performed on variables rather than specific numbers (x,y etc). The term 'algebra' comes from the Arabic 'al jebr' meaning 'reunion of broken parts'."
"""Oliver!"" director Reed.   		5 letters","CAROL.    	Oliver!' is stage musical by Lionel Bart that is based on the Charles Dickens novel 'Oliver Twist'. 'Oliver!' was adapted successfully for the big screen in 1968. The film version won six Academy Awards, including Best Picture and Best Director for Carol Reed. Leading the movie's cast are Mark Lester in the title role, Ron Moody as Fagin and Oliver Reed as Bill Sikes."
Cousin of a contrabass.   		5 letters,"VIOLA.    	A contrabass is a very low-pitched musical instrument, the most common example of which is the double bass. It is not necessarily a stringed instrument, as 'contrabass' refers to the low pitch rather than the type of instrument. So, there is a contrabass clarinet and a contrabass flute."
On edge.   		5 letters,"ANTSY.    	The word 'antsy' embodies the concept of 'having ants in one's pants', meaning being nervous and fidgety. However, 'antsy' has been used in English since the 1830s, whereas 'ants in the pants' originated a century later."
Chicken ___ (dish).   		4 letters,"KIEV.    	Chicken Kiev may indeed be a Ukrainian dish, named for the capital city of Kiev. It is a boneless chicken breast rolled around garlic, herbs and butter, breaded and deep fried. It was my Dad's favorite ..."
"Roseanne, before and after Arnold.   		4 letters","BARR.    	The comedienne Roseanne Barr is perhaps best known as the star of her own sitcom called 'Roseanne' in which she played the character Roseanne Conner. In 2012 Barr unsuccessfully vied for the Green Party's nomination for US President. She didn't give up though, and was successful in winning the nomination of the Peace and Freedom Party. In the 2012 presidential election she earned over 60,000 votes, and placed sixth in the list of candidates."
"Go door to door, possibly.   		5 letters","CAROL.    	The word ""carol"" came into English via the Old French word ""carole"", which meant a ""dance in a ring"". When ""carol"" made it into English, about 1300 AD, it was used to describe a dance as well as a joyful song. Around 1500 AD, carols that were sung came to be associated with Christmas."
Flavor.   		5 letters,"SAPOR.    	""Sapor"" is another word for a flavor, a quality that can be tasted. ""Sapor"" is the Latin word for ""taste, flavor""."
Yiddish writer Sholem.   		4 letters,"ASCH.    	Sholem Asch was a Polish-born American novelist and dramatist who published his work in Yiddish. One of his plays was ""God of Vengeance"", a highly regarded work performed all over Europe and translated into many languages. It opened on Broadway in 1923, but the adult themes (it was set in a brothel, and featured a lesbian relationship) led to the entire cast being arrested and convicted on obscenity charges."
Porn.   		4 letters,"SMUT.    	The word ""pornography"" comes from the Greek ""pornographos"" meaning ""writing of prostitutes""."
"Baloney, in Bristol.   		4 letters","TOSH.    	""Tosh"" is British slang for ""foolish nonsense"", and is likely a combination of ""trash"" and ""bosh""."
Bottled water brand.   		5 letters,"EVIAN.    	Évian-les-Bains (or simply Évian) is in the very east of France, on the shores of Lake Geneva directly across the lake from Lausanne, Switzerland. As one might imagine, Évian is the home of Évian mineral water, the most successful business in town. Personally, I can't stand the distinctive taste of Évian water ..."
Reform Party pioneer.   		5 letters,PEROT.    	The Reform Party of the USA was founded in 1995 by Ross Perot with the intent of creating an alternative to the Republican and Democratic Parties. The Reform Party's biggest success was the election of Jesse Ventura as Governor of Minnesota.
Fantasy creatures.   		4 letters,"ORCS.    	Orcs are mythical humanoid creatures that appear in the writings of J. R. R. Tolkien. Since Tolkien's use of orcs, they have also been featured in other fantasy fiction and in fantasy games."
Giga- follower.   		4 letters,"BYTE.    	In the world of computers, a ""bit"" is the basic unit of information. A bit has a value of 0 or 1. A ""byte"" is a small collection of bits (usually 8), the number of bits needed to uniquely identify a character of text."
"Wordsworth's ""solitary Tree"".   		3 letters",YEW.    	Here are some lines from the poem 'Yew Trees' by William Wordsworth:
"""___, meeny, miney, mo ..."".   		4 letters",EENY.    	
Kyrgyzstan's second-largest city.   		3 letters,"OSH.    	Osh is the second largest city in the former Soviet Republic of Kyrgyzstan (after the capital Bishkek). Osh was a center of silk production and lies along the old Silk Road, the trade route that traversed Asia."
Material for a suit?.   		4 letters,"TORT.    	The word ""tort"" comes to us directly from the French word, meaning ""mischief, injury or wrong"". It's a fitting word, as tort law is generally about negligence, when the action of one party causes injury to another, in an action that is outside of the scope of criminal law."
Reggae's Peter.   		4 letters,"TOSH.    	Peter Tosh was a musician from Jamaica, a member of the Wailers reggae band. Sadly, Tosh was murdered in a home invasion and extortion attempt in 1987."
Poet Neruda.   		5 letters,"PABLO.    	Pablo Neruda was the pen name, and eventually the legal name, used by Chilean writer Neftali Ricardo Reyes Basoalto. Basoalto chose the name as a homage to Czech poet Jan Neruda."
"Prince in ""Frozen"".   		4 letters",HANS.    	'Frozen' is a 2013 animated feature from Walt Disney Studios that is based on the Hans Christian Andersen fairy tale 'The Snow Queen'.
Current unit.   		6 letters,"AMPERE.    	The unit of electric current is the ampere, abbreviated correctly to ""A"". It is named after French physicist Andre-Marie Ampere, one of the main scientists responsible for the discovery of electromagnetism."
"Classic toothpaste featured in ""Grease"".   		5 letters","IPANA.    	Ipana toothpaste was introduced in 1915 and was at the height of its popularity in the forties and fifties. Sales declined in the sixties and the product was withdrawn from the US market in the seventies. Bucky the Beaver was the ""spokesman"" for Ipana. Bucky the Beaver's slogan was ""Brusha... Brusha... Brusha. Get the New Ipana - it's dandy for your teeth!"""
Entrance side.   		4 letters,"JAMB.    	A door or window jamb is the vertical portion of the frame. The term ""jamb"" comes from the French word ""jambe"" meaning ""leg""."
Sneaker brand.   		4 letters,"KEDS.    	Keds is a brand name of athletic shoe first introduced in 1916 by US Rubber. The shoe was originally marketed as a rubber-soled, canvas-topped sneaker."
Lone Star State sch.   		4 letters,"UTEP.    	The University of Texas at El Paso (UTEP) was founded in 1914, originally as the Texas State School of Mines and Metallurgy. To this day there is a mineshaft on the campus, and the mascot of the school's sports teams is Paydirt Pete, a prospector from the mining industy."
"Powerball, for one.   		5 letters","LOTTO.    	The Powerball lottery game is available in most states of the US, as is its major rival called Mega Millions."
Like a movie about people making a movie.   		4 letters,"META.    	In recent decades the prefix 'meta-' has started to be used as a standalone adjective. In this sense 'meta' means 'self-referential', describing something that refers to itself. For example, 'This sentence starts with the word 'this' and ends with the word 'this'' might be called a meta sentence. A movie that is about the making of a movie could also be described as meta. For example, 'The Blair Witch Project' might be described as meta, which is a movie about some young people making a scary movie about the Blair Witch."
Pince-___.   		3 letters,"NEZ.    	Pince-nez are eyeglasses clipped to the bridge of the nose. ""Pince-nez"" is French, translating as 'pinch the nose'."
2000s Vienna State Opera conductor.   		5 letters,"OZAWA.    	Seiji Ozawa is most famous for his work as music director of the Boston Symphony Orchestra, although he is also the principal conductor of the Vienna State Opera. Ozawa is renowned for wearing a white turtleneck under his dress suit when he conducts, rather than the traditional starched shirt and white tie."
Plains Indians.   		4 letters,"OTOS.    	The Otoe (also Oto) Native American tribe originated in the Great Lakes region as part of the Winnebago or Siouan tribes. The group that would become the Otoe broke away from the Winnebago and migrated southwestwards ending up in the Great Plains. In the plains the Otoe adopted a semi-nomadic lifestyle dependent on the horse, with the American bison becoming central to their diet."
"Crosswords, e.g., in the 1920s.   		3 letters","FAD.    	Crossword-like puzzles have been around at least since 1873. A puzzle that resembles what we know today as a crossword first appeared in the 'New York World' in 1913. This 'word-cross' puzzle was created by a journalist from Liverpool, England called Arthur Wynne. The crossword phenomenon really took off in the 1920s. Crosswords became so popular that libraries became crowded with solvers seeking out help from dictionaries and encyclopedias."
Start of a choosing rhyme.   		4 letters,EENY.    	
Suffix with Manhattan or Brooklyn.   		4 letters,"-ITE.    	The island we know as Manhattan was inhabited by the Lenape Indians when the first Europeans explorers arrived in the area. According to the logbook of one of the officers on explorer Henry Hudson's yacht, the island was called ""Manna-hata"" in the local language, from which the modern name derives."
Home of the Shoshone Mtns.   		3 letters,NEV.    	The Shoshone Mountains run in a north-south direction in west central Nevada. The range takes its name from the Shoshone Native American tribe.
Cabinet dept.   		3 letters,"AGR.    	The US Department of Agriculture dates back to 1862, when it was established by then-president Abraham Lincoln."
"Brad of ""Moneyball"".   		4 letters","PITT.    	Billy Beane is the general manager of the Oakland Athletics baseball team. Michael Lewis wrote his book 'Moneyball' about the way Billy Beane built his team by bringing on board players who were 'undervalued', getting the maximum benefit from his limited payroll budget. I must admit I know nothing about baseball, but I thoroughly enjoyed reading 'Moneyball', and the film adaptation with Brad Pitt playing Beane."
Second-largest moon of Uranus.   		6 letters,"OBERON.    	All of the twenty-seven moons of the planet Uranus are named for characters from literature, characters created by William Shakespeare and Alexander Pope. The five major moons are so large that they would be considered planets in their own right if they were orbiting the sun directly. The names of these five moons are:"
Mediterranean vacation spot.   		5 letters,"CAPRI.    	The island of Capri off the coast of Southern Italy has been a tourist resort since the days of ancient Rome. Capri is home to the famous Blue Grotto, a sea cave that is illuminated with sunlight that's colored blue as it passes through the seawater into the cave. Natives of Capri are known as Capriotes."
Qatar's capital.   		4 letters,"DOHA.    	Doha is the capital city of the state of Qatar located on the Persian Gulf. The name ""Doha"" translates from Arabic as ""the big tree""."
Leisurely.   		5 letters,LENTO.    	A lento passage is a piece of music that has a slow tempo.
Sneaker brand.   		4 letters,"KEDS.    	Keds is a brand name of athletic shoe first introduced in 1916 by US Rubber. The shoe was marketed as a rubber-soled, canvas-topped sneaker."
Hinge holder.   		4 letters,"JAMB.    	A door or window jamb is the vertical portion of the frame. The term ""jamb"" comes from the French word ""jambe"" meaning ""leg""."
"Sea urchin, at a sushi bar.   		3 letters","UNI.    	Sea urchins are globular, spiny creatures found just about everywhere in the ocean. The 'roe' of a sea urchin is eaten as a delicacy in several cuisines around the world. In a sushi restaurant, the sea urchin roe is called 'uni'. The term 'roe' normally means 'fish eggs', but in the case of the sea urchin it refers to the gonads of both the male and female."
Itar-___ news agency.   		4 letters,"TASS.    	TASS is the abbreviation used for the former news agency that had the full name Telegraph Association of the Soviet Union (Telegrafnoe Agentstvo Sovetskogo Soyuza). When the Soviet Union dissolved in 1992, the Moscow-based agency's scope changed along with its name. It is now known as the Information Telegraph Agency of Russia (ITAR-TASS)."
Like some short-lived committees.   		6 letters,"AD HOC.    	The Latin phrase 'ad hoc' means 'for this purpose'. An ad hoc committee, for example, is formed for a specific purpose and is disbanded after making its final report."
One who takes the bull by the horns.   		6 letters,"TORERO.    	Votre toast, je peux vous le rendre' is more commonly called 'The Toreador Song', and is one of the most famous arias in Georges Bizet's opera 'Carmen'. ""Toreador"" is an old Spanish word for a bullfighter, but it's a term not used any more in Spain nor in Latin America. In English we use the term ""toreador"", but in Spanish a bullfighter is a ""torero""."
Preceder of Barbara or Clara.   		5 letters,"SANTA.    	The city of Santa Barbara on the California coast was indirectly named by Spanish explorer Sebastián Vizcaíno in 1602. He named the channel between the mainland and the Channel Islands 'Santa Barbara Channel', while naming one of the islands 'Santa Barbara'. Some time later, the Spanish established the Santa Barbara Mission on the Feast of Saint Barbara in 1786."
Kyoto concurrence.   		3 letters,"HAI.    	'Hai' is the Japanese word for ""yes""."
"Virginia's ___ Hill Academy, alma mater of 20+ N.B.A.   		3 letters","OAK.    	Oak Hill Academy is a private secondary school in Mouth of Wilson, Virginia. Oak Hill is famous for its basketball program, with many graduates eventually playing in the NBA."
Network for market monitors.   		4 letters,"CNBC.    	CNBC is a business news channel owned by NBC. Launched in 1989, up until 1991 CNBC was known as the Consumer News and Business Channel."
"""Castaway"" director, 1986.   		4 letters","ROEG.    	Nicolas Roeg is film director from England with quite the pedigree when it comes to association with great movies. He contributed to 1962's 'Lawrence of Arabia', and he himself directed noted films like 'Walkabout' (1972), 'Don't Look Now' (1973) and 'The Man Who Fell to Earth' (1976)."
Want ad abbr.   		3 letters,EOE.    	An Equal Opportunity Employer.
Pres.   		4 letters,"USNA.    	President Jimmy Carter is a graduate of the US Naval Academy (USNA). The future president served in the Navy on surface ships and submarines, and chose to pursue a career in the submarine service as he was interested in nuclear power and believed it had a great future in submarine design. As a result, Carter became an expert in nuclear propulsion. In 1952, the Navy sent him to the Chalk River Laboratories in Canada to lead the US effort to shutdown the reactor after an accident and partial meltdown of a reactor core. He and his team had to be lowered into the leaking reactor core for mechanical disassembly, staying there for only seconds at a time to minimise exposure to radiation. Decades later as US President, it was this experience that influenced his decision not to complete the development of the neutron bomb."
World powerhouse in cricket.   		5 letters,"INDIA.    	Cricket is the national game of England. The term 'cricket' apparently comes from the Old French word 'criquet' meaning 'goalpost, stick'."
"""American Greed"" channel.   		4 letters",CNBC.    	'American Greed' is documentary series in the 'true crime' genre that is aired weekly on CNBC. The crimes explored are corporate and white collar crimes.
"""The Naked Maja"" painter.   		4 letters","GOYA.    	Francisco Goya was a Spanish painter, often called the last of the Old Masters and the first of the moderns. Two of Goya's most famous works are ""The Nude Maja"" and ""The Clothed Maja""."
Normandy campaign city.   		4 letters,"CAEN.    	Caen, on the River Orne, lies in the Calvados department of France in the northwest of the country. Caen is famous for the WWII Battle of Caen that left the town practically destroyed. Caen is also the burial place of the Norman King William I of England, also known as William the Conqueror after his victory at the Battle of Hastings in 1066."
Civil wrong.   		4 letters,"TORT.    	The word ""tort"" is a French word meaning ""mischief, injury or wrong"". Tort law is generally about negligence, when the action of one party causes injury to another but that action falls outside of the scope of criminal law."
Provides service that can't be beat?.   		4 letters,"ACES.    	Man, where are the grammar police when you need them ... beaten, beaten, beaten!!"
Actress/model Kravitz.   		3 letters,ZOE.    	Zoë Kravitz is an actress and singer. Zoe has a couple of famous parents: musician Lenny Kravitz and actress Lisa Bonet.
Some world leaders.   		5 letters,"EMIRS.    	An emir is a prince or chieftain, most notably in the Middle East. In English, 'emir' can also be written as 'amir' and 'ameer' (watch out for those spellings in crosswords!)."
Blue Grotto locale.   		5 letters,"CAPRI.    	The island of Capri off the coast of Southern Italy has been a tourist resort since the days of ancient Rome. Capri is home to the famous Blue Grotto, a sea cave that is illuminated with sunlight that's colored blue as it passes through the seawater into the cave."
Derrière.   		4 letters,"REAR.    	'Derrière' is a French term meaning 'back part, rear'."
"Bit of acne, informally.   		3 letters","ZIT.    	The slang term 'zit', meaning 'pimple', came into the language in 1966, but no one seems to know its exact derivation."
"Frank who directed ""Mr.   		5 letters","CAPRA.    	I can't tell you how many of Frank Capra's movies are on my list of all-time favorites. He directed such classics as 'It Happened One Night', 'Mr. Deeds Goes to Town', 'Lost Horizon', 'Mr. Smith Goes to Washington', 'Meet John Doe', 'Arsenic and Old Lace' and the holiday favorite 'It's a Wonderful Life'. Capra was the first person to win three directorial Oscars: for 'It Happened One Night', 'Mr. Deeds Goes to Town' and 'You Can't Take It With You'. Capra also did his bit during WWII, enlisting just a few days after Pearl Harbor was attacked. Given his great talent, and the fact that he enlisted at the relatively advanced age of 44, the US Army put him to work directing 11 documentary war films in the 'Why We Fight' series, for which he was awarded the Distinguished Service Medal."
Colt 45 maker.   		5 letters,"PABST.    	Frederick Pabst was a brewer from the Milwaukee, Wisconsin area who had immigrated to the US from Prussia with his parents. Pabst bought himself into his father-in-law's small brewery and over the years grew the enterprise into a public company, eventually changing the name from 'Best' to 'Pabst'. The most famous beer from Pabst is of course Pabst Blue Ribbon."
"Puck, for one.   		3 letters","IMP.    	Puck (aka Robin Goodfellow) is a character in William Shakespeare's 'A Midsummer Night's Dream', one of the Fairies in the tale. One of Puck's tasks in the storyline is to use love juice that is made from a flower that has been hit by cupid's arrow. The magical juice is applied to the eyelids of someone sleeping, so that the person wakes and falls in love with the first living things he or she sees. Of course, Puck drops the love juice on the wrong character ..."
Coolers.   		3 letters,ACS.    	Room coolers are air conditioning units (ACs).
Old Testament kingdom.   		5 letters,"SHEBA.    	Sheba is referenced in the Bible several times. The ""Queen of Sheba"" is mentioned as someone who traveled to Jerusalem to behold the fame of King Solomon. No one knows for sure where the kingdom of Sheba was located, although there is evidence that it was actually the ancient Semitic civilization of Saba. The Sabeans lived in what today is Yemen, on the Arabian Peninsula."
"Some referee calls, for short.   		4 letters","TKOS.    	In boxing, a knockout (KO) is when one of the fighters can't get up from the canvas within a specified time, usually 10 seconds. This can be due to fatigue, injury, or the participant may be truly ""knocked out"". A referee, fighter or doctor may also decide to stop a fight without a physical knockout, especially if there is concern about a fighter's safety. In this case the bout is said to end with a technical knockout (TKO)."
Bagel and lox purveyor.   		4 letters,"DELI.    	The word ""delicatessen"" (or 'deli' for short) came into English from the German ""Delikatessen"". The Germans borrowed the word from French, in which language ""délicatesse"" means ""delicious things (to eat)"". The term's ultimate root is ""delicatus"", the Latin for ""giving pleasure, delightful""."
Radio button.   		5 letters,"AM/FM.    	The radio spectrum is divided into bands based on frequency. ""High band"" is composed of relatively high frequency values, and ""low band"" is composed of frequencies that are relatively low. FM radio falls into the band called Very High Frequency, or VHF. Television signals use frequencies even higher than VHF, frequencies in the Ultra High Frequency band (UHF). AM radio uses lower frequencies that fall into the relatively low bands of Low, Medium and High Frequency (LF, MF, and HF)."
