E_UC,EDUC.    	Parent-Teacher Association (PTA)
ELE_I,"ELENI.    	Nicholas Gage is a Greek-American author and investigative journalist. Gage wrote two memoirs, ""Eleni"" and ""A Place for Us"". ""Eleni"" tells of his life in Greece during WWII and the Greek Civil War. The title is a tribute to his mother Eleni who was executed by Communists who occupied her village, simply because she helped her children escape from the ravages of a war of occupation. ""Eleni"" was adapted into a movie in 1985, with John Malkovich playing Gage."
E_ISE,"ELISE.    	""Fur Elise"" is a beautiful piece of music written by Beethoven, and is also known as ""Bagatelle in A Minor"". ""Fur Elise"" means simply ""For Elise"", but sadly no one knows the identity of the mysterious dedicatee."
GM_N,"G-MEN.    	The nickname 'G-men' is short for ""Government Men"" and refers to agents of the Federal Bureau of Investigation."
AL_NE,"ALONE.    	A ""meme"" (short for ""mineme"") is a cultural practice or idea that is passed on verbally or by repetition from one person to another. The term lends itself very well to the online world where links, emails, files etc. are so easily propagated."
_IFI,"HI-FI.    	Hi-fi systems were introduced in the late forties, and is audio equipment designed to give a much higher quality reproduction of sound than cheaper systems available up to that point. 'Hi-fi' stands for 'high fidelity'."
LIBR_,"LIBRA.    	In the world of astrology, the horoscope is divided into twelve 'houses'. These houses are the birth signs with which we are familiar."
GL_M,"GLOM.    	'Glom' is a slang term meaning 'steal', although it can also be used to mean 'latch onto' when used as 'glom onto'. The term probably comes from the Scots word 'glam' meaning 'to snatch at'."
_YST,"MYST.    	In the days when I played the occasional video game, the best of the bunch was undoubtedly 'Myst'. It is a game full of puzzles with the player wandering through a beautifully designed interactive world."
STEE_E,"STEELE.    	The eighties detective show 'Remington Steele' stars Stephanie Zimbalist as a private detective, and Pierce Brosnan as the handsome bad boy, who's really a good boy. The show is unusual in that it melds the detective genre with elements of romantic comedy."
ST_ELE,STEELE.    	Michael Steele served as Chairman of the Republican National Committee from 2009 to 2011 and was the first African American to fill the post.
M_Y,"MAY.    	The month of May was named after Maia, the Greek goddess of fertility."
TH_M,THOM.    	Thom Browne is a fashion designer based in New York City.
PSA_M,"PSALM.    	The Greek word ""psalmoi"" originally meant ""songs sung to a harp"", and gave us the word ""psalms""."
COBR_,"COBRA.    	Snake charmers don't actually hypnotize their cobras, but they do train them. The snake is trained to 'follow' the movement of end of the pungi, the instrument that the charmer uses in the act. The snake presents no danger to the charmer or the audience, as it is typically defanged or has it's mouth partially stitched up so that only the tongue can be moved in and out. Not a very nice practice ..."
STEE_,"STEEL.    	Nucor Corporation is the largest producer of steel in the US, bigger even than US Steel. Despite its size, Nucor doesn't own one blast furnace. Instead, Nucor's business was built on recycling steel using electric arc furnaces."
_AESAR,"CAESAR.    	The oft-quoted statement ""Veni, vidi, vici"" (""I came, I saw, I conquered"") is believed by many to have been written by Julius Caesar. The words date back to 47 BC and refer to the short war between Rome and Pharnaces II of Pontus."
SE_,"SEX.    	Alfred Kinsey sure did create a stir with his work and publications. He founded the Institute for Sex Research in 1947, and published the famous 'Kinsey Reports' in 1948 and 1953. I enjoyed the 2004 biopic ""Kinsey"", starring Irish actor, Liam Neeson in the title role."
O_EAN,"OCEAN.    	A ""key"" (also ""cay"") is a low island offshore, as in the Florida Keys. Our term in English comes from the Spanish ""cayo"" meaning ""shoal, reef""."
ITI_I,"IT IS I.    	The much debated statement 'it is I' is actually grammatically correct, and should not be 'corrected' to 'it is me'. Traditionally, pronouns following linking verbs, such as 'is', 'appear' and 'seem', are written in the nominative case. Examples are:"
_LMS,"ELMS.    	The term ""bonsai"" is used more correctly to describe the Japanese art of growing carefully shaped trees in containers. Bonsai has come to be used as the name for all miniature trees in pots."
_WISS,"SWISS.    	The Pontifical Swiss Guard is a small force of about 110 men responsible for the safety of the Pope. To join the Swiss Guard, a recruit must be a single male citizen of Switzerland who has completed basic training with the Swiss military. The commandant of the Guard suggested in 2009 that the force might be open for admission to female recruits one day, but that would be well in the future."
O_AN,"O-LAN.    	Pearl S. Buck's novel ""The Good Earth"" won a Pulitzer in 1932, and helped Buck win the Nobel Prize for literature a few years later. The story tells of life in a Chinese village and follows the fortunes of Wang Lung and his wife O-Lan. Although ""The Good Earth"" has been around for decades, it hit the bestseller list again in 2004 when it was a pick for Oprah's Book Club."
REM_,"REMO.    	The Italian city of San Remo sits on the Mediterranean, right on the border with France. In Italian the city is named Sanremo, just one word, although the spelling of ""San Remo"" dates back to ancient times."
_ATAN,"SATAN.    	Revelation is the last book in the New Testament of the Bible. The book's author is said to be John of Patmos, as called out in this passage:"
SKY_,SKYE.    	The Skye terrier is a breed of dog that is actually under threat of extinction. A few years ago there were only 30 Skye terriers born in the breed's native land of the UK.
L_TE,LUTE.    	A lute player is a 'lutenist'. A nice bit of trivia ...
SP_RTA,"SPARTA.    	In Greek mythology, Atreus was the father of Agamemnon and Menelaus. It was Menelaus who married Helen of Troy who was abducted by Paris, and Agamemnon who led the Greeks in the resulting Trojan War."
_ASE,SASE.    	One type of enclosure (enc.) in a letter might be a self-addressed stamped envelope (SASE).
_AEA,"GAEA.    	In Greek mythology, Chaos was the first of the primeval gods born at the creation of the universe. Following Chaos came:"
_GOS,"EGOS.    	Sigmund Freud created a structural model of the human psyche, breaking it into three parts: the id, the ego, and the super-ego. The id is that part of the psyche containing the basic instinctual drives. The ego seeks to please the id by causing realistic behavior that benefits the individual. The super-ego almost has a parental role, contradicting the id by introducing critical thinking and morals to behavioral choices."
F_Z,"FEZ.    	""Fez"" is the name given to the red cylindrical hat worn mainly in North Africa, and by Shriners here in the US. The fez used to be a very popular hat across the Ottoman Empire. The etymology of ""fez"" is unclear, although it might have something to do with the Moroccan city named Fez."
EN_OR,"ENDOR.    	The Ewoks are creatures who live on the moon of Endor, first appearing in ""Star Wars Episode VI: Return of the Jedi"". They're the cute and cuddly little guys that look like teddy bears."
_OON,"TOON.    	Charlie Brown is the main character in the long-running comic strip called 'Peanuts', created by Charles Schulz. Charlie has several persistent frustrations in his life, including an inability to fly a kite. The focus of his kite-flying frustration is the dreaded Kite-Eating Tree."
A_K,"A-OK.    	Our term 'A-OK' is supposedly an abbreviation for 'A(ll systems are) OK', and arose in the sixties during the Space Program."
_SOS,"OSOS.    	In Spanish, ""osa"" is a female bear, and ""oso"" is a male."
N_OS,NCOS.    	An NCO is a non-commissioned officer in the armed forces. Usually such an officer is one who has earned his or her rank by promotion through the enlisted ranks. A good example would be a sergeant.
RE_,REP.    	John Boehner is both a Republican (Rep.) and Representative (Rep.) in the US House.
P_LO,"PALO.    	Palo Duro Canyon in Texas is the second largest canyon in the whole of the US (after the Grand Canyon, of course). The Palo Duro Canyon is 60 miles long and 20 miles wide in places."
C_ERA,CIERA.    	Oldsmobile made the Cutlass Ciera from 1982 to 1996. The Ciera was the brand name's most successful model.
CR_PE,CREPE.    	'Crêpe' is the French word for 'pancake'.
_ILEEN,EILEEN.    	The Eileen Fisher brand fashion brand is known for using regular folks to model its clothes in print advertising.
_RO,"FRO.    	Angela Davis is a political activist and former leader of the Communist Party USA. Davis also ran twice in the eighties as candidate for Vice President on the Communist Party USA ticket, alongside Presidential candidate Gus Hall."
H_MO,"HOMO.    	The Homo genus includes the species Homo sapiens (modern humans), but we're the only species left in that genus. The last known species related to humans was Homo neanderthalensis (Neanderthal Man) which died off about 24,000 years ago. However, another species was discovered in Indonesia in 2003 that has been dubbed Homo floresiensis (Flores Man ... sometimes called ""hobbit""), and it may possibly have lived as recently as 12,000 years ago. Watch this space ..."
EX_,"EXO-.    	Exobiology is the study of life in the universe, and central to the work of exobiologists is the search for life beyond earth. A fascinating field, I would imagine ..."
_EONI,"LEONI.    	Téa Leoni is an American actress. One of Leoni's early parts was in the great film ""A League of Their Own"" (a minor role, Racine at first base). She also played Sam Malone's fiancée on ""Cheers"" and opposite Adam Sandler in ""Spanglish"". My favorite of her more prominent movie roles was as Jane in ""Fun with Dick and Jane"". Leoni is now playing the title role in the drama series 'Madam Secretary', a show that I really enjoy ..."
M_TO,"MOTO.    	The mysterious Mr. Moto is a Japanese secret agent who appears in six novels by American author, John P. Marquand. Mr. Moto was famously played by Peter Lorre in a series of eight films released in the 1930s."
_ENS,"TENS.    	Someone adding up numbers might count the ones, tens, hundreds etc."
ATHO_,"ATHOS.    	Alexandre Dumas' ""Three Musketeers"" are Athos, Porthos and Aramis, and their young protégé is D'Artagnan. A musketeer was an infantry soldier who was equipped with a musket. Funnily enough, the three 'musketeers"" really don't use their muskets, and are better known for their prowess with their swords."
_ONHO,"DON HO.    	Don Ho apparently had a pretty liberal arrangement with his wife. When Ho was touring with his two backing singers, Patti Swallie and Elizabeth Guevara, all three of them shared a room together. He had two children with each of his roommates, giving a total of ten kids including the six he had with his wife. The arrangement was quite open, it seems, with all ten kids visiting each other regularly. To each his own ..."
SPAR_A,"SPARTA.    	Sparta was a city-state in ancient Greece, famous for her military might. Spartan children had a tough upbringing, and newborn babies were bathed in wine to see if the child was strong enough to survive. Every child was presented to a council of elders that decided if the baby was suitable for rearing. Those children deemed too puny were executed by tossing them into a chasm. We've been using the term 'spartan' to describe something self-disciplined or austere since the 1600s."
AM_,"AMS.    	The 12-hour clock has been around a long time, and was even used in sundial format in Ancient Egypt. Our use of AM and PM dates back to Roman times, with AM standing for Ante Meridiem (before noon) and PM standing for Post Meridiem (after noon). However, the Romans originally used the AM concept a little differently, by counting backwards from noon. So, 2AM to the Romans would be two hours before noon, or 10AM as we would call it today."
ONTAR_O,"ONTARIO.    	The Battle of Stoney Creek took place during the War of 1812 in June 1813, near the modern-day community of Stoney Creek in Ontario. The action consisted of a surprise attack by the British who overwhelmed the American forces and captured two American generals. Casualties were shared evenly by both sides, but the Americans were badly shaken and never again ventured so far north of the Niagara River."
O_O,"OVO.    	A lacto-ovo vegetarian is someone who does not consume meat or fish, but does eat eggs (ovo) and dairy (lacto) products."
EL_SE,"ELISE.    	""Fur Elise"" is a beautiful piece of music written by Beethoven, and is also known as ""Bagatelle in A Minor"". ""Fur Elise"" means simply ""For Elise"", but sadly no one knows for sure the identity of the mysterious dedicatee."
PA_,"PAX.    	A 'pax' (Latin for 'peace') is a period of history marked by an absence of war and conflict, although that stability is usually a result of one nation predominating. We often use the more specific term 'pax Romana' to describe such a situation, referring back to such a time in Ancient Rome."
CP_S,CPAS.    	Certified public accountant (CPA)
NIGE_,"NIGER.    	Uranium is the largest export for the country of Niger in Western Africa. So-called yellowcake uranium powder from Niger was at the center of the argument supporting the invasion of Iraq in 2003. Intelligence reports suggested that Saddam Hussein was making attempts to buy uranium from Niger, although the documents supporting the intelligence were later shown to be forgeries."
O_O,OOO.    	That would be in tic-tac-toe.
_HO,MHO.    	Conductance (measured in mhos) is the inverse of resistance (measured in ohms). The mho has been replaced by the SI unit called the siemens.
_WISS,"SWISS.    	Swiss cheese is a relatively generic term, a type of cheese produced in various countries and not necessarily in Switzerland. What they all have in common though, is a resemblance to the original Swiss Emmental cheese."
NI_,"NIH.    	The National Institutes of Health (NIH) is made up of 27 different institutes that coordinate their research and services. Examples of member institutes are the National Cancer Institute, the National Institute of Mental Health and the National Institute on Aging."
O_K,"ORK.    	""Mork & Mindy"" was broadcast from 1978 to 1982. We were first introduced to Mork (played by Robin Williams) in a special episode of ""Happy Days"". The particular episode in question has a bizarre storyline culminating in Fonzie and Mork having a thumb-to-finger duel. Eventually Richie wakes up in bed, and alien Mork was just part of a dream! Oh, and ""Nanu Nanu"" means both ""hello"" and ""goodbye"" back on the planet Ork. ""I am Mork from Ork, Nanu Nanu"". Great stuff ..."
_SC,USC.    	The Gamecocks are the varsity sports teams of the University of South Carolina. The moniker comes from the nickname given to the Revolutionary war hero Thomas Sumter who was from South Carolina. Sumter was known as the 'Carolina Gamecock' in view of his fierce fighting style.
ALI_NS,"ALIENS.    	The Time Lords are an alien race on the BBC sci-fi show 'Doctor Who'. In fact, the title character, known as 'the Doctor', is a Time Lord."
I_OR,"IVOR.    	Ivor Novello was one of the most popular entertainers in Britain in the early 20th century. Novello was a Welsh composer, singer and actor. On top of his success on the stage and in front of the camera, he even wrote the dialogue for the 1932 movie ""Tarzan the Ape Man"" starring Johnny Weissmuller."
OS_S,"OSOS.    	In Spanish, ""osa"" is a female bear, and ""oso"" is a male. An 'oso' might be found in 'un zoológico' (a zoo)."
"T.N.G_""","T.N.G."".    	Deanna Troi is a character on ""Star Trek: The Next Generation"" who is played by the lovely Marina Sirtis. Sirtis is a naturalized American citizen and has what I would call a soft American accent on the show. However, she was born in the East End of London and has a natural accent off-stage that is more like that of a true Cockney."
ORC_S,"ORCAS.    	The taxonomic name for the killer whale is Orcinus orca. The use of the name ""orca"", rather than ""killer whale"", is becoming more and more common. The Latin word ""Orcinus"" means ""belonging to Orcus"", with Orcus being the name for the Kingdom of the Dead."
M_V,"MAV.    	The Mavericks are the NBA franchise in Dallas, Texas. The team was founded in 1980, and the Mavericks name was chosen by fan votes. The choice of 'Mavericks' was prompted by the fact that the actor James Garner was a part-owner of the team, and Garner of course played the title role in the 'Maverick' television series."
ME_SE,"MEESE.    	Ed Meese was born in Oakland, California just down the road here and spent 24 years in the office of the Treasurer of Alameda County, the county in which I live. After military service, Meese earned himself a law degree at UC Berkeley. Later, as Chief of Staff for President Reagan, he was instrumental in a famous decision to crack down on student protesters at Berkeley which resulted in one protester dying and a two-week occupation of the city by the California National Guard."
N_B,"NEB.    	Creighton University is a private Jesuit school in Omaha, Nebraska that was founded in 1878. Originally called Creighton College, it was funded with a bequest of $200,000 from Mary Lucretia Creighton in honor of her husband, banker Edward Creighton."
PEO_S,PEONS.    	A peon is a lowly worker with no real control over his/her working conditions. The word comes into English from Spanish where it has the same meaning.
DS_,DSO.    	The Distinguished Service Order (DSO) is a British military award that is usually presented to officers with the rank of Major or higher.
SAFAR_,"SAFARI.    	""Safari"" is a Swahili word, meaning ""journey"" or ""expedition""."
_ASH,"HASH.    	""Hash"", meaning a dish of beef and vegetables mashed together, is a very American term and one that really surprised me when I first came across it. ""Hash"" just seems like such an unappetizing item, but I soon found out how delicious it was. The name ""hash"" in this context comes from the French ""hacher"" meaning ""to chop"". Back in the early 1900s the dish called ""hashed browned potatoes"" was developed, which quickly morphed into ""hash browns"". From there the likes of corned beef hash was introduced."
CA_,CAM.    	Cams are wheels found on the cam shaft of a car's engine (and other machines). The cams are eccentric in shape rather than circular. The rotation of the cams causes the intake and exhaust valves of the cylinders to open and close.
N_T,"NYT.    	""The New York Times"" has been published since 1851. These days a viable alternative to buying the paper is to read the news online. NYTimes.com is the most popular online newspaper website in the country, and I'm proud to be one of the 30 million visitors to the site each month."
TI_E,TILE.    	Bananagrams is a fun game that was introduced in 2006. Bananagrams is a little like Scrabble in that letter tiles are used to make interlocking words.
NAS_AU,"NASSAU.    	Nassau, the capital of the Bahamas, used to be called Charles Town. After having been burnt to the ground by the Spanish in 1684, it was rebuilt and named Nassau in honor of King William III of England, a Dutchman from the House of Orange-Nassau (aka William of Orange). Nassau is a favored location for the James Bond series of movies. The city and surroundings feature in ""Thunderball"", ""Never Say Never Again"", ""Casino Royale"" and ""For Your Eyes Only""."
_AACP,"NAACP.    	W. E. B. Du Bois was sociologist and civil rights activist from Massachusetts. Du Bois was the first African American to receive a doctorate from Harvard, and went on to become a professor at Atlanta University. In 1909, he was a co-founder of the National Association for the Advancement of Colored People (NAACP)."
AL_ENS,"ALIENS.    	""Tabloid"" is the trademarked name (owned by Burroughs, Wellcome and Co,) for a ""small tablet of medicine"", a name that goes back to 1884. The word ""tabloid"" had entered into general use to mean a compressed form of anything, and by the early 1900s was used in ""tabloid journalism"", applied to newspapers that had short, condensed articles and stories printed on smaller sheets of paper."
H_IKU,"HAIKU.    	A haiku is a very elegant form of Japanese verse. When writing a haiku in English we tend to impose the rule that the verse must contain 17 syllables. This restriction comes from the rule in Japanese that the verse must contain 17 sound units called ""moras"", but moras and syllables aren't the same thing. What the difference is though, is not so clear to me. Here's an example of a Haiku:"
_IRO,MIRO.    	The Fundació Joan Miró (Joan Miró Foundation) is a museum of modern art in Barcelona featuring the works of Joan Miró.
OLE_ISS,"OLE MISS.    	Ole Miss is the nickname for the University of Mississippi. The name ""Ole Miss"" dates back to 1897, the first year a student yearbook was published. The graduating class held a competition to name the yearbook and ""Ole Miss"" emerged as the winner. The name stuck to the yearbook, and also as a nickname for the school itself. The University of Mississippi sports teams have been known as the Rebels since 1936. Prior to 1936, they were known as the Mississippi Flood."
_ELL,"DELL.    	Dell, the computer manufacturer, is named after the company's founder Michael Dell. Michael Dell started his company in his dorm room at college, shipping personal computers that were customized to the specific needs of his customers. He dropped out of school in order to focus on his growing business, a decision that I doubt he regrets. Michael Dell is now one of the richest people in the world."
ON_E,ONCE.    	Once upon a time ...
_ENECA,"SENECA.    	Seneca the Younger was a playwright as well as a tutor and advisor to the Emperor Nero of Ancient Rome. Although maybe innocent, Seneca was forced to commit suicide by Nero as it was alleged that Seneca participated in a plot to kill the emperor. To kill himself, Seneca cut into a number of veins in order to bleed to death."
C_NE,"CINE.    	The César Award is the national film award of France. The first César was awarded in 1975, named after the French sculptor César Baldaccini. The awards themselves are reproductions of an actual Baldaccini sculpture."
EL_SE,"ELYSE.    	""Family Ties"" was one of the first TV shows that I enjoyed when I arrived in the US back in 1983. I found the situation very appealing, with two ex-hippie parents facing off against an ultra-conservative son. The main characters in the show were Michael J. Fox as Alex, Meredith Baxter-Birney as Alex's mom, Elyse, and Michael Gross as Alex's Dad, Steven. But some future stars had recurring roles as well, including Courteney Cox as one of Alex's girlfriends and Tom Hanks as Elyse's young brother."
LE_IN,"LENIN.    	'One Step Forward, Two Steps Back - The Crisis in Our Party' is a book first published in 1904 that was written by Vladimir Lenin. It examines the circumstances leading up to the political split in the Russian Social Democratic Labour Party, which brought the Bolsheviks (translating as 'the majority') to prominence."
ROU_,"ROUX.    	A roux is a mixture of wheat flour and clarified butter (or other fat) cooked together until it can be used as a thickening agent. Roux is an essential ingredient in French cooking, although ""healthier"" versions of roux are being used more and more these days."
X_CTO,"X-ACTO.    	The X-Acto knife was invented in the thirties by a Polish immigrant, although his intention was to come up with a scalpel for surgeons. The knife couldn't cut it (pun intended!) as a scalpel though, because it was difficult to clean. The inventor's brother-in law suggested it be used as a craft knife, and it is still around today."
MED_,"MEDE.    	The Medes were an ancient people that lived in what is now northwestern Iran. The Medes held sway in the region only for about 60 years, until Cyrus the Great came along and defeated Astyages, the king of Media (not to be confused with Howard Stern, the self-proclaimed ""king of all media""!)."
L_S,"LYS.    	""Lys"" (also 'lis') is the French word for ""lily"", as in ""fleur-de-lys"", the heraldic symbol often associated with the French monarchy."
