SCAM_I,SCAMPI.    	The Italian dish known as 'scampi' is a serving of shrimp in garlic butter and dry white wine.
D_NY,"DKNY.    	Donna Karan is an American fashion designer, creator of the DKNY clothing label. Karan was very much raised in the fashion industry, as her mother was a model and her stepfather a tailor."
F_O,"FOO.    	Egg foo yung is a dish served in Chinese restaurants, and is basically an omelet. It probably takes its name from a flower called the Fu Yung."
LO_SS,LOESS.    	Loess is a wind-blown accumulation of silt. The word is German in origin and was first used to describe the silt along the Rhine Valley.
ENO_H,"ENOCH.    	Enoch was the great-grandfather of Noah, and the great-grandson of Adam. Cain was Enoch's father."
H_M,"HIM.    	""I Will Follow Him"" was a hit for Little Peggy March in 1963. The song is a translation of a French tune called 'Chariot' that had been a hit for English singer Petula Clark."
A_UT,"AOUT.    	In French, August (août) is a month in the summer (l'été)."
_PS,"UPS.    	United Parcel Service (UPS) is based in Sandy Springs, Georgia and has its own airline that operates out of Louisville, Kentucky."
R_PS,"RAPS.    	To rap' is 'to criticize', as in 'to rap someone's knuckles'."
_ERI,"GERI.    	Geri Halliwell was called Ginger Spice because of her red hair when she was with the Spice Girls, although as she was quite a bit older than the rest of the group, she was less charitably sometimes referred to as ""Old Spice""."
ST_VE,"STAVE.    	The word ""stave"" was originally the plural of ""staff"", a wooden rod. To ""stave off"" originated with the concept of holding off with a staff."
TRA_,TRAC.    	Gillette introduced the Trac II in 1971. The Trac II was the world's first twin-blade razor.
MI_MI,"MIAMI.    	When Miami Seaquarium opened in 1955 it was the largest marine-life attraction in the world. Remember the TV show ""Flipper"" from the sixties? That's where much of the show's footage was shot. Nearby is Miami MetroZoo, the biggest zoological gardens in Florida. MetroZoo, and its animals, has suffered in more than one of Florida's hurricanes. 1965's Hurrican Betsy destroyed the zoo, and killed 250 animals, and then 1992's Hurrican Andrew also had a devastating effect, from which the zoo took years to recover."
I_C,"IOC.    	The International Olympic Committee was founded in 1894, and has its headquarters in Lausanne, Switzerland."
LOR_LEI,"LORELEI.    	Lorelei is the name of a legendary mermaid who lured fishermen by singing a beautiful song, so that they steered their boats onto rocks lurking beneath the water's surface."
N_CK,"NECK.    	The voice box or larynx is where pitch and volume of sound are manipulated when we talk. The structure called the Adam's apple that protrudes from the human neck is formed by the thyroid cartilage that surrounds the larynx. The Adam's apple of males tends to increase in size during puberty, so the feature tended to be associated more with males in days gone by, perhaps leading to the name 'Adam's' apple."
ATTLE_,"ATTLEE.    	Clement Attlee served was leader of Britain's Labour Party and served as Deputy Prime Minister in the coalition government during the war years under the leadership of Winston Churchill, a Conservative. Attlee swept into power right after WWII in a landslide victory over Churchill, and was responsible for major changes not only Britain but around the waning British Empire. It was under Attlee that former British colonies like India, Pakistan, Burma, Sri Lanka and Jordan became independent. Also, the Palestine Mandate was terminated in 1948, and the state of Israel was formally created the very next day."
HOR_,HORN.    	Here's another English nursery rhyme:
_EARA,"MEARA.    	Anne Meara has been married to follow comedic actor Ben Stiller since 1954. They are the parents of actors Ben and Amy Stiller. Meara costarred with Carroll O'Connor and Martin Balsam in the eighties sitcom ""Archie Bunker's Place"", a spin off from ""All in the Family""."
_ETIS,"YETIS.    	A yeti is a beast of legend, also called an abominable snowman. ""Yeti"" is a Tibetan term, and the beast is fabled to live in the Himalayan regions of Nepal and Tibet. Our equivalent legend in North America is that of Bigfoot, also known as Sasquatch. The study of animals whose existence have not yet been substantiated is called cryptozoology, and a cryptid is a creature or plant that isn't recognized by the scientific community, but the existence of which has been suggested."
ARP_L,ARPEL.    	The Adrien Arpel company was founded in 1962 and sold its products across Europe. The company starting selling in the US in 1968.
L_TT,LETT.    	Latvia is one of the former Soviet Socialist Republics. People from Latvia are called Letts.
H_MM,"HAMM.    	Paul and Morgan Hamm competed in the 2004 Olympic Games in Athens, representing the United States. Paul and Morgan won the silver medal in the team event, and Paul won the gold in the all-around competition."
_EGUE,"SEGUE.    	A 'segue' is a transition from one topic to the next. ""Segue"" is an Italian word that literally means ""now follows"". It was first used in musical scores directing the performer to play into the next movement without a break."
I_OS,"IPOS.    	An Initial Public Offering (IPO) is the very first offer of stock for sale by a company on the open market. In other words, an IPO marks the first time that a company is traded on a public exchange. Companies have an IPO to raise capital to expand (usually)."
_HREK,"SHREK.    	Before ""Shrek"" was a successful movie franchise and Broadway musical, it was a children's picture book called ""Shrek!"" authored and illustrated by William Steig. The title ""Shrek!"" came from the German/Yiddish word Schreck, meaning ""fear"" or ""terror""."
N_SI,"NISI.    	A decree nisi is a court order, one that only comes into force when certain specified conditions are met. At the point where the conditions are met, it becomes a decree absolute and is binding. 'Nisi' is Latin for 'unless'."
_ENT,CENT.    	Nicely worded clue ...
LE_,"LEX.    	Lex Luthor is the arch-nemesis of Superman in comics. Luthor has been portrayed in a number of guises in the comic world as well in movies and on the small screen. He appeared as Atom Man in the 1950 film series ""Atom Man vs. Superman"", and was played by actor Lyle Talbot, opposite Kirk Alyn's Superman."
YANN_,"YANNI.    	Yanni is a remarkable Greek musician, very successful in the world of New Age music. What I find remarkable is that he is a self-taught musician."
H_RN,"HORN.    	Either ends of a crescent moon are called the ""horn"", for obvious reasons."
S_A,"SMA.    	The Scots dialect word sma' means ""small"". It famously appears in the Robert Burns poem, ""To a Mouse"". The pertinent lines read:"
AN_T,ANAT.    	A surgeon studies the subject of anatomy.
SAHAR_,"SAHARA.    	The Islamic Republic of Mauritania is a country in North Africa, on the Atlantic coast. The country is named after the old Roman province of Mauretania, although the ancient province was located further north in what is now Morocco and part of Algeria."
A_RO,"AFRO.    	The full name of the famed stage show from the sixties is ""Hair: The American Tribal Love-Rock Musical"". This controversial work outraged many when it was first performed in the sixties as it attacked many aspects of life at the time. For example, the song ""Air"" is a satirical look at pollution, sung by a character who comes onto the stage wearing a gas mask. The opening lines are ""Welcome, sulfur dioxide. Hello carbon monoxide. The air ... is everywhere"". How things have changed in fifty years said he, satirically! I've never had the chance to see 'Hair' in a live production, but it's on 'the bucket list' ..."
P_R,"POR.    	'Por favor' is Spanish for ""please""."
JI_,"JIM.    	Jim Thorpe was quite the all-rounder, played professional football, basketball, and basketball, and also won Olympic golds in two other all-rounder events, the pentathlon and decathlon (in 1912). However, he lost his medals when it was revealed that he had been paid for playing baseball before the Games, and back then, amateur status was important to the Olympic governing body."
TI_I,"TIKI.    	A tiki torch is a bamboo torch that's very commonly used in Tiki culture. Tiki culture is a relatively modern invention dating from the 20th century, and is the experience created in Polynesian-style restaurants. The word ""Tiki"" is borrowed from Polynesia."
MES_RS,"MESSRS.    	The abbreviation 'Messrs.' is used at the head of a list of male names, in place of 'Misters'. It is an abbreviation of the French 'messieurs', the plural of 'monsieur'."
P_T,PCT.    	Percent (pct.)
SCOT_,"SCOTT.    	""Ivanhoe"" is a historical novel by Sir Walter Scott, set in 12th-century England."
DE_A,DEJA.    	'Déjà vu' is French for 'already seen'.
TY_E,"TYKE.    	""Tyke"" has been used playfully to describe a young child since at least 1902, but for centuries before that a tyke was a cur or mongrel, or perhaps a lazy or lower-class man."
_ANE,BANE.    	An anathema or bane is a source of persistent annoyance. Anathema is the Latin word for an excommunicated person.
DU_T,"DUET.    	The 1991 song ""Beauty and the Beast"" was written specially for the animated Disney film of the same name. It was performed during the film by Angela Lansbury, but was sung as a duet in the closing credits by Celine Dion and Peabo Bryson."
M_FIA,"MAFIA.    	Martin Scorcese obviously has a great interest in his Italian-American heritage, and has made lots of films that feature the Italian-American culture, including the darker side, the Mafia. He has collaborated on nine films with box office star Robert de Niro (e.g. ""Raging Bull"", ""Taxi Driver"") and lately seems to be working a lot with Leonardo DiCaprio, with whom he has made four films (e.g. ""The Aviator"", ""Shutter Island"")."
ROR_M,"ROREM.    	American composer Ned Rorem is famous for his musical compositions, but also for his ""Paris Diary of Ned Rorem"" which was published in 1966. He talks openly about his sexuality in the book, but also about the sexuality of others including Noel Coward, Leonard Bernstein and Samuel Barber."
_OFF,"DOFF.    	One doffs one's hat, usually as a mark of respect. To doff is to take off, with ""doff"" being a contraction of ""do off"". The opposite of 'doff' is 'don'."
G_LEN,"GALEN.    	Galen of Pergamum was a physician of Ancient Rome. He mainly worked on monkeys, dissecting their bodies to learn about physiology as it was not permitted to dissect human bodies in his day."
D_AN,"DEAN.    	'Honcho' is a slang term for a leader or manager. The term comes to us from Japanese, in which language a ""hancho"" is a squad (han) leader (cho)."
DI_,"DIN.    	The word 'ruckus' is used to mean a commotion, and has been around since the late 1800s. ""Ruckus"" is possibly a melding of the words 'ruction' and 'rumpus'."
IRE_A,"IRENA.    	Irena Sendler was a Polish nurse with the Polish Underground during WWII. Snedler played a leading role in smuggling about 2,500 children out of the Warsaw Ghetto, saving them from the Holocaust. However, she was discovered by the Nazis, tortured and sentenced to death. Sendler managed to escape, and survived the war."
C_ER,"CBER.    	A CBer is someone who operates a Citizens' Band radio. In 1945, the FCC set aside certain frequencies for the personal use of citizens. The use of the Citizens' Band increased throughout the seventies as advances in electronics brought down the size of transceivers and their cost. There aren't many CB radios sold these days though, as they have largely been replaced by cell phones."
AGNE_,"AGNEW.    	Spiro Agnew served as Vice-President under Richard Nixon, before becoming the only VP in American history to resign because of criminal charges (there was a bribery scandal). Agnew was also the first Greek-American to serve as US Vice-President as he was the son of a Greek immigrant who had shortened the family name from Anagnostopoulos."
