O_ER,"ONER.    	A lollapalooza is something outstanding, one of a kind."
AL_ORE,"AL GORE.    	""Our Choice: A Plan to Solve the Climate Crisis"" is the 2009 sequel to former Vice President Al Gore's famous book on climate change, ""An Inconvenient Truth""."
SNEA_,"SNEAD.    	Sam Snead was probably the most successful golfer never to win a US Open title, as he won a record 82 PGA Tour events. He did win seven majors, but never the US Open. He was also quite the showman. He once hit the scoreboard at Wrigley Field stadium with a golf ball, by teeing off from home plate."
OBI_S,"OBITS.    	'Obituary' comes from the Latin 'obituaris', originally the record of the death of a person, although the literal meaning is 'pertaining to death'."
ST_AK,"STEAK.    	The T-bone and porterhouse are related cuts of meat, with the latter being a larger version of the former, and both being cut from the short loin."
POBO_,"PO' BOY.    	A po' boy is a submarine sandwich from Louisiana. There are a lot of theories about where the name came from, and none sound too convincing to me. A po' boy differs from a regular submarine sandwich in that it uses Louisiana French bread, which is soft in the middle and crusty on the outside."
Y_TIS,"YETIS.    	A yeti is a beast of legend, also called an abominable snowman. Yeti is a Tibetan term for the beast, which is fabled to live in the Himalayan regions of Nepal and Tibet. Our equivalent legend in North America is that of Bigfoot."
BA_,"BAT.    	Echolocation when used by animals is known as biosonar. The best-known example of an animal using biosonar is probably the bat, although not all species of bat use sounds to locate objects."
ENAM_L,ENAMEL.    	Tooth enamel covers the crowns of our teeth. Tooth enamel is the hardest substance in the human body. It is composed of 96% crystalline calcium phosphate.
_LENE,"ILENE.    	Ilene Graff is an American actress, probably best known for playing Marsha Owens, the wife of George in the TV series ""Mr. Belvedere""."
TO_N,"TOON.    	The word 'cartoon' was originally used for a 'drawing on strong paper', a durable drawing used as a model for another work. The term comes from the French word 'carton' meaning 'heavy paper, pasteboard'. Cartoons have been around a long time, with some of the most famous having being drawn by Leonardo da Vinci."
FSTO_,"F-STOP.    	Varying the f-stop in a lens varies how big the lens opening (the aperture) is when a photograph is taken. Smaller apertures (higher f-stop values) admit less light, but result in a greater depth of field (more of the photograph is in focus)."
_RATE,"ORATE.    	C-SPAN is a privately funded, non-profit cable channel that broadcasts contimuous coverage of government proceedings."
LU_E,"LUGE.    	A luge is a small sled used by one or two people, on which one lies face up and feet first. It can be compared to the skeleton, a sled for only one person, and on which the rider lies face down and goes down the hill head first."
KN_X,"KNOX.    	Fort Knox is actually a US Army base, but it lends its name to the adjacent facility that is more correctly called the United States Bullion Depository. Most of the US gold reserves are in ""Fort Knox"", although it isn't the biggest gold repository in the US. That honor goes to the vault under the Federal Reserve Bank of New York in Manhattan. Most of the gold stored in the New York vault belongs to foreign nations and banks."
RI_,"RIN.    	The rin was a Japanese coin that was worth one thousandth of a yen. After WWII the Japanese yen was greatly devalued, so the rin became completely obsolete and was pulled from circulation in 1953."
A_TR,"ASTR.    	Galileo was a prominent supporter of heliocentrism, the principle that the Earth and the other planets revolve around the Sun. The commonly accepted model at the time was geocentrism, that the Earth was at the center of the universe. Galileo fell foul of the Roman Inquisition as a result of his views, and was found guilty of heresy in 1615. As a result, Galileo spent the rest of his life under house arrest."
SNA_,"SNAP.    	The three elves Snap, Crackle and Pop are the mascots for Kellogg's Rice Krispies. They first appeared in an ad campaign in 1933, although the phrase ""snap, crackle and pop"" had been used for the cereal before then in a radio ads. By the way, the elves are selling ""Rice Bubbles"" in Australia, and the elves have different names in other parts of the world (like ""Cric!, Crac! and Croc! in Quebec)."
TR_PE,"TRIPE.    	'Tripe' is an informal term meaning 'rubbish, of little value'. Tripe is actually the rubbery lining of say a cow, which in the UK is traditionally eaten with onions."
_AH,"MAH.    	""Mahjong"" (also 'mahjongg' and 'mah-jongg') is the Chinese word for ""sparrow"". Mahjong is a game that originated in China, and is usually played by four players. There is a myth that the game was developed by the Chinese philosopher, Confucius. The myth also suggests that Confucius was fond of birds, and hence chose the name ""sparrow""."
RO_S,"ROSS.    	Ross Geller is the character on ""Friends"" played by David Schwimmer. The role was actually written with Schwimmer in mind, so Ross was the first of the ""Friends"" to be cast."
_OTIF,"MOTIF.    	A motif is a recurring element in an artistic work, including a piece of music."
RI_,"RIN.    	The rin was a Japanese coin that was worth one thousandth of a yen. After WWII the Japanese yen was greatly devalued, so the rin became completely obsolete and was pulled from circulation in 1953."
BAR_,"BART.    	On the animated TV show 'The Simpsons', Bart Simpson's father is Homer."
TE_N,"TENN.    	Tennessee uses the nickname 'Volunteer State' as during the War of 1812 volunteer soldiers from Tennessee fought with valor, especially during the Battle of New Orleans."
S_STET,"SESTET.    	A sestet is a group of six lines of poetry, whereas a quatrain is a group of four lines."
P_S,PAS.    	'Pas' is the French word for 'step'.
C_BS,"CABS.    	A hansom cab is a very specific design of horse and buggy that was patented by Joseph Hansom in 1834 in England. The 'cab' in the name is short for 'cabriolet', an earlier design of carriage on which the hansom was based. It's from 'hansom cab' that we get our modern term 'cab'."
LE_NA,"LEONA.    	Leona Helmsley was a high-rolling real estate investor and hotel operator in New York City. She was convicted of income tax evasion in 1989 and sentenced to 16 years in jail. At her trial a witness quoted her as saying ""We don't pay taxes. Only the little people pay taxes ..."""
_BA,WBA.    	The World Boxing Association presents ornate belts to its title holders.
AT_I,"ATRI.    	Henry Wadsworth Longfellow wrote ""The Sicilian's Tale; The Bell of Atri"", a narrative poem set in the small town of Atri in the Abruzzo region of Italy."
STR_D,"STRAD.    	Generations of the Stradivari family produced violins, the most famous of which were constructed by Antonio Stradivari."
MAS_,"MASS.    	In Albert Einstein's famous equation E=mc&#178;, 'E' stands for energy, 'm' stands for mass, and 'c' stands for the speed of light (from the Latin 'celeritas' meaning 'speed')."
BO_SA,"BOSSA.    	Bossa Nova is style of music from Brazil that evolved from samba. The most famous piece of bossa nova is the song ""The Girl from Ipanema""."
CA_,"CAY.    	A key is a low island offshore (as in the Florida Keys), also known as a cay. Our term in English comes from the Spanish ""cayo"" meaning ""shoal, reef""."
_HODA,"RHODA.    	Rhoda lived in the apartment upstairs in ""The Mary Tyler Moore Show"". In its day, ""The Mary Tyler Moore show"" was a real trail-blazer. It was the first television series with a lead character who was an independent-minded, career oriented, single ... woman."
USENE_,"USENET.    	Remember the good old days, when you read messages online in ""newsgroups""? Well, that system of aggregating public messages is known as Usenet, and it's still around today. Usenet started operating in 1980, some ten years before the World Wide Web was introduced (which system has displaced Usenet in terms of popularity). Usenet definitely played a significant part in the history of the Internet. For instance, the terms ""FAQ"" and ""spam"" were both born on Usenet."
PE_NS,PEONS.    	A peon is a lowly worker with no real control over his/her working conditions. The word comes into English from Spanish where it has the same meaning.
DS_,"DSO.    	The Distinguished Service Order (DSO) is a British military award, usually awarded to officers of the rank Major or higher."
_SLES,"ISLES.    	A key is a low island offshore, also known as a cay (as in the Florida Keys). Our term in English comes from the Spanish ""cayo"" meaning ""shoal, reef""."
_ENRI,"HENRI.    	Henri Rousseau was a French Post-Impressionist painter. He was self-taught, only starting to paint seriously in his forties. He worked as a tax collector until he was 49 years old, when he retired to focus on his art. Rousseau's most famous painting is ""The Sleeping Gypsy"", a celebrated work that depicts a lion standing beside a sleeping woman in the moonlight. You can take a look at it in New York's Museum of Modern Art."
_ALSA,"BALSA.    	Balsa is a very fast growing tree that is native to parts of South America. Even though balsa wood is very soft, it is actually classified as a hardwood, the softest of all the hardwoods (go figure!). Balsa is light and strong, so is commonly used in making model airplanes. Amazingly, in WWII a full-size British plane, the de Havilland Mosquito, was built largely from balsa and plywood. No wonder they called it ""The Wooden Wonder"" and ""The Timber Terror""."
C_S,"CVS.    	The name CVS once stood for Consumer Value Stores, although these days the company uses the acronym to stand for Convenience, Value and Service."
J_N,"JAN.    	Jan Garber was known as ""The Idol of the Airwaves"" back in the twenties and thirties, famous for his jazz and swing music on the radio."
SIM_N,"SIMON.    	NBC's show 'America's Got Talent' is part of a global franchise based in the UK. The original show is called 'Britain's Got Talent', with the whole franchise being created by Simon Cowell. The original host for the American show was Regis Philbin (for one season), followed by Jerry Springer (for seasons two and three). Nick Cannon took over hosting in 2009 (season four)."
NA_CP,"NAACP.    	The full name of the NAACP, the National Association for the Advancement of Colored People, is remarkable in that it actually still uses the old but offensive term ""colored people"". The NAACP was founded in 1909, by a group that included suffragette and journalist Mary White Ovington, wealthy socialist William English Walling, and civil rights activist Henry Moscowitz. Another member of the founding group was W. E. B Du Bois, the first African American to earn a doctorate at Harvard University."
H_DES,"HADES.    	The River Styx in Greek mythology was the river that formed the boundary between Earth and the Underworld (also called Hades). The souls of the newly dead had to cross the River Styx in a ferryboat piloted by Charon. Traditionally, a coin would be placed in the mouths of the dead ""to pay the ferryman""."
TA_,"TAZ.    	The 'Looney Tunes' character known as the Tasmanian Devil, or 'Taz', first appeared on screens in 1964 but gained real popularity in the 1990s."
ON_,"ONS.    	A 'walk-on' is a small part in a play, usually one without any lines."
LS_S,"LSTS.    	LST stands for Landing Ship, Tank. LSTs were the large vessels with doors at either ends, from which tanks and other vehicles could roll off onto beaches. The design concept persists to this day in the huge fleet of commercial roll-on/roll-off ferries, all inspired by the LST."
_TETNA,"MT ETNA.    	Mt. Etna is the largest of three active volcanoes in Italy. Mt Etna is about 2 1/2 times the height of its equally famous sister, Mt. Vesuvius."
_RABS,"ARABS.    	Dubai is one of the seven Emirates that make up the federation known as the United Arab Emirates (UAE). The two largest members (geographically) of the UAE are Dubai and Abu Dhabi, the only two of the seven that have veto power over UAE policy."
LT_,"LTS.    	The word ""lieutenant"" come from French, with ""lieu"" meaning ""in place"" and ""tenant"" meaning ""holding"". ""Lieutenant"" then means somebody holding a position in the absence of his or her superior. In America of course ""lieutenant"" is pronounced loo-tenant, whereas back in the British Isles we say ""lef-tenant""."
_NDO,"INDO-.    	In the strict sense of the term, Indochina is a region in Southeast Asia that corresponds to the former French territory known as French Indochina. Today this region is made up of the countries of Cambodia, Laos and Vietnam. However, the term 'Indochina' is sometimes used more generally to describe Mainland Southeast Asia, and in this usage it includes Myanmar, Singapore and Thailand."
H_N,HUN.    	The Huns were a nomadic people who originated in Eastern Europe in the 4th century. Under the command of Attila the Hun they developed a unified empire that stretched from modern-day Germany across to the steppes of Central Asia. The whole of the Hunnic Empire collapsed within a year of Attila's death in 453 AD.
LORE_,"LOREN.    	Sophia Loren certainly has earned her exalted position in the world of movies. In 1962 Loren won an Oscar for Best Actress for her role in the Italian film ""Two Women"", the first actress to win an Academy Award for a non-English speaking performance. She received a second nomination for Best Actress for her role in ""Marriage Italian-Style"", another Italian-language movie, released in 1964."
_TS,"GTS.    	GT stands for ""Grand Touring"" or ""Gran Turismo""."
A_ZE,"ADZE.    	An adze, while similar to an axe, is different in that the blade of an adze is set at right angles to the tool's shaft, whereas in an axe the blade is set inline with the shaft."
ODIS_,"ODIST.    	In poetry a foot is the natural unit of stressed and unstressed syllables which make up the work. For example, an iambic foot consists of an unstressed syllable, followed by a stressed syllable."
Y_AR,"YEAR.    	An oenophile is a lover of wine, and the year of the wine is important I hear ..."
M_MI,"MIMI.    	Maurice Chevalier had a few signature songs, like 'Mimi' from 1932, and everyone's favorite 'Thank Heavens for Little Girls' that came from the wonderful 1958 movie 'Gigi'."
_AC,"WAC.    	The Women's Army Auxiliary Corps (WAAC) was formed in 1942, and the unit was converted to full status the following year to become the Women's Army Corps (WAC). Famously, General Douglas MacArthur referred to the WACs as his ""best soldiers"", saying they worked harder, complained less and were better disciplined than men. The WACs were disbanded in 1978 and the serving members were integrated into the rest of the army."
A_ALSEA,"ARAL SEA.    	The Aral Sea is a great example of how man can have a devastating effect on his environment. In the early sixties the Aral Sea covered 68,000 square miles of Central Asia. Soviet Union irrigation projects drained the lake to such an extent that today the total area is less than 7,000 square miles, with 90% of the lake now completely dry. Sad ..."
REE_E,"REEVE.    	A reeve was a senior official in the days of Anglo-Saxon England, perhaps a chief magistrate of a town. Famously, a reeve appears in Geoffrey Chaucer's 'Canterbury Tales'. 'The Reeve's Tale' is the third tale in the book."
B_ENE,"BEENE.    	Geoffrey Beene was an American fashion designer. On his list of notable clients were three First Ladies, Lady Bird Johnson, Pat Nixon and Nancy Reagan."
PD_,PDQ.    	Pretty Damn Quick!
PT_S,PTAS.    	Parent-Teacher Association (PTA)
AR_D,"ARID.    	The Islamic Republic of Mauritania is a country in North Africa, on the Atlantic coast. The country is named after the old Roman province of Mauretania, although the ancient province was located further north in what is now Morocco and part of Algeria."
SAS_S,"SASES.    	Self-Addressed, Stamped Envelopes."
LU_E,"LUTE.    	William Shakespeare's ""The Taming of the Shrew"" is about a courting couple. The male is Petruchio, a gentleman of Verona, and the female is Katharina, the so-called ""shrew"". As the play progresses, the ""shrew"" is ""tamed"" and becomes an ""obedient"" bride ... a controversial storyline in the contemporary world, to say the least. Regardless, modern adaptations have been made, including 1948's Broadway musical ""Kiss Me Kate"" and the 1999 romantic comedy ""10 Things I Hate About You""."
L_R,"LAR.    	Lar Lubovitch is an American choreographer, noted for his stage work of course, but also for choreographing figure skating routines for the likes of John Curry, Peggy Fleming and Dorothy Hamill."
A_IMA,ANIMA.    	The anima is a the soul or self of an individual.
_ILO,"HILO.    	The Lili'uokalani Gardens are in Hilo on the Big Island of Hawai'i. Much of the garden is built in th style of a Japanese garden, and it is reputed to be the largest such display outside of Japan itself."
_HESS,"CHESS.    	It is believed that the game of chess originated in northwest India, evolving from a 6th-century game called ""caturanga"", a Sanskrit word meaning ""four divisions"". These four (military) divisions were represented in the game:"
IM_CS,"IMACS.    	The iMac is a desktop computer platform from Apple, introduced in 1998. One of the main features of the iMac is its ""all-in-one"" design, with the computer console and monitor integrated."
_ARL,CARL.    	Yaz was the nickname for Carl Yastrzemski who played his whole career with the Boston Red Sox.
H_HAT,"HI-HAT.    	In a drum kit, a hi-hat is that pair of cymbals that sit on a stand and are played by using a foot pedal. The top cymbal is raised and lowered by the foot pedal creating the sound."
CAA_,"CAAN.    	James Caan is an actor from the Bronx in New York City. Caan is noted for his appearances in some very big movies such as 'The Godfather', 'Misery', 'A Bridge Too Far', 'Rollerball' and more recently 'Elf'. Caan is quite the sportsman. He plays golf with an 8 handicap, and is a 6-Dan Black Belt Master of Gosoku Karate."
OP_DS,"OP-EDS.    	Op-Ed is an abbreviation for ""opposite the editorial page"". Op-Eds started in ""The New York Evening World"" in 1921 when the page opposite the editorials was used for articles written by a named guest writer, someone independent of the editorial board."
ORAT_,"ORATE.    	Cicero was a very influential figure in Ancient Rome, in not a small part due to his renowned ability to deliver a persuasive speech. Ciceronian .... such a nice word ..."
_OMO,"HOMO.    	The Homo genus includes, of course, the species Homo sapiens (modern humans), but we're the only species left in that genus. The last known species related to humans was Homo neanderthalensis (Neanderthal Man) which died off about 24,000 years ago. However, another species was discovered in Indonesia in 2003 that has been dubbed Homo floresiensis (Flores Man ... sometimes called ""hobbit""), and it may possibly have lived as recently as 12,000 years ago. Watch this space ..."
O_O,"OVO.    	All of the prefixes ovo-, ovi-, and ov- mean relating to an egg (ovum)."
AL_NA,"ALANA.    	Alana Davis is a singer-songwriter from New York City. Alana is the daughter of pianist Walter Davis, Jr., who played with the likes of Charlie Parker and Dizzy Gillespie."
_ELEX,"TELEX.    	Telex grew out of the world of the telegraph. What Telex brought to telegraphy was the ability to route messages. Instead of having to talk to an operator to route a particular message to the intended party, the user of a telex could route the message directly to another telex machine by way of a rotary dial, very similar to that on a telephone."
AN_Y,"ANDY.    	Andy Rooney began his career in newspapers during WWII working for ""Stars and Stripes"" in London. He had some memorable experiences during the war, including flying on the first American bombing raid over Germany. He was also one of the first American journalists to visit the German concentration camps as they were liberated. He started his segment called ""A Few Minutes with Andy Rooney"" on CBS's ""60 Minutes"" way back in 1978, and so was on our screens for over 40 years. Rooney passed away in 2011. He was a cool, cool guy ..."
NED_,"NEDS.    	Ned Jarrett is retired now, a two-time NASCAR champion and father of NASCAR drivers Dale and Glenn Jarrett."
A_N,"AWN.    	An awn isn't specific to barley. An awn is the name given to hair or bristle-like structures found in numerous species of plants. In some species, like barley, the awns can contain photosynthetic tissue."
_DQ,PDQ.    	Pretty Darn Quick ...
X_R,"XER.    	The term Generation X originated in the UK, the name of a book by Jane Deverson. Her book detailed the results of a study of British youths in 1964, contrasting their lifestyle to those of previous generations. It was Canadian author Douglas Coupland who was responsible for popularizing the term, with his more successful publication ""Generation X: Tales for an Accelerated Culture"". By the latest accepted definition, Gen-Xers were born between 1961 and 1981."
_ORMA,"NORMA.    	The constellation of Norma is said to depict carpenter's square or a set square. The name 'Norma' is Latin for 'normal', a reference to the constellation's prevalent right angle."
