API_N,APIAN.    	'Apis' is the Latin for 'bee'.
GY_,"GYM.    	Sock hops were high school dances typically held in the school gym or cafeteria. The term ""sock hop"" originated because the dancers were often required to remove their shoes to protect the varnished floor in the gym."
_AC,WAC.    	Western Athletic Conference (WAC)
U_MC,"USMC.    	""Semper Fidelis"" is the motto of the United States Marine Corps. The phrase is Latin, and means ""Always Faithful"". The US Marine Corps isn't the only group using the motto though. It's also used by the Portuguese Marine Corps, the Republic of China Marine Corps and the Swiss Grenadiers among others."
LO_EN,"LOREN.    	Sophia Loren certainly has earned her exalted position in the world of movies. In 1962 Loren won an Oscar for Best Actress for her role in the Italian film 'Two Women', the first actress to win an Academy Award for a non-English speaking performance. She received a second nomination for Best Actress for her role in 'Marriage Italian-Style', another Italian-language movie, released in 1964."
A_PLE,"APPLE.    	The Beatles founded their own record label in 1968, Apple Records. When singles were released, the A-side had the image of a Granny Smith on the label, with the B-side label showing the midsection of an apple cut in half. Cute ..."
_PEDS,"OP-EDS.    	Op-Ed is an abbreviation for ""opposite the editorial page"". Op-Eds started in ""The New York Evening World"" in 1921 when the page opposite the editorials was used for articles written by a named guest writer, someone independent of the editorial board."
ATON_L,"ATONAL.    	Atonal music is not written in any particular key, and therefore does not have a key signature."
RHO_E,"RHONE.    	I had the privilege to live a short car ride from the beautiful city of Arles in the South of France. Although it has a long and colorful history, the Romans had a tremendous influence over the cities design. It has a spectacular Roman amphitheater, arch, circus as well as old walls that surround the center of the city. In more modern times, it was a place that Vincent van Gogh often visited, and where he painted his famous ""Cafe Terrace at Night"" and other masterpieces."
PETE_,"PETER.    	The verb phrase 'to peter out', meaning 'to fizzle out', originated in the 1840s in the American mining industry. While the exact etymology isn't clear, it probably derives from the term 'saltpetre', a constituent of gunpowder."
PE_NE,"PENNE.    	Cylindrical pasta is known in general as 'penne', and there are many variants. For example, ziti is a particularly large and long tube with square-cut ends. ""Penne"" is the plural of ""penna"", the Italian for ""feather, quill""."
STEV_,STEVE.    	Steve Perry was the lead singer of the band Journey for much of the eighties and nineties.
_EN,"PEN.    	The full name of the author of ""Don Quixote"" was Miguel de Cervantes Saavedra. As a young man in 1570, Cervantes was a soldier fighting for the Spanish Navy, stationed in Naples, at that time a possession of Spain. He was injured in battle, receiving three gunshot wounds including two to the chest. His injuries left him without the use of his left arm. After recuperating, he returned to active service, and in 1575 he was captured by Algerian corsairs, and spent the next five years in slavery in North Africa. His parents found him and bought his freedom, and brought him home to his native Madrid."
TA_E,"TARE.    	""Tare"" is the weight of a container that is deducted from the gross weight to determine the net weight, the weight of the container's contents."
M_M,"MOM.    	'Mom jeans' and 'dad jeans' are not-so-nice names for high-waisted jeans, usually worn by older women and men."
_AW,"UAW.    	The United Auto Workers (UAW) was founded to represent workers in auto plants in the Detroit area in 1935. Nowadays the UAW's membership extends into the aerospace, agriculture and other industries."
_OZ,"BOZ.    	The English author Charles Dickens used the pen-name 'Boz' early in his career. He had already established himself as the most famous novelist of the Victorian Era when he came to visit America in 1842. He was honored by 3,000 of New York's elite at a 'Boz Ball' in the Park Theater."
ZUL_,"ZULU.    	The Zulu are the largest ethnic group in South Africa, with an estimated population of 10-11 million people today. The Zulu were famous for resisting the colonization by the British in 19th century, resulting in the Anglo-Zulu War. The Zulus had initial success, but the British eventually prevailed (see the excellent film ""Zulu"", starring Michael Caine and others, from 1964)."
A_SEA,"AT SEA.    	When one thinks of the word 'main' in the context of the sea, the Spanish Main usually comes to mind. Indeed, the use of the more general term 'main', meaning the sea, originates from the more specific ""Spanish Main"". ""Spanish Main"" originally referred to land and not water, as it was the name given to the main-land coast around the Caribbean Sea in the days of Spanish domination of the region."
ALUMN_,"ALUMNA.    	An ""alumnus"" (plural ... alumni) is a graduate or former student of a school or college. The female form is ""alumna"" (plural ... alumnae). The term comes into English from Latin, in which 'alumnus' means foster-son or pupil."
LA_S,"LASS.    	I would guess that Loch Lomond is one of the two most famous lakes in Scotland. Loch Ness is famous for its ""monster"", and Loch Lomond is famous for the lovely song ""The Bonnie Banks o' Loch Lomond"". Oh, ye'll tak' the high road, and I'll tak' the low road ..."
AST_,ASTR.    	Astronomy is studied in a physics department at a university.
_ANA,"SANA.    	Sana (also Sana'a) is the capital city of Yemen. Within the bounds of today's metropolis is the old fortified city of Sana, where people have lived for over 2,500 years. The Old City is now a World Heritage Site. According to legend, Sana was founded by Shem, the son of Noah."
_EKE,"DEKE.    	A deke, also known as a dangle, is a technique used to get past an opponent in ice hockey. ""Deke"" is a colloquial shortening of the word ""decoy""."
NU_,"NUN.    	Convents have been religious houses since the 1200s, but it wasn't until the 1700s that convents became purely female institutions."
_IRO,"MIRO.    	Joan Miro was a Spanish artist. Miro immersed himself in Surrealism, so much so that Andre Breton, the founder of the movement, said that Miro was ""the most Surrealist of us all"". Miro painted ""The Tilled Field"" in 1923-24, a work that is regarded as Miro's first Surrealist masterpiece."
GO_,"GOD.    	Mount Olympus is the highest peak in Greece. In Greek mythology, Mount Olympus was home to the gods and in particular home to the principal gods known as the Twelve Olympians."
_ER,"XER.    	The term Generation X originated in the UK, the name of a book by Jane Deverson. Her book detailed the results of a study of British youths in 1964, contrasting their lifestyle to those of previous generations. It was Canadian author Douglas Coupland who was responsible for popularizing the term, with his more successful publication ""Generation X: Tales for an Accelerated Culture"". By the latest accepted definition, Gen-Xers were born between 1961 and 1981."
TEE_A,"TEENA.    	Teena Marie is very successful R&B singer, born Mary Christina Brockert."
IS_BEL,"ISABEL.    	Queen Isabella I of Castile was recognized as a formidable soveriegn, and was perceived as a joint ruler with her husband, King Ferdinand II of Aragon. The pair united their two kingdoms in a move that heralded the unification of Spain."
FL_K,"FLAK.    	Brickbat is such a lovely word. It originally referred to a piece of broken brick that could be used to throw at something or someone. Then the term applied to any rock-like missile, and ultimately to a caustic remark. Flak was originally an acronym from the German term for an aircraft defense cannon (FLiegerAbwehrKanone). Flak then became used in English as a general term for antiaircraft fire, and ultimately a term for verbal criticism."
FT_,"FTC.    	The Federal Trade Commission (FTC) was established in 1914 with the mission of protecting consumers. The FTC runs the National Do Not Call Registry which can limit the amount of telemarketing calls that consumers receive. To register your number, simply go to the website www.donotcall.gov."
_ELL,"DELL.    	A dell is a small, secluded valley."
TAR_,"TARE.    	""Tare"" is the weight of a container that is deducted from the gross weight to determine the net weight, the weight of the container's contents."
GI_A,"GILA.    	The Gila River is a tributary of the Colorado and flows through New Mexico and Arizona. From 1848 to 1853, the Gila marked part of the border between the US and Mexico."
ADZ_,"ADZE.    	An adze (also adz), while similar to an axe, is different in that the blade of an adze is set at right angles to the tool's shaft. The blade of an axe is set in line with the shaft."
NOO_,"NOON.    	Our word 'noon', meaning 'midday', comes from the Latin 'nona hora' that translates as 'ninth hour'. Back in Ancient Rome, the 'ninth hour' was three in the afternoon. Over the centuries, traditions such as church prayers and 'midday' meals shifted from 3 p.m. to 12 p.m., and so 'noon' became understood as 12 noon."
AMERIC_,"AMERICA.    	When she was 33 years old, Katharine Lee Bates took a train ride from Massachusetts to Colorado Springs. She was so inspired by many of the beautiful sights she saw on her journey that she wrote a poem she called ""Pikes Peak"". Upon publication the poem became quite a hit, and several musical works were adapted to the words of the poem, the most popular being a hymn tune composed by Samuel Ward. Bates's poem and Ward's tune were published together for the first time in 1910, and given the title ""America the Beautiful""."
_AE,SAE.    	A stamped addressed envelope (SAE) might be included with a manuscript (MS).
E_OC,"EEOC.    	Equal Opportunity Employment is a term that has been around since 1964 when the Equal Employment Opportunity Commission (EEOC) was set up by the Civil Rights Act. Title VII of the Act prohibits employers from discriminating against employees on the basis of sex, race, color, national origin or religion."
EL_SE,"ELISE.    	""Fur Elise"" is a beautiful piece of music written by Beethoven, and is also known as ""Bagatelle in A Minor"". ""Fur Elise"" means simply ""For Elise"", but sadly no one knows the identity of the mysterious Elise."
RE_D,"REID.    	Democrat Harry Reid was the Senate Majority leader from 2007 until 2015. Reid had a big day in the Senate from a Democratic perspective with the successful passage of the so-called ObamaCare Bill. Paradoxically, Harry Reid's wife was in hospital at the time, having broken her back in a car accident. Reid took over as Senate Majority leader from Republican Bill Frist who retired from politics in 2007. Reid was replaced in 2015 by Republican Mitch McConnell."
AN_CIN,"ANACIN.    	Tylenol is pain relieving drug, with the active ingredient acetaminophen (which we call paracetamol back in Ireland, and outside of America). Anacin does the same thing, with the active ingredients of aspirin and caffeine."
BABA_,"BABAR.    	Babar the Elephant originated in France, a creation of Jean de Brunhoff in 1931. The first book was ""Histoire de Babar"", a book so successful it was translated into English two years later for publication in Britain and the US. Jean de Brunhoff wrote six more Babar stories before he died in 1937, and then his son Laurent continued his father's work."
O_ER,ONER.    	Something that is a dandy or a oner is remarkable or outstanding.
INTE_,"INTEL.    	The National Security Agency was set up in 1952 by President Truman, a replacement for the Armed Forces Security Agency that had existed in the Department of Defense since 1949. The agency has always been clouded in secrecy. Even the 1952 letter from President Truman that set up the agency was kept under wraps from the public for over a generation."
H_RT,"HART.    	Lorenz Hart was the lyricist in the songwriting team of Rodgers and Hart. The long list of hits with lyrics from Hart includes such classics as 'Blue Moon', 'The Lady Is a Tramp', 'My Funny Valentine' and 'Isn't It Romantic?'"
HA_,"HAW.    	Haw!' is a command given to a trained animal that is hauling something (like a horse or an ox). 'Haw!' is used to instruct the animal to turn to the left. The equivalent command for a right turn is 'Gee!' Just to confuse things, the same commands are used in the British Isles but with the opposite meanings. That must be pretty unsettling for jet-setting plow horses ..."
DE_,"DET.    	The Detroit Lions are the NFL team that plays home games at Ford Field in Detroit, Michigan. The team was founded way back in 1929 as the Portsmouth Spartans from Portsmouth, Ohio. The Spartans joined the NFL during the Great Depression as other franchises collapsed. However, the Spartans couldn't command large enough gates in Portsmouth so the team was sold and relocated to Detroit in 1934."
ABB_,"ABBY.    	The advice column 'Dear Abby' first appeared in 1956. Pauline Phillips was Abby back then, but now the column is written by Jeanne Phillips, her daughter. The full name of the 'Abby' pen name is Abigail Van Buren, which Pauline Phillips came up with by combining 'Abigail' from the biblical Book of Samuel, and 'Van Buren' after the former US president. 'Dear Abby' was also a radio show in the sixties and seventies."
_ESIN,"RESIN.    	Amber's technical name is ""resinite"", reflecting its composition and formation. Amber starts out life as soft, sticky tree resin, but then under high temperature and pressure from overlying layers of soil, it fossilizes. The sticky resin can trap organisms or other plant matter, and this matter can sometimes remain virtually intact inside the amber fossil, a unique gift from the past."
_SCII,"ASCII.    	ASCII (American Standard Code for Information Interchange) lists codes for 32 ""control"" characters, as well as the 95 printable characters. These binary codes are the way that our computers can understand what we mean when we type say a letter, or a number. Unicode is a more contemporary standard, and is like 'Ascii on steroids', encompassing more characters."
_OA,"KOA.    	Kampgrounds of America (KOA) was founded in 1962 by Montana businessman Dave Drum, who opened up his first property along the Yellowstone River. His strategy was to offer a rich package of services including hot showers, restrooms and a store, which he hoped would attract people used to camping in the rough. The original campground was an immediate hit and Drum took on two partners and sold franchises all over the country. There are about 500 KOA sites today."
POB_Y,"PO' BOY.    	A po' boy is a submarine sandwich from Louisiana. There are a lot of theories about where the name came from, and none sound too convincing to me. A po' boy differs from a regular submarine sandwich in that it uses Louisiana French bread, which is soft in the middle and crusty on the outside."
L_L,"LIL'.    	Lil' is a short form of the word ""little"". There are a whole slew of rappers named Lil' something, like Lil' Wayne, Lil' J, and Lil' Kim."
PAND_,"PANDA.    	Taxonomic classification of the giant panda has been a subject of great debate for years, the main question being whether it belongs to the bear or raccoon family. The accepted opinion these days, based on molecular studies, seems to be that the panda is in fact a true bear."
BO_A,"BOCA.    	I love Boca Burgers, the vegan ones anyway, made from soy protein. The Boca Foods company takes its name from Boca Raton, the city where is started doing business, in 1979."
R_PE,"ROPE.    	Clue is another board game that we knew under a different name growing up in Ireland. Outside of North America, Clue is marketed as ""Cluedo"". Cluedo was the original name of the game, introduced in 1949 by the famous British board game manufacturer Waddingtons. There are cute differences between the US and UK versions. For example, the man who is murdered is called Dr. Black (Mr. Boddy in the US), one of the suspects is the Reverend Green (Mr. Green in the US), and the suspect weapons include a dagger (a knife in the US), a lead pipe (lead piping in the US) and a spanner (a wrench in the US). I think it's a fabulous game, a must during the holidays ..."
LI_R,LIAR.    	The full rhyme used by children to deride someone not telling the truth is:
_USE,"OUSE.    	York is the biggest city on the River Ouse in Yorkshire. The name ""Ouse"" comes from the Celtic word ""usa"" meaning water."
AL_NE,"ALONE.    	Heart is a rock band from Seattle, Washington, founded in the seventies and still going strong. The band has had a changing lineup, except for sisters Anne and Nancy Wilson."
LT_,LTS.    	Lieutenant Sonny Fuzz and Lieutenant Jackson Flap are characters in the 'Beetle Bailey' comic strip. 
SW_T,SWAT.    	SWAT is an acronym standing for Special Weapons and Tactics. The first SWAT team was pulled together in the Los Angeles Police Department in 1968.
_LA,"ALA.    	The first official flag of the Confederacy was known as the Stars and Bars. The flag was designed by a Prussian artist and is similar to the Austrian flag of the day as it contains three bars, two of which are red and one white. The flag includes a blue square containing a ring of stars. Each star represents a state in the Confederacy. The Stars and Bars flag was officially adopted on 4 March 1861 and first flew over the dome of the Capitol Building in Montgomery, Alabama."
O_EGON,"OREGON.    	Nickel was only mined commercially in one location in the US, in Riddle, Oregon, and that mine closed in 1987. Most of the world's nickel output comes from Russia these days."
_RED,"DRED.    	Harriet Beecher Stowe's first novel ended up being her most famous, ""Uncle Tom's Cabin"". Stowe followed it up with an 1856 novel called ""Dred: A Tale of the Great Dismal Swamp""."
AVI_A,AVILA.    	St. Teresa of Avila (also known as St. Teresa of Jesus) was a Carmelite nun living in Spain in the 1500s. She is particularly noted for her writings on Christian meditation and mental prayer.
AM_EBA,"AMOEBA.    	An ameba (or ""amoeba"" as we spell it back in Ireland) is a single-celled microorganism. The name comes from the Greek ""amoibe"", meaning change. The name is quite apt, as the cell changes shape readily as the ameba moves, eats and reproduces."
ZE_A,"ZETA.    	Zeta is the sixth letter of the Greek alphabet, and is a precursor of our Roman letter Z. The word 'zeta' is also the ancestor of the name 'zed', which became 'zee', the pronunciation that we use here in the US."
_IOT,"RIOT.    	A person who is a cutup, or a riot, is hilariously funny."
SAS_,SASE.    	Editors often receive manuscripts with self-addressed stamped envelopes.
OP_ELIA,"OPHELIA.    	Shakespeare's ""Hamlet"", Ophelia is courted by Hamlet."
_VILA,AVILA.    	St. Teresa of Avila (also known as St. Teresa of Jesus) was a Carmelite nun living in Spain in the 1500s. She is particularly noted for her writings on Christian meditation and mental prayer.
