"Some ""CSI"" figs.   		3 letters",DAS.    	District Attorney (DA)
Yawns might suggest this.   		5 letters,"ENNUI.    	'Ennui' is the French word for boredom, a word that we now use in English. It's one of the few French words we've imported that we haven't anglicized and actually pronounce ""correctly""."
"""My Cousin Vinny"" co-star.   		5 letters","TOMEI.    	Marisa Tomei's first screen role was in ""As the World Turns"", but her break came with a recurring role in ""The Cosby Show"" spin-off, ""A Different World"". Tomei won an Oscar for her delightful performance in ""My Cousin Vinny"" in 1992."
Tokyo stage shows.   		3 letters,"NOH.    	Noh is a form of musical drama in Japan that has been around since the 14th century. Many of the Noh performers are masked, allowing all the roles to be played by men, both male and female parts."
Common khakis go-with.   		4 letters,"POLO.    	René Lacoste was a French tennis player who went into the clothing business, and came up with a more comfortable shirt that players could use. This became known as a 'tennis shirt'. When it was adopted for use in the sport of polo, the shirts also became known as 'polo shirts'. And then the 'golf shirt' is basically the same thing."
McJob doer.   		4 letters,PEON.    	A peon is a lowly worker with no real control over his/her working conditions. The word comes into English from Spanish where it has the same meaning.
Parts of un archipel.   		4 letters,"ILES.    	In French, an archipelago (un archipel) is made up of islands (îles)."
Ocasek of the Cars.   		3 letters,"RIC.    	Ric Ocasek is an American musician of Czech heritage, and was the lead vocalist of the rock band known as the Cars."
Naval group.   		6 letters,"ARMADA.    	The most famous Armada was the Spanish fleet that sailed against England in order to overthrow Queen Elizabeth I in 1588. It failed in its mission, partly due to bad weather encountered en route. Ironically, the English mounted a similar naval attack against Spain the following year, and it failed as well."
Sp.   		4 letters,"SRAS.    	The equivalent of 'Mrs.' in French is 'Mme.' (Madame), in Spanish is 'Sra.' (Señora) and in Portuguese is also 'Sra.' (Senhora)."
"Conversely, in texts.   		4 letters",OTOH.    	On the other hand (OTOH)
Bering Sea port.   		4 letters,"NOME.    	Nome, Alaska has over 3,500 residents, the majority of whom are Native American. The next largest ethnic group is the white population."
"Marisa of ""My Cousin Vinny"".   		5 letters","TOMEI.    	Marisa Tomei's first screen role was in ""As the World Turns"", but her break came with a recurring role in ""The Cosby Show"" spin-off, ""A Different World"". She won an Oscar for her delightful performance in ""My Cousin Vinny"" in 1992."
Singer Ocasek.   		3 letters,"RIC.    	Ric Ocasek is an American musician of Czech heritage, and was the lead vocalist of the rock band known as the Cars."
Like some dessert orders.   		9 letters,"A LA MODE.    	In French, ""à la mode"" simply means ""fashionable"". In America, the term has come to describe a way of serving pie, usually with ice cream, or as I recall from when I lived in Upstate New York, with cheese."
Enzyme suffix.   		4 letters,"-ASE.    	Enzymes are basically catalysts, chemicals that act to increase the rate of a particular chemical reaction. For example, starches will break down into sugars over time, especially under the right conditions. However, in the presence of the enzyme amylase (found in saliva) this production of sugar happens very, very quickly."
Disney dwarf with glasses.   		3 letters,"DOC.    	In the original Brothers Grimm fairy tale ""Snow White"", the seven dwarfs were not given any names. The names were created for the 1937 classic animated film ""Snow White and the Seven Dwarfs"" from Walt Disney. The seven dwarfs are:"
"___ Hughes, 2002 Olympic skating gold medalist.   		5 letters",SARAH.    	American figure skater Sarah Hughes won the Ladies Singles' gold medal at the 2002 Winter Olympic Games.
Gumshoe.   		3 letters,"TEC.    	Gumshoe is a slang term for a private detective or private investigator (P.I.). Apparently the term ""gumshoe"" dates back to the early 1900s, and refers to the rubber-soled shoes popular with private detectives at that time."
Something to believe in.   		5 letters,"TENET.    	A tenet is an article of faith, something that is held to be true. 'Tenet' is Latin for 'he holds'."
Lead-in to -drome.   		5 letters,"AERO-.    	Aerodrome is a general term for a facility where aircraft take off and land. An aerodrome could be a small airstrip, a large commercial airport or even a military airbase. The term 'aerodrome' is used quite often in the UK, but rarely here in the US."
39-Across commander.   		3 letters,DDE.    	
"""Cómo ___ usted?"".   		4 letters","ESTA.    	""?Cómo está usted?"" is the more formal way of asking, ""How are you?"" in Spanish."
"""Por ___ Cabeza"" (tango standard).   		3 letters","UNA.    	Por una cabeza' is one of the most famous Argentine tangos, oft-featured in memorable scenes in big Hollywood movies. You might recall tangos in 1992's 'Scent of a Woman' or 1994's 'True Lies', for example, both of which were danced to 'Por una cabeza'. The title of the song translates to 'by a head'. The 'by a head' in this context is the distance by which a horse might win a race. The lyrics tell of a man who compares his addiction to gambling on horses to his attraction to women."
Unmoved.   		5 letters,"STOIC.    	Zeno of Citium was a Greek philosopher famous for teaching at the Stoa Poikile, the ""Painted Porch"", located on the north side of the Ancient Agora of Athens. Because of the location of his classes, his philosophy became known as stoicism (from ""stoa"", the word for ""porch""). And yes, we get our adjective ""stoic"" from the same root."
Official state sport of Wyoming.   		5 letters,"RODEO.    	""Rodeo' is a Spanish word, which is usually translated as 'round up'."
Final word in a holiday tune.   		4 letters,"SYNE.    	The song ""Auld Lang Syne"" is a staple at New Year's Eve, the words of which were written by Scottish poet Robbie Burns. The literal translation of 'Auld Lang Syne' is 'old long since', but is better translated as 'old times'. The sentiment of the song is 'for old time's sake'."
Painter Chagall.   		4 letters,"MARC.    	Marc Chagall was a Russian-French artist, one of the most successful of the 20th century. Unlike so many painters, Chagall was able to achieve wealth and notoriety for his work during his own lifetime. It did help that Chagall lived to a ripe old age though. He passed away in 1985, when he was 97 years young."
Pier grp.   		3 letters,ILA.    	The International Longshoremen's Association.
___ Rose.   		3 letters,"AXL.    	Axl Rose is the lead vocalist of the American rock band, Guns N' Roses."
Garment usually with two buttons.   		4 letters,"POLO.    	René Lacoste was a French tennis player who went into the clothing business, and came up with a more comfortable shirt that players could use. This became known as a 'tennis shirt'. When it was adopted for use in the sport of polo, the shirts also became known as 'polo shirts'. And then the 'golf shirt' is basically the same thing."
___ Dei (Catholic group).   		4 letters,"OPUS.    	Opus Dei is Roman Catholic institution that was founded in Spain in 1928, and officially approved by the church in 1950. In 2010, Opus Dei had over 90,000 members, mostly lay people. The institution's mission is to promote certain aspects of the Roman Catholic doctrine. Opus Dei was portrayed as a sinister organization by Dan Brown in his novel 'The Da Vinci Code'."
Jean-___ Picard (U.S.S.   		3 letters,"LUC.    	When Gene Roddenberry was creating the 'Star Trek' spin-off series 'Star Trek: The Next Generation', I think he chose a quite magnificent name for the new starship captain. The name ""Jean-Luc Picard"" is imitative of one or both of the twin-brother Swiss scientists Auguste and Jean Felix Piccard. The role of Picard was of course played by the wonderful Shakespearean actor Patrick Stewart."
Symbol of Middle America.   		6 letters,"PEORIA.    	The phrase, 'Will it play in Peoria?' is used to mean, 'Will it appeal to the mainstream?' It is believed the expression originated as a corruption of, 'We shall play in Peoria', a line used by some actors in the 1890 novel ""Five Hundred Dollars"" by Horatio Alger, Jr."
Photographer Adams.   		5 letters,"ANSEL.    	As an amateur photographer, I have been a big fan of the work of Ansel Adams for many years and must have read all of his books. He was famous for the clarity and depth in his black and white images. Central to his technique was the use of the zone system, his own invention. The zone system is a way of controlling exposure in an image, particularly when there is a high contrast in the subject. Although the technique was developed primarily for black & white film, it can even apply to digital color images. In the digital world, the main technique is to expose an image for the highlights, and one or more images for the shadows. These images can then be combined digitally giving a final image with a full and satisfying range of exposures."
"Mine, in Madrid.   		3 letters",MIO.    	Madrid is the largest city in Spain and the capital. Madrid is located very close to the geographical center of the country. It is the third-largest city in the European Union (after London and Paris). People from Madrid called themselves Madrileños.
"""Auld Lang ___"".   		4 letters","SYNE.    	The song ""Auld Lang Syne"" is a staple at New Year's Eve, the words of which were written by Scottish poet Robbie Burns."
Some M.I.T.   		3 letters,EES.    	Electrical Engineers (EEs).
Many a South Seas island.   		5 letters,"ATOLL.    	An atoll is a coral island that is shaped in a ring and enclosing a lagoon. There is still some debate as to how an atoll forms, but a theory proposed by Charles Darwin while on his famous voyage aboard HMS Beagle still holds sway. Basically an atoll was once a volcanic island that had subsided and fallen into the sea. The coastline of the island is home to coral growth which persists even as the island continues to subside internal to the circling coral reef."
President pro ___.   		3 letters,"TEM.    	Pro tempore can be abbreviated to ""pro tem"" or ""p.t."" It is a Latin phrase which best translates as ""for the time being"". It is used to describe a person who is acting for another, usually a superior."
"""Reading Rainbow"" network.   		3 letters","PBS.    	The Public Broadcasting System (PBS) was founded in 1970, and has to be my favorite of the broadcast networks. I love PBS's drama and science shows in particular, and always watch the election results with the NewsHour team."
One doing the lord's work.   		4 letters,"SERF.    	A serf was a member of the lowest feudal class, someone attached to land owned by a lord. ""Serf"" comes from the Latin ""servus"", meaning ""slave""."
Kind of dispenser.   		3 letters,"PEZ.    	PEZ is an Austrian brand name for a particular candy sold in a mechanical dispenser. The name PEZ comes from the first, middle and last letters of ""Pfefferminz"", the German word for ""peppermint""."
Large bill holder.   		4 letters,"IBIS.    	The ibis is a wading bird that was revered in ancient Egypt. ""Ibis"" is an interesting word grammatically speaking. You can have one ""ibis"" or two ""ibises"", and then again one has a flock of ""ibis"". And if you want to go with the classical plural, instead of two ""ibises"" you would have two ""ibides""!"
Department in Picardy.   		4 letters,OISE.    	The department in northern France known as Oise is named for the River Oise. The river rises in Belgium and joins up with the River Seine just outside Paris.
"""Fargo"" director.   		4 letters","COEN.    	""Fargo"" is one of my favorite films of all time, and stars perhaps my favorite actress, Frances McDormand. Fargo was directed by the Coen brothers, Joel and Ethan. Frances McDormand is Joel's wife."
Vagabond.   		4 letters,"HOBO.    	No one seems to know for sure how the term ""hobo"" originated, although there are lots of colorful theories. My favorite is that ""hobo"" comes from the first letters in the words ""ho-meward bo-und"", but it doesn't seem very plausible. A kind blog reader tells me that according to Click and Clack from PBS's ""Car Talk"" (a great source!), ""hobo"" comes from ""hoe boy"". Hoe boys were young men with hoes looking for work after the Civil War. Hobos differed from ""tramps"" and ""bums"", in that ""bums"" refused to work, ""tramps"" worked when they had to, while ""hobos"" traveled in search of work."
"Beethoven's ""Sinfonia ___"".   		6 letters","EROICA.    	Beethoven originally dedicated his Symphony No. 3 to Napoleon Bonaparte. Beethoven admired the principles of the French Revolution and as such respected Bonaparte who was ""born"" out of the uprising. When Napoleon declared himself Emperor, Beethoven (and much of Europe) saw this as a betrayal to the ideals of the revolution so he changed the name of his new symphony from ""Bonaparte"" to ""Eroica"", meaning ""heroic"" or ""valiant""."
One of the Jacksons.   		4 letters,"TITO.    	Tito Jackson was the third eldest of the Jackson children, and was known in Motown as the ""quiet Jackson""."
Sea eagle.   		3 letters,"ERN.    	The ern (also erne) is sometimes called the white-tailed eagle, or the sea-eagle."
Brass component.   		4 letters,"ZINC.    	Brass is an alloy of copper and zinc. Compare this with bronze, an alloy of copper and tin. Copper and bronze are often mistaken for each other."
D.D.E.   		3 letters,"AES.    	Adlai Stevenson ran for president unsuccessfully against Dwight D. Eisenhower in 1952 and in 1956. Some years after his second defeat, Stevenson served under President Kennedy as Ambassador to the United Nations. Stevenson was always noted for his eloquence and he had a famous exchange in a UN Security Council meeting during the Cuban missile crisis. Stevenson bluntly demanded that the Soviet representative on the council tell the world if the USSR was installing nuclear weapons in Cuba. His words were ""Don't wait for the translation, answer 'yes' or 'no'!"" followed by ""I am prepared to wait for my answer until Hell freezes over!"""
Dockworker's org.   		3 letters,ILA.    	The International Longshoremen's Association.
"""The Wrestler"" actress.   		5 letters","TOMEI.    	Marisa Tomei's first screen role was in ""As the World Turns"", but her break came with a recurring role in ""The Cosby Show"" spinoff, ""A Different World"". Tomei won an Oscar for her delightful performance in ""My Cousin Vinny"" in 1992."
Old TV news partner of David.   		4 letters,CHET.    	Chet Huntley was a newscaster who co-anchored 'The Huntley-Brinkley Report' on NBC with David Brinkley from 1956 to 1970.
Bygone flightless bird.   		3 letters,"MOA.    	Moas were flightless birds native to New Zealand, and are now extinct. The fate of the Moa is a great example of the detrimental effect that humans can have on animal populations. The Maoris arrived in New Zealand about 1300 AD, upsetting the balance of the ecosystem. The Moa were hunted to extinction within 200 years, which in turn caused the extinction of the Haast's Eagle, the Moa's only predator prior to the arrival of man."
Eastern princess.   		4 letters,"RANI.    	A ranee (also spelled rani) is a queen or a princess, the female equivalent of a raja in India."
Lamar who married a Kardashian.   		4 letters,"ODOM.    	Lamar Odom is a basketball forward playing for the LA Clippers. Apparently Odom loves candy, and that's how he earned his nickname, ""The Candy Man"". Odom is married to Khloé Kardashian, and the couple's wedding featured on an episode of the reality show 'Keeping Up with the Kardashians'. Not a show that I have ever seen ..."
Exceeds the speed limit?.   		3 letters,"ODS.    	'Speed' is a slang name for some stimulant drugs, especially amphetamine or methamphetamine."
Ending with Gator.   		4 letters,"-ADE.    	Gatorade was developed at the University of Florida by a team of researchers at the request of the school's football team. And so, Gatorade is named after the Gators football team."
Sci-fi character remembered for her large bus (buns).   		4 letters,"LEIA.    	Princess Leia is Luke Skywalker's sister in the original ""Star Wars"" trilogy and was played by Carrie Fisher. Carrie Fisher has stated that she hated the famous ""cinnamon bun hairstyle"" that she had to wear in the films, as she felt it made her face look too round. She also had to to sit for two hours every day just to get her hair styled. Two hours to get your hair done? It takes me just two seconds ..."
"Quick ""however"".   		4 letters",OTOH.    	On the other hand (OTOH)
Chess champ Mikhail.   		3 letters,"TAL.    	Mikhail Tal was truly a chess legend. Tal holds the record for the longest unbeaten streak in competition chess. And the second longest winning streak, well, that was by Tal as well."
"""The Wrestler"" actress Marisa.   		5 letters","TOMEI.    	Marisa Tomei's first screen role was in ""As the World Turns"", but her break came with a recurring role in ""The Cosby Show"" spinoff, ""A Different World"". Tomei won an Oscar for her delightful performance in ""My Cousin Vinny"" in 1992."
Disinheritor of Cordelia.   		4 letters,"LEAR.    	King Lear' is one of William Shakespeare's tragedies. Lear's three daughters figure prominently in the storyline. The three are, in order of age:"
Point of writing.   		3 letters,"NIB.    	""Nib"" is a Scottish variant of the Old English word ""neb"", with both meaning the beak of a bird. This usage of ""nib"" as a beak dates back to the 14th century, with ""nib"" meaning the tip of a pen or quill coming a little later, in the early 1600s."
Half of an old comedy duo.   		5 letters,"OLLIE.    	Stan Laurel was an English comic actor (born Arthur Stanley Jefferson), who made a great career for himself in Hollywood, of course. He ended up at the Hal Roach studio, directing films, intent on pursuing a career writing and directing. However, Laurel, a sometime actor, was asked to step in when another comic actor, Oliver Hardy was injured and couldn't perform. Laurel and Hardy started to share a stage together during that time, and when it was clear they worked so well together, the partnership was born."
It may be taken from the neck of a superhero.   		3 letters,"PEZ.    	PEZ is an Austrian brand name for a particular candy sold in a mechanical dispenser. Famously, PEZ dispensers have molded 'heads', and have become very collectible over the years. The list of heads includes historical figures like Betsy Ross and Paul Revere, characters from 'Star Wars' and 'Star Trek', and even British royalty like the Duke and Duchess of Cambridge ('William and Kate'). The name PEZ comes from the first, middle and last letters of ""Pfefferminz"", the German word for ""peppermint""."
Two under par.   		5 letters,"EAGLE.    	The use of the word ""eagle"" to signify a 2-under-par score on a hole in golf, simply builds on the established use of ""birdie"" for 1-under-par. An eagle is just a ""bigger"" bird, and 2-under par is ""bigger"" and better than 1-under."
Mushy fare.   		3 letters,"PAP.    	One meaning of ""pap"" is soft or semi-liquid food for babies and small children. ""Pap"" comes into English via French, from the Latin word used by children for ""food"". In the 1500s, ""pap"" also came to mean ""an oversimplified"" idea. This gives us a usage that's common today, describing literature or perhaps TV programming that lacks real value or substance. Hands up those who think there's a lot of pap out there, especially on television ..."
Air conditioner meas.   		3 letters,"BTU.    	In the world of heating, ventilation and air conditioning (HVAC), the power of a heating or cooling unit can be measured in British Thermal Units (BTUs). This dated unit is the amount of energy required to heat a pound of water so that the water's temperature increases by one degree Fahrenheit."
Fleur-de-___.   		3 letters,"LIS.    	""Lys"" (also 'lis') is the French word for ""lily"", as in ""fleur-de-lys"", the heraldic symbol often associated with the French monarchy."
"Keats's ""Ode on a Grecian ___"".   		3 letters","URN.    	John Keats wrote a whole series of odes in 1819, including the very famous ""Ode on a Grecian Urn"", ""Ode to Psyche"" and ""Ode to a Nightingale""."
Force defeated in 1588.   		6 letters,"ARMADA.    	The most famous Armada was the Spanish fleet that sailed against England in order to overthrow Queen Elizabeth I in 1588. Ironically, the English mounted a similar naval attack against Spain the following year, and it failed as well."
Liberian president and Peace Nobelist ___ Johnson Sirleaf.   		5 letters,"ELLEN.    	Ellen Johnson Sirleaf was elected President of Liberia in 2005, and re-elected in 2011. Sirleaf was the first elected head of state in the continent of Africa. She was jointly awarded the Nobel Peace Prize in 2011 for her work to protect women and women's rights."
___ Martens (shoes).   		3 letters,"DOC.    	Doc Martens' is the more familiar term for the British shoe brand 'Dr. Martens'. The first Doc Martens were made in Germany just after WWII, by a doctor named Klaus Martens. He found his army-issue boots too uncomfortable for an injured foot, so he developed a boot with soft leather and an air-cushioned sole, the trademarks of today's Doc Martens."
Some E.R.   		3 letters,ODS.    	Overdoses (ODs)
Late football star and FTD pitchman Merlin.   		5 letters,"OLSEN.    	Merlin Olsen played in the NFL with the LA Rams. After retiring from the game, his career continued to flourish. He worked as a sports broadcaster for many years, and then landed a major role on television's ""Little House on the Prairie"", playing Jonathan Garvey. In one episode, Garvey was to help coach a boy's football team, so the writers gave the character the tongue-in-cheek line ""I don't know nothin' about football!"" Olsen was also the commercial face of FTD florists for many years. Olson passed away in March 2010, aged 69."
Landon who lost to F.D.R.   		3 letters,"ALF.    	Alf Landon was the Governor of Kansas from 1933-37, and was the Republican Party's nominee against FDR in the 1936 Presidential election. He is remembered as the candidate who ""disappeared"" after winning the nomination. He rarely traveled during the campaign, and made no appearances at all in its first two months. FDR famously won by a landslide, with Landon only winning the states of Maine and Vermont. He wasn't even able to carry his home state of Kansas."
Masur's New York Philharmonic predecessor.   		5 letters,"MEHTA.    	Zubin Mehta is an Indian conductor of Western classical music, from Mumbai. Mehta studied music in Vienna, where he made his conducting debut in 1958. In 1961 he was named assistant director of the Los Angeles Philharmonic, creating a fuss with the music director designate of the orchestra, Georg Solti. Solti resigned as a protest, and Mehta took his job."
It's observed in L.A.   		3 letters,PST.    	Pacific Standard Time (PST)
Post-apartheid ruling org.   		3 letters,"ANC.    	The African National Congress (ANC) started out as the South African Native National Congress in 1912 with the goal of improving the lot of Black South Africans. After years of turmoil, the ANC came to power in the first open election in 1964."
"""J.   		5 letters","EDGAR.    	J. Edgar' is a 2011 film directed by Clint Eastwood that deals with much of the adult life of former FBI director, J. Edgar Hoover. The movie stars Leonardo DiCaprio in the title role. I saw it not too long ago, and I am afraid my high expectations weren't really met ..."
SALT topic.   		4 letters,"ICBM.    	An Intercontinental Ballistic Missile (ICBM) is a ballistic missile with the range necessary to cross between continents. Being ballistic (as opposed to a cruise missile) an ICBM is guided during the initial launch phase, but later in flight just relies on thrust and gravity to arrive at its target. It is defined as intercontinental as it has a range greater that 3,500 miles. ICBMs are really only used for delivering nuclear warheads. Scary stuff ..."
Chief belief.   		5 letters,"TENET.    	A tenet is an article of faith, something that is held to be true. 'Tenet' is Latin for 'he holds'."
___ dish.   		5 letters,"PETRI.    	Julius Richard Petri was a German bacteriologist and was the man after whom the Petri dish is named. The petri dish can have an agar gel on the bottom which acts a nutrient source for the specimen being grown and studied, in which case the dish plus agar is referred to as an ""agar plate""."
Philippine money.   		4 letters,"PESO.    	The writing on bank notes in the Philippines used to be in English, so the national currency was recorded as the 'peso'. Since 1967 the language on the notes has been Filipino, and now the name of the currency is written as 'Piso'."
Sommer of Hollywood.   		4 letters,"ELKE.    	Elke Sommer is a German-born actress who was at the height of her success on the silver screen in the sixties. Sommer won a Golden Globe as Most Promising Newcomer Actress for her role opposite Paul Newman in 1964's ""The Prize"". She also sings and has released several albums. Now Sommer focuses on painting, producing artwork that is strongly influenced by the work of Marc Chagall."
"Playboy founder, informally.   		3 letters","HEF.    	Hugh Hefner (often called 'Hef') is from Chicago. His first publishing job was in the military, where he worked as a writer for a US Army newspaper from 1944-46. He went to college after his military service and then worked as a copywriter for ""Esquire"" magazine. He left ""Esquire"" to found his own publication that he called ""Playboy"", which first hit the newsstands in 1953. ""Playboy"" has been around ever since."
___-A-Che (rapper).   		3 letters,"RIC.    	Ric-A-Che is a rapper. That's all I know. Oh, I guess he's from Detroit ..."
Zilch.   		3 letters,"NIL.    	We use the term 'zilch' to mean 'nothing'. Our current usage evolved in the sixties, before which the term was used to describe 'meaningless speech'. There was a comic character called Mr. Zilch in the 1930s in 'Ballyhoo' magazine. Mr. Zilch's name probably came from the American college slang 'Joe Zilch' that was used in the early 1900s for 'an insignificant person'."
"The so-called ""sunny side"".   		4 letters","YANG.    	The yin and the yang can be explained using many different metaphors. In one, as the sun shines on a mountain, the side in the shade is the yin and the side in the light is the yang. The yin is also regarded as the feminine side, and the yang the masculine. The yin can also be associated with the moon, while the yang is associated with the sun."
Khloé Kardashian's married name.   		4 letters,"ODOM.    	Lamar Odom is a basketball forward playing for the LA Clippers. Apparently Odom loves candy, and that's how he earned his nickname, ""The Candy Man"". Odom is married to Khloé Kardashian, and the couple's wedding featured on an episode of the reality show 'Keeping Up with the Kardashians'. Not a show that I have ever seen ..."
"""___ Flux"" (Charlize Theron film).   		4 letters",AEON.    	'Aeon Flux' is a sci-fi film from 2005 starring Charlize Theron in the title role. The movie was inspired by an animated TV series of the same name that aired on MTV in the nineties.
"Ethyl acetate, for one.   		5 letters","ESTER.    	Esters are very common chemicals. The smaller, low-molecular weight esters are usually pleasant smelling and are often found in perfumes. At the other end of the scale, the higher-molecular weight nitroglycerin is a nitrate ester and is very explosive, and polyester is a huge molecule and is a type of plastic. Fats and oils found in nature are fatty acid esters of glycerol."
New car sticker fig.   		4 letters,MSRP.    	The Manufacturer's Suggested Retail Price.
Org.   		4 letters,"SPCA.    	Unlike in most developed countries, there is no ""umbrella"" organization in the US with the goal of preventing cruelty to animals. Instead there are independent organizations set up all over the nation using the name SPCA. Having said that, there is an organization called the American Society for the Prevention of Cruelty to Animals (ASPCA) that was originally intended to operate across the country, but really it now focuses its efforts in New York City."
Marble ___ (London landmark).   		4 letters,"ARCH.    	The London landmark known as Marble Arch is located, rather oddly I've always thought, on a traffic island at the junction of Oxford Street and Park Lane. The arch was completed in 1833, with a design inspired by the Arch of Constantine in Rome (which also inspired the more famous 'Arc de Triomphe' in Paris). It was originally located in front of Buckingham Palace, where it was used as the ceremonial state entrance. The arch was moved to its current location to make room for renovations to Buckingham Palace that were ordered by Queen Victoria. There are three small rooms inside of the arch, and these were used as a police station for over a hundred years."
"Richard of ""Shall We Dance?"".   		4 letters","GERE.    	'Shall We Dance?' is a 2004 film starring Richard Gere and Susan Sarandon as a married couple, with Jennifer Lopez playing a competitive ballroom dancer. The film is a remake of a Japanese film of the same name that was released in 1996."
Mont Blanc and Matterhorn.   		4 letters,"ALPS.    	Mont Blanc is the highest mountain in the Alps. The name ""Mont Blanc"" translates from French into ""white mountain"". The mountain lies on the border between France and Italy, and it has been generally accepted for decades that the summit lies within French territory. However, there have been official claims that the summit does in fact fall within the borders of Italy."
Article of the Constitution that defines treason.   		3 letters,"III.    	Treason is a serious crime committed against the nation (or the sovereign). One who commits treason is called a traitor. In the past, the term treason also applied to lesser crimes (like a woman killing her husband) so there was a differentiation between high treason against the king, and ""petit treason"", against a more common citizen."
One of the Jackson 5.   		4 letters,"TITO.    	Tito Jackson was the third oldest of the Jackson children, and was known in Motown as the ""quiet Jackson""."
Disney's nephew.   		3 letters,"ROY.    	Roy E. Disney was Walt Disney's nephew, the son of brother Roy O. Disney with whom Walt founded the Walt Disney Company. Roy E. was the last of the Disney family to be active in the Walt Disney Company, and he had a big impact. He is credited with two famous ousting of Disney executives: Ron Miller in 1984 and Michael Eisner in 2005."
Passover supper.   		5 letters,"SEDER.    	The Passover Seder is a ritual feast that marks the beginning of the Jewish Passover holiday, celebrating the liberation of the Israelites from slavery in Egypt. One of the traditions at the meal is that the youngest child at the table asks ""The Four Questions"", all relating to why this night is different from all other nights in the year:"
1998 Sarah McLachlan hit.   		4 letters,"ADIA.    	Sarah McLachlan is singer/songwriter from Halifax, Nova Scotia who lives in Vancouver. In 1997, McLachlan married Ashwin Sood, the drummer in her band. Apparently the 1998 hit song ""Adia"", that she co-wrote and recorded, was intended as an apology to her best friend ... for stealing her ex-boyfriend and then marrying him!"
Nick who was named People's Sexiest Man Alive in 1992.   		5 letters,"NOLTE.    	The actor Nick Nolte got his first big break playing opposite Jacqueline Bisset and Robert Shaw in 'The Deep', released in 1976. Prior to that he had worked as a model, and in fact appeared in a magazine advertisement for Clairol in 1972 alongside fellow model, Sigourney Weaver."
A destroyer may be in one.   		6 letters,"ARMADA.    	The most famous Armada was the Spanish fleet that sailed against England in order to overthrow Queen Elizabeth I in 1588. It failed in its mission, partly due to bad weather encountered en route. Ironically, the English mounted a similar naval attack against Spain the following year, and it failed as well."
Great Seal figure.   		5 letters,"EAGLE.    	The Great Seal of the United States is a device used to authenticate some US federal documents. The obverse (front) of the Great Seal is used as the coat of arms of the US, a design that can seen on all American passports."
"Car name that's Latin for ""desire"".   		4 letters","AVEO.    	The Chevrolet Aveo is a subcompact automobile that has been around since 2002. The Aveo is manufactured by GM Daewoo, the GM subsidiary in South Korea. Although the Aveo name is still used in some markets, here in North America the Aveo has been sold as the Chevrolet Sonic since 2012. By the way, GM Daewoo is the third largest manufacturer of automobiles in South Korea, after Hyundai and Kia."
John in England.   		5 letters,"ELTON.    	Elton John's real name is Reginald Dwight. He was knighted in 1998, not for his music but for his charitable work. He founded his own Elton John AIDS Foundation back in 1992."
"""The Cosby Show"" boy.   		4 letters",THEO.    	Malcolm-Jamal Warner was the child actor who played Theo Huxtable on 'The Cosby Show'. You can see the grown-up Warner today playing Dr. Alex Reed on the BET sitcom 'Reed Between the Lines'.
Arizona tribe.   		4 letters,"HOPI.    	The Hopi nation live on a reservation that actually resides within the much larger Navajo reservation, in Arizona."
"Dive, maybe.   		3 letters",BAR.    	The use of the term 'dive' to mean a 'disreputable bar' dates back to the late 1800s. It is suggested that the term arose because such bars tended to be located in basements and so one had had to 'dive' below street level to enter such an establishment.
Actor Nick.   		5 letters,"NOLTE.    	The actor Nick Nolte got his first big break playing opposite Jacqueline Bisset and Robert Shaw in 'The Deep', released in 1976. Prior to that he had worked as a model, and in fact appeared in a magazine advertisement for Clairol in 1972 alongside fellow model, Sigourney Weaver."
Israel Philharmonic maestro.   		5 letters,"MEHTA.    	Zubin Mehta is an Indian conductor of western classical music, from Mumbai. Mehta studied music in Vienna, where he made his conducting debut in 1958. In 1961 he was named assistant director of the Los Angeles Philharmonic, creating a fuss with the music director designate of the orchestra, Georg Solti. Solti resigned as a protest, and Mehta took his job."
Annual New York honor.   		4 letters,"OBIE.    	The Obies are the ""Off-Broadway Theater Awards"". The Obies are presented annually and the recipients are chosen by ""The Village Voice"" newspaper."
Singer Terence ___ D'Arby.   		5 letters,"TRENT.    	Terence Trent D'Arby is the former stage name of singer-songwriter Sananda Maitreya. Maitreya is also a stage name, as the singer was actually born Terence Trent Howard."
Runner Sebastian.   		3 letters,COE.    	Sebastian Coe is a retired middle distance runner from the UK who won four Olympic medals including golds in the 1500m in 1980 and 1984. After retiring from athletics he went into politics and served as a Member of Parliament from 1992 to 1997. He headed up London's successful bid to host the 2012 Summer Olympic Games.
"Long-range weapon, for short.   		4 letters","ICBM.    	An InterContinental Ballistic Missile (ICBM) is a ballistic missile with the range necessary to cross between continents. Being ballistic (as opposed to a cruise missile) is it is guided during the initial launch phase, but later in flight just relies on thrust and gravity to arrive at its target. It is defined as intercontinental as it has a range greater that 3,500 miles. ICBMs are really only used for delivering nuclear warheads. Scary ..."
First name among linguists.   		4 letters,"NOAM.    	Noam Chomsky is a professor of linguistics at MIT, and is known as one of the fathers of modern linguistics."
Actress/singer Zadora.   		3 letters,"PIA.    	Pia Zadora is an American actress and singer. Zadora's most famous role was in the 1982 film ""Butterfly"" in which she worked with Orson Welles and Stacey Keach. The film was based on the novel ""The Butterfly"" by James M. Cain and deals with the difficult subject of father-daughter incest."
