_MC,"GMC.    	GMC is a division of General Motors (GM) established in 1901 that started out as ""GMC Truck""."
D_D,"DAD.    	Ward Cleaver and his wife, June, were the parents of Wally Cleaver and his younger brother, ""The Beaver"", for whom the fifties sitcom was named, ""Leave It to Beaver"". Ward Cleaver was played by Hugh Beaumont."
GE_SE,"GEESE.    	Apparently geese fly in that V-formation for a couple of reasons. One is that it makes for efficient flight and conserves energy. The leading bird gets no advantage, but every following bird gets to ""slipstream"" a little. It has been noted that the lead bird drops to the back of the formation when he/she gets fatigued. It's also thought that the flock can stick together more easily when in formation, so it is more difficult to lose someone along the way."
R_T,RAT.    	The 12-year cycle in the Chinese calendar uses the following animals in order:
SKO_T,SKORT.    	Skorts are a hybrid between shorts and a skirt.
SNA_U,"SNAFU.    	SNAFU is an acronym standing for Situation Normal: All Fouled Up (well, that's the ""polite"" version!). As you might imagine, the term developed in the US Army, during WWII."
_AT,"HAT.    	There are eight tokens included in the game of Monopoly as of 2013. These are the wheelbarrow, battleship, racecar, thimble, boot, Scottie dog, top hat and cat. The latest to be introduced was the cat in 2013, replacing the iron. The battleship and the cannon (aka howitzer, now retired) had been added to the Monopoly game as part of a recycling exercise. The pieces were intended for the game ""Conflict"" released in 1940, but when Parker Bros. pulled ""Conflict"" off the market due to poor sales, they added their excess battleships and cannons to Monopoly."
T_ME,"TOME.    	'Tome' first came into English from the Latin ""tomus"" which means ""section of a book"". The original usage in English was for a single volume in a multi-volume work. By the late 16th century ""tome"" had come to mean ""a large book""."
E_ESTU,"ERES TU.    	We have a big event across Europe every year called the Eurovision Song Contest. Each nation enters one song in competition with each other, and then voters across the whole continent decide on the winner. That's how ABBA got their big break, as they were Sweden's entry debuting their song ""Waterloo"". In 1972, Spain's entry was ""Eres tu"" sung by the band Mocedades. ""Eres tu"" is the Spanish for ""you are"". It is a great song, that came in second but should have won, in my humble opinion."
THAN_,"THANE.    	Banquo is a character in William Shakespeare's ""Macbeth"". He is the Thane of the Scottish province of Lochaber. Thane was a hereditary title for a tenant of the crown in Scotland."
_INTA,"PINTA.    	As we all know, Christopher Columbus used three ships in his first voyage across the Atlantic: the Santa Maria, the Niña and the Pinta. The Pinta was the fastest of the three, and it was from the Pinta that the New World was first spotted, by a sailor on lookout called Rodrigo de Triana. Pinta was a nickname (as was Niña), meaning ""the painted one"". The Pinta's real name has been lost in mists of time."
ERIT_,"ERI TU.    	The aria ""Eri tu"" is from Verdi's opera ""Un ballo in maschera"" (A Masked Ball). It tells the story of the assassination of King Gustav III of Sweden, during a masked ball."
GT_S,GTOS.    	GTO stands for Gran Turismo Omologato.
NI_BE,"NIOBE.    	In Greek mythology, when Niobe's children were killed, she fled to Mt. Sipylus where she was turned into stone and weeped for eternity. There is in fact a Niobe's Rock on Mt. Sypylus which resembles a female face, and is known as ""The Weeping Rock""."
EST_,"ESTA.    	""?Cómo está usted?"" is the more formal way of asking, ""How are you?"" in Spanish."
_ARAH,"SARAH.    	Sarah Ferguson married Prince Andrew of the British Royal Family in 1986 and on the occasion of the wedding, Andrew and Sarah were made Duke and Duchess of York. Sarah Ferguson was in the news not that long ago when she was the target of a sting operation by a British tabloid newspaper. She was caught asking for 500,000 British pounds in order to help facilitate access to her ex-husband, Prince Andrew, and actually accepted 40,000 pounds in an envelope. After being exposed, Ferguson made the excuse that she had been drinking prior to soliciting the cash."
_ST,OST.    	'Ost' is German for 'east'.
THE_,THEO.    	Theo Fleury is a retured hockey player from Saskatchewan. Fleury spends much of his time now as an advocate for sexual abuse victims. He revealed in a 2009 autobiography that he himself had been sexually abused by his junior hockey coach.
ZI_C,"ZINC.    	Zinc oxide is a widely-used compound that does occur naturally, but is mainly produced synthetically. Most of the zinc oxide produced is used in the rubber industry as it is needed for the vulcanization of rubber. It is also one of the two main ingredients in calamine lotion, which is an anti-itching agent. Tiny particles of zinc oxide are often added to sunscreen lotion as it absorbs UVA ultraviolet radiation."
E_D,END.    	'The End' is a Beatles song composed by Paul McCartney. It is the final song in a medley found on side two of the 1969 album 'Abbey Road'. The song is mainly remembered as the last one recorded collectively by all four Beatles.
T_D,"TOD.    	Thomas Mann was a German novelist, whose most famous work is probably his novella ""Death in Venice"", originally published in German in 1912 as ""Der Tod in Venedig"". The story was famously adapted for the big screen in 1971, starring Dirk Bogarde."
S_EIN,"STEIN.    	Gertrude Stein was a great American writer, who spent most of her life in France. Gertrude Stein met Alice B. Toklas in Paris in 1907, and the two were life partners until Stein died in 1946. Cleverly, Stein published her own memoirs in 1933, but calling the book ""The Autobiography of Alice B. Toklas"". It was to become her best selling title."
IL_,ILA.    	International Longshoremen's Association (ILA)
_EC,"AEC.    	The Atomic Energy Commission (AEC) was set up right after WWII in 1946, with the aim of promoting the peaceful use of atomic energy. Establishing the AEC was a significant move made by President Truman, as it passed control of atomic energy from the military to the civilian sector. The AEC continued to operate until 1974 when its functions were divided up into two new agencies: the Energy Research and Development Administration and the Nuclear Regulatory Commission (NRC)."
AV_O,"AVEO.    	The Chevrolet Aveo is a subcompact automobile that has been around since 2002. The Aveo is manufactured by GM Daewoo, the GM subsidiary in South Korea. Although the Aveo name is still used in some markets, here in North America the Aveo has been sold as the Chevrolet Sonic since 2012. By the way, GM Daewoo is the third largest manufacturer of automobiles in South Korea, after Hyundai and Kia."
_PIC,"EPIC.    	J. R. R. Tolkien's 'The Lord of the Rings' is the second best-selling ever written, with only 'A Tale of Two Cities' by Charles Dickens having sold more copies around the world. Remarkably I think, the third best-selling novel was also written by Tolkien, namely 'The Hobbit'."
DI_O,"DINO.    	The original Rat Pack from the fifties was a group of actors that centered on Humphrey Bogart, and included a young Frank Sinatra. Supposedly, Bogart's wife, Lauren Bacall, christened them the Rat Pack after seeing them all return from one of their nights on the town in Las Vegas. The sixties Rat Pack was a reincarnation of the fifties version, with the core group of actors being Frank Sinatra, Dean Martin (Dino), Sammy Davis Jr., Joey Bishop and Peter Lawford."
S_OE,"SHOE.    	The drum brake was invented in 1902 by Louis Renault (founder of Renault, the automobile company). In a drum brake, there is a set of brake shoes that usually presses on the inner surface of the drum to slow down rotation. Nowadays, the disc brake system is more popular, a design which uses brake pads instead of brake shoes."
MAIN_,"MAINE.    	Bath is a port city in Maine that is located on the Kennebec River estuary. The city is of course named for Bath in Somerset, England."
ACCR_,"ACCRA.    	Accra sits on Ghana's coast and is a major seaport as well as the country's capital city. The name ""Accra"" comes from a local word ""Nkran"" meaning ""ants"", a name chosen because of the large number of anthills found in the area when the city was founded."
_NOOT,"SNOOT.    	""Snoot"" is a variant of ""snout"" that originated in Scotland. The derivative ""snooty"",an adjective to describe a ""high-hat"", someone very haughty, started out as ""snouty"" back in the 1850s. The idea is that someone who is snooty, or snouty, tends to look down his or her nose at the rest of the world."
TEE_,"TEES.    	A 'souvenir' is a memento, a token of remembrance. We imported the word from French, in which language it has the same meaning. The term comes from the Latin 'subvenire' meaning 'to come to mind', or literally 'to come up'."
CH_P,"CHAP.    	The verb ""to chap"" means ""to crack"", and has been used to mean a crack in the skin since way back in the 14th century."
S_OB,"SNOB.    	Back in the 1780s, a 'snob' was a shoemaker or a shoemaker's apprentice. By the end of the 18th century the word was being used by students at Cambridge University in England to refer to all local merchants and people of the town. The term evolved to mean one who copies those who are his or her social superior (and not in a good way). From there it wasn't a big leap for 'snob' to include anyone who emphasized their superior social standing and not just those who aspired to rank. Nowadays a snob is anyone who looks down on those considered to be of inferior standing."
T_D,"TOD.    	In Beatrix Potter's 'The Tale of Mr. Tod', Mr. Tod is a fox."
ROS_I,"ROSSI.    	Luigi Rossi was an Italian composer, from the kingdom of Naples, who was active during the Baroque period. Rossi was hired to compose the second of his two operas by the first minister of France. Rossi travelled to France and wrote 'Orfeo'. 'Orfeo' was one of the first operas to be performed in that country, having its debut in Paris in 1647."
S_MO,"SUMO.    	A mawashi is that belt that sumo wrestlers wear when training and fighting. It's actually strip of silk, about two feet wide and 30 feet long, that is wrapped around the body, and is tied in a knot at the back. It weighs anywhere from 8-11 pounds."
DA_,DAD.    	'Major Dad' is a sitcom that originally aired from 1989 to 1993. The title character in the show is a Marine Corps Major played by Gerald McRaney.
H_S,HRS.    	Home runs (HRs).
EM_EE,"EMCEE.    	The term ""emcee"" comes from ""MC"", an acronym standing for Master or Mistress of Ceremonies."
ALA_ODE,"A LA MODE.    	In French, ""à la mode"" simply means ""fashionable"". In America, the term has also come to describe a way of serving pie, usually with ice cream, or as I recall from when I lived in Upstate New York, with cheese."
M_CA,"MICA.    	Mica is a mineral, a sheet silicate. Thin sheets of mica are transparent and are used in place of glass in certain applications. This form of mica is called isinglass, and as it has a better thermal performance than glass it is a great choice for ""peepholes' in boilers and lanterns. Mica is also used in the electronics industry, making use of its unique electrical and thermal insulating properties."
_OA,"MOA.    	Moas were flightless birds native to New Zealand that are now extinct. The fate of the Moa is a great example of the detrimental effect that humans can have on animal populations. The Maoris arrived in New Zealand about 1300 AD, upsetting the balance of the ecosystem. The Moa were hunted to extinction within 200 years, which had the knock-on effect of killing off the Haast's Eagle, the Moa's only predator prior to the arrival of man. Moas were huge creatures, measuring up to 12 feet tall with their necks stretched upwards."
_CS,"CCS.    	I wonder do the kids of today know that ""cc"" stands for carbon copy, and do they have any idea what a carbon copy was? Do you remember how messy the carbon paper was to handle?"
AE_,"AEC.    	The Atomic Energy Commission (AEC) was set up right after WWII in 1946, with the aim of promoting the peaceful use of atomic energy. Establishing the AEC was a significant move made by President Truman, as it passed control of atomic energy from the military to the civilian sector. The AEC continued to operate until 1974 when its functions were divided up into two new agencies: the Energy Research and Development Administration and the Nuclear Regulatory Commission (NRC)."
A_CAP,"ASCAP.    	ASCAP (the American Society of Composers, Authors and Publishers) collects licence fees for musicians and distributes royalties to composers whose works have been performed. BMI (Broadcast Music Incorporated) provides the same service."
A_NIE,"ARNIE.    	The body-builder, actor and politician Arnold Schwarzenegger was born in Graz in Austria, the son of the local police chief. Schwarzenegger's family name translates into the more prosaic ""black plough man"". In his bodybuilding days, he was often referred to as the Austrian Oak. When he was Governor of California he was called 'the Governator', a play on his role in the 'The Terminator' series of movies."
LEI_A,"LEICA.    	Leica is a German optics company, famous for production of cameras. The 1913 Leica was the first practical camera that could use 35mm film, a size chosen because it was already the standard for film used in motion pictures."
_EL,"BEL.    	In the world of acoustics, one bel is equal to ten decibels. The bel is named in honor of the inventor of the telephone, Alexander Graham Bell."
E_CEE,"EMCEE.    	The term ""emcee"" comes from ""MC"", an initialism standing for Master or Mistress of Ceremonies."
EGRE_,EGRET.    	At one time the egret species was in danger of extinction due to excessive hunting driven by the demand for plumes for women's hats.
RA_S,"RADS.    	A rad is a unit used to measure radiation levels, but is largely obsolete now. It has been superseded by the rem."
_LSEN,"OLSEN.    	In the 'Superman' stories, Jimmy Olsen is a cub photographer who works on the ""Daily Planet"" newspaper with Clark Kent and Lois Lane."
_RNAZ,"ARNAZ.    	Desi Arnaz was of course famous for his turbulent marriage to Lucille Ball. Desi Arnaz was a native of Cuba, and was from a privileged family. His father was Mayor of Santiago and served in the Cuban House of Representatives. However, the family had to flee to Miami after the 1933 revolt led by Batista."
_HIA,"SHIA.    	The largest denomination within the Muslim faith is Sunni Islam, with the second largest being Shia Islam."
EDE_,"EDER.    	Linda Eder is a singer and actress. She came to public attention when she won the television talent show ""Star Search"" for a record 13 weeks in a row. I've never heard of her. I know, I lead a sheltered life ..."
_ASE,"TASE.    	Victor Appleton wrote a novel for young adults called ""Tom Swift and His Electric Rifle"". The company that developed the TASER electroshock weapon named their product as a homage to the novel, as TASER stands for ""Thomas A. Swift's Electric Rifle"". Interesting, eh?"
_HD,"PHD.    	PhD is an abbreviation for ""philosphiae doctor"", Latin for ""teacher of philosophy""."
IMH_,IMHO.    	In my humble opinion (IMHO).
A_NE,ACNE.    	Neutrogena is a brand of skin care products that was founded in 1930 as a cosmetics company called Natone.
_ARE,"RARE.    	There are three naturally occurring isotopes of hydrogen. The most common isotope is what we ordinarily refer to as hydrogen, and it has no neutrons. This particular isotope is sometimes called 'protium'. The isotope with one neutron is called 'deuterium'. When paired with two atoms of oxygen, deuterium forms 'heavy water'. The hydrogen isotope with two neutrons is called 'tritium'. Tritium is radioactive, with a half-life of 12.3 years."
NA_Y,"NARY.    	The adjective ""nary"" means ""not one"", as in 'nary a soul'."
RO_EO,"RODEO.    	""Rodeo' is a Spanish word, which is usually translated as 'round up'."
AP_S,APBS.    	An All Points Bulletin (APB) is a broadcast from one US law enforcement agency to another.
