"""J'accuse!"" reply.   		4 letters",MOI?.    	'J'accuse!' is the French for 'I accuse!'.
Cuban name in 2000 news.   		5 letters,"ELIAN.    	The immigration status of young Cuban boy Elian González was all over the news in 2000. Elian's mother drowned while trying to enter the US illegally, whereas Elian and his mother's boyfriend survived the journey. The INS placed Elian in the care of paternal relatives in the US who then petitioned to have the boy stay with them permanently, against the wishes of Elian's father back in Cuba. After court proceedings, the federal authorities forcibly removed Elian from his relatives in the US, and he was returned to his father who took him back to Cuba. Back in Cuba, Fidel Castro stepped in and befriended Elian, so he has influential sponsorship now in his homeland as a result of his ordeal. Elian is now attending a Cuban military school."
Soul singer Adams.   		5 letters,"OLETA.    	Oleta Adams is an American soul singer from Seattle, Washington. She has had most of her success over in the UK, rather than here in the US."
Mad person?.   		6 letters,"EDITOR.    	""Mad"" magazine has been around since 1952, although back them it was more of a comic book than a magazine. The original founder and editor was Harvey Kurtzman, and in order to convince him to stay, the publisher changed the format to a magazine in 1955, when the publication really took off in terms of popularity."
"""___, Pray, Love"" (2006 Elizabeth Gilbert best seller).   		3 letters","EAT.    	Elizabeth Gilbert is a novelist best known for her 2006 memoir ""Eat, Pray, Love"", a huge best seller that has gotten a boost with the release of a screen adaptation in August, 2010. Julia Roberts stars, and I haven't seen it yet, but no doubt will do so."
"Elvira's love, in opera.   		6 letters","ERNANI.    	Ernani' is an 1844 opera by Giuseppe Verdi that is based on a play called 'Hernani' by Victor Hugo. For over a decade, 'Ernani' was Verdi's most popular opera, and then along came 'Il trovatore' in 1853."
"Petty officers, informally.   		6 letters","BOS'NS.    	A boatswain works on the deck of a boat, and is unlicensed, so is not involved in the navigation or handling of the vessel. The boatswain has charge of the other unlicensed workers on the deck. Boatswain is pronounced ""bosun"" and this phonetic spelling is often used interchangeably with ""boatswain"". The contraction ""bos'n"" is also very popular."
Lech of Poland's Solidarity.   		6 letters,"WALESA.    	Lech Walesa used to be an electrician in the Gdansk Shipyards in Poland. He was active in the trade union movement in the days when unions were not welcome behind the Iron Curtain. His efforts resulted in the founding of Solidarity, the first independent trade union in Soviet controlled territory. For his work, Walesa was awarded the Nobel Peace Prize in 1983, and in 1990 he became the first democratically elected President of Poland. He has lost popularity in Poland in recent years, but is a very popular booking on the international speaking circuit."
Reddish-brown gem.   		4 letters,"SARD.    	Sard is often referred to as Carnelian, although generally sard is harder and darker. Sard probably takes its name from the Persian word ""sered"" meaning yellowish-red."
Chief.   		6 letters,"HONCHO.    	'Honcho' is a slang term for a leader or manager. The term comes to us from Japanese, in which language a 'hancho' is a squad (han) leader (cho)."
Storied gift givers.   		8 letters,"THE MAGI.    	Magi is the plural of the Latin word ""magus"", a term applied to someone who was able to read the stars. Hence, magi is commonly used with reference to the ""wise men from the East"" who followed the star and visited Jesus just after he was born."
Solid geometry abbr..   		3 letters,VOL.    	Volume.
Altima or Accord alternative.   		5 letters,"CAMRY.    	The Toyota Camry takes its name from the Japanese word for 'crown'. Toyota management likes the idea of naming their cars after the word 'crown', as they did with the Toyota Crown, followed by the Toyota Corona (Latin for crown) and the Toyota Corolla (Latin for small crown)."
Some fitness centers.   		5 letters,"YMCAS.    	The YMCA is a worldwide movement that has its roots in London, England. There, in 1844, the Young Men's Christian Association (YMCA) was founded with the intent of promoting Christian principles through the development of ""a healthy spirit, mind and body"". The founder, George Williams, saw the need to create YMCA facilities for young men who were flocking to the cities as the Industrial Revolution flourished. He saw that these men were frequenting taverns and brothels, and wanted to offer a more wholesome alternative."
What may help you make your move?.   		3 letters,"VAN.    	The vehicle we call a 'van' takes its name from 'caravan', a shortening of the older term. Back in the 1600s, a caravan was a covered cart. We still used the term 'caravan' in Ireland to mean what we call a mobile home or recreational vehicle here in the US."
"""Junk"".   		6 letters","HEROIN.    	The commercialization of the drug heroin was led by the Bayer pharmaceutical company in Germany. The drug had been re-discovered in Bayer's labs, and was named by the company's head of research 'heroin' from the German 'heroisch' meaning 'heroic, strong'. This was a reference to the perceived 'heroic' effects on the user. Bayer lost the trademark rights to heroin (along with their 'aspirin') as part of WWI reparations."
Idiot ___.   		6 letters,"SAVANT.    	The term ""idiot savant"" is French, and literally means ""learned idiot"" ... not very nice, huh? Nowadays we use the term savant syndrome to describe a very specific condition in which an individual displays extensive expertise on one area in contrast with overall behavioral limitations. I suppose the archetypal savant was played by Dustin Hoffman in the fictional movie, 1988's ""Rain Man"". It was a work of fiction, but the lead character was based on real-life savant Kin Peek."
It may contain bugs.   		5 letters,"AMBER.    	Amber's technical name is ""resinite"", reflecting its composition and formation. Amber starts out life as soft sticky tree resin but then under high temperature and pressure from overlying layers of soil, it fossilizes. The sticky resin can trap organisms or other plant matter, and this material can sometimes remain virtually intact inside the amber fossil giving us a unique gift from the past."
Admiral who explored the Antarctic.   		4 letters,"BYRD.    	Rear Admiral Richard Byrd was an officer in the US Navy, famous as an aviator and explorer of the polar regions. Byrd was the first person to cross the South Pole by air, in 1929. Three years earlier, Byrd claimed he had flown over the North Pole, and would have been the first person to have done so if this was true. But whether or not Byrd actually made it over the North Pole continues to be the subject of much debate."
"Holy Roman emperor, 973-83.   		7 letters","OTTO II.    	Otto II was also called Otto the Red, and was son of the Otto the Great. His son became the Holy Roman Emperor, Otto III."
"""___ sow ..."".   		5 letters","AS YE.    	The phrase ""As ye sow, so shall ye reap"" is not actually a quotation from the Bible, although the sentiment is expressed there in more than one place."
Rimes with rhymes.   		5 letters,"LEANN.    	LeAnn Rimes has been a country music star since she was 13 years old. In 2008 she disclosed publicly that she suffered from the autoimmune disease psoriasis. She has been active since then in raising money to fight the disease and helping fund cancer research as well. So, not only did Rimes win three Grammy Awards in 1997, she also won a 2009 Humanitarian Award from the Academy of Country Music."
Bengay targets.   		5 letters,"ACHES.    	Bengay is sold as a painkilling heat rub, to relieve aching muscles. It was developed in France by a Dr. Jules Bengue (hence the name) and was first sold in America way back in 1898."
W.W.   		5 letters,"ANZIO.    	The WWII Battle of Anzio is famous for being one of the most terrible blunders in military history. Operation Shingle was a surprise amphibious landing at Anzio, 35 miles south of Rome, designed to outflank the Germans and press home an attack on the Italian capital. The element of surprise allowed a safe landing at Anzio, and the allies were able to drive jeeps right into the outskirts of Rome unchallenged. But that element of surprise was lost when Allied commander General John Lucas decided to delay the march on Rome until he had consolidated his position on the beaches, a position that was surrounded by high ground. The Germans used the delay to throw everything they had into the high ground and the allies were pinned down in a bloody battle. As a result, it took four months for the allies to fight their way inland."
Artist Lichtenstein and others.   		4 letters,"ROYS.    	Roy Lichtenstein was a pop artist from New York City, a contemporary of Andy Warhol. Lichtenstein was famous for his 'cartoon-strip' paintings, especially works called 'Whaam!' and 'Drowning Girl'. If you saw the Ben Stiller film 'Night at the Museum: Battle of the Smithsonian', you might remember Lichtenstein's painting 'Crying Girl' coming to life as part of the plot."
"Sellers had three in ""Dr.   		5 letters","ROLES.    	'Dr. Strangelove' is a black comedy directed and produced by Stanley Kubrick, released in 1964. The big star in the film is the great Peter Sellers, who plays three key roles. The full name of the movie is 'Dr. Strangelove or: How I learned to Stop Worrying and Love the Bomb'."
Enzyme suffix.   		3 letters,"ASE.    	Enzymes are basically catalysts, chemicals that act to increase the rate of a particular chemical reaction. So, for example, starches will break down into sugars over time, especially under the right conditions. However, in the presence of the enzyme amylase (found in saliva, say) this production of sugar happens very, very quickly."
"Larsson who wrote ""The Girl With the Dragon Tattoo"".   		5 letters","STIEG.    	Stieg Larsson was a Swedish journalist and writer, and indeed one of his main characters in his Millennium series of novels is a journalist as well. The first two titles in the series are 'The Girl with the Dragon Tattoo' and 'The Girl Who Played with Fire'. The last of the three titles in the Millennium series is 'The Girl Who Kicked the Hornet's Nest', which was the most-sold book in the US in 2010. All of the books in the series were published after Larsson's death. He passed away from a heart attack while climbing several flights of stairs, when he was just 50 years old."
"Slow, in music.   		5 letters",LARGO.    	Largo is a instruction to play a piece of music with a very slow tempo. 'Largo' is the Italian word for 'broadly'.
Section of a poem.   		6 letters,"STANZA.    	""Stanza"" is an Italian word meaning ""verse of a poem""."
Arizona tribe.   		6 letters,"NAVAHO.    	The Navajo (also Navaho) Nation mainly live on a reservation in the Four Corners area of the US. It is the largest land area in the US assigned to a Native American jurisdiction, and occupies most of northeastern Arizona."
Kind of cell in biology.   		5 letters,"BASAL.    	The basal layer of the outer skin of mammals is 1-3 cells thick. The cells in the basal layer are undifferentiated and when they divide, the daughter cells turn into the specialized cells of the other four layers of the skin."
It's a natural.   		6 letters,"ELEVEN.    	In the gambling game of craps, a throw of seven or eleven on the first cast of the dice is called a 'natural'."
Use a joystick.   		5 letters,"STEER.    	The name ""joystick"" is aviator slang, a descriptive name for the main control lever of plane."
Per ___.   		4 letters,DIEM.    	'Per diem' is the Latin for 'by the day'. We tend to use the term for a daily allowance for expenses when traveling for work.
U.P.S. delivery: Abbr..   		3 letters,CTN.    	Carton (ctn.)
Reinforced ring support?.   		7 letters,OLE OLE.    	Another cleverly worded clue ...
Hauteur.   		4 letters,"AIRS.    	'Hauteur' is a French word meaning 'haughtiness' that we have imported into English. 'Haut' is French for 'high, lofty'."
Color.   		5 letters,"TINCT.    	To tinct is to do just that, add a little color to something."
Slothful.   		4 letters,"LAZY.    	""Sloth"", meaning ""indolence, sluggishness"", came from the Middle English word ""slowe"", the same root for our contemporary word ""slow"". The animal, the sloth, is named for its slow-moving behavior."
Czech martyr Jan.   		3 letters,"HUS.    	Jan Hus was Czech priest, famous today for having been burnt at the stake in 1415 as he was deemed guilty of heresy against the Catholic Church. Hus was an important contributor to Protestantism, over 100 years before Martin Luther made his famous proclamations."
Former Israeli P.M.   		4 letters,"EHUD.    	Ehud Barak served as Prime Minister of Israel from 1999 to 2001. Barak left office after he called a special election for Prime Minister and lost the vote to Ariel Sharon. Barak resigned from the Knesset and took an advisory job with the US company Electronic Data Systems (EDS), and did some security-related work with a private equity company. In 2007, Barak took over leadership of Israel's Labor Party."
Tough.   		4 letters,"HOOD.    	'Hood' is a slang term for 'gangster', a shortening of 'hoodlum'."
Somewhat.   		6 letters,"A MITE.    	A mite: a small amount, as in ""the widow's mite""."
Utah State athlete.   		5 letters,"AGGIE.    	Utah State University in Logan, Utah is one of the many schools that calls its sports teams the 'Aggies'."
Runway user.   		5 letters,MODEL.    	A cleverly disguised meaning! Fashions models show off their clothes on a runway or catwalk.
Romanian composer Georges.   		6 letters,ENESCO.    	George Enescu (aka Georges Enesco) was a Romanian composer and performer on the violin and piano. Enescu's most popular works are two 'Romanian Rhapsodies' (1901-2) and the opera 'Oedipe' (1936).
Buzz in a rocket.   		6 letters,"ALDRIN.    	Buzz Aldrin is a true American hero, I'd say. He flew 66 combat missions in Korea, shot down two MiGs, earned his Sc. D. degree from MIT, and was one of the two men who landed on the moon for the first time. Now, that man has a lived a life worth living."
"Court player, in old lingo.   		5 letters","CAGER.    	In the early days of basketball, when a ball went out of bounds possession was awarded to the player who first retrieved the ball. This led to mad scuffles off the court, often involving spectators. As the game became more organized courts were routinely ""caged"", largely because of this out of bounds rule, to limit interaction with the crowd. It's because of these cages that basketball players are sometimes referred to today as ""cagers""."
"507s of the '50s, e.g.   		4 letters","BMWS.    	The BMW 507 was a lovely-looking roadster produced in Germany in the late fifties and intended for the US market. It was rejected by the American consumer though as it was so expensive, and only 252 of the model 507 were ever made."
Children's author Asquith.   		3 letters,"ROS.    	Ros Asquith writes the 'Teenage Worrier' books aimed at teens, as well as cartoons for 'The Guardian' newspaper in the UK."
Dummkopfs.   		5 letters,"DODOS.    	""Dummkopf"" is a German word that translates literally as ""dumb head""."
Composer Jule.   		5 letters,"STYNE.    	Jule Styne was an English songwriter who made a name for himself in America with a series of popular musicals. Styne wrote a number of famous songs including 'Don't Rain on My Parade' from 'Funny Girl', 'Diamonds Are a Girl's Best Friend' from 'Gentlemen Prefer Blondes', and 'Everything's Coming Up Roses' from 'Gypsy'."
They often hang around delis.   		7 letters,"SALAMIS.    	Salame (note the ""e"" at the end) is an Italian sausage that is traditionally associated with Italian peasants. The meat in the sausage is preserved with salt, and it can be hung and stored for maybe as long as ten years. The name ""salame"" comes from ""sale"", the Italian word for salt, and ""-ame"", a suffix indicating a collective noun. Our English word ""salami"" is actually the Italian plural for ""salame""."
Winter Olympics event.   		6 letters,"SLALOM.    	Slalom is an anglicized version of the Norwegian word ""slalam"" that translates as ""skiing race"". There is a longer version of the traditional slalom that is called giant slalom."
Projects for beavers.   		4 letters,DAMS.    	Beavers build dams so that they can live in and around the slower and deeper water that builds up above the dam. This deeper water provides more protection for the beavers from predators such as bears. Beavers are nocturnal animals and do all their construction work at night.
Nicene ___.   		5 letters,"CREED.    	What is known today in the Christian tradition as the Nicene Creed, was originally adopted by the first ecumenical council when it met in 325 AD. The meeting took place in the city of Nicaea, which gave its name to this particular profession of faith. Nicaea is the Greek name of the city that is now called Iznik, and it lies in the northwest of Turkey."
Nicks on a record?.   		6 letters,"STEVIE.    	Cleverly worded clue ... Singer Stevie Nicks came to fame as the lead singer of Fleetwood Mac. She has a very distinctive voice, heard at its best in the famous 1977 album ""Rumours""."
It has color-coded sections.   		9 letters,"USA TODAY.    	The title of widest circulation of any American newspaper is an honor competed for by ""The Wall Street Journal"" and ""USA Today"", with each paper selling about 2 million copies daily (including online subscribers). ""USA Today"" was launched in 1982."
"Rosemary, for one.   		4 letters","HERB.    	The herb rosemary is reputed to improve the memory. As such, rosemary has been used as a symbol of remembrance, especially in Europe and Australia. For example, mourners might throw sprigs of rosemary into graves, symbolically remembering the dead. The character Ophelia in William Shakespeare's 'Hamlet' utters the line 'There's rosemary, that's for remembrance'. The name of the herb comes from the Latin 'ros marinus' which means 'dew of the sea'. The idea is that rosemary can in fact grow in some arid locations with only the moisture that is carried by a sea breeze."
Milton of comedy.   		5 letters,"BERLE.    	Comedian Milton Berle was known as ""Uncle Miltie"" and ""Mr. Television"", and was arguably the first real star of American television as he was hosting ""Texaco Star Theater"" starting in 1948."
Academy newbie.   		5 letters,"PLEBE.    	Plebe is a slang term for a freshman in the US military and naval academies. Plebe is probably short for ""plebeian"", the name given to someone of the common class in Ancient Rome (as opposed to a Patrician). ""Pleb"" is a shortened version of plebeian, and is a term used outside of the military schools."
Many a Monopoly property.   		6 letters,"AVENUE.    	The commercial game of Monopoly is supposedly a remake of ""The Landlord's Game"" created in 1903 by a Quaker woman called Lizzie Phillips who used it as a tool to explain the single tax theory of American economist Henry George. The Landlord's Game was first produced commercially in 1924. The incredibly successful derivative game called Monopoly was introduced in 1933 by Charles Darrow, making him a very rich man when Parker Brothers bought the rights to the game just two years later in 1935."
Last car.   		7 letters,"CABOOSE.    	The word 'caboose' originally came from Middle Dutch and was the word for a ship's galley. When the last car in a train in North America was given a stove for the comfort of the crew, it took on the name 'caboose'. The term has also become slang for a person's backside."
Taboo.   		5 letters,"NO-NO.    	The word ""taboo"" was introduced into English by Captain Cook in his book ""A Voyage to the Pacific Ocean"". Cook described ""tabu"" (likely imitative of a Tongan word that he had heard) as something that was both consecrated and forbidden."
"""Death be not proud"" poet.   		5 letters","DONNE.    	I don't know about here in America, but at school in Ireland we all had to learn John Donne's 'Holy Sonnet X', also known as 'Death Be Not Proud'."
___ Hari.   		4 letters,"MATA.    	Mata Hari was the stage name used by Margaretha Geertruida Zella, born in the Netherlands in 1876. After an unsuccessful and somewhat tragic marriage, Zella moved to Paris in 1903 where she struggled to make a living. By 1905 she was working as an exotic dancer and using the name Mata Hari. She was a successful courtesan, notably moving in various circles of high-ranking military officers. She apparently worked as a double agent, both for the French and the Germans. When Mata Hari was accused by the French of passing information to the enemy, she was tried, found guilty and executed by firing squad at the height of WW1, in 1917."
"Wally's bro, on '50s-'60s TV.   		4 letters","BEAV.    	Wally Cleaver and his younger brother 'the Beaver' were the children of Ward and June Cleaver on the fifties sitcom ""Leave It to Beaver""."
"Hula hoops in the 1950s, e.g.   		5 letters","CRAZE.    	Hula hoops were a big craze in the 1950s, but they have been around in various forms at least since the year 500 BCE!"
"Some ""American Greed"" subjects, for short.   		4 letters",CEOS.    	Chief executive officer (CEO)
First name in infamy.   		5 letters,"ADOLF.    	The names Adolf (in Germany) and Adolphe (in France) are dying out, with very few babies being given the name since the days of Nazi Germany."
Proverbial certainty.   		5 letters,"TAXES.    	In a letter to Jean-Baptiste Leroy dated 13 Nov 1789, Benjamin Franklin wrote ""Our new Constitution is now established, and has an appearance that promises permanency; but in this world nothing can be said to be certain, except death and taxes."""
"End of ""Macbeth"" or ""Othello"".   		5 letters","ACT V.    	Shakespeare adopted the five-act structure for all of his plays, using the same format that was used by Seneca for his Roman tragedies. Given five acts, the plays tend to unfold as follows:"
Attorney general under Reagan.   		8 letters,"ED MEESE.    	Ed Meese was born in Oakland, California, just down the road here, and spent 24 years in the office of the Treasurer of Alameda County, where I am sitting right now. After military service, he earned himself a law degree at UC Berkeley. Later as Chief of Staff for President Reagan, he was instrumental in the decision of the crack down in student protesters at Berkeley, which resulted in one protester dying, and a two-week occupation of the city by the California National Guard."
More work.   		6 letters,"UTOPIA.    	'Utopia' is a work by Sir Thomas More, i.e. a 'More work'."
Middle name of Sen.   		7 letters,"ISADORE.    	I tried to find out why Joe Lieberman has the name Isadore, but couldn't come up with anything. If anyone knows, I'd apprecite hearing about it. Unusual name for a guy!"
Compound used in wartime.   		6 letters,"STALAG.    	Stalag was the term used for a prisoner-of-war camp in Germany. Stalag is an abbreviation for Stammlager, which in turn is the short form of Mannschartsstamm und Straflager, literally meaning ""crew master and prison camp""."
One of the Allman Brothers.   		5 letters,"DUANE.    	The Allman Brothers Band has to be one of the most unlucky bands in the business. Soon after the group had its big break with the 1971 album ""At Fillmore East"", one of the two Allman brothers, Duane, was killed in a motorcycle accident. One year later, bassist Berry Oakley was killed, also in a motorcycle accident."
"View espoused in Thomas Paine's ""The Age of Reason"".   		5 letters","DEISM.    	Thomas Paine's pamphlet known as 'The Age of Reason' (published in three parts, in 1794, 1795 and 1807) is critical of mainstream religion and also challenges the legitimacy of the Bible."
Some wrap holders.   		5 letters,"PITAS.    	Pita is a lovely bread in Middle-Eastern and Mediterranean cuisines. Pita is usually round, and has a ""pocket"" in the center. The pocket is created by steam that puffs up the dough during cooking leaving a void when the bread cools."
Wise old Athenian.   		5 letters,"SOLON.    	Solon was an Athenian Statesman and lawmaker in Ancient Greece. He gave his name to our contemporary word ""solon"" meaning ""a wise lawmaker""."
Novelist Carr.   		5 letters,"CALEB.    	One of Caleb Carr's novels is a latter day Sherlock Holmes mystery, called ""The Italian Secretary"". It was written as a homage to Sir Arthur Conan Doyle, and with the permission of the Doyle estate. I am a big fan of Sherlock Holmes, and must put this one on my reading list."
___ plane.   		5 letters,"AWACS.    	When the British developed radar in WWII, they also came up with an airborne system that they actually deployed during the war. In 1944 the US Navy commissioned a similar system, and so launched the first American Airborne Early Warning (AEW) system, also before the war was over. The more modern term for the technology is Airborne Warning and Control System, or AWACS for short."
"""What's the ___?"".   		3 letters",DIF.    	What's the difference?
"""No problemo"".   		7 letters","DE NADA.    	""Nada"" is the Spanish word for ""nothing"". ""De nada"" translates literally from the Spanish as ""of nothing"", and is used to mean ""you're welcome"" or ""don't mention it"". The French have the same expression ""de rien"", also translating to ""of nothing"" and used the same way."
"""A rabbi, a priest and a duck walk into ___ ..."".   		5 letters","A BAR.    	A rabbi, a priest and a duck walk into a bar, and the bartender says, 'What is this? A joke?'"
Writer/philosopher Hannah.   		6 letters,"ARENDT.    	Hannah Arendt was studying and working the field of philosophy, when she had to flee her native Germany in the run up to WWII because of her Jewish heritage. She ended up in the US in 1941, and took posts in various schools here. In 1969 she was appointed full professor at Princeton, the first woman to win such a position, and a decade before women students were admitted to the college."
Word on an old gas pump.   		5 letters,"ETHYL.    	The Ethyl Corporation produced the controversial anti-knock fuel additive known as Ethyl, actually tetra-ethyl lead (and we are still living with the consequences)."
Tour de France stage.   		5 letters,"ETAPE.    	'Étape' is the French word for stage, as in a 'stage' in the Tour de France. It is used in English military circles to describe where troops halt overnight, but can also describe the section of the march itself. So, a march can be divided into stages, into étapes."
Georgia's bulldog or Princeton's tiger.   		6 letters,"MASCOT.    	Edmond Audran wrote an operetta called ""La Mascotte"" which was first performed in Paris in 1880. The storyline was about a farm girl who brought good luck to people. She was called ""la mascotte"", a provincial French word for a good luck charm. It was because of the success of this operetta that we started using ""mascot"" in English to mean something that brought luck."
Triangular chip.   		6 letters,"DORITO.    	Doritos are a brand of flavored tortilla chips launched in 1964. The name ""Doritos"" means ""little bits of gold"" in Spanish."
Solid geometry abbr.   		3 letters,VOL.    	Volume.
Bowler alternative.   		7 letters,"TOP HAT.    	I think a bowler hat is called a derby here in the US. It was first produced in 1849 in London by hatmakers Thomas and William Bowler, hence the name. The alternative name of ""derby"" comes from the tradition of wearing bowler hats at the Derby horse race every year (and major race in England every year)."
2000 Hugh Jackman movie.   		5 letters,"X-MEN.    	X-Men are a team of superheroes created by Stan Lee and published in Marvel Comics. Nowadays they are perhaps best known as the subject of a series of movies, with Hugh Jackman playing Wolverine, and Patrick Stewart playing Professor Xavier."
Plant life.   		5 letters,"FLORA.    	The fauna is the animal life of a particular region, and the flora is that region's plant life. The term 'fauna' comes from the Roman goddess of earth and fertility who was called Fauna. Flora was the Roman goddess of plants, flowers and fertility."
Country with which the U.S.   		7 letters,"ALBANIA.    	The 1997 movie ""Wag the Dog"" is a black comedy starring Dustin Hoffman and Robert De Niro. It tells the story of a fake war that is manufactured by a Washington spin doctor in order to distract the American electorate. It is based on the novel ""American Hero"" by Larry Beinhart. In the movie the war is fictitious and the president goes unnamed. In the novel, Beinhart uses Desert Storm as the war in his storyline, and George H. W. Bush as the President."
Amsterdam in New York.   		6 letters,"AVENUE.    	Amsterdam avenue in New York City is also known as Tenth Avenue. Tenth Avenue has existed from 1816, and in 1890 the name was changed by the landowners nearby in order to help give the Upper West Side an old-world feeling, and help boost property prices."
What suspenders suspend.   		5 letters,"PANTS.    	Suspenders is another one of those words that has morphed in crossing the Atlantic. Back in Ireland we hold up our pants (trousers) with ""braces"". Suspenders hold up ladies stockings (i.e. our word for a garter belt). It can be confusing ..."
Everest guide.   		6 letters,"SHERPA.    	In the Tibetan language, Sherpa means ""eastern people"" (sher = east, pa = people). Sherpas are an ethnic group from Nepal, but the name is also used for the local guides who assist mountaineers in the Himalayas, and particularly on Mount Everest."
Toboggans.   		5 letters,"SLEDS.    	Toboggan came into English from the French Canadian ""tabagane"", the name for a long sled with a flat bottom. The French Canadian word is probably from the Algonquian word for a sled, ""tobakun"","
Krypton and others.   		5 letters,"GASES.    	Krypton is one of the noble gases, those elements over on the extreme right of the Periodic Table. Because of their ""full"" complement of electrons, noble gases are very nonreactive. The noble gases are Helium, Neon, Argon, Krypton and Xenon. Kryptonite, of Superman fame, is a fictitious element, created from the remains of Superman's native planet, Krypton."
"Primary funding sources, briefly.   		4 letters","PACS.    	A Political Action Committee (PAC) is a private group that works to influence the outcome of a particular election or group of elections. Any group becomes a PAC by law when it receives or spends more than $1,000 for the purpose of influencing the outcome of an election. In 2010 the Supreme Court ruled that PACS that did not make direct contributions to candidates or parties could accept unlimited contributions. These 'independent-expenditure only committees' are commonly referred to as 'super PACs'."
Yuletide quaffs.   		4 letters,"NOGS.    	It's not really clear where the term 'nog' (as in 'eggnog') comes from although it might derive from the word 'noggin', which was originally a small wooden cup that was long associated with alcoholic drinks."
Enzyme suffix.   		3 letters,"ASE.    	For example, amyl-ase, the enzyme in saliva (that breaks down starches in food)."
Military plane acronym.   		5 letters,"AWACS.    	When the British developed radar in WWII, they also came up with an airborne system which they actually deployed during the war. In 1944 the US Navy commissioned a similar system, and so launched the first American Airborne Early Warning (AEW) system, also before the war was over. The more modern term for the technology is Airborne Warning and Control System, AWACS for short."
___ Highway (route from Dawson Creek).   		5 letters,"ALCAN.    	Dawson Creek is a city in the northeast of British Columbia, Canada."
Fresh lines?.   		4 letters,SASS.    	Nicely worded clue.
"Chicken George player in ""Roots"".   		6 letters","VEREEN.    	Ben Vereen is an American actor and dancer, probably best known for playing Chicken George in the magnificent television miniseries ""Roots"". When Vereen was applying for a passport in the sixties, he discovered that he was adopted. When he went looking for his birth parents he learned that his mother (who had passed away by this time) had gone away on a trip when he was very young. When she returned, the child and the person minding him had disappeared. She never saw her son again."
Online money.   		5 letters,"ECASH.    	There was a lot of talk about ecash back in the nineties, cash that could be used onlone, but the idea really fizzled out. Nowadays the term ecash really applies to money available in an account that can be accessed online. It's not really cash per se."
She loved Endymion.   		6 letters,"SELENE.    	Selene was the Greek goddess of the moon, the equivalent of the Roman deity, Luna. Selene gave her name to the word ""selenology"", the study of the geology of the moon, and also gave her name to the chemical element ""selenium"". According to mythology, Selene fell in love with the handsome hunter/shepherd Endymion, a mere mortal."
Wispy clouds.   		5 letters,"CIRRI.    	Cirrus (plural 'cirri') clouds are those lovely wispy, white strands that are often called ""mare's tails""."
*Crow.   		6 letters,EAT IT.    	
Dealers' dreads.   		5 letters,NARCS.    	Drug dealers dread the sight of narcotics agents.
Brand advertised with a cow.   		6 letters,"BORDEN.    	Elsie the Cow is the mascot of the Borden Company. Elsie first appeared at the New York World's Fair in 1939, introduced to symbolize the perfect dairy product. Elsie was also given a husband, Elmer the Bull, who eventually moved over to the chemical division of Borden where he gave his name to Elmer's Glue."
Prefix with skeleton.   		4 letters,"ENDO.    	An animal with an endoskeleton has a supporting skeleton inside its body. So, we humans have an endoskeleton. A turtle, on the other hand, has both an endoskeleton, and an exoskeleton, its outer shell."
Attempt at a dunk tank.   		5 letters,"THROW.    	A 'dunk tank' is a funfair attraction consisting of a large tank filled with water, over which a volunteer sits on a collapsing seat. Balls that are successfully thrown at a target cause the seat to collapse, and the poor volunteer gets dunked."
Home for American alligators.   		5 letters,"BAYOU.    	A bayou is a marshy inlet or outlet of a lake or river, usually with stagnant or slow-moving water. The exact origins of the term ""bayou"" is uncertain, but it is thought perhaps to come from the Choctaw (a Native American people from the southeast) word ""bayuk"", meaning ""small stream""."
"Subject of the 2008 biography ""Somebody"".   		6 letters","BRANDO.    	""Somebody: The Reckless Life and Remarkable Career of Marlon Brando"" is a biography of the actor written by Stefan Kanfer, published in 2008."
Strikebreaker.   		4 letters,"SCAB.    	We first started calling strikebreakers ""scabs"" in the early 1800s, and before that a scab was a person who refused to join a trade union (back as early 1777). The word probably comes from the use of ""scab"" as a skin disease, and perhaps in an insulting sense as a ""despicable person""."
