Standoff.   		7 letters,IMPASSE.    	Impasse is a French word for a blind alley or an impassable road.
W.W.   		6 letters,"E-BOAT.    	In WWII, the German Navy's Motor Torpedo Boats (a version of the American PT boat) were called S-boots, short for Schnellboot (""fast craft""). The Allied forces referred to them as E-boats, with the ""E"" possibly standing for ""enemy"" or ""Eilboot"" (""hurry boat"")."
Lively dances.   		5 letters,"HORAS.    	The hora is a circle dance that originated in the Balkans. It was brought to Israel by Romanian settlers, and is often performed to traditional, Israeli folk songs. The hora (also horah) is a regular sight at Jewish weddings."
Mercedes competitor.   		5 letters,"LEXUS.    	Lexus is a division of the Toyota Motor Company, ans is Toyota's luxury brand. As an aside, Infiniti is the equivalent luxury brand for the Nissan Motor Company, and Acura is the more luxurious version of Honda's models."
Ethan Frome's sickly wife.   		5 letters,"ZEENA.    	""Ethan Frome"" is a novel by Edith Wharton, first published in 1911."
Pro Football Hall of Fame coach Joe.   		5 letters,"GIBBS.    	Joe Gibbs is a former football coach, most famously for the Washington Redskins. After Gibbs retired, he turned his attention to his second sport, NASCAR. He runs his own teams, Joe Gibbs Racing."
"""Desperate Housewives"" role.   		4 letters","BREE.    	The character Bree is played by Marcia Cross on ""Desperate Housewives"" (I haven't seen one episode!). During pre-production, the show was called ""Wisteria Lane"" and then ""The Secret Lives of Housewives""."
"I-90 in Mass., e.g.   		4 letters","TPKE.    	The Massachusetts Turnpike is the name given to the most easterly portion (138 miles) of Interstate 90. I-90 is the longest Interstate in the whole country (and one that I used to live right beside, in Liverpool, NY), and runs from Seattle to Boston."
Strange beginning?.   		5 letters,"XENO-.    	Xenophobia is the uncontrollable fear of foreigners. The word comes from Greek, with 'xeno' meaning guest, stranger or foreigner, and 'phobia' meaning fear, horror or aversion."
Poetic pause.   		7 letters,"CAESURA.    	In poetry, a caesura is an audible pause that breaks up a line of verse. An example would be (from Alexander Pope): ""To err is human; to forgive, divine."""
Spanish spread.   		6 letters,"RANCHO.    	'Rancho' is Spanish for 'ranch, farm'."
Irish county.   		4 letters,"CORK.    	County Cork in is in the southwest of Ireland, and takes its name from Cork, the country's 'second city'. County Cork has many claims to fame. For example, it is home to Cobh, the port where many emigrants set off to the US, Canada and Australia. Nearby is the Royal Cork Yacht Club in Crosshaven, the oldest yacht club in the world (founded in 1720). And Cobh was the last port of call for the Titanic on its fateful crossing of the Atlantic."
Fearsome snakes.   		6 letters,"MAMBAS.    	The mamba, and most famously the black mamba, is a highly venomous snake that used to be responsible for a great number of fatalities before anti-venoms became available. Mamba venom is a deadly mix of neurotoxins that attack the nervous system, and cardiotoxins that attack the heart so a bite, if left untreated, causes the lungs and the heart to shut down."
Ray who built McDonald's into a giant.   		4 letters,"KROC.    	Ray Kroc didn't found the McDonald's restaurants, as he joined the corporation in 1954 and the chain had been around since 1940. What Kroc did was introduce the idea of assembly-line preparation of the meals, and standardization of ingredients so that a Big Mac tasted the same no matter where in the world it was ordered. His ""recipe"" for the restaurant turned it into the (sad) success it is today."
"The Cowboys, on scoreboards.   		3 letters","DAL.    	The Dallas Cowboys play in the National Football Conference of the NFL. The Cowboys are famous for a lengthy streak of 20 consecutive winning seasons, from 1966 to 1985. They are the highest valued sports franchise in the country. The only team in the world that's worth more money is the UK's Manchester United soccer team."
Popular hangouts in the late '70s.   		6 letters,"DISCOS.    	Discotheques started up during WWII in Occupied France. American-style music (like jazz and jitterbug dances) were banned by the Nazis, so French natives met in underground clubs that they called discotheques, where records were often played on just a single turntable. After the war, these clubs came out into the open. One famous Paris discotheque was called ""Whiskey a Gogo"", and its method of operation, with non-stop music from two turntables next to a dance-floor, this spread around the world."
Long-running PBS film showcase.   		3 letters,POV.    	'POV' is a PBS television series that showcases independent documentary films. 'POV' has been on the air since 1988.
Persuasive Dr.   		8 letters,"SAM I AM.    	You know, I probably should read a Dr. Seuss book some day. They weren't big where I grew up. I understand that the character called Sam in the book 'Green Eggs and Ham' is also known as ""Sam-I-Am""."
Edam or Brie.   		6 letters,"CHEESE.    	Edam cheese takes its name from the Dutch town of Edam in North Holland. The cheese is famous for its coating of red paraffin wax, a layer of protection that helps Edam travel well and prevents spoiling. You might occasionally come across an Edam cheese that is coated in black wax. The black color indicates that the underlying cheese has been aged for a minimum of 17 weeks."
Specks of dust.   		5 letters,MOTES.    	Mote is just another word for a speck of dust.
Sunshine State athletes.   		6 letters,"GATORS.    	The Florida Gators are the sports teams of the University of Florida, located in Gainesville. Sometimes the female teams are called the ""Lady Gators"", and all of the fans make up the ""Gator Nation""."
"One's pawns on a chessboard, e.g.   		5 letters","OCTAD.    	It is believed that the game of chess originated in northwest India, evolving from a 6th-century game called ""caturanga"", a Sanskrit word meaning ""four divisions"". These four (military) divisions were represented in the game:"
The scarlet letter.   		5 letters,"RED A.    	Hester Prynne is the main character in Nathaniel Hawthorne's novel ""The Scarlet Letter"". When Hester is convicted by her puritanical neighbors of the crime of adultery, she is forced to wear a scarlet ""A"" on her clothing for the rest of her life, hence the novel's title, ""The Scarlet Letter""."
Cybercriminal's creation.   		7 letters,SPYWARE.    	Spyware is software that is installed on a computer to gather information without the owner's knowledge. Nasty stuff ...
"Part of Tennyson's ""crooked hands"".   		5 letters",TALON.    	Alfred Lord Tennyson wrote a poem called 'The Eagle':
Citizen rival.   		5 letters,"TIMEX.    	The Times Group, the manufacturer of watches, evolved from the Waterbury Clock Company that was founded in 1854 in Waterbury, Connecticut. The company achieved tremendous success in the early sixties largely due to an innovative marketing campaign. Advertisements featured the memorable tagline 'Timex - Takes a licking and keeps on ticking', and in 1962, one out of every three watches sold in the US was a Timex."
Swinger who loves Jane.   		6 letters,"TARZAN.    	""Tarzan"" is the title character in the series of books created by Edgar Rice Burroughs. The line ""Me Tarzan, you Jane"" never appeared in the books, and indeed doesn't even figure in the movies. Apparently Johnny Weissmuller (the original movie ""Tarzan"") saw Maureen O'Sullivan (the original movie ""Jane"") struggling with a suitcase in the parking lot during filming. He grabbed the bag from her, jokingly saying ""Me Tarzan, you Jane"". I guess they mentioned that incident to someone, and people have been quoting those words ever since."
DiCaprio who played half of 67-Down.   		8 letters,"LEONARDO.    	Hollywood star Leonardo DiCaprio is from Los Angeles, California. DiCaprio's mother was visiting a museum in Italy when she was pregnant and felt the first kick of her unborn child. At the moment of that first kick, Mama DiCaprio was looking at a painting by Leonardo da Vinci, and so named her son Leonardo."
Like a black hole.   		5 letters,"DENSE.    	A black hole in space is a region that is extremely dense, it has an enormous gravitational field. The force of gravity is so great that not even light can escape, hence the name 'black hole', as all that can be observed is 'blackness'. It is believed that black holes form when large stars reach the end of their lives and collapse in upon themselves."
"Figaro in ""The Barber of Seville,"" e.g.   		8 letters","BARITONE.    	Figaro is the central character in at least two operas: ""The Barber of Seville"" by Rossini, and ""The Marriage of Figaro"" by Mozart. The two storylines are based on plays by Pierre Beaumarchais, with one basically being a sequel to the other."
Legendary lutist.   		11 letters,"ALAN-A-DALE.    	According to the legend of Robin Hood, Alan-a-Dale was a member of Robin's outlaw band of Merry Men. Based on the legend, Alan-a-Dale was a wandering minstrel."
Island state in a 1964 merger.   		8 letters,"ZANZIBAR.    	When Zanzibar merged with Tanganyika in 1964, the resulting state was named the United Republic of Tanzania, with ""Tanzania"" being a porte-manteau of ""Zanzibar"" and ""Tanganyika""."
Alternative to One A Day.   		7 letters,"GERITOL.    	The ""Geritol"" brand name was very carefully chosen at the time it was introduced, in 1950, to suggest that it is efficacious for us as we move on in years. In general, the formula has always featured iron and several B-complex vitamins. Geritol ran afoul of the Federal Trade Commission (FTC) in the early sixties due to its claims that it is effective in relieving tiredness, regardless of the cause. In 1965, the company was instructed by the FTC to make it clear in its advertising that Geritol's formula is only effective in relieving tiredness in individuals suffering from anemia (a lack of iron)."
"""Dallas,"" e.g.   		10 letters",SOAP OPERA.    	The mega-hit TV show 'Dallas' started out life as a five-part mini-series in 1978. Who can remember who it was that shot J.R.?
___ accompli.   		4 letters,"FAIT.    	Fait accompli is a French term, literally translating as ""accomplished fact"". It is used in English to mean ""a done deal""."
Exchange purchase: Abbr..   		3 letters,STK.    	A stock (stk.) is traded on a stock exchange.
"Sharkey's rank, in '70s TV.   		3 letters",CPO.    	LEGALLY blonde' is a 2001 comedy film starring Reese Witherspoon as a girlish sorority president who heads to Harvard to earn a law degree. 'LEGALLY blonde' was successful enough to warrant two sequels as well as a spin-off musical that is still playing in London's West End.
Like wags.   		5 letters,"DROLL.    	A 'wag' or a 'card' is a very amusing person, often quite eccentric."
Female novelist whose real first name was Howard.   		9 letters,"ANNE RICE.    	Anne Rice is an American author of erotic and Gothic novels. She was born Howard Allen O'Brien (no wonder she changed her name!). Her famous series of novels ""The Vampire Chronicles"" centers on her character Lestat de Lioncourt, a French nobleman who was turned into a vampire in the 18th century. One of the stories, ""Interview with the Vampire"", was adapted for the big screen in 1994 and features Tom Cruise, Brad Pitt and others in a star-studded cast. Not my kind of movie though, as I don't do vampires ..."
Actress Massey.   		5 letters,"ILONA.    	Ilona Massey was a Hollywood actress, a native of Budapest in Hungary. Given her background, and the period at which she hit the big screen, she was marketed by the studios as ""the new Dietrich""."
Flying start?.   		4 letters,"AVI-.    	The prefix 'avi-' means 'bird-related', as in 'aviculture', the breeding of birds."
A boulevard in Memphis is named for him.   		7 letters,"PRESLEY.    	Elvis Presley was born in Tupelo, Mississippi and moved to Memphis, Tennessee with his family when he was 13-years-old. Once he had achieved fame, he purchased Graceland, the famous Memphis home that he used for himself and his family. I visited it some years ago, well worth the effort I'd say ..."
Seaport SE of Roma.   		6 letters,"NAPOLI.    	Naples is the third largest city in Italy. The name 'Naples' comes from the city's Ancient Greek name, which translates as 'New City'. That's a bit of a paradox in modern times as Naples is one of the oldest continuously-inhabited cities in the world."
N.Y.C.   		5 letters,"BIG A.    	The Aqueduct Racetrack in Queens, New York is known by many as the Big A. The track opened in 1894 and was located near an aqueduct belonging to the Brooklyn Water Works, which gave the name."
Piece for orchestra and soloist.   		8 letters,"CONCERTO.    	Most commonly a concerto is a musical work composed of three movements, and is written for a solo instrument accompanied by an orchestra."
The Midshipmen.   		4 letters,"NAVY.    	The Navy Midshipmen football team went undefeated during the 1910 season, and didn't even have a point scored against them. They didn't win every game though .. their record included one scoreless draw."
Neighbor of Irkutsk on a Risk board.   		7 letters,"SIBERIA.    	Risk is fabulous board game, first sold in France in 1957. It was invented by a very successful French director of short films called Albert Lamorisse. He called his new game ""La Conquete du Monde"", which translates into English as ""The Conquest of the World"". A game of Risk is a must during holidays in our house ..."
Cousin of kvass.   		8 letters,"RYE BEER.    	Kvass is an alcoholic beverage made from rye bread, typically with a low-alcohol content (relative to beer, say). It is popular in Eastern and Central European countries."
6-Down's far more successful contemporary.   		6 letters,"T-BIRD.    	(6. Ranger, for one : EDSEL)"
"Flame, e.g.   		5 letters","NHLER.    	The Calgary Flames are a professional hockey team based in the Alberta city. The team has been in Calgary since 1980, but was founded in 1972 in the US as the Atlanta Flames."
Place of worship.   		6 letters,"PAGODA.    	Pagodas are tiered towers found in various parts of Asia, usually built for religious purposes."
Stewed to the gills.   		6 letters,"BLOTTO.    	The term ""blotto"" meaning ""drunk"" dates back to the early 1900s. It supposedly is derived from the word ""blot"", in the sense that being drunk one must have soaked up a whole load of booze."
"King of the gods, in Egyptian myth.   		4 letters","AMON.    	Amun (also Amon and ""Amun-Ra"") was a god in Egyptian mythology. Amun lends his name to our word ""ammonia"". This is because the Romans called the ammonium chloride that they collected near the Temple of Jupiter Amun, ""sal ammoniacus"" (salt of Amun)."
Goodbyes.   		5 letters,"TATAS.    	An Englishman might say ""tata"" or ""cheerio"" instead of ""goodbye"". Well, supposedly so!"
Prefix with god.   		5 letters,"DEMI-.    	In Greek mythology, a demigod was a half-god, the offspring of one parent who was a god and one parent who was human. The list of demigods includes the Greek Heracles and the Celtic hero Cú Chulainn."
It can be smoothed over.   		4 letters,"RINK.    	The first ice resurfacing machine was developed in 1949 by none other than Frank Zamboni. The machine works by simultaneously executing a number of tasks. First, the surface of the ice is scraped off by a sharp blade. Next the ice is ""washed"" with water sprayed from the front of the Zamboni, and that wash water is vacuumed back up and filtered to remove impurities. Water is then reapplied to the scraped ice by a wet towel dragging behind the machine, forming a new skating surface."
Iran-___.   		6 letters,"CONTRA.    	The Iran-Contra affair (also called 'Irangate') came to light in 1986. The ""Iran"" part of the scandal was the sale of arms to Iran by the Reagan administration, initially to facilitate the release of US hostages. This was done in secret largely because there was ostensibly a US arms embargo in place against Iran. The ""Contra"" part of the scandal arose when the man in charge of the operation, Oliver North, took funds from the arms sales and funneled the cash to the Contra militants who were fighting to topple the government in Honduras."
"Mount Holyoke graduates, e.g.   		7 letters","ALUMNAE.    	An alumnus (plural ... alumni) is a graduate or former student of a school or college. The female form is alumna (plural ... alumnae). The word comes into English from Latin, in which ""alumnus"" means foster-son or pupil."
"Capone portrayer, 1959.   		7 letters","STEIGER.    	Rod Steiger played some powerful roles on the screen, perhaps most memorably the Chief of Police in the 1967 drama ""In the Heat of the Night"", for which he won a Best Actor Oscar. Steiger was married five times, including a 10-year marriage to fellow actor Claire Bloom. Together Bloom and Steiger had a daughter, the British opera singer Anna Steiger."
U.K.   		4 letters,"DSOS.    	The Distinguished Service Order (DSO) is a British military award, usually presented to officers with the rank of Major or higher."
Sticky seedcase.   		3 letters,"BUR.    	The hook-and-loop fastener we now call Velcro was invented in 1941 by Georges de Mestral, a Swiss engineer. He noticed that the seeds of the burdock plant (burrs or burs) stuck to his clothes. Under the microscope he found hooks on the burrs, grabbing hold of loops in his clothing. After years of development, he came up with a way of simulating the natural hook using man-made materials."
"Vitamin in meat, milk and eggs.   		8 letters","B-TWELVE.    	Vitamin B12 is a water soluble vitamin that plays a role in the function of the brain and the nervous system. Folks like me who don't eat any animal foods have to watch out for vitamin B12 as it is the one food substance that isn't readily available from plant sources. Vitamin B12 is produced by bacteria readily found in ""dirt"" so it is readily ingested by animals and passed onto humans via diary products or meat. As we have to be so careful about washing our vegetables because of the use of pesticides, humans aren't readily exposed to vitamin B12 when eating vegetables, so vegans often take supplements. Personally, as a potato-eating Irishman who always eats the skins of the potato, and doesn't wash them too much when they come in from the garden, I've always had loads of B12 in my blood when it has been tested, without any supplements. I guess the message is ""eat dirt"" ..."
Long-eared hound.   		6 letters,"BASSET.    	The Basset Hound wouldn't be my favorite breed of dog, to be honest. They do have a great sense of smell with an ability to track a scent that is second only to that of the Bloodhound. The name 'Basset' comes from the French word for 'rather low', a reference to the dog's short legs."
Ancient capital of Syria.   		7 letters,"ANTIOCH.    	Antioch on the Orontes was once the capital of Syria. The city lay on the banks of the Orontes River, and its ruins now lie in modern Turkey."
Part of Paul Revere's Boston statue.   		5 letters,"STEED.    	The statue of Paul Revere in North End, Boston of course features the great American patriot astride his horse. The statue was erected in 1940, and was created by sculptor (and Olympic archer!) Cyris Edwin Dallin."
Madrid museum.   		5 letters,"PRADO.    	The Museo del Prado is in Madrid, the capital of Spain, and has one of the finest art collections in the world. The galleries most famous work is ""Las Meninas"" By Velazquez."
G.I.'s org.   		7 letters,"US ARMY.    	The initials G.I. stand for ""Government Issue"" and not ""General Infantry"" as is often believed. G.I. was first used in the military to denote equipment made from Galvanized Iron, and during WWII, incoming German shells were nicknamed ""GI cans"". Soon after, the term GI came to be associated with ""Government Issue"", eventually became an adjective to describe anything associated with the Army."
Clink.   		6 letters,"COOLER.    	The Clink (also ""the Clynke"") was a celebrated prison in Southwark, England owned by the Bishop of Winchester. The prison was given the name ""the clink"" probably from the sound made by metal keys in metal locks and metal chains around ankles. The prison was closed down in 1780 and around the same time ""clink"" entered the English language as a slang term for ""jail""."
Last Oldsmobiles made.   		6 letters,ALEROS.    	The Oldsmobile Alero was the last car made under the Oldsmobile brand. The Alero was produced from 1999 to 2004.
"Cheap cigar, in slang.   		7 letters","EL ROPO.    	El ropo is American slang not only for a big, cheap cigar, but also for a cannabis cigarette ... so I am told ..."
At full speed.   		5 letters,"AMAIN.    	""Amain"" is an old term meaning 'at great speed' or 'of great strength'."
Ancient manuscript.   		5 letters,"CODEX.    	A codex is an old book, one in the format of a modern book as opposed to its predecessor which was a scroll. The word 'codex' comes from the Latin 'caudex' meaning 'trunk of a tree'."
O.   		5 letters,AWARD.    	The O. Henry Award has been given annually since 1919 and honors exceptional short stories.
"Rick who sang ""Never Gonna Give You Up"".   		6 letters","ASTLEY.    	Rick Astley is an English singer, best known for his 1987 worldwide hit 'Never Gonna Give You Up'. He retired in 1993 but became a huge hit on the Internet in 2007 when a YouTube video of 'Never Gonna Give You Up' was chosen by tricksters as a link (labeled as something else) that was sent around the world so that the clip was seen by millions online. The phenomenon was given the name 'Rickrolling'. With all the new exposure that the song received Astley made a whopping $12 in royalties from YouTube. Yep, 12 whole dollars."
Hang-up.   		3 letters,"RUB.    	The oft-quoted phrase 'there's the rub', comes from Hamlet's famous 'To be or not to be' soliloquy:"
Some H.S.   		5 letters,PSATS.    	I think the acronym PSAT stands for Preliminary Scholastic Aptitude Test.
"Downer, for short.   		5 letters",TRANQ.    	A tranquilizer is a downer.
Hindsights?.   		5 letters,"MOONS.    	The first recorded mooning incident took place in 66 AD, during the First Roman-Jewish War. Roman soldiers decided to moon Jewish pilgrims as they traveled to the Jewish Temple in Jerusalem."
Pie-in-the-sky.   		7 letters,"UTOPIAN.    	The word Utopia was invented by Sir Thomas More for his book ""Utopia"" published in 1516, describing an idyllic fictional island in the Atlantic Ocean. More's use of the name Utopia comes from the Greek ""ou"" meaning ""not"" and ""topos"" meaning ""place"". By calling his perfect island ""Not Place"", More was apparently making the point that he didn't think that the ideal could actually exist."
"Styx, for one.   		5 letters","RIVER.    	The River Styx in Greek mythology was the river that formed the boundary between the Earth and the Underworld (also called Hades). The souls of the newly dead had to cross the River Styx in a ferryboat piloted by Charon. Traditionally, a coin would be placed in the mouths of the dead ""to pay the ferryman""."
"Setting for Clint Eastwood's ""Flags of Our Fathers"".   		8 letters","IWO JIMA.    	Iwo Jima today is an uninhabited volcanic island located south of Tokyo. There were about a thousand Japanese civilians living on the island prior to WWII. In 1944, there was a massive influx of Japanese military personnel in anticipation of the inevitable US invasion. As the Japanese military moved in, the civilians were forced out and no one has lived there ever since."
"1959 #5 hit with the B-side ""I've Cried Before"".   		18 letters",A TEENAGER IN LOVE.    	The classic song 'A Teenager in Love' was released by Dion and the Belmonts in 1959.
"The Bee Gees' ""___ Liar"".   		6 letters","HE'S A.    	The Brothers Gibb (hence the name: Bee Gees) are noted for their roots in Manchester in England, although they were actually born and lived the first years of their lives on the Isle of Man. Their parents returned with their children to their hometown of Manchester in the early 1950s, living there until 1958 when the whole clan moved again, this time to Queensland, Australia. It was in Australia that the boys first found fame, and adopted the name the Bee Gees. After some initial success, the brothers decided to go back to England in 1966. Soon they were churning out hits like 'Massachusetts', 'To Love Somebody' and 'I've Gotta Get a Message to You'. But the brothers got into a rut in the early 70s, and record sales slumped. They relocated yet again, to Miami, Florida, where they were approached to write and record songs for the soundtrack of a new movie, that had already finished filming, called 'Saturday Night Fever'. The brothers wrote the whole soundtrack basically in one weekend (in Paris, for tax reasons), and the rest is history."
Adriatic seaport.   		6 letters,"RIMINI.    	Rimini is the most famous resort city on the Adriatic Riviera. Rimini's most famous son might be the film director, Frederico Fellini."
"""Great"" Catherine, for one.   		7 letters","TSARINA.    	Catherine the Great was never expected to rule the Russian Empire. She was the wife of Tsar Peter III, who was assassinated after holding office for only six months. There were some dissent in the country about Catherine ruling instead of her son, especially when he was old enough to do so. But rule she did, very successfully, until she died at 73 years of age."
See shaded letters intersected by this answer.   		11 letters,"OVAL OFFICE.    	The Oval Office in the West Wing of the White House was first built and occupied by President Taft, in 1909. It had to be rebuilt during President Hoover's administration after a fire damaged the West Wing in 1929. The current design of the Oval Office dates back to the days of President Franklyn D. Roosevelt, who wanted a room that was more accessible, but one that could also provide more privacy."
"S.A.S.E., e.g.: Abbr..   		4 letters",ENCL.    	One type of enclosure (ENC) in a letter might be a self-addressed stamped envelope (SASE).
Sneeze lead-ins.   		3 letters,AHS.    	Ah choo ...
"With 40- and 41-Across, 18th-century literary and musical movement.   		5 letters",STURM.    	40. See 38-Across : UND
Asia Minor.   		8 letters,"ANATOLIA.    	Asia Minor is also known as Anatolia, and is the geographic part of Asia that protrudes out into the west, towards Europe. It is roughly equivalent to modern-day Turkey."
Deep Blue's opponent in chess.   		8 letters,"KASPAROV.    	Deep Blue was a computer developed by IBM specifically for playing chess. In 1996 it became the first machine to win a chess game against a reigning world champion. The champion in question was the great Garry Kasparov, although he came out on top in the end by winning the 6-game competition 4-2."
Where the Northern Lights occur.   		10 letters,IONOSPHERE.    	The ionosphere is that layer of the atmosphere that is ionized by solar radiation.
Like old-fashioned phones.   		6 letters,"ROTARY.    	The first patent for a rotary dial mechanism for a phone was granted in 1898, and the familiar rotary dial phones (with holes for the finger) were introduced by the Bell System in 1919. This form of dialing was called ""pulse dialing"". When you dialed the number 5 say, the dial would rotate back to the start position, opening and closing electrical contacts five times and sending five pulses over the telephone line. I used to love rotary dial phones when I was a kid. My grandfather was a telephone engineer and he showed me how to ""tap out"" the pulses on the ""hook"" at the top of a pay phone. I was able to make free calls that way. He definitely contributed to the corruption of a minor ..."
Postlarval.   		5 letters,"PUPAL.    	The larval and pupal are intermediate stages in the development of an insect. All four stages are embryo, larva, pupa and imago."
"""And giving ___, up the chimney he rose"".   		5 letters","A NOD.    	The poem ""A Visit from St. Nicholas"" was published anonymously in 1823, and is better known today by its first line ""'Twas the night before Christmas"". Most scholars believe that the poem was written by Clement Clark Moore, a theologian from New York City. Others say that it was written by Henry Livingston, Jr. a poet from Upstate New York."
Purim's month.   		4 letters,ADAR.    	Adar is a month in the Hebrew calendar.
Flamboyance.   		7 letters,"PANACHE.    	Someone exhibiting panache is showing dash and verve, and perhaps has a swagger. 'Panache' is a French word used for a plume of feathers, especially one in a hat."
"""Music should strike fire from the heart of man, and bring tears from the eyes of woman"" speaker.   		9 letters","BEETHOVEN.    	Famously, the composer Ludwig van Beethoven started losing his hearing by the age of 26, eventually becoming completely deaf. And of course, Beethoven composed some of his most appreciated works when he could hear nothing at all. It's not really certain what caused his deafness, and some have even suggested that it was because of his habit of ducking his head into cold water in order to stay awake ..."
One raised in Amish country.   		4 letters,"BARN.    	The Amish are a group of Christian churches, a sub-group of the Mennonite churches. The Amish church originated in Switzerland and Alsace in 1693 when it was founded by Jakob Ammann. It was Ammann who gave the name to the Amish people. Many Amish people came to Pennsylvania in the 18th century."
New York's ___ Island.   		5 letters,"CONEY.    	Cony, or coney, is an old English word for rabbit or rabbit fur, and Coney Island in New York takes its name from the same root. The Dutch used the name ""Conyne Eylandt"" (Rabbit Island) after the large population of rabbits that was hunted there."
"Donovan of ""Clueless"".   		5 letters","ELISA.    	Elisa Donovan is an actress from Poughkeepsie, New York. Donovan's big break came in the film 'Clueless' playing a part that she later played in the television series of the same name."
Indian home.   		5 letters,"HOGAN.    	Hogan is the anglicization of a Navajo word meaning ""the home place""."
1978 Bob Fosse Broadway revue.   		7 letters,DANCIN'.    	The 1978 musical revue 'Dancin'' was Bob Fosse's answer to the hit 1975 music 'A Chorus Line'.
Contemporary of Marcel Duchamp.   		7 letters,"MAN RAY.    	Man Ray was an American modernist artist who spent most of his working life in Paris. Man Ray was born in South Philadelphia in 1890, and his real name was Emmanuel Radnitzky. His family adopted the name 'Ray' in response to anti-Semitic feeling that was prevalent at the time. Emmanuel was known as 'Manny', and he decided to assume the name Man Ray and use it for his work."
"""Hair"" producer Joseph.   		4 letters","PAPP.    	Joseph Papp was theatrical producer and founder of the Public Theater in New York City. After his death, the Public Theater was named in his memory, the Joseph Papp Public Theater. Papp is also known for producing the original version of the hit musical 'Hair'."
"""Mayberry ___"".   		3 letters","RFD.    	""Mayberry R.F.D"" is a spin-off of ""The Andy Griffith Show"", and is in effect a continuation of the original story. ""RFD"" stands for ""Rural Free Delivery"", a reference to the postal route around Mayberry."
Black piecrust component.   		11 letters,"OREO COOKIE.    	The Oreo was the best-selling cookie in the 20th century, and almost 500 billion of them have been sold since they were introduced in 1912 by Nabisco. In those early days the creme filling was made with pork fat, but today vegetable oils are used instead. If you take a bite out of an Oreo sold outside of America you might notice a difference from the homegrown cookie, as coconut oil is added in the overseas version to give a different taste."
One whose crush was caped.   		9 letters,"LOIS LANE.    	Lois Lane has been the love interest of Superman/Clark Kent since the comic series was first published in 1938. Lois and Clark both work for the big newspaper in the city of Metropolis called ""The Daily Planet"". The couple finally got hitched in the comics (and on television's ""Lois and Clark"") in 1996. But never mind all that ... one has to wonder what the crossword is like in ""The Daily Planet"" ..."
Bright school member.   		10 letters,"NEON TETRA.    	The neon tetra is a freshwater fish, native to parts of South America. It is a very popular aquarium fish, and millions are imported into the US every year. Almost all of the imported tetras are farm-raised in Asia, and very few come from their native South America."
Conductors of impulses from nerve cells.   		5 letters,"AXONS.    	A nerve cell is more correctly called a neuron, and the long nerve fiber that is part of a neuron is called the axon."
"With 53-Down, Willy Wonka employee.   		5 letters",OOMPA.    	53. See 58-Down : LOOMPA
Fruit or nuts.   		7 letters,"BANANAS.    	Bananas are a type of fruit, and 'bananas' is a term meaning 'nuts'."
Napa Valley setting.   		8 letters,"BAY AREA.    	Apparently the name ""Napa"" comes from the Native American Patwin word ""napo"" meaning 'house'."
"""Arabian Nights"" prince.   		5 letters","AHMED.    	In the ""Arabian Nights"", Prince Ahmed is noted for having a magic tent which would grow larger to shelter an army, and then grow small again so that it could fit into a pocket."
Silver checker.   		4 letters,REIN.    	Silver was the Lone Ranger's horse.
Bazooka Joe's company.   		5 letters,"TOPPS.    	Topps was a relaunch of an older company called American Leaf Tobacco, with the Topps name used from 1938. The earlier company was in trouble because it could not get supplies of its Turkish tobacco, so it moved into another chewy industry, making bubblegum."
"Barnard grads, e.g.   		7 letters","ALUMNAE.    	An ""alumnus"" (plural ... alumni) is a graduate or former student of a school or college. The female form is ""alumna"" (plural ... alumnae). The term comes into English from Latin, in which alumnus means foster-son or pupil."
"Wearing a wig and shades, say.   		5 letters","INCOG.    	'Incog' is short for 'incognito', the Italian for 'unknown'."
Composer of 20-Across.   		9 letters,BEETHOVEN.    	(20. Work by 16-Across : ODE TO JOY)
U.S.   		3 letters,ABT.    	The American Ballet Theatre (ABT) is a dance company that was once led by Mikhail Baryshnikov.
Vinegar quality.   		6 letters,"LOW PH.    	As we all recall from chemistry class, a pH of 7 is considered neutral. Anything less than 7 is an acid, and anything above 7 is a base."
Like Bill Clinton or Jimmy Carter: Abbr..   		3 letters,BAP.    	Presidents Bill Clinton and Jimmy Carter are both Baptists.
Latin dance.   		7 letters,"CHA-CHA.    	I believe the dance is called a 'cha-cha-cha', and not just 'cha-cha' ..."
*Hoosegow.   		6 letters,"COOLER.    	""Hoosegow"" is a slang term for ""jail"". ""Hoosegow"" is a mispronunciation of the Mexican-Spanish word ""juzgao"" meaning ""court, tribunal""."
Actress Woodard.   		5 letters,"ALFRE.    	Alfre Woodard is an actress from Tulsa, Oklahoma. Woodard was nominated for an Oscar for her performance in the 1983 film 'Cross Creek'. Off the stage and screen she is very active in the Democratic Party."
"Characters in ""The Hobbit"".   		5 letters","RUNES.    	A rune is a character in an alphabet (sometimes used in tattoos), believed to have mysterious powers."
"Actress Bening of ""American Beauty"".   		7 letters","ANNETTE.    	The actress Annette Bening is from Topeka, Kansas. Bening has been married to actor Warren Beatty since 1992."
Dos y dos.   		6 letters,"CUATRO.    	In Spanish, two and two (dos y dos) make four (cuatro)."
