"With 61-Across, physicist who studied supersonics.   		5 letters",ERNST.    	(61A. See 13-Down : MACH)
Field for Robert Indiana or Georgia O'Keeffe.   		3 letters,"ART.    	Robert Indiana is the working name used by artist Robert Clark, who was born and raised in Indiana. Indiana's most famous work is his 'LOVE' print, which first appeared in a series of poems written in 1958. The most famous version of the 'LOVE' work was created for a 1964 Christmas card used by the Museum of Modern Art. Famously, the print was then used for an 8-cent US postage stamp in 1973."
N.Y.C.'s first subway line.   		3 letters,"IRT.    	The Interborough Rapid Transit Company (IRT) was the original private operator of the New York Subway when it opened in 1904. The city took over ownership of the system in 1940, but the lines originally operated by the IRT are still known by the IRT moniker."
Drink often served with a ladle.   		3 letters,"NOG.    	It's not really clear where the term ""nog"" (as in 'eggnog') comes from although it might derive from the word ""noggin"", which was originally a small wooden cup that was long associated with alcoholic drinks."
Org.   		3 letters,"FAA.    	The Federal Aviation Administration was set up in 1958 (as the Federal Aviation Agency). The agency was established at that particular time largely in response to an increasing number of midair collisions. The worst of these disasters had taken place two years earlier over the Grand Canyon, a crash between two commercial passenger airplanes that resulted in 128 fatalities."
Works for an editor: Abbr..   		3 letters,MSS.    	An editor has to wade his or her way through a manuscript (MS) that has been submitted.
Punk rocker Armstrong with a 2012 Grammy.   		3 letters,"TIM.    	Tim Armstrong is a musician best known as singer and guitarist with the punk rock band Rancid and the supergroup the Transplants. Armstrong also used the stage name Lint earlier in his career, as well as Tim Timebomb."
Place for an iris.   		4 letters,"UVEA.    	The uvea is the middle of the three layers that make up the eyeball. The outer layer is called the fibrous tunic, and the inner layer is the retina."
Aussie rockers with a knickers-clad lead guitarist.   		5 letters,"AC/DC.    	The Heavy Metal band known as AC/DC was formed by two brothers in Australia. The group is usually called ""Acca Dacca"" down under."
Upsilon's follower.   		3 letters,PHI.    	Phi is the 21st letter of the Greek alphabet.
Olympic skater Cohen.   		5 letters,"SASHA.    	Sasha Cohen is an American figure skater. Her mother is a Jewish immigrant from the Ukraine, a former ballet dancer. Sasha (the nickname for Alexandra, her birth name) can herself understand Russian."
Bond villain ___ Stavro Blofeld.   		5 letters,ERNST.    	Ernst Stavro Blofeld is a villain in the James Bond universe. Blofeld has been played on the big screen several times by different actors. My favorite is Donald Pleasance in 1967's 'You Only Live Twice'.
E.P.A.-banned substance.   		3 letters,"DDT.    	DDT is dichlorodiphenyltrichloroethane (don't forget now!). DDT was used with great success to control disease-carrying insects during WWII, and when made available for use after the war it became by far the most popular pesticide. And then Rachel Carson published her famous book ""Silent Spring"", suggesting there was a link between DDT and diminishing populations of certain wildlife. It was the public outcry sparked by the book, and reports of links between DDT and cancer, that led to the ban on the use of the chemical in 1972. That ban is touted as the main reason that the bald eagle was rescued from near extinction."
American ___.   		5 letters,"SAMOA.    	The official name for the South Pacific country formerly known as Western Samoa is the Independent State of Samoa. 'Samoa' is the western part of the island group, with American Samoa lying to the southeast. The whole group of islands used to be known as Navigators Island, a name given by European explorers in recognition of the seafaring skills of the native Samoans."
Sun blocker.   		4 letters,"SMOG.    	""Smog"" is of course a portmanteau word formed by melding ""smoke"" and ""fog"". The term was first used to describe the air around London in the early 1900s."
Wintry mix.   		5 letters,"SLEET.    	Apparently ""sleet"" is a term used to describe two weather conditions. One is a shower of ice pellets, smaller than hail, and the second is a mixture of rain and snow, with the snow melting as it falls. It's the second definition that I have always used ..."
What un desierto lacks.   		4 letters,"AGUA.    	In Spanish, a desert (un desierto) lacks water (agua)."
Patriarch who died at age 950.   		4 letters,"NOAH.    	Genesis 6:19-20 states that Noah was instructed to take two animals of every kind into the ark. Later, in Genesis 7:2-3 Noah was instructed to take on board ""every clean animal by sevens ... male and female, to keep offspring alive on the face of all the earth"". Apparently ""extras"" (7 rather than 2) were needed for ritual sacrifice."
Bullet-catching place?: Abbr..   		3 letters,STA.    	At a station (sta.) one might catch a bullet train. 
Locke work.   		5 letters,"ESSAY.    	John Locke was the English philosopher who postulated that the mind is a blank slate (or ""tabula rasa"") when we are born, and that we fill that slate with our experiences and observations."
___ and tonic.   		3 letters,"GIN.    	The original tonic water was a fairly strong solution of the drug quinine dissolved in carbonated water. It was used in tropical areas in South Asia and Africa where malaria is rampant. The quinine has a prophylactic effect against the disease, and was formulated as ""tonic water"" so that it could be easily distributed. In British colonial India, the colonial types got into the habit of mixing in gin with the tonic water to make it more palatable by hiding the bitter taste of the quinine. Nowadays, the level of quinine in tonic water has been dropped, and sugar has been added."
Writer Brown.   		3 letters,"DAN.    	""The Da Vinci Code"" is an excellent story, written by Dan Brown. However, Brown's first book to feature the character Robert Langdon was even better in my opinion, namely ""Angels & Demons""."
Funny Fey.   		4 letters,"TINA.    	Comic actress Tina Fey has a scar on her face a few inches long on her left cheek, which I was shocked to learn was caused by a childhood ""slashing"" incident. When she was just five years old and playing in the front yard of her house, someone just came up to her and slashed her with a knife. How despicable!"
Employers of dispatchers and brakemen: Abbr..   		3 letters,RRS.    	Railroads (RRs)
N.Y.C.   		3 letters,"IRT.    	The Interborough Rapid Transit Company (IRT) was the original private operator of the New York Subway when it opened in 1904. The city took over ownership of the system in 1940, but the lines originally operated by the IRT are still known by the IRT moniker."
Support grp.   		3 letters,"USO.    	The United Service Organization was founded in 1941 at the request of FDR, ""to handle the on-leave recreation of the men in the armed forces"". A USO tour is a tour by a troupe of entertainers, many who are big-name celebrities, to troop locations that often including combat zones."
"Transport with mud tires, for short.   		3 letters",ATV.    	An all-terrain vehicle (ATV)
"The ""A"" of MoMA.   		3 letters","ART.    	The founding of the Museum of Modern Art (MoMA) in New York City was very much driven by Abby Aldrich Rockefeller, the wife of John D. Rockefeller, son of the oil magnate. Working with two friends, Abby managed to get the museum opened in 1929, just nine days after the Wall Street Crash. The MoMA's sculpture garden bears the name of Abby Aldrich Rockefeller, and has done so since 1949."
Their lines have ties: Abbr..   		3 letters,"RRS.    	Railroad ties are usually wooden, oblong members used to support and maintain the separation between&nbsp;the rails. Over in Europe we call ties 'sleepers', which I think is a much more colorful term!"
"""Silent Spring"" spray.   		3 letters","DDT.    	DDT is dichlorodiphenyltrichloroethane (don't forget now!). DDT was used with great success to control disease-carrying insects during WWII, and when made available for use after the war it became by far the most popular pesticide. And then Rachel Carson published her famous book ""Silent Spring"", suggesting there was a link between DDT and diminishing populations of certain wildlife. It was the public outcry sparked by the book, and reports of links between DDT and cancer, that led to the ban on the use of the chemical in 1972. That ban is touted as the main reason that the bald eagle was rescued from near extinction."
Sitar piece.   		4 letters,"RAGA.    	Raga isn't really a type of music, but has been described as the ""tonal framework"" in which Indian classical music is composed. Ravi Shankar was perhaps the most famous raga virtuoso (to us Westerners). Western rock music with a heavy Indian influence might be called raga rock."
"""Modern Family"" network.   		3 letters","ABC.    	Modern Family' is a marvelous television show shown on ABC since 2009. The show's format is that of a 'mockumentary', with the cast often addressing the camera directly. In that respect 'Modern Family' resembles two other excellent shows: 'The Office' and 'Parks and Recreation', both of which might also be described a 'mockumentaries'."
Ungentlemanly sort.   		3 letters,"CAD.    	Our word ""cad"", meaning ""a person lacking in finer feelings"", is a shortening of the word ""cadet"". ""Cad"" was first used for a servant, and then students at British universities used ""cad"" as a term for a boy from the local town. ""Cad"" took on its current meaning in the 1830s."
"""Krazy ___"".   		3 letters","KAT.    	""Krazy Kat"" is a successful comic strip that ran from 1913-1944 and was drawn by George Herriman."
"""The Jetsons"" dog.   		5 letters","ASTRO.    	The Jetsons' is an animated show from Hanna-Barbera that had its first run in 1962-1963, and then was recreated in 1985-1987. When it was debuted in 1963 by ABC, ""The Jetsons"" was the network's first ever color broadcast. 'The Jetsons' are like a space-age version of 'The Flintstones'. The four Jetson family members are George and Jane, the parents, and children Judy and Elroy. Residing with the family are Rosie the household robot, and Astro the pet dog."
Roger's predecessor as 007.   		4 letters,"SEAN.    	Sean Connery wasn't the first choice for the role of James Bond. Six potential actors were selected for a screen test, after which a 28-year-old model was chosen called Peter Anthony. It turned out that Anthony wasn't up to the part, and so second-choice Connery was given a call."
Fashion monogram.   		3 letters,"YSL.    	Yves Saint-Laurent was a French fashion designer, actually born in Algeria. He started off working as an assistant to Christian Dior at the age of 17. Dior died just four years later, and as a very young man Saint-Laurent was named head of the House of Dior. However, in 1950 Saint-Laurent was conscripted into the French Army and ended up in a military hospital after suffering a mental breakdown from the hazing inflicted on him by his fellow soldiers. His treatment included electroshock therapy and administration of sedatives and psychoactive drugs. He was released from prison, managed to pull his life back together, and started his own fashion house. A remarkable story ..."
"Before, to the Bard.   		3 letters",ERE.    	William Shakespeare is known as the Bard of Avon as he was born and raised in the lovely town of Stratford-upon-Avon in the English midlands.
Arizona's ___ Fria River.   		4 letters,"AGUA.    	The Agua Fria River that runs from a spot near the city of Prescott, Arizona south through the Agua Fria National Monument and into Lake Pleasant located near Peoria, Arizona. 'Agua Fria' translates from Spanish as 'Cold Water'."
Serb or Pole.   		4 letters,SLAV.    	The Slavic peoples are in the majority in communities covering over half of Europe. This large ethnic group is traditionally broken down into three smaller groups:
Ward with awards.   		4 letters,"SELA.    	Sela Ward turns up in crosswords a lot. She played Teddy Reed in the TV show ""Sisters"" in the nineties, was in ""Once and Again"" from 1999-2002. I don't know either show. I do know her from ""House"" though. She played the hospital's lawyer, and Greg House's ex-partner. That was a fun role, I thought."
Sitarist Shankar.   		4 letters,"RAVI.    	Ravi Shankar was perhaps the most famous virtuoso (to us Westerners) from the world of Indian classical music, and was noted for his sitar playing. Shankar was the father of the beautiful singer Norah Jones."
Cubs' divisional rivals: Abbr..   		3 letters,"STL.    	The St. Louis Cardinals were originally called the 'Brown Stockings', changing their name to the 'Perfectos' in 1899. That obviously didn&#8217;t go down well with the locals, as the owners changed it one year later to the Cardinals."
H.S.   		4 letters,PSAT.    	Preliminary Scholastic Aptitude Test (PSAT)
Nike competitor.   		4 letters,"AVIA.    	The Avia brand name for athletic shoes was chosen as ""avia"" is the Latin word for ""to fly"", and suggests the concept of aviation. Avia was founded in Oregon in 1979."
Shade darker than azure.   		4 letters,"ANIL.    	Anil is another name for the indigo plant, as well as the name for the blue indigo dye that is obtained from it. And that blue is relatively close to ""navy"" blue."
I.S.P.   		3 letters,"MSN.    	The Microsoft Network (MSN) used to be an Internet service provider (ISP). These days, MSN is mainly a web portal."
Lamb specialty.   		5 letters,"ESSAY.    	Charles Lamb published a famous collection of essays simply entitled ""Essays of Elia"". Elia was actually a clerk and co-worker of Charles Lamb, whereas Lamb was the author."
Seed with a licoricelike flavor.   		5 letters,"ANISE.    	Liquorice (also licorice) and aniseed do indeed have similar flavors, but they come from unrelated plants. The liquorice plant is a legume like a bean, and the sweet flavor is an extract from the roots. The flavor mainly comes from an ether compound called anethole, the same substance that gives the distinctive flavor to anise. The seedpods of the anise plant are what we know as ""aniseed"". The anise seeds themselves are usually ground to release the flavor."
Small case.   		4 letters,"ETUI.    	An etui is an ornamental case used to hold small items, in particular sewing needles. We imported both the case design and the word ""etui"" from France. The French also have a modern usage of ""etui"", using the term to depict a case for carrying CDs."
"1945 Pacific battle site, informally.   		3 letters","IWO.    	Iwo Jima is a volcanic island located south of Tokyo that today is uninhabited. There were about a thousand Japanese civilians living on the island prior to WWII. In 1944, there was a massive influx of Japanese military personnel in anticipation of the inevitable US invasion. As the Japanese military moved in, the civilians were forced out and no one has lived there since."
"Mobiles, stabiles, etc.   		3 letters","ART.    	In the world of art, a 'mobile' is described as a kinetic sculpture as it can move. It can also sit in equilibrium, with heavier elements hanging on the end of rods so that balance is achieved."
Kellogg's Cracklin' ___ Bran.   		3 letters,OAT.    	Kellogg's has been making Cracklin' Oat Bran since 1977. The recipe for the cereal was revamped in 1989 in order to reduce the saturated fat content.
Prego competitor.   		4 letters,"RAGU.    	The Ragu brand of pasta sauce is owned by Unilever. The name "" Ragù"" is the Italian word for a sauce used to dress pasta, however the spelling is off a little. In Italian the word is ""Ragù"" with a grave accent over the ""u"", but if you look at a jar of the Unilever sauce, it is spelled ""Ragú"" on the label, with an acute accent. Sometimes I think we just don't try ..."
Blue dye source.   		4 letters,"ANIL.    	Anil is another name for the indigo plant, as well as the name for the blue indigo dye that is obtained from it. The color of anil is relatively close to navy blue."
Filter target.   		4 letters,"SPAM.    	Apparently the term ""SPAM"", used for unwanted email, is taken from a ""Monty Python"" sketch. In the sketch (which I've seen) the dialog is taken over by the word SPAM, a play on the glut of canned meat in the markets of Britain after WWII. So ""SPAM"" is used for the glut of emails that takes over online communication. I can just imagine nerdy Internet types (like me) adopting something from a ""Monty Python"" sketch to describe an online phenomenon ..."
Croat or Serb.   		4 letters,SLAV.    	The Slavic peoples are in the majority in communities covering over half of Europe. This large ethnic group is traditionally broken down into three smaller groups:
Manhunt letters.   		3 letters,APB.    	An All Points Bulletin (APB) is a broadcast from one US law enforcement agency to another.
Forest female.   		3 letters,"DOE.    	A male deer is usually called a 'buck', and a female a 'doe'."
Dungeons & Dragons figure.   		4 letters,"OGRE.    	Dungeons & Dragons is a complex role-playing game first published in 1974, by Tactical Studies Rules Incorporated (TSR). Dungeons & Dragons was probably the first of the modern role-playing games to be developed, and the most successful. It is still played by lots of people today, including my nerdy son ..."
Campus drillers.   		4 letters,"ROTC.    	The Reserve Officers' Training Corps (ROTC) is a training program for officers based in colleges all around the US. The ROTC program was established in 1862 when, as a condition of receiving a land-grant to create colleges, the federal government required that military tactics be a part of a new school's curriculum."
Eye part.   		4 letters,UVEA.    	The uvea is the middle of the three layers that make up the eyeball.
"Bareilles who sang ""Love Song"".   		4 letters","SARA.    	Sara Bareilles achieved success with her 2007 'Love Song' with the help of the iTunes online store. In one week in June of that year, iTunes offered the song as ""free single of the week"" and it quickly became the most downloaded song in the store, and from there climbed to the number spot in the charts."
___ Beta Kappa.   		3 letters,"PHI.    	Phi Beta Kappa was the first collegiate Greek fraternity in the US, founded in 1776 at the College of William and Mary. The organization served as a model for future collegiate fraternities and sororities, although in the 19th century Phi Beta Kappa distanced itself from the fraternal focus and transformed into the honor society that it is today, recognizing academic excellence. The initials Phi Beta Kappa stand for 'philosophia biou kybernētēs', which translates into 'philosophy is the guide of life'. The symbol of the Phi Beta Kappa Society is a golden key."
"33 1/3, for a record album: Abbr..   		3 letters","RPM.    	The first vinyl records designed to play at 33 1/3 rpm were introduced by RCA Victor in 1931, but were discontinued due to quality problems. The first Long Play (LP) 33 1/3 rpm disc was introduced by Columbia Records many years later in 1948, with RCA Victor following up with a 45 rpm ""single"" the following year, in 1949."
"The ""A"" of sports' A.F.L.   		5 letters","ARENA.    	Arena Football is played indoors, on a smaller field that American (and Canadian) football. The sport was invented in 1981, and the Arena Football League (AFL) was around from 1987 till 2008. There's a new AFL in business now, which started playing games in 2010 apparently."
Punkie.   		4 letters,"GNAT.    	A punkie is biting midge, a nasty little bug similar to a gnat."
"""Silent Spring"" pesticide.   		3 letters","DDT.    	DDT is dichlorodiphenyltrichloroethane (don't forget now!). DDT was used with great success to control disease-carrying insects during WWII, and when made available for use after the war it became by far the most popular pesticide. And then Rachel Carson published her famous book ""Silent Spring"", suggesting there was a link between DDT and diminishing populations of certain wildlife. It was the public outcry sparked by the book, and reports of links between DDT and cancer, that led to the ban on the use of the chemical in 1972. That ban is touted as the main reason that the bald eagle was rescued from near extinction."
Rx overseer.   		3 letters,FDA.    	The Federal Drug Administration (FDA) approves drugs for specific conditions. It is quite legal for a healthcare professional to prescribe an approved medication for a use that is different to the FDA-approved indication. This usage of the drug is described as 'off-label'.
"Portland's Rose Garden, e.g.   		5 letters","ARENA.    	Portland's Rose Garden is a multipurpose arena, primarily built to home the Trail Blazers, the city's NBA team."
Classic Ford.   		3 letters,"LTD.    	There has been a lot of speculation about what the abbreviation LTD stands for in the car model known as ""Ford LTD"". Many say it is an initialism standing for Luxury Trim Decor, and others say that it is short for ""limited"". Although the car was produced in Australia with the initialism meaning Lincoln Type Design, it seems LTD was originally chosen as just three meaningless letters that sound well together."
G.I.   		3 letters,"USO.    	The United Service Organization (USO) was founded in 1941 at the request of FDR ""to handle the on-leave recreation of the men in the armed forces"". A USO tour is undertaken by a troupe of entertainers, many of whom are big-name celebrities. A USO tour usually includes troop locations in combat zones."
"Spot for vaccinations, for short?.   		3 letters",PSA.    	Public service announcement (PSA)
Maximum number of terms for a U.S.   		3 letters,"TWO.    	Since the days of President George Washington, there was an informal tradition that a US President could hold office for two terms, but would not run for a third. Franklin D. Roosevelt was the only president to break with this tradition. President Roosevelt was elected to office four times, and died a few months after starting his fourth term. It was President Roosevelt's decision to ignore the term limit tradition that led to the adoption of the Twenty-Second Amendment of the Constitution, which provides that 'no person shall be elected to the office of President more than twice'."
"The Indians, on scoreboards.   		3 letters","CLE.    	The Cleveland baseball franchise started out in 1869 as the Forest Citys named after ""Forest City"", which is the nickname for Cleveland. After a number of transitions, in 1914 the team took on the name ""Indians"". The media came up with name ""Indians"" after being asked for suggestions by the team owners. ""Indians"" was inspired by the successful Boston team of the day, the Boston Braves."
Smidgen.   		3 letters,"TAD.    	Our word 'smidgen', meaning a small amount, might come from the Scots word 'smitch' that means the same thing or ""a small insignificant person""."
"Comic Meadows formerly of ""S.N.L."".   		3 letters",TIM.    	Tim Meadows is a comedian and actor who was a cast member on 'Saturday Night Live' (SNL) from 1991 to 2000. That nine years is one of the longest tenures of any SNL cast member.
"""___ Beso"".   		3 letters","ESO.    	""Eso Beso"" is Spanish for ""That Kiss"", and is the name of a hit song recorded by Canadian-born singer Paul Anka."
Game-ending cry.   		3 letters,GIN.    	Gin rummy is a variant of the slower game of standard rummy and was introduced in 1909 by Elwood Baker and his son.
Greek letter associated with the 33-Across.   		3 letters,"PHI.    	The golden ratio, denoted by the Greek letter phi, is a mathematical constant that often turns up in the world of art. Phi is approximately equal to 1.61, and is represented by the two distances, a and b, where (a+b)/a = a/b. Somehow we perceive the ratio of 1.61 as ""pleasing"" so it appears in many works of art and in building design. For example, many aspects of the Parthenon in Athens have the ratio of 1.61 (width compared to height). Leonardo da Vinci's famous drawing of the Vitruvian Man also illustrates the golden ratio in the proportions of the human body, where he shows that the distance from the foot to the navel, compared to the distance from the navel to the head, is 1.61."
Arp contemporary.   		5 letters,"ERNST.    	Max Ernst was a painter and sculptor, a pioneer in the Dada movement and Surrealism. Ernst was born near Cologne in Germany in 1891 and he was called up to fight in WWI, as were most young German men at that time. In his autobiography he writes ""Max Ernst died the 1st of August, 1914"" a statement about his experiences in the war. In reality, Ernst died in 1976 having lived to the ripe old age of 85."
Ballplayer with a 40-Down logo.   		5 letters,ASTRO.    	40. See 34-Across : STAR
Frank Rich piece.   		5 letters,"ESSAY.    	Frank Rich was until relatively recently the chief theatre critic for the New York Times. Prior to taking that position, Rich was an essayist and op-ed columnist for the same paper."
Old N.Y.C.   		3 letters,"IRT.    	The Interborough Rapid Transit Company was the original, private operator of the New York Subway when it opened in 1904. The city took over ownership of the system in 1940, but the lines originally operated by the IRT are still known by the IRT moniker."
___ Krishna.   		4 letters,HARE.    	The Hare Krishna mantra dates back to the 15th century. It is a 16-word mantra that can be written as:
U.N.   		3 letters,"ILO.    	The ILO (International Labour Organization) is an agency now administered by the UN, but it was established by the League of Nations after WWI. The ILO deals with important issues such as health and safety, discrimination, child labor and forced labor. The organization was recognized for its work in 1969 when it was awarded the Nobel Peace Prize."
"Blue Jays, on a scoreboard.   		3 letters","TOR.    	The Toronto Blue Jays, founded in 1977, are the only team outside the US to win a World Series, doing so in 1992 and 1993. And, now that Montreal Expos have relocated to Washington, the Blue Jays are now the only Major League Baseball Team outside of the US."
32-Down's woodlands mate.   		3 letters,DOE.    	32. 62-Across's woodlands mate : STAG
"Hall monitors, briefly.   		3 letters","RAS.    	RAs are resident assistants or resident advisers, the peer leaders found in residence halls, particularly on a college campus."
"Her, to Henriette.   		3 letters","SES.    	'Ses' is the French word for 'his', 'her' or 'its', when referring to a group of items."
Häagen-Dazs competitor.   		5 letters,"EDY'S.    	Dreyers' ice cream sells its products under the name Dreyers in the Western United States, and Edy's in the Eastern states. The company's founders were William Dryer and Joseph Edy."
What can take your breath away in L.A.?.   		4 letters,"SMOG.    	""Smog"" is of course a portmanteau word formed by melding ""smoke"" and ""fog"". The term was first used to describe the air around London in the early 1900s."
Loo.   		3 letters,"LAV.    	When I was growing up in Ireland, a ""bathroom"" was a room that had a bath and no toilet. The separate room with the commode was called ""the toilet"" or sometimes the W.C. (the water closet). Apparently the term closet was used because in the 1800s when homeowners started installing toilets indoors they often displaced clothes in a ""closet"", as a closet was the right size to take the commode. It has been suggested that the British term ""loo"" comes from Waterloo (water-closet ... water-loo), but no one seems to know for sure."
"That, in a bodega.   		3 letters","ESO.    	'Bodega' is the Spanish term for a winery, or these days also a grocery store."
Veto from Vladimir.   		4 letters,"NYET.    	""Nyet"" is Russian for ""no"", and 'da' is Russian for 'yes'."
Smidgen.   		3 letters,"TAD.    	Back in the 1800s ""tad"" was used to describe a young child, and this morphed into our usage of ""small amount"" in the early 1900s. The original use of ""tad"" for a child is very likely a shortened version of ""tadpole""."
2015 Oscars host ___ Patrick Harris.   		4 letters,"NEIL.    	Neil Patrick Harris got his big break very early in his career, playing the title role in television's 'Doogie Howser, M.D.' More recently he played a lead roles on the sitcom 'How I Met Your Mother', portraying the shallow womanizer Barney Stinson. Harris is also quite the magician and serves on the Board of Directors of Hollywood's Magic Castle, a nightclub for magicians and magic enthusiasts."
Indigo source.   		4 letters,"ANIL.    	Anil is another name for the indigo plant, as well as the name for the blue indigo dye that is obtained from it. The color of anil is relatively close to navy blue."
Story accompanier.   		3 letters,"ART.    	Some stories when published are illustrated with art, I guess ..."
___-Magnon.   		3 letters,"CRO.    	Remains of early man, dating back to 35,000 years ago, were found in Abri de Cro-Magnon in southwest France, giving the name to those early humans. Cro-Magnon remains are the oldest human remains that have been discovered in Europe."
He's no gentleman.   		3 letters,"CAD.    	Our word ""cad"", meaning ""a person lacking in finer feelings"", is a shortening of the word ""cadet"". ""Cad"" was first used for a servant, and then students at British universities used ""cad"" as a term for a boy from the local town. ""Cad"" took on its current meaning in the 1830s."
Pollution that may sting the eyes.   		4 letters,"SMOG.    	""Smog"" is of course a portmanteau word, formed by melding ""smoke"" and ""fog""."
County NE of London.   		5 letters,"ESSEX.    	Essex is a county in England, referred to as one of the 'home counties'."
Target of a filter.   		4 letters,"SPAM.    	I think that the oft-quoted story may be true that the term ""SPAM"", used for unwanted email, is taken from a ""Monty Python"" sketch. In the sketch (which I've seen) the dialog is taken over by the word SPAM, a play on the glut of canned meat in the markets of Britain after WWII. So ""SPAM"" is used for the glut of emails that takes over online communication. I can just imagine nerdy Internet types (like me) adopting something from a ""Monty Python"" sketch to describe an online phenomenon ..."
Many a base player.   		3 letters,"CAD.    	Our word ""cad"", meaning ""a person lacking in finer feelings"", is a shortening of the word ""cadet"". ""Cad"" was first used for a servant, and then students at British universities used ""cad"" as a term for a boy from the local town. ""Cad"" took on its current meaning in the 1830s."
Harvard Sq.   		3 letters,"STA.    	The Massachusetts Bay Transportation Authority is called the MBTA, or more usually 'the T'. It's called 'the T' because the company's logo is the letter T in a circle."
Dostoyevsky's denial.   		4 letters,"NYET.    	""Nyet"" is the Russian for ""no""."
Op-ed piece.   		5 letters,"ESSAY.    	Op-ed is an abbreviation for ""opposite the editorial page"". Op-eds started in ""The New York Evening World"" in 1921 when the page opposite the editorials was used for articles written by a named guest writer, someone independent of the editorial board."
"Sauce that's made ""Old World Style"".   		4 letters","RAGU.    	The Ragu brand of pasta sauce is owned by Unilever. The name ""Ragu"" is the Italian word for sauce used to dress pasta, however, the spelling is off a little. In Italian the word is ""Ragù"" with a grave accent over the ""u"", but if you look at a jar of the Unilever sauce, it is spelled ""Ragú"" on the label, with an acute accent. Sometimes I think we just don't try ..."
Resident of a country that's 97% mountains and desert.   		5 letters,"OMANI.    	Oman is lies on the southeast coast of the Arabian Peninsula, neighbored by the OAE, Saudi Arabia and Yemen. Most of central Oman is covered by a gravel desert, with mountains along the north and southeast coasts."
Indian melody.   		4 letters,"RAGA.    	Raga isn't really a type of music, but has been described as the ""tonal framework"" in which Indian classical music is composed. Ravi Shankar is perhaps the most famous raga virtuoso (to us Westerners)."
French article.   		3 letters,"UNE.    	The indefinite article in French is 'un' or 'une', depending on gender of the associated noun."
Swarming annoyance.   		4 letters,"GNAT.    	Gnats are attracted to the smell of rotting food, and to vinegar. Simple homemade traps that use vinegar are often constructed to attract and kill gnats."
Buzzing annoyance.   		4 letters,"GNAT.    	Gnats are attracted to the smell of rotting food, and to vinegar. Simple homemade traps that use vinegar are often constructed to attract and kill gnats."
Editor ___ A.   		3 letters,"NAN.    	Nan Talese is an editor working at Doubleday. She is married to author Gay Talese, who is apparently in the process of writing a novel based on their life together."
"Result of a bases-loaded walk, briefly.   		3 letters",RBI.    	Runs batted in (RBI)
Lancaster County folk.   		5 letters,"AMISH.    	The Amish are a group of Christian churches, a sub-group of the Mennonite churches. The Amish church originated in Switzerland and Alsace in 1693 when it was founded by Jakob Ammann. It was Ammann who gave the name to the Amish people. Many Amish people came to Pennsylvania in the 18th century."
Athletic shoe brand.   		4 letters,"AVIA.    	The Avia brand name for athletic shoes was chosen as ""avia"" is the Latin word for ""to fly"", and suggests the concept of aviation. Avia was founded in Oregon in 1979."
Kind of adapter.   		5 letters,"AC/DC.    	Anyone with a laptop with an external power supply has an AC/DC converter, that big 'block' in the power cord. It converts the AC current from a wall socket into the DC current that is used by the laptop."
One a woman can't trust.   		3 letters,"CAD.    	Our word ""cad"", meaning ""a person lacking in finer feelings"", is a shortening of the word ""cadet"". ""Cad"" was first used for a servant, and then students at British universities used ""cad"" as a term for a boy from the local town. ""Cad"" took on its current meaning in the 1830s."
"""The proper task of life,"" per Nietzsche.   		3 letters",ART.    	Friedrich Nietzsche was a German philosopher. Not my cup of tea ...
"Rugged four-wheeler, briefly.   		3 letters",ATV.    	All-terrain vehicle (ATV)
No-name last name.   		3 letters,"DOE.    	Although the English court system does not use the term today, John Doe first appeared as the ""name of a person unknown"" in England in 1659, along with another unknown, Richard Roe. The female equivalent of John Doe is Jane Doe, with the equivalent to Richard Roe being Jane Roe (as in Roe v. Wade, for example)."
"Pennsylvania and Erie, once: Abbr..   		3 letters","RRS.    	The Pennsylvania Railroad (PRR) was a large rail network in the northeast that was founded in 1846. Even though the 'Pennsy' (as it was called) was the busiest railroad in the first half of the twentieth century, it went out of business in 1968. The PRR was also the largest public company in the world at one point, and it still holds the record for the longest continuous dividend history, having paid out an annual dividend for over a hundred years in a row."
"Paul Anka's ""___ Beso"".   		3 letters","ESO.    	""Eso Beso"" is Spanish for ""That Kiss"", and was the name of a hit for Canadian-born singer Paul Anka."
Article abroad.   		3 letters,DER.    	'Der' is one form of the word 'the' in German.
Like the 13 Colonies: Abbr..   		3 letters,"ENG.    	The original thirteen colonies collaborated to set up a Continental Congress that led to the declaration of independence in 1776. There was a larger set of colonies in British America at that time, but the remainder opted to stay loyal to the Crown. The loyal colonies were the British West Indies, Newfoundland, the Province of Quebec, Nova Scotia, and East and West Florida. "
Venetian mapmaker ___ Mauro.   		3 letters,"FRA.    	Fra Mauro was a 15th-century monk who lived in the Monastery of St. Michael in the Republic of Venice. Prior to entering the monastic life, Mauro had been much-traveled merchant and soldier. As a monk, he became a cartographer and made maps of the world in consultation with city merchants who traveled the globe. The 'Fra Mauro Map' is a famous map of the world he created in 1459 that is surprisingly accurate."
"Moses Malone, on the 76ers.   		3 letters",TWO.    	Moses Malone played in both the ABA and NBA. When he retired in 1995 he was the last former player from the defunct ABA who was still playing professional basketball.
Nike competitor.   		4 letters,"AVIA.    	The Avia brand name for athletic shoes was chosen as ""avia"" is the Latin word for ""to fly"", and suggests the concept of aviation. Avia was founded in Oregon in 1979."
