Tinker to ___ to Chance (classic double play).   		5 letters,EVERS.    	Baseball's Sad Lexicon' is a poem written by Franklin Pierce Adams in 1910:
No gentleman.   		4 letters,"RAKE.    	A ""rake"" (short for 'rakehell') is defined as a man who is habituated to immoral conduct (isn't it always the man??!!). The rake is a character who turns up frequently in novels and films, only interested in wine, women and song and not accepting the responsibilities of life. Good examples would be Wickham in Jane Austen's ""Pride and Prejudice"" and Daniel Cleaver (the Hugh Grant part) in the movie ""Bridget Jones's Diary"". ""Rake"" comes from the Old Norse ""reikall"", meaning ""vagrant or a wanderer""."
Oscar winner Swinton.   		5 letters,"TILDA.    	Tilda Swinton is an English actress, quite famous in her native land. Swinton made a big name for herself outside the UK when she played the 'baddie' in the 2007 movie 'Michael Clayton', opposite the 'goodie' played by George Clooney."
Trail rider's concoction.   		4 letters,"GORP.    	Gorp' is the name sometimes used for trail mix, particularly by hikers. It's not really known for sure how this name came about, but some say it stands for 'good old raisins and peanuts' or perhaps 'gobs of raw protein'."
"Gyllenhaal of ""Brokeback Mountain"".   		4 letters","JAKE.    	Jake Gyllenhaal's most famous role has to be as co-star with Heath Ledger in ""Brokeback Mountain"", but he has also had lead roles in big movies like ""The Day After Tomorrow"", ""Jarhead"" and ""Rendition""."
"Snack brand represented by Sterling Cooper on ""Mad Men"".   		3 letters","UTZ.    	Utz is the largest, privately held, producer of snack foods in the US. The company was founded in 1921 and is based in Hanover, Pennsylvania."
"Zac of ""The Lorax"".   		5 letters","EFRON.    	Zac Efron is an actor from San Luis Obispo, California. Apparently Efron is a heartthrob to 'tweenyboppers'. His big break was in the Disney hit movie 'High School Musical'."
Impressionist Edgar who painted ballerinas.   		5 letters,"DEGAS.    	Edgar Degas was a French artist, famous for his paintings and sculptures. Some of Degas' most beautiful works feature female ballet dancers, and others depict women bathing."
Early Chinese dynasty.   		4 letters,"HSIA.    	The Xia (also 'Hsia') Dynasty was the first Chinese Dynasty, lasting from about 2070 to 1600 BCE."
Common flavorer in Italian sausage.   		6 letters,"FENNEL.    	Fennel is a hardy perennial plant species in the celery family that is used as a herb. Personally, I can't stand fennel ..."
Wrapper abbr.   		5 letters,NT WT.    	Net weight (Nt. Wt.)
Manchester man.   		5 letters,BLOKE.    	'Bloke' is British slang for a fellow. The etymology of 'bloke' seems to have been lost in the mists of time.
Workers' rights org.   		4 letters,NLRB.    	The National Labor Relations Board (NLRB) was set up in 1935. The NLRB is an independent government agency with the roles of conducting elections for labor unions as well as investigating and rooting out any labor practices that are deemed to be unfair.
Something to hold down.   		4 letters,"FORT.    	Our expression 'to hold down the fort' means to take care of things temporarily in someone's absence. The phrase was originally written as 'hold the fort', and is an expression that may date back to Roman times when it had the literal meaning of retaining control of the defensive structure."
Olympian Louganis.   		4 letters,GREG.    	Greg Louganis is an American Olympic diver. Louganis won gold medals at the 1984 and the 1988 Summer Games. He wrote an autobiography in 1996 called 'Breaking the Surface' in which he disclosed that he has tested positive for HIV and is openly gay. You can see Louganis on television as the Dive Master in the show 'Splash'.
Cavity detector.   		5 letters,"X-RAY.    	X-rays were first studied comprehensively by the German physicist Wilhelm Röntgen (also ""Roentgen""), and it was he who gave the name ""X-rays"" to this particular type of radiation. Paradoxically, in Röntgen's native language of German, X-rays are routinely referred to as ""Röntgen rays"". In 1901 Röntgen won the first Nobel Prize in Physics that was ever awarded, recognition for his work on X-rays."
Wind-blown.   		7 letters,"AEOLIAN.    	Aeolus was the ruler of the winds in Greek mythology, and he gave his name to the adjective ""aeolian"" (also 'aeolic, eolic') meaning ""windblown"", something produced or carried by the wind. For example, an aeolian harp is a fascinating instrument; a box with a sounding board and strings that is ""played"" by the wind as it blows."
"""Your turn,"" on a walkie-talkie.   		4 letters","OVER.    	The more formal name for a walkie-talkie is a handheld transceiver. A walkie-talkie is a handheld, two-way radio, a device first developed for military use during WWII by Motorola (although others developed similar designs soon after). The first walkie talkie was portable, but large. It was back-mounted and was carried around the battlefield by a radio officer."
Cry from Scrooge.   		4 letters,"BAH!.    	The classic 1843 novella ""A Christmas Carol"" by Charles Dickens has left us with a few famous phrases and words. Firstly, it led to the popular use of ""Merry Christmas"", and secondly it gave us the word ""scrooge"" meaning a miserly person. And thirdly, everyone knows that the character Scrooge was fond of using the now famous line ""Bah! Humbug!""."
It's big in Japan.   		4 letters,"FUJI.    	Mount Fuji is Japan's highest and most famous mountain. It is an active volcano, situated just west of Tokyo."
"Blazers, e.g., in brief.   		4 letters","SUVS.    	The term SUV, an acronym for Sports Utility Vehicle, was introduced by our marketing friends. Using the term Sports Utility Vehicle was a very clever way to get us to pay a lot of money for what was essentially a station wagon on a truck chassis, or at least it was back then."
Peer group?.   		4 letters,EYES.    	One's eyes are a group of two organs that peer all around.
Joe.   		3 letters,"MUD.    	It seems that no one really knows why we refer to coffee as ""joe"", but we've been doing so since early in WWII."
"___, zwei, drei ...   		4 letters","EINS.    	'Eins, zwei, drei, vier' is German for 'one, two, three, four'."
Big 1970s-'80s band with a geographical name.   		6 letters,"BOSTON.    	Boston is a rock band from ... Boston. Boston's biggest hit I think is 'Amanda', released in 1986."
1930 tariff act co-sponsor.   		5 letters,"SMOOT.    	The Smoot-Hawley Tariff Act of 1930 was sponsored by Senator Reed Smoot and Representative Willis C. Hawley. The act raised tariffs on imported goods to record levels, the second highest in US history. The strategy appeared to work at first, protecting US jobs in the early days of the depression. But as many anticipated, tariffs were raised in retaliation by other countries and US exports plummeted. Many economists blame the 1930 Tariff Act for the depth of the Great Depression."
"Author of Gothic short stories, in short.   		6 letters","EA POE.    	Edgar Allan Poe lived a life of many firsts. Poe is considered to be the inventor of the detective-fiction genre. He was also the first notable American author to make his living through his writing, something that didn't really go too well for him as he was always financially strapped. In 1849 he was found on the streets of Baltimore, delirious from either drugs or alcohol. Poe died a few days later in hospital at 39 years of age."
M asset.   		4 letters,"BOND.    	The character 'M' in the 'James Bond' stories is the head of Secret Intelligence Service, also called MI6. The name 'M' is chosen as a nod to former head of MI5 Maxwell Knight who routinely signed his memos simply as 'M'."
Abnormal swelling.   		5 letters,"EDEMA.    	Both animals and plants can suffer from edema, a swelling cause by excessive accumulation of fluid."
Sam's ___.   		4 letters,"CLUB.    	Sam's Club is owned and operated by Walmart and is named after the company's founder, Sam Walton."
"Downward force felt on the surface of the earth, informally.   		5 letters","ONE G.    	The force of gravity that we all feel is referred to as 'one G'. As gravity is a actually an accelerating force, acceleration is measured relative to that force of gravity. So, if we are sitting in a vehicle that accelerates at 3G, then we are experiencing a force that is three times that which we feel from the gravitational pull of the earth. Zero-G is weightlessness that is experienced when in space, outside the influence of the earth's gravity."
"""The Hunger Games"" and others.   		5 letters","EPICS.    	'The Hunger Games' is a 2008 novel by Suzanne Collins, the first in a trilogy of titles that also includes 'Catching Fire' (2009) and 'Mockingjay' (2010). 'The Hunger Games' was adapted into a very successful movie released in 2012, with the sequels following soon after."
Quid pro ___.   		3 letters,"QUO.    	'Quid pro quo' is Latin for ""something for something"", a swap."
German beer now owned by the Pabst Brewing Company.   		7 letters,"STROH'S.    	Bernard Stroh was the son of a German brewer. Stroh immigrated to the US in 1848 and set up his own brewery in 1850 in Detroit. Years later, the Stroh Brewing Company introduced a European process called fire-brewing. This results in higher temperatures at a crucial stage in the brewing process, supposedly bringing out flavor. Stroh's is the only American beer that still uses this process."
Line 22 on Form 1040.   		6 letters,"INCOME.    	Form 1040 was originally created just for tax returns from 1913, 1914 and 1915, but it's a form that just keeps on giving ..."
"Lun ___ (Tuptim's beloved in ""The King and I"").   		3 letters","THA.    	The King and I' is a Rodgers and Hammerstein musical based on a book by Margaret Landon called 'Anna and the King of Siam' first published in 1944. Landon's book is based on a true story, told in the memoirs of Anna Leonowens. Leonowens was the governess of the children of King Mongkut of Siam in the 1860s, and she also taught the king's wives."
"Happily, old-style.   		4 letters","LIEF.    	Lief means willingly, gladly. A lovely word ..."
Completely con.   		4 letters,"HOSE.    	'To hose' is a slang term meaning to cheat, or trick."
Club ___.   		3 letters,"MED.    	Club Méditerranée is usually referred to as 'Club Med'. It is a French company that started in 1950 with a resort on the Spanish island of Mallorca in the Mediterranean. It was originally a ""club"" with annual membership dues. Now it is an operator of numerous all-inclusive resorts located all over the world."
Honshu peak.   		4 letters,"FUJI.    	Mount Fuji is Japan's highest and most famous mountain. It is an active volcano, and is located just west of Tokyo."
"13-Down, in Dresden.   		7 letters",STRASSE.    	(13D. Way to go : STREET)
Chef Paula.   		4 letters,"DEEN.    	Paula Deen is a celebrity chef from Savannah, Georgia who is noted for her Southern cooking. Deen has been criticized for the amount of salt, fat and sugar in her recipes. The criticism became even more intense when Deen disclosed that she herself has been diagnosed with Type 2 diabetes."
Ideal world.   		6 letters,"UTOPIA.    	The word 'Utopia' was coined by Sir Thomas More for his book ""Utopia"" published in 1516 describing an idyllic fictional island in the Atlantic Ocean. More's use of the name Utopia comes from the Greek ""ou"" meaning ""not"" and ""topos"" meaning ""place"". By calling his perfect island ""Not Place"", More was apparently making the point that he didn't think that the ideal could actually exist."
More yang than yin: Abbr..   		4 letters,"MASC.    	The yin and the yang can be explained using many different metaphors. In one, as the sun shines on a mountain, the side in the shade is the yin and the side in the light is the yang. The yin is also regarded as the feminine side, and the yang the masculine. The yin can also be associated with the moon, while the yang is associated with the sun."
___ boom.   		5 letters,"SONIC.    	Supersonic transports (SSTs) like the Concorde broke Mach 1, the speed of sound. As a plane flies through air, it creates pressure waves in front (and behind) rather like the bow and stern waves of a boat. These pressure waves travel at the speed of sound, so as an aircraft itself accelerates towards the speed of sound it catches up with the pressure waves until they cannot ""get out of the way"". When the aircraft reaches the speed of sound, the compressed waves merge into one single shock wave, creating a sonic boom."
Nosh on the trail.   		4 letters,"GORP.    	Gorp' is the name sometimes used for trail mix, particularly by hikers. It's not really known for sure how this name came about, but some say it stands for 'good old raisins and peanuts' or perhaps 'gobs of raw protein'."
Forest vine.   		5 letters,LIANA.    	Liana (also 'liane') is the name give to a vine that generally grows in moist areas such as rain forests. Lianas grow using the trees in the forest as structural support. My bet is that Tarzan swung from tree to tree on liana vines ...
Sports org.   		3 letters,"MLS.    	The Colorado Rapids are a professional soccer team that is competing in Major League Soccer (MLS), North America's highest professional soccer league."
"""You're welcome, amigo"".   		7 letters","DE NADA.    	""Nada"" is the Spanish word for ""nothing"". ""De nada"" translates literally from the Spanish as ""of nothing"", and is used to mean ""you're welcome"" or ""don't mention it"". The French have the same expression ""de rien"", also translating to ""of nothing"" and used the same way."
Common ground?.   		6 letters,"BOSTON.    	Boston Common was built in 1634, making it the oldest city park in the country."
"Someone who's ""in the kitchen"" in ""I've Been Working on the Railroad"".   		5 letters",DINAH.    	'I've Been Working on the Railroad' is a folk song that first appeared in print in 1894. The first verse is:
Musket loader.   		6 letters,RAMROD.    	A ramrod is a 'stick' that is inserted into the barrel of an older firearm in order to pack the bullet or ball tightly against the charge of gunpowder. A ramrod can also be used to push a cleaning rag through the barrel of a gun.
Little Joe's half brother of old TV.   		4 letters,"HOSS.    	Dan Blocker was the actor who played Hoss Cartwright in the famous TV show ""Bonanza"". Hoss was the ""slow"" character on the show. Paradoxically, Dan Blocker was the most educated member of the cast, having earned a Masters Degree in the dramatic arts. Blocker passed away while ""Bonanza"" was still running. He was undergoing relatively routine gallbladder surgery and developed a pulmonary embolism which killed him. Bonanza ran for just one more season after Blocker passed away."
Times Square sign shown in lowercase letters.   		4 letters,TKTS.    	The 'tkts' booths sell discount theater tickets in Times Square in New York and in the West End of London.
Seattle's ___ Field.   		6 letters,"SAFECO.    	Safeco Field is the home of the Seattle Mariners. Safeco Insurance was the highest bidder when it came to christening the new stadium opened in 1999, paying $40m for a 20-year contract."
Dis twice?.   		4 letters,"DESE.    	The New York dialect of English is sometimes called Brooklynese, I believe. In Brooklynese, we might take 'dis', 'dat', 'dese' or 'dose'."
Basil or bugbane.   		4 letters,"HERB.    	Traditionally, basil is considered 'the king of herbs'. And in fact, the herb's name comes form the Greek 'basileus' meaning 'king'."
Its bottles feature red triangles.   		8 letters,"BASS ALE.    	The red triangle on the label of a bottle of Bass Ale was registered in 1875 and is UK Registered Trade Mark (TM) No: 00001, the first trade mark issued in the world."
Not a facsimile: Abbr..   		4 letters,"ORIG.    	A facsimile is a copy. The term comes from the Latin phrase 'fac simile' meaning 'make similar', with 'fac' being the imperative form of 'facere', to make."
"Little chow, say.   		3 letters","PUP.    	The Chow Chow is a breed of dog that originated in China. The Chinese name for the breed is 'Songshi Quan', which translates as 'puffy-lion dog', a rather apt name given its appearance ..."
"Company advertised with the slogan ""So easy a caveman can do it"".   		5 letters","GEICO.    	GEICO was founded in 1936 with a very specific mission, to provide auto insurance for employees of the federal government and their families, hence the name Government Employees Insurance Company (GEICO). GEICO is a private company, despite the word ""government"" in its name. The founders' idea was to focus on government employees as they believed such a group represented a lower risk profile than the rest of the population. Nowadays any qualifying person can take out a policy with GEICO."
Jordan feature.   		9 letters,"SPACE JAM.    	'Space Jam' is a 1996 movie that is a fictional account of the retirement of Michael Jordan from the NBA. Michael Jordan himself stars in the film, along with a whole host of 'Looney Tunes' cartoon characters."
World headquarters of LG Electronics.   		5 letters,"SEOUL.    	LG is a very large, South Korean manufacturer of electronics, chemicals and telecom products. LG used to be known as Lucky-Goldstar."
Success story for Cupid.   		5 letters,MATCH.    	Cupid is the god of desire and erotic love in Roman mythology. The Greek counterpart of Cupid is Eros.
Cadillac model that debuted in 2012.   		3 letters,ATS.    	The Cadillac model known as the ATS is so called because it is an 'A-Series Touring Sedan'.
"Eye, to a bard.   		3 letters","ORB.    	Our word 'bard' comes from the Old Celtic word 'bardos' which means 'poet, singer'."
City near Phoenix.   		5 letters,TEMPE.    	Tempe is a city in the metropolitan area of Phoenix. The city is named for the Vale of Tempe in Greece.
Herder from Wales.   		5 letters,"CORGI.    	The Welsh corgi is a herding dog, and one of the oldest breeds in Britain. Corgis aren't speedy enough to do their job by running around livestock like collies, and instead nip at the heels."
"""The World on Time"" courier.   		5 letters","FEDEX.    	FedEx began operations in 1973 as Federal Express, but now operates very successfully under it's more catchy abbreviated name. Headquartered in Memphis with its ""SuperHub"" at Memphis International Airport, FedEx is the world's largest airline in terms of tons of freight flown. And due to the presence of FedEx, Memphis Airport has the largest-volume cargo operation of any airport worldwide."
False god.   		4 letters,"BAAL.    	The name 'Baal' was used for several gods and sometimes human officials by ancient Semitic peoples. In the Hebrew Bible, Baal is notably cited as a false god. As a result, we sometimes use the term 'baal' today to mean a false god or an idol."
"Green with the 2010 hit ""Forget You"".   		6 letters",CEE LO.    	Cee Lo Green is the stage name of rapper Thomas DeCarlo Callaway. That's all I need to know ...
Benghazi's land.   		5 letters,"LIBYA.    	Benghazi is the second largest city in Libya, after the capital Tripoli. It is a port city, lying on the Mediterranean Sea."
Object in the right hand of the king of clubs.   		3 letters,ORB.    	It is said that the king of clubs in a pack of playing cards is said to represent Alexander the Great.
Some washers.   		3 letters,"GES.    	The General Electric Company is usually referred to simply as 'GE'. One of the precursor companies to GE was Edison General Electric, founded in 1890 by the inventor Thomas Edison. What we know today as GE was formed two years later when Edison merged his company with Charles Coffin's Thomson-Houston Electric Company. In 1896, GE was selected as one of the 12 companies listed on the newly formed Dow Jones Industrial Average. GE is the only one of the original 12 that is still on that list. I spent over ten years with GE at the beginning of my working career, and in fact it was GE that asked me to transfer to the US back in the 1980s ..."
One-named supermodel.   		4 letters,"IMAN.    	Iman Mohamed Abdulmajid is a supermodel from Somalia who goes simply by the name ""Iman"" these days. Iman is smart cookie. Imam has a degree in Political Science and is fluent in five languages: Somali, Arabic, Italian, French and English. Since 1992 Iman has been married to British rock star David Bowie."
Benghazi's land.   		5 letters,"LIBYA.    	Benghazi is the second largest city in Libya, after the capital Tripoli. It is a port city, lying on the Mediterranean Sea."
Mother ___.   		5 letters,"JONES.    	Mary Harris Jones was a labor and community organizer who was so successful at orchestrating strikes of mine workers in the early 1900s that she became known in some circles as 'the most dangerous woman in America'. Jones spent her formative years in her native Ireland before emigrating to the US via Canada. She settled in Memphis, Tennessee where her life was struck with tragedy. She lost her husband and all four of their children in an outbreak of yellow fever. Much later in her life she was given the moniker 'Mother Jones'."
Take it as a sign.   		5 letters,"PULSE.    	One's 'pulse' is the rhythmic throbbing of arteries that is usually detected at the wrist or the neck. The contraction of the heart creates a pressure wave in the blood that moves the arterial walls, which is detected as the pulse."
Pocket watch accessory.   		3 letters,"FOB.    	A fob is attached to another object to make access to it easier. And so a key fob is a chain attached to a key so that it can be retrieved easily. There are also watch fobs, of course."
"""___ Arrives"" (1967 soul album).   		6 letters","ARETHA.    	I think Aretha Franklin, the Queen of Soul, had a tough life. Franklin had her first son when she was just 13-years-old, and her second at 15. In 2008, ""Rolling Stone"" magazine ranked Franklin as number one in their list of the greatest singers of all time."
Automaton of Jewish folklore.   		5 letters,"GOLEM.    	Golem is Yiddish slang for ""dimwit"". In Jewish folklore a golem is an anthropomorphic being made out of inanimate matter, somewhat like an unintelligent robot."
Ray Charles hit of 1963.   		6 letters,"NO ONE.    	Ray Charles came up with his stage name by dropping the family name from his real moniker, Ray Charles Robinson. His life was a wild ride, well represented in the excellent biopic called 'Ray' released in 2004 and starring Jamie Foxx in the title role. Ray Charles was married twice and fathered 12 children with nine different women. As I said, a wild ride ..."
Company in a 2001 merger with Chevron.   		6 letters,"TEXACO.    	Texaco gets its name from ""The TEXA-s CO-mpany"". Today's it's just a brand name owned by Chevron, but it used to be its own operation, founded as the Texas Fuel Company in 1901."
Baseball's Iron Horse.   		6 letters,"GEHRIG.    	Lou Gehrig was known as a powerhouse. He was a big hitter and just kept on playing. He broke the record for the most consecutive number of games played, and he stills holds the record for the most career grand slams. His durability earned him the nickname ""The Iron Horse"". Sadly, he died in 1941 at 37-years-old suffering from amyotrophic lateral sclerosis (ALS), an illness we now call ""Lou Gehrig's Disease""."
Texas border city.   		7 letters,"DEL RIO.    	Del Rio is a border city in Texas, sitting opposite the Ciudad Acuña in the Mexican state of Coahuila. Del Rio was chosen as the site for Laughlin Air Force Base back in the forties. It was closed after a few years, but reopened during the Cold War mainly for flight training. Laughlin is now the busiest flight training base in the US Air Force."
"Canseco who wrote ""Juiced"".   		4 letters","JOSE.    	José Canseco is a former Major League Baseball player originally from Cuba. Canseco wrote a tell-all book called 'Juiced', that was published in 2005, in which Canseco admitted to steroid use and claimed that 85% of all major league players took steroids. Some former teammates named by Canseco have since admitted to using steroids, including Jason Giambi and Mark McGwire."
At the home of.   		4 letters,"CHEZ.    	""Chez"" is a French term meaning ""at the house of"", which comes from the Latin word ""casa"" meaning ""cottage"" or ""hut""."
Heart-felt thing?.   		5 letters,"PULSE.    	One's 'pulse' is the rhythmic throbbing of arteries that is usually detected at the wrist or the neck. The contraction of the heart creates a pressure wave in the blood that moves the arterial walls, which is detected as the pulse."
"Word on either side of ""à"".   		3 letters","VIS.    	We use the French phrase ""vis-a-vis"" to mean ""with regard to"" or ""in relation to"". The literal translation from the French is ""face to face"". When we imported the phrase into English in the mid-1700s, it had two other meanings that were more faithful to the original. Firstly, it could be a ""face to face"" meeting (not so today), and secondly, it was a type of carriage in which the occupants faced each other."
"Condition for the easily distracted, for short.   		4 letters","ADHD.    	The ""official"" name for the condition we sometimes still refer to as ""attention deficit disorder"" (ADD) is ""attention-deficit hyperactivity disorder"" (ADHD)."
Garment traditionally buttoned on the left side.   		6 letters,"BLOUSE.    	I don't know if it is true but I've heard that men's garments button the right because most people are right-handed and so buttons on the right make it easier for a man to dress. Women's garments have buttons on the left because in days gone by, a well-to-do lady would have a maid to dress her. The buttons on the left made it easier for the right-handed maid to dress her lady while she stood in front of her."
Honor society letter.   		5 letters,"KAPPA.    	Phi Beta Kappa was the first collegiate Greek fraternity in the US, founded in 1776 at the College of William and Mary. The organization served as a model for future collegiate fraternities and sororities, although in the 19th century Phi Beta Kappa distanced itself from the fraternal focus and transformed into the honor society that it is today, recognizing academic excellence. The initials Phi Beta Kappa stand for ""philosophia biou kybernētēs"", which translates into ""philosophy is the guide of life"". The symbol of the Phi Beta Kappa Society is a golden key."
Tour de France stage.   		5 letters,"ETAPE.    	""Étape"" is the French word for stage, as in a ""stage"" in the Tour de France. It is used in English military circles to describe where troops halt overnight, but can also describe the section of the march itself. So, a march can be divided into stages, into étapes."
Patriots' grp.   		3 letters,"AFC.    	The New England Patriots football team was founded in 1959 as the Boston Patriots. The 'Patriots' name was selected from suggestions made by football fans in Boston. The team played at several different stadiums in the Boston area for just over ten years, before moving to their current home base in Foxborough, Massachusetts. At the time of the move, the 'Boston' name was dropped and changed to 'New England'."
Settings of Delacroix and Ingres paintings.   		6 letters,"HAREMS.    	""Harem"" is a Turkish word, derived from the Arabic for ""forbidden place"". Traditionally a harem was the female quarters in a household in which a man had more than one wife. Not only wives (and concubines) would use the harem, but also young children and other female relatives. The main point was that no men were allowed in the area."
Like Navy SEALs.   		5 letters,"ELITE.    	SEAL is an acronym used by the US Navy's SEa, Air and Land teams. The SEALs were born out of the Navy's special warfare groups from WWII, like the Underwater Demolition Teams and the Motor Torpedo Boat Squadrons. The Navy SEAL unit was established soon after President Kennedy's famous speech in which he announced the plan to put a man on the moon, as in the same speech the president allocated $100m of funding to strengthen special operations forces. The Navy used some of this money to set up guerrilla and counter-guerrilla units, which soon became the SEALs."
"Focusing problem, for short.   		3 letters","ADD.    	The ""official"" name for the condition we sometimes still refer to as ""attention deficit disorder"" (ADD) is ""attention-deficit hyperactivity disorder"" (ADHD)."
Elephant's weight unit.   		3 letters,"TON.    	There are only three species of elephant living today, with all others being extinct. These are the African bush elephant, the African forest elephant, and the Asian elephant (or ""Indian elephant""). As is well known, the African elephant is distinguished from the Asian/Indian elephant by its much larger ears."
Japanese vegetable.   		3 letters,UDO.    	Udo is a perennial plant native to Japan known taxonomically as Aralia cordata. The stems of udo are sometimes boiled up and served in miso soup.
Gluten-rich food.   		5 letters,"BREAD.    	Gluten is a protein mixture found in foods processed mainly from wheat. The sticky properties of gluten are used in making bread, giving dough its elasticity and making the final product very chewy. 'Gluten' is the Latin word for 'glue'."
Table poker?.   		4 letters,TINE.    	That would be one of the tines (points) on a fork.
Wagner opera heroine.   		6 letters,"ISOLDE.    	""Tristan und Isolde"" is an epic opera by Richard Wagner (Wagner ... not one of my favorites!). Many see it as the first serious move away from the traditional harmony and tonality of the classical and romantic eras."
Greek restaurant menu subheading.   		5 letters,"GYROS.    	A gyro is a traditional Greek dish, a sandwich made with pita bread containing meat, tomato, onion and tzatziki (a yogurt and cucumber sauce). The meat for gyros is usually roasted on a tall vertical spit and is sliced from the spit as required. The name ""gyro"" comes from the modern Greek word ""gyros"" meaning ""circle"", a reference to the meat turning as it is grilled in a rotating circular motion."
Italian scientist after whom an electrical unit is named.   		5 letters,"VOLTA.    	Alessandro Volta was the physicist who invented the first battery, way back in 1800. One of Volta's first applications of his new invention was to use a battery (and a very long run of wire between the Italian cities of Como and Milan) to shoot off a pistol from 30 miles away!"
"Plato portrayer in ""Rebel Without a Cause"".   		5 letters","MINEO.    	The actor Sal Mineo's most famous role was John ""Plato"" Crawford, the kid who was in awe of the James Dean character in ""Rebel Without a Cause"". Sadly, Mineo was murdered in 1976 when he was just 37 years old. He was attacked in the alley behind his Los Angeles apartment and stabbed through the heart. When an arrest was made it was discovered that the murderer had no idea that his victim was a celebrity, and that his plan was just to rob anyone who came along."
Winning blackjack combo.   		7 letters,"ACE-TEN.    	The game of ""twenty-one"" was first referred to in a book by Cervantes, the author famous for writing ""Don Quixote"". He called the game ""ventiuna"" (Spanish for ""twenty-one""). Cervantes wrote his story just after the year 1600, so the game has been around at least since then. Twenty-one came to the US but it wasn't all that popular so bonus payments were introduced to create more interest. One of the more attractive bonuses was a ten-to-one payout to a player who was dealt an ace of spades and a black jack. This bonus led to the game adopting the moniker ""Blackjack""."
Giant jet.   		6 letters,"AIRBUS.    	Airbus is an aircraft manufacturer based in Blagnac, France just outside Toulouse. Airbus produces about half of the world's jetliners. The company built the first fly-by-wire aircraft (the A320) and also builds the world's largest airliner (the A380)."
More than quirky.   		5 letters,"OUTRE.    	The word ""outré"" comes to us from French, as you might imagine, derived from the verb ""outrer"" meaning ""to overdo, exaggerate"". ""Outrer"" is also the ultimate root of our word ""outrage""."
Jakarta's island.   		4 letters,JAVA.    	Jakarta is the capital of Indonesia and is located on the northwest coast of the island of Java. The city's name comes from 'Jayakarta' meaning 'complete victory'.
Column base.   		6 letters,"PLINTH.    	A plinth is a block on which a column is based. The Greek word ""plinthos"" means ""squared stone""."
Boy of song who hated his name.   		3 letters,SUE.    	'A Boy Named Sue' is a classic song by Shel Silverstein that was made famous by Johnny Cash. Cash actually recorded the song at a live concert he gave in 1969 at San Quentin State Prison.
State with Leipzig and Dresden.   		6 letters,"SAXONY.    	Saxony was the name given at different times in history to states along the Elbe river in central Europe. As the various states broke up, they spawned many duchies that retained the name ""Saxe"". The most famous of these duchies was probably Saxe-Coburg and Gotha, two united duchies in Germany that ceased to exist after WWII. A notable branch of the Saxe-Coburg and Gotha House is the British Royal Family, as Queen Victoria was married to Prince Albert of Saxe-Coburg and Gotha King George V of the United Kingdom changed the name of the family to the House of Windsor in a politically sensible move during WWI."
Unpopular baby name.   		5 letters,"ADOLF.    	The names Adolf (in Germany) and Adolphe (in France) are dying out, with very few babies being given the name since the days of Nazi Germany."
First Chinese dynasty.   		4 letters,"HSIA.    	The Xia (also 'Hsia') Dynasty was the first Chinese Dynasty, lasting from about 2070 to 1600 BCE."
"Loma ___, Calif.   		5 letters",LINDA.    	Loma Linda is a city in California located not far from Los Angeles. The name Loma Linda translates from Spanish as 'Beautiful Hill'.
"""Women Ironing"" artist.   		5 letters","DEGAS.    	Edgar Degas was a French artist, famous for his paintings and sculptures. Some of Degas' most beautiful works feature female ballet dancers, and others depict women bathing."
London's ___ Gardens.   		3 letters,KEW.    	Kew Gardens is a beautiful location in southwest London that was formerly known as the Royal Botanic Gardens. Kew Gardens has the world's largest collection of living plants.
First name in popular shorts.   		4 letters,"WALT.    	Walt Disney (born 'Walter Elias Disney') was one of five children, the son of Elias and Flora Disney. Elias was an Irish Canadian, and Flora was from Ohio."
Lisa ___ Presley.   		5 letters,"MARIE.    	Lisa Marie Presley is the only daughter of Elvis and Priscilla Presley, and the sole heir to her father's estate. Lisa Marie has been married four time, including to Michael Jackson and Nicolas Cage."
Maker of the first waterproof and dustproof wristwatch.   		5 letters,"ROLEX.    	My most prized possession is a beautiful stainless steel Rolex watch that my uncle bought while serving with the RAF in Canada during WWII. Rolex watches were made available to the Canadian servicemen at that time as they were shipping overseas. My uncle brought his Rolex home to Ireland after the war. He needed money for booze one weekend and so sold the watch to my Dad, for five pounds. My Dad gave it to me just before he died, as he knew I loved the watch, and my brothers weren't interested in it all. Not so long ago I had the watch appraised ($3,000), and my brothers suddenly took a liking to it! Still, it's not something that will ever be sold, that's for sure ..."
"Nabokov novel after ""Lolita"".   		4 letters","PNIN.    	""Pnin"" is a novel written in English by Vladimir Nabokov, and published in 1957. The title character is Timofey Pnin, a Russian-born professor living in the US. ""Pnin"" raised some money for Nabokov, as it was published in installments in ""The New Yorker"" magazine. He needed the money while he worked hard to find someone to publish his more edgy novel, ""Lolita""."
"Some home-schoolers get them, briefly.   		4 letters",GEDS.    	The General Educational Development (GED) tests are a battery of five tests designed to demonstrate that a student has the academic skills of someone who has graduated from an American or Canadian high school.
First capital of the Last Frontier.   		5 letters,"SITKA.    	The city of Sitka is located on Baranof Island and part of Chichagof Island in the Alaska Archipelago in the Pacific Ocean. Sitka used to be known as Redoubt Saint Michael and then New Archangel when it was ruled by the Russians. The current city name comes from a local term meaning 'People on the Outside of Baranof Island'. Immediately after the purchase of Alaska by the US, Sitka served as the capital of the Alaska Territory until the seat of government was relocated north to Juneau."
