MO_?,MOI?.    	'J'accuse!' is the French for 'I accuse!'.
ENE_CO,ENESCO.    	George Enescu (aka Georges Enesco) was a Romanian composer and performer on the violin and piano. Enescu's most popular works are two 'Romanian Rhapsodies' (1901-2) and the opera 'Oedipe' (1936).
ALDRI_,"ALDRIN.    	Buzz Aldrin is a true American hero, I'd say. He flew 66 combat missions in Korea, shot down two MiGs, earned his Sc. D. degree from MIT, and was one of the two men who landed on the moon for the first time. Now, that man has a lived a life worth living."
CAG_R,"CAGER.    	In the early days of basketball, when a ball went out of bounds possession was awarded to the player who first retrieved the ball. This led to mad scuffles off the court, often involving spectators. As the game became more organized courts were routinely ""caged"", largely because of this out of bounds rule, to limit interaction with the crowd. It's because of these cages that basketball players are sometimes referred to today as ""cagers""."
B_WS,"BMWS.    	The BMW 507 was a lovely-looking roadster produced in Germany in the late fifties and intended for the US market. It was rejected by the American consumer though as it was so expensive, and only 252 of the model 507 were ever made."
_OS,"ROS.    	Ros Asquith writes the 'Teenage Worrier' books aimed at teens, as well as cartoons for 'The Guardian' newspaper in the UK."
_ODOS,"DODOS.    	""Dummkopf"" is a German word that translates literally as ""dumb head""."
STYN_,"STYNE.    	Jule Styne was an English songwriter who made a name for himself in America with a series of popular musicals. Styne wrote a number of famous songs including 'Don't Rain on My Parade' from 'Funny Girl', 'Diamonds Are a Girl's Best Friend' from 'Gentlemen Prefer Blondes', and 'Everything's Coming Up Roses' from 'Gypsy'."
S_LAMIS,"SALAMIS.    	Salame (note the ""e"" at the end) is an Italian sausage that is traditionally associated with Italian peasants. The meat in the sausage is preserved with salt, and it can be hung and stored for maybe as long as ten years. The name ""salame"" comes from ""sale"", the Italian word for salt, and ""-ame"", a suffix indicating a collective noun. Our English word ""salami"" is actually the Italian plural for ""salame""."
SLALO_,"SLALOM.    	Slalom is an anglicized version of the Norwegian word ""slalam"" that translates as ""skiing race"". There is a longer version of the traditional slalom that is called giant slalom."
DA_S,DAMS.    	Beavers build dams so that they can live in and around the slower and deeper water that builds up above the dam. This deeper water provides more protection for the beavers from predators such as bears. Beavers are nocturnal animals and do all their construction work at night.
C_EED,"CREED.    	What is known today in the Christian tradition as the Nicene Creed, was originally adopted by the first ecumenical council when it met in 325 AD. The meeting took place in the city of Nicaea, which gave its name to this particular profession of faith. Nicaea is the Greek name of the city that is now called Iznik, and it lies in the northwest of Turkey."
STEV_E,"STEVIE.    	Cleverly worded clue ... Singer Stevie Nicks came to fame as the lead singer of Fleetwood Mac. She has a very distinctive voice, heard at its best in the famous 1977 album ""Rumours""."
_SATODAY,"USA TODAY.    	The title of widest circulation of any American newspaper is an honor competed for by ""The Wall Street Journal"" and ""USA Today"", with each paper selling about 2 million copies daily (including online subscribers). ""USA Today"" was launched in 1982."
H_RB,"HERB.    	The herb rosemary is reputed to improve the memory. As such, rosemary has been used as a symbol of remembrance, especially in Europe and Australia. For example, mourners might throw sprigs of rosemary into graves, symbolically remembering the dead. The character Ophelia in William Shakespeare's 'Hamlet' utters the line 'There's rosemary, that's for remembrance'. The name of the herb comes from the Latin 'ros marinus' which means 'dew of the sea'. The idea is that rosemary can in fact grow in some arid locations with only the moisture that is carried by a sea breeze."
BER_E,"BERLE.    	Comedian Milton Berle was known as ""Uncle Miltie"" and ""Mr. Television"", and was arguably the first real star of American television as he was hosting ""Texaco Star Theater"" starting in 1948."
P_EBE,"PLEBE.    	Plebe is a slang term for a freshman in the US military and naval academies. Plebe is probably short for ""plebeian"", the name given to someone of the common class in Ancient Rome (as opposed to a Patrician). ""Pleb"" is a shortened version of plebeian, and is a term used outside of the military schools."
AVENU_,"AVENUE.    	The commercial game of Monopoly is supposedly a remake of ""The Landlord's Game"" created in 1903 by a Quaker woman called Lizzie Phillips who used it as a tool to explain the single tax theory of American economist Henry George. The Landlord's Game was first produced commercially in 1924. The incredibly successful derivative game called Monopoly was introduced in 1933 by Charles Darrow, making him a very rich man when Parker Brothers bought the rights to the game just two years later in 1935."
_ABOOSE,"CABOOSE.    	The word 'caboose' originally came from Middle Dutch and was the word for a ship's galley. When the last car in a train in North America was given a stove for the comfort of the crew, it took on the name 'caboose'. The term has also become slang for a person's backside."
_ONO,"NO-NO.    	The word ""taboo"" was introduced into English by Captain Cook in his book ""A Voyage to the Pacific Ocean"". Cook described ""tabu"" (likely imitative of a Tongan word that he had heard) as something that was both consecrated and forbidden."
DONN_,"DONNE.    	I don't know about here in America, but at school in Ireland we all had to learn John Donne's 'Holy Sonnet X', also known as 'Death Be Not Proud'."
MA_A,"MATA.    	Mata Hari was the stage name used by Margaretha Geertruida Zella, born in the Netherlands in 1876. After an unsuccessful and somewhat tragic marriage, Zella moved to Paris in 1903 where she struggled to make a living. By 1905 she was working as an exotic dancer and using the name Mata Hari. She was a successful courtesan, notably moving in various circles of high-ranking military officers. She apparently worked as a double agent, both for the French and the Germans. When Mata Hari was accused by the French of passing information to the enemy, she was tried, found guilty and executed by firing squad at the height of WW1, in 1917."
_EAV,"BEAV.    	Wally Cleaver and his younger brother 'the Beaver' were the children of Ward and June Cleaver on the fifties sitcom ""Leave It to Beaver""."
CRAZ_,"CRAZE.    	Hula hoops were a big craze in the 1950s, but they have been around in various forms at least since the year 500 BCE!"
CE_S,CEOS.    	Chief executive officer (CEO)
_DOLF,"ADOLF.    	The names Adolf (in Germany) and Adolphe (in France) are dying out, with very few babies being given the name since the days of Nazi Germany."
T_XES,"TAXES.    	In a letter to Jean-Baptiste Leroy dated 13 Nov 1789, Benjamin Franklin wrote ""Our new Constitution is now established, and has an appearance that promises permanency; but in this world nothing can be said to be certain, except death and taxes."""
AC_V,"ACT V.    	Shakespeare adopted the five-act structure for all of his plays, using the same format that was used by Seneca for his Roman tragedies. Given five acts, the plays tend to unfold as follows:"
EDM_ESE,"ED MEESE.    	Ed Meese was born in Oakland, California, just down the road here, and spent 24 years in the office of the Treasurer of Alameda County, where I am sitting right now. After military service, he earned himself a law degree at UC Berkeley. Later as Chief of Staff for President Reagan, he was instrumental in the decision of the crack down in student protesters at Berkeley, which resulted in one protester dying, and a two-week occupation of the city by the California National Guard."
UTOP_A,"UTOPIA.    	'Utopia' is a work by Sir Thomas More, i.e. a 'More work'."
ISA_ORE,"ISADORE.    	I tried to find out why Joe Lieberman has the name Isadore, but couldn't come up with anything. If anyone knows, I'd apprecite hearing about it. Unusual name for a guy!"
STALA_,"STALAG.    	Stalag was the term used for a prisoner-of-war camp in Germany. Stalag is an abbreviation for Stammlager, which in turn is the short form of Mannschartsstamm und Straflager, literally meaning ""crew master and prison camp""."
DUA_E,"DUANE.    	The Allman Brothers Band has to be one of the most unlucky bands in the business. Soon after the group had its big break with the 1971 album ""At Fillmore East"", one of the two Allman brothers, Duane, was killed in a motorcycle accident. One year later, bassist Berry Oakley was killed, also in a motorcycle accident."
D_ISM,"DEISM.    	Thomas Paine's pamphlet known as 'The Age of Reason' (published in three parts, in 1794, 1795 and 1807) is critical of mainstream religion and also challenges the legitimacy of the Bible."
PIT_S,"PITAS.    	Pita is a lovely bread in Middle-Eastern and Mediterranean cuisines. Pita is usually round, and has a ""pocket"" in the center. The pocket is created by steam that puffs up the dough during cooking leaving a void when the bread cools."
S_LON,"SOLON.    	Solon was an Athenian Statesman and lawmaker in Ancient Greece. He gave his name to our contemporary word ""solon"" meaning ""a wise lawmaker""."
C_LEB,"CALEB.    	One of Caleb Carr's novels is a latter day Sherlock Holmes mystery, called ""The Italian Secretary"". It was written as a homage to Sir Arthur Conan Doyle, and with the permission of the Doyle estate. I am a big fan of Sherlock Holmes, and must put this one on my reading list."
AWA_S,"AWACS.    	When the British developed radar in WWII, they also came up with an airborne system that they actually deployed during the war. In 1944 the US Navy commissioned a similar system, and so launched the first American Airborne Early Warning (AEW) system, also before the war was over. The more modern term for the technology is Airborne Warning and Control System, or AWACS for short."
_IF,DIF.    	What's the difference?
D_NADA,"DE NADA.    	""Nada"" is the Spanish word for ""nothing"". ""De nada"" translates literally from the Spanish as ""of nothing"", and is used to mean ""you're welcome"" or ""don't mention it"". The French have the same expression ""de rien"", also translating to ""of nothing"" and used the same way."
A_AR,"A BAR.    	A rabbi, a priest and a duck walk into a bar, and the bartender says, 'What is this? A joke?'"
AREND_,"ARENDT.    	Hannah Arendt was studying and working the field of philosophy, when she had to flee her native Germany in the run up to WWII because of her Jewish heritage. She ended up in the US in 1941, and took posts in various schools here. In 1969 she was appointed full professor at Princeton, the first woman to win such a position, and a decade before women students were admitted to the college."
_THYL,"ETHYL.    	The Ethyl Corporation produced the controversial anti-knock fuel additive known as Ethyl, actually tetra-ethyl lead (and we are still living with the consequences)."
ET_PE,"ETAPE.    	'Étape' is the French word for stage, as in a 'stage' in the Tour de France. It is used in English military circles to describe where troops halt overnight, but can also describe the section of the march itself. So, a march can be divided into stages, into étapes."
_ASCOT,"MASCOT.    	Edmond Audran wrote an operetta called ""La Mascotte"" which was first performed in Paris in 1880. The storyline was about a farm girl who brought good luck to people. She was called ""la mascotte"", a provincial French word for a good luck charm. It was because of the success of this operetta that we started using ""mascot"" in English to mean something that brought luck."
DO_ITO,"DORITO.    	Doritos are a brand of flavored tortilla chips launched in 1964. The name ""Doritos"" means ""little bits of gold"" in Spanish."
VO_,VOL.    	Volume.
_OPHAT,"TOP HAT.    	I think a bowler hat is called a derby here in the US. It was first produced in 1849 in London by hatmakers Thomas and William Bowler, hence the name. The alternative name of ""derby"" comes from the tradition of wearing bowler hats at the Derby horse race every year (and major race in England every year)."
XM_N,"X-MEN.    	X-Men are a team of superheroes created by Stan Lee and published in Marvel Comics. Nowadays they are perhaps best known as the subject of a series of movies, with Hugh Jackman playing Wolverine, and Patrick Stewart playing Professor Xavier."
F_ORA,"FLORA.    	The fauna is the animal life of a particular region, and the flora is that region's plant life. The term 'fauna' comes from the Roman goddess of earth and fertility who was called Fauna. Flora was the Roman goddess of plants, flowers and fertility."
ALBANI_,"ALBANIA.    	The 1997 movie ""Wag the Dog"" is a black comedy starring Dustin Hoffman and Robert De Niro. It tells the story of a fake war that is manufactured by a Washington spin doctor in order to distract the American electorate. It is based on the novel ""American Hero"" by Larry Beinhart. In the movie the war is fictitious and the president goes unnamed. In the novel, Beinhart uses Desert Storm as the war in his storyline, and George H. W. Bush as the President."
A_ENUE,"AVENUE.    	Amsterdam avenue in New York City is also known as Tenth Avenue. Tenth Avenue has existed from 1816, and in 1890 the name was changed by the landowners nearby in order to help give the Upper West Side an old-world feeling, and help boost property prices."
PANT_,"PANTS.    	Suspenders is another one of those words that has morphed in crossing the Atlantic. Back in Ireland we hold up our pants (trousers) with ""braces"". Suspenders hold up ladies stockings (i.e. our word for a garter belt). It can be confusing ..."
SHER_A,"SHERPA.    	In the Tibetan language, Sherpa means ""eastern people"" (sher = east, pa = people). Sherpas are an ethnic group from Nepal, but the name is also used for the local guides who assist mountaineers in the Himalayas, and particularly on Mount Everest."
SLED_,"SLEDS.    	Toboggan came into English from the French Canadian ""tabagane"", the name for a long sled with a flat bottom. The French Canadian word is probably from the Algonquian word for a sled, ""tobakun"","
GASE_,"GASES.    	Krypton is one of the noble gases, those elements over on the extreme right of the Periodic Table. Because of their ""full"" complement of electrons, noble gases are very nonreactive. The noble gases are Helium, Neon, Argon, Krypton and Xenon. Kryptonite, of Superman fame, is a fictitious element, created from the remains of Superman's native planet, Krypton."
_ACS,"PACS.    	A Political Action Committee (PAC) is a private group that works to influence the outcome of a particular election or group of elections. Any group becomes a PAC by law when it receives or spends more than $1,000 for the purpose of influencing the outcome of an election. In 2010 the Supreme Court ruled that PACS that did not make direct contributions to candidates or parties could accept unlimited contributions. These 'independent-expenditure only committees' are commonly referred to as 'super PACs'."
_OGS,"NOGS.    	It's not really clear where the term 'nog' (as in 'eggnog') comes from although it might derive from the word 'noggin', which was originally a small wooden cup that was long associated with alcoholic drinks."
AS_,"ASE.    	For example, amyl-ase, the enzyme in saliva (that breaks down starches in food)."
A_ACS,"AWACS.    	When the British developed radar in WWII, they also came up with an airborne system which they actually deployed during the war. In 1944 the US Navy commissioned a similar system, and so launched the first American Airborne Early Warning (AEW) system, also before the war was over. The more modern term for the technology is Airborne Warning and Control System, AWACS for short."
ALC_N,"ALCAN.    	Dawson Creek is a city in the northeast of British Columbia, Canada."
S_SS,SASS.    	Nicely worded clue.
_EREEN,"VEREEN.    	Ben Vereen is an American actor and dancer, probably best known for playing Chicken George in the magnificent television miniseries ""Roots"". When Vereen was applying for a passport in the sixties, he discovered that he was adopted. When he went looking for his birth parents he learned that his mother (who had passed away by this time) had gone away on a trip when he was very young. When she returned, the child and the person minding him had disappeared. She never saw her son again."
ECAS_,"ECASH.    	There was a lot of talk about ecash back in the nineties, cash that could be used onlone, but the idea really fizzled out. Nowadays the term ecash really applies to money available in an account that can be accessed online. It's not really cash per se."
SEL_NE,"SELENE.    	Selene was the Greek goddess of the moon, the equivalent of the Roman deity, Luna. Selene gave her name to the word ""selenology"", the study of the geology of the moon, and also gave her name to the chemical element ""selenium"". According to mythology, Selene fell in love with the handsome hunter/shepherd Endymion, a mere mortal."
C_RRI,"CIRRI.    	Cirrus (plural 'cirri') clouds are those lovely wispy, white strands that are often called ""mare's tails""."
E_TIT,EAT IT.    	
NARC_,NARCS.    	Drug dealers dread the sight of narcotics agents.
BOR_EN,"BORDEN.    	Elsie the Cow is the mascot of the Borden Company. Elsie first appeared at the New York World's Fair in 1939, introduced to symbolize the perfect dairy product. Elsie was also given a husband, Elmer the Bull, who eventually moved over to the chemical division of Borden where he gave his name to Elmer's Glue."
_NDO,"ENDO.    	An animal with an endoskeleton has a supporting skeleton inside its body. So, we humans have an endoskeleton. A turtle, on the other hand, has both an endoskeleton, and an exoskeleton, its outer shell."
THR_W,"THROW.    	A 'dunk tank' is a funfair attraction consisting of a large tank filled with water, over which a volunteer sits on a collapsing seat. Balls that are successfully thrown at a target cause the seat to collapse, and the poor volunteer gets dunked."
BA_OU,"BAYOU.    	A bayou is a marshy inlet or outlet of a lake or river, usually with stagnant or slow-moving water. The exact origins of the term ""bayou"" is uncertain, but it is thought perhaps to come from the Choctaw (a Native American people from the southeast) word ""bayuk"", meaning ""small stream""."
B_ANDO,"BRANDO.    	""Somebody: The Reckless Life and Remarkable Career of Marlon Brando"" is a biography of the actor written by Stefan Kanfer, published in 2008."
S_AB,"SCAB.    	We first started calling strikebreakers ""scabs"" in the early 1800s, and before that a scab was a person who refused to join a trade union (back as early 1777). The word probably comes from the use of ""scab"" as a skin disease, and perhaps in an insulting sense as a ""despicable person""."
