One of eight baby teeth.   		5 letters,MOLAR.    	Molars are grinding teeth. The term 'molar' comes from the Latin 'mola' meaning 'millstone'.
"Low prime, in Paris.   		5 letters","TROIS.    	In French, three (trois) is a low prime number."
Half a Beatles title.   		8 letters,"OB-LA-DI.    	""Ob-La-Di, Ob-La-Da"" was one of many songs credited to Lennon/McCartney that was actually written by just one of the pair. Paul McCartney wrote this one, a song that John Lennon really did not like at all. Apparently Lennon was quite obstructionist during the recording of the song and even walked out at one point."
Pitches.   		7 letters,"CAREENS.    	""Careen"" dates back to 1590 when it meant ""to turn a ship on its side, exposing the keel"". The word evolved from the Middle French word ""carene"" meaning ""keel"". Our modern usage, meaning to lean or tilt, only dates back as far as the 1880s. Careen should not be confused with ""career"", a verb meaning to move rapidly. One has to ""career"" from side-to -side in order to ""careen""."
Hunt's production.   		6 letters,"CATSUP.    	'Catsup' is an American spelling of 'ketchup' that is sometimes used, especially in the south of the country."
Horizontally: Abbr..   		3 letters,ACR.    	Across (acr.)
Like most sushi.   		3 letters,"RAW.    	Sushi is a Japanese dish that has as its primary ingredient cooked, vinegared rice. The rice is usually topped with something, most often fish, and can be served in seaweed rolls. If you want raw fish by itself, then you have to order ""sashimi""."
Iowa politico Ernst.   		4 letters,"JONI.    	Joni Ernst was elected as a US Senator for Iowa in 2014. Ernst is a Republican who had previously served as a lieutenant colonel in the Iowa National Guard. She is the first female veteran in the US Senate, and the first woman to represent Iowa in the US Congress."
"Evil ""Get Smart"" organization.   		4 letters","KAOS.    	The satirical comedy series called ""Get Smart"" was the creation of Mel Brooks and Buck Henry, and starred Don Adams as Agent 86, Maxwell Smart. Agent 86 worked for the spy agency CONTROL, alongside the lovely Agent 99. CONTROL's sworn enemy was the criminal organization called KAOS. Smart's shoe phone was a hilarious prop used in almost every episode. When Smart dialed the number 117, the shoe converted into a gun. Cool stuff ..."
Theater.   		5 letters,"ODEUM.    	In Ancient Greece an odeon (also odeum) was like a small theater, with ""odeon"" literally meaning a ""building for musical competition"". Odea were used in both Greece and Rome for entertainments such as musical shows and poetry readings."
*YI.   		3 letters,FOR.    	For your information (fyi)
Beverage often flavored with cardamom.   		8 letters,"CHAI TEA.    	Chai is a drink made from spiced black tea, honey and milk, with ""chai"" being the Hindi word for ""tea"". We often called tea ""a cup of char"" growing up in Ireland, with ""char"" being our slang word for tea, derived from ""chai""."
Tex-Mex item.   		7 letters,"TOSTADA.    	In Mexican cuisine, a tostada is a flat or bowl-shaped tortilla. 'Tostada' translates literally from Spanish as 'toasted'."
Ballet headliner.   		6 letters,"ETOILE.    	In the world of ballet, the étoile is the leading dancer in a company (male or female). ""Étoile"" is the French word for ""star""."
"Ancient times, in ancient times.   		3 letters","ELD.    	'Eld' is an archaic word meaning 'antiquity, olden times'."
Gridiron cry.   		4 letters,"HIKE.    	We never used the word ""gridiron"" when I was growing up in Ireland (meaning a grill used for cooking food over an open fire). So, maybe I am excused for finding out relatively recently that a football field gridiron is so called because the layout of yard lines over the field looks like a gridiron used in cooking!"
Wily temptress.   		7 letters,"DELILAH.    	Delilah is a Biblical figure, the wife of Samson. Delilah was engaged by the Philistines to betray her husband by determining the secret of his great strength. Samson lied to his wife three times, but on the fourth asking he told his wife the truth, that he did not cut his hair. Delilah then convinced Samson to shear his locks and so allowed him to be captured by his enemies. Over the centuries, it has been usual to depict Delilah actually cutting off her husband's hair, but the Bible actually says that she persuaded Samson to do the job himself."
Queen's Chapel designer ___ Jones.   		5 letters,"INIGO.    	Inigo Jones was a British architect, a native of London. The most famous Jones's design is probably London's Covent Garden Square."
"The ""M"" of Y.M.C.A.   		5 letters","MEN'S.    	The YMCA is a worldwide movement that has its roots in London, England. There, in 1844, the Young Men's Christian Association (YMCA) was founded with the intent of promoting Christian principles through the development of ""a healthy spirit, mind and body"". The founder, George Williams, saw the need to create YMCA facilities for young men who were flocking to the cities as the Industrial Revolution flourished. He saw that these men were frequenting taverns and brothels, and wanted to offer a more wholesome alternative."
"Germaine who wrote ""The Whole Woman"".   		5 letters","GREER.    	Germaine Greer is a very outspoken Australian feminist who was catapulted into the limelight with her runaway bestseller ""The Female Eunuch"", first published in 1970. Greer has lived in the UK for many years, and I see her a lot on British television news/panel shows. Apparently she also made what I would have thought is an odd choice for her, to appear on the UK version of ""Celebrity Big Brother"". Mind you, she walked out of the house after just five days."
Beat poet Cassady and others.   		5 letters,"NEALS.    	Neal Cassady was a member of the Beat Generation, the group of post-WWII writers who became prominent in the 1950s. Cassady was the inspiration for the character Dean Moriarty in Jack Kerouac's novel 'On the Road'."
Where springboks graze.   		5 letters,"VELDT.    	Also known as Veld, Veldt is the name given to large rural spaces in southern Africa. We might use the term ""boondocks"" for the same thing. The word comes from the German for ""field""."
Spanish lady.   		4 letters,"DONA.    	In Spain, a title of respect for men is 'Don'. The equivalent female title is 'Dona'."
Shah ___ Pahlavi.   		4 letters,"REZA.    	The last Shah of Iran was Mohammed-Reza Shah Pahlavi, as he was overthrown in the revolution led by the Ayatollah Khomeini in 1979. The post-revolution government sought the extradition of the Shah back to Iran while he was in the United States seeking medical care (he had cancer). His prolonged stay in the United States, recovering from surgery, caused some unrest back in Iran and resentment towards the United States. Some say that this resentment precipitated the storming of the US Embassy in Tehran and the resulting hostage crisis."
"""The poetry of reality,"" per Richard Dawkins.   		7 letters","SCIENCE.    	Richard Dawkins is an evolutionary biologist and Oxford professor, and a very articulate and outspoken atheist. Dawkins is also a vocal critic of creationism."
Misery or Missouri.   		5 letters,"STATE.    	A state of misery, or the state of Missouri."
Big name in TV talk.   		7 letters,"ARSENIO.    	Arsenio Hall got his big break with his role in ""Coming to America"" with Eddie Murphy in 1988. The following year he started hosting ""The Arsenio Hall Show"", which ran until 1994. He had a loyal group of fans that had the habit of almost ""barking"" while pumping their fists in the air. The move became so popular it extended far beyond the influences of Arsenio, and to this day can be seen performed as a mark of appreciation. Not by me, mind you ..."
Aid provider since 1864 ...   		9 letters,"RED CROSS.    	Back in 1859, a Swiss businessman called Henri Dunant went to meet French emperor Napoleon III, to discuss making it easier to conduct commerce in French-occupied Algeria. The Emperor was billeted at Solferino, where France and Austria were engaged in a major battle. In one day, Dunant witnessed 40,000 soldiers die in battle and countless wounded suffering on the battlefield without any organized medical care. Dunant abandoned his business agenda and instead spent a week caring for the sick and wounded. Within a few years, in 1863, he had founded the precursor to the Red Cross, and in 1901 he was awarded the first ever Nobel Peace Prize."
Whacks.   		4 letters,"OFFS.    	'To whack' is 'to off', to murder."
Ancient Macedonian capital.   		6 letters,"EDESSA.    	The Greek city of Edessa is in the Central Macedonian region of the country. Edessa was the ancient capital of Macedon, and home to fabled King Midas."
Banking partner of Wells.   		5 letters,"FARGO.    	Back in the mid-1800s, Henry Wells founded an express package delivery service called Wells and Company. Around the same time, William Fargo founded Fargo and Company as a competitor. The two decided to join forces instead of competing, and took on a partner and formed the American Express Company (which is still around today). Fargo and Wells then decided to set up a company in California to provide express delivery and banking services, a company they called Wells Fargo."
Start of an Eastern title.   		5 letters,"DALAI.    	The Dalai Lama is a religious leader in the Gelug branch of Tibetan Buddhism. The current Dalai Lama is the 14th to hold the office. He has indicated that the next Dalai Lama might be found outside of Tibet for the first time, and may even be female."
Slow musical movements.   		7 letters,"ADAGIOS.    	An adagio is a piece of music with a slow tempo. The ""adagio"" marking on the score is an instruction to play the piece slowly and in a stately manner. The word adagio is Latin for ""at ease""."
Tibetan source of butter.   		3 letters,"YAK.    	The English word ""yak"" is an Anglicized version of the Tibetan name for the male of the species. Yak milk is much prized in the Tibetan culture. It is made into cheese and butter, and the butter is used to make a tea that is consumed in great volume by Tibetans. The butter is also used as a fuel in lamps, and during festivals the butter is even sculpted into religious icons."
Latin lover's declaration.   		9 letters,"YO TE AMO.    	In Spanish, one might say 'I love you' (you te amo) with flowers (con flores)."
Early development centers.   		5 letters,"UTERI.    	""In utero"" is a Latin term meaning ""in the uterus"". The Latin ""uterus"" translates as both ""womb"" and ""belly"". The Latin word was derived from the Greek ""hystera"" also meaning womb, which gives us the words ""hysterectomy"", and ""hysterical""."
Mello ___ (soft drink).   		5 letters,"YELLO.    	Like so many beverages introduced by the Coca-Cola Company, Mello Yello was launched to compete against a successful drink already on the market. Mello Yello first hit the shelves in 1979, designed to take market share from Pepsico's ""Mountain Dew""."
Fast-food chain known for its root beer.   		7 letters,"A AND W.    	A&W is a brand of root beer that has been around since 1920, when Roy Allen partnered with Frank Wright to create the A&W moniker from their family names."
One of the five W's.   		4 letters,"WHO?.    	The Five Ws (or 'Five Ws and one H') is a journalistic concept used for gathering information. For a story to be complete, six questions need to be answered:"
Complex data.   		5 letters,RENTS.    	One might keep data such as rents paid in an apartment complex.
Cataract location.   		4 letters,"LENS.    	Cataracts are a condition in which the lens of the eye gets cloudy, impairing vision. The name of the disease comes from the Latin 'cataracta' meaning 'waterfall'. The idea is that the whiteness of rushing water resembles the white appearance of the affected lens."
1933 Physics Nobelist Schrödinger.   		5 letters,"ERWIN.    	Erwin Schrödinger was an Austrian theoretical physicist, one of the so-called ""fathers of Quantum Mechanics"". He won the Nobel Prize for Physics in 1933 for developing the Schrödinger Equation, the 'Newton's Law' of Quantum Mechanics."
Chewy chocolate candy.   		5 letters,"ROLOS.    	Rolo was a hugely popular chocolate candy in Ireland when I was growing up. Rolo was introduced in the thirties in the UK, and is produced under license in the US by Hershey. I was a little disappointed when I had my first taste of the American version as the center is very hard and chewy. The recipe used on the other side of the Atlantic calls for a soft gooey center."
Ring of rebels.   		5 letters,"CABAL.    	A cabal is a small group of secret plotters, perhaps scheming against a government or an individual."
"___ Selassie, old Ethiopian leader.   		5 letters",HAILE.    	Emperor Haile Selassie I ruled Ethiopia until he was removed from power in a revolution in 1974. Selassie died in 1975 under suspicious circumstances and it is widely believed that he was assassinated.
Gertrude who swam the English Channel.   		6 letters,"EDERLE.    	Gertrude Ederle was an American swimmer, from New York City. Ederle became the first woman to cross the English Channel, in 1926. Only five men had made the same swim before Ederle, with the fastest crossing being in 16 hours 33 minutes. Ederle blew that record ""out of the water"", arriving in Dover in 14 hours 39 minutes."
Italian dish that needs much stirring.   		7 letters,"RISOTTO.    	Risotto is an Italian rice dish that is usually served as a first course in Italy, but as a main course here in North America."
It's been shortening since 1911.   		6 letters,"CRISCO.    	The Crisco brand of shortening was the first shortening to be made entirely from vegetable oil. Although that sounds like a good thing, it's actually made by hydrogenating vegetable oil so that it has physical properties similar to the animal shortening it was designed to replace. This hydrogenation turns good fats into bad fats, so medical professionals suggest limited intake."
Washington city in apple-growing country.   		6 letters,"YAKIMA.    	The city and county of Yakima lie southeast of Mount Rainier in the state of Washington. The Yakima Valley is recognized as one of the best apple-producing regions in the world, and it also produces three quarters of all the hops grown in the US."
Griffin who's the only two-time Heisman winner.   		6 letters,ARCHIE.    	Archie Griffin is a former professional footballer who played running back. Griffin is the only person to have won the Heisman Trophy twice.
Fashion designer Marc.   		4 letters,ECKO.    	Marc Ecko is a fashion designer from New Jersey. Marc was born Marc Milecofsky. In college he became a fan of graffiti and used the name 'Ecko' to tag his drawings.
Map abbr..   		3 letters,MTS.    	Mountains (mts.)
"An ""art"" for Donald Trump.   		4 letters",DEAL.    	'Trump: The Art of the Deal' is a bestselling 1987 book by businessman and presidential candidate Donald Trump. The book was co-written by journalist Tony Schwartz.
How pastrami is usually ordered.   		6 letters,"ON RYE.    	In the US, pastrami was originally called ""pastrama"", a dish brought to America by Jewish immigrants from Romania in the second half of the the nineteenth century. The original name may have evolved from the Turkish word ""pastirma"" meaning ""pressed"". ""Pastrama"" likely morphed into ""pastrami"" influenced by the name of the Italian sausage called salami."
Where Samson slew the Philistines.   		4 letters,"LEHI.    	In the story of Samson in the Bible, Samson is tied up with ropes and taken to Lehi where he breaks free of his bonds and uses the jawbones of an ass to slay one thousand Philistines. The full name for Lehi is Ramath Lehi which translates as 'jawbone hill'."
Milan opera house.   		8 letters,"LA SCALA.    	La Scala Opera House opened in 1778. It was built on the site of the church of Santa Maria della Scala, which gave the theater its name: ""Teatro alla Scala"" in Italian."
Household.   		6 letters,MENAGE.    	'Ménage' is the French word for 'household'. The familiar term 'ménage à trois' translates as 'household of three' and is used to describe a domestic arrangement in which three people having sexual relations occupy the same household.
Weighed down.   		5 letters,"LADEN.    	The verb ""lade"" meaning ""to load"" comes from an Old English word ""hladan"". Lade also used to mean ""to draw water"" and indeed gave us our word ""ladle"". So ""lade"" and ""ladle"" are close cousins."
Mother-of-pearl source.   		7 letters,"ABALONE.    	The large edible sea snails that we call abalone are called ormer in the British Isles, and is served as 'awabi' at a sushi bar. The abalone shell resembles a human ear, giving rise to the alternative names 'ear shell' and 'sea ear'."
Some docents' degs.   		4 letters,MFAS.    	Master of Fine Arts (MFA)
Certain back-scratcher.   		5 letters,"LOOFA.    	The loofah (also loofa, lufah and luffa, all Arabic words) is a vine, with fruit that's very popular in Asia and Africa. If the fruit is allowed to mature, it can be processed to remove everything but the more rigid xylem structure (remember your high school botany class?) leaving a soft, sponge-like mass that is used as a skin polisher."
Environmental transition area.   		7 letters,ECOTONE.    	An ecotone is a transition area between two different types of land that sit adjacent to each other.
Maker of markers.   		6 letters,PENTEL.    	Pentel is Japanese company that is known for manufacture of pens and markers.
Composer Camille Saint-___.   		5 letters,"SAENS.    	Camille Saint-Saens was one of the great French composers in my opinion. Saint-Saëns composed during the Romantic Era, and it was he who introduced the symphonic poem to France. Even his light and airy ""The Carnival of the Animals"" is a lovely work."
Eye of the tigre?.   		3 letters,"OJO.    	In Spanish, one might look a tiger (tigre) in the eye (ojo)."
King of Israel who founded Samaria.   		4 letters,"OMRI.    	Omri was the sixth king of Israel, and was succeeded by his son Ahab."
"The Beach Boys' ""Surfer Girl"" vis-à-vis ""Little Deuce Coupe"".   		6 letters","SIDE A.    	""Little Deuce Coupe"" is one of those hits that was released as B-side. It's song written by Brian Wilson and Roger Christian that was released by the Beach Boys in 1963 on the B-side to 'Surfer Girl'. The title refers to the Ford Model B automobile. In the 1940s, the 1932 Ford Model B became known as the ideal hot rod. It was given the slang name 'deuce coupé', with 'deuce' being a reference to the 'two' in the '1932' model year."
Dickens boy.   		8 letters,"TINY TIM.    	Tiny Tim is the nickname of Timothy Cratchit, the little disabled boy in the Charles Dickens novella ""A Christmas Carol"". 'A Christmas Carol' is such a popular book that it has not been out of print since its first publication in December 1843."
Suffix with glycer-.   		4 letters,"-IDE.    	Glycerides are organic compounds comprising glycerol and one, two or three fatty acids. We're most used to hearing about triglycerides, as they are found in vegetable oils and animal fats."
Dancer in a kimono.   		6 letters,GEISHA.    	The Japanese term 'geisha' best translates as 'artist' or 'performing artist'.
Escargot.   		5 letters,"SNAIL.    	Escargot' is the French word for 'snail'. In order to eat snails, apparently they have to be 'purged' before killing them. That means starving them or feeding them on something 'wholesome' for several days before cooking them up. Ugh ..."
Duped.   		7 letters,"XEROXED.    	Xerox was founded in 1906 in Rochester, New York and originally made photographic paper and equipment. Real success came for the company in 1959 when it introduced the first plain-paper photocopier. Xerox named Ursula Burns as CEO in 2009, the first African American woman to head up a S&P 100 company. Burn was also the first woman to succeed another female CEO (replacing Anne Mulcahy)."
1960s western sitcom.   		7 letters,"F TROOP.    	Relatively few people outside of the US saw the American sitcom 'F Troop', which was made in the sixties. I remember watching the show as a young lad because it was picked up by the Irish national television service. The only other country that showed 'F Troop' was Australia."
___ Verde Islands.   		4 letters,"CAPE.    	The Republic of Cape Verde is an island nation in the Atlantic Ocean off the west coast of Africa. The country takes its name from Cap-Vert, a peninsula in Senegal and the most westerly point on the continent. Cape Verde was an uninhabited group of islands when it was colonized by the Portuguese in the 15th century."
Cruise vehicle.   		5 letters,"MOVIE.    	Tom Cruise's real name is Tom Cruise Mapother IV. Cruise was born in Syracuse, New York, one of my favorite cities in the US.because that's where I met my wife-to-be ..."
"With 20-Across, scratched the surface for resources?.   		5 letters",STRIP.    	20. See 38-Across : MINED
Figure skating leaps.   		5 letters,AXELS.    	An Axel is a forward take-off jump in figure skating. It was first performed by Norwegian Axel Paulsen at the 1882 World Figure Skating championships.
One who has crossed the line?.   		4 letters,"SCAB.    	We first started calling strikebreakers ""scabs"" in the early 1800s, and before that a scab was a person who refused to join a trade union (back as early 1777). The word probably comes from the use of ""scab"" as a symptom of a skin disease, and so is a term that is meant to insult."
Basic material.   		6 letters,"ALKALI.    	The 'opposite' of an acid is a base. Acids turn litmus paper red, and bases turn it blue. Acids and bases react with each other to form salts. An important subset of the chemicals called bases are the alkalis, the hydroxides of the alkali metals and of ammonium. The term 'alkali' is sometimes used interchangeably with 'base', especially if that base is readily soluble in water."
Chorale's end?.   		8 letters,SILENT E.    	The last letter in the word 'chorale' is a silent E.
Energy.   		3 letters,"VIM.    	'Vim' and 'punch' are words that both mean ""energy"" and ""power""."
Does improv.   		7 letters,"AD LIBS.    	""Ad libitum"" is a Latin phrase meaning ""at one's pleasure"". In common usage the phrase is usually shortened to ""ad lib"". On the stage the concept of an ""ad lib"" is very familiar. For example, an actor may substitute his or her own words for forgotten lines using an ad lib, or a director may instruct an actor to use his or her own words at a particular point in a performance to promote a sense of spontaneity."
Rapper's posse.   		4 letters,CREW.    	A rap star's entourage is usually called his or her 'posse'.
"Shakespeare character who says ""Unhappy that I am, I cannot heave / My heart into my mouth"".   		8 letters","CORDELIA.    	Cordelia was the legendary Queen of the Britons, the youngest daughter of Leir. Cordelia and Leir supposedly reigned before the Romans invaded Britain. Cordelia, her father and her two sisters were immortalized by William Shakespeare in his play 'King Lear'."
Successor to Holder as attorney general.   		5 letters,"LYNCH.    	Loretta Lynch is the current Attorney General of the US, having assumed office in April of 2015. Lynch is the first African-American woman to hold the post, and only the second woman (Janet Reno was the first)."
Dweller along the Wasatch Range.   		5 letters,UTAHN.    	The Wasatch Range is at the western edge of the Rocky Mountains and runs through Utah. 'Wasatch' is a Ute word meaning 'mountain pass'.
Beaver projects.   		4 letters,DAMS.    	Beavers build dams so that they can live in and around the slower and deeper water that builds up above the dam. This deeper water provides more protection for the beavers from predators such as bears. Beavers are nocturnal animals and do all their construction work at night.
"Single-price auction purchase, informally.   		6 letters","T-BILL.    	A Treasury note (T-Note) is a government debt that matures in 1-10 years. A T-Note has a coupon (interest) payment made every six months. The T-note is purchased at a discount to face value, and at the date of maturity can be redeemed at that face value. A T-Bill is a similar financial vehicle, but it matures in one year or less, and a T-Bond matures in 20-30 years."
Capital of Australia's Northern Territory.   		6 letters,"DARWIN.    	Darwin is the capital and largest city in the Northern Territory of Australia. HMS Beagle landed in the area in 1839. A lieutenant on the ship called the location Port Darwin, in honor of the famed naturalist Charles Darwin. Darwin wasn't on board the Beagle at the time, but he had been on the vessel's prior voyage."
"""Rigoletto"" composer.   		5 letters","VERDI.    	Giuseppe Verdi was an Italian composer mainly of operas who was active during the Romantic era. Equally as famous as Verdi's operas, are arias from those operas such as ""La donna è mobile"" from 'Rigoletto', 'The Drinking Song' from 'La Traviata' and 'The Chorus of the Hebrew Slaves' from 'Nabucco'."
"Cranston of ""Breaking Bad"".   		5 letters","BRYAN.    	In the television show 'Malcolm in the Middle', Malcolm's Dad was played by actor Bryan Cranston. Cranston picked up an even bigger role starring in 2008, when he started portraying Walter White, the lead on the AMC hit series 'Breaking Bad'."
"When repeated, classic song with the lyric ""Sayin' we gotta go, yeah yeah yeah yeah yeah"".   		5 letters","LOUIE.    	'Louie Louie' is an R&B song that was most famously a hit for the Kingsmen in 1963. The Kingsmen were accused of deliberately slurring words in the song that were describing the sexual act. There was even a 31-month investigation by the FBI, after which it was concluded that the accusation was unfounded."
*YSE.   		3 letters,NEW.    	The roots of the New York Stock Exchange (NYSE) go back to 1792 when a group of 24 stock brokers set up the New York Stock & Exchange Board. They did so in an agreement signed under a buttonwood tree outside 68 Wall Street. That document became known as the Buttonwood Agreement.
Broadway's ___ O'Neill Theater.   		6 letters,"EUGENE.    	The Eugene O'Neill Theater in the Broadway Theater District of New York City was opened in 1925. The venue was known as the Coronet from 1945 to 1959, and at one time it was owned by playwright Neil Simon."
Temple of ___.   		4 letters,"DOOM.    	'Indiana Jones and the Temple of Doom' is the second in the series of 'Indiana Jones' movies, although the story is written as a prequel to the first film, 'Raiders of the Lost Ark'."
Many an Israeli.   		5 letters,"SABRA.    	Jewish people born in the State of Israel, or the historical region of israel, are known as Sabras. 'Sabra' is actually the name of the prickly pear, the thorny desert cactus. Apparently the name 'Sabra' is used because a Jew born in the region is said to be tough on the outside and sweet on the inside, just like a prickly pear."
Cheerio-shaped.   		5 letters,"TORIC.    	Cheerios breakfast cereal has the distinction of being the first oat-based cereal introduced into the market, hitting the grocery store shelves in 1941. Back then, 'Cheerios' were known as CheeriOats."
Thumbing-the-nose gesture.   		5 letters,"SNOOK.    	Cocking a snook' in general means to show disrespect by making an insulting gesture, and in particular in our culture this can be to thumb one's nose."
Guinness word.   		4 letters,"MOST.    	""The Guinness Book of World Records"" holds some records of its own. It is the best-selling, copyrighted series of books of all time and is one of the books most often stolen from public libraries! The book was first published in 1954 by two twins, Norris and Ross McWhirter. The McWhirter twins found themselves with a smash hit, and eventually became very famous in Britain hosting a TV show based on world records."
Playwright O'Neill.   		6 letters,"EUGENE.    	The playwright Eugene O'Neill was born in a New York City hotel room in what is now called Times Square, in 1888. That building no longer exists and there is a Starbucks on the site today, but you can go take a look at the commemorative plaque at the Northeast corner of 43rd and Broadway. O'Neill died in 1953, in room 401 of the Sheraton Hotel on Bay State Road in Boston. His last words were, 'I knew it. I knew it. Born in a hotel room, and God damn it, died in a hotel room."""
Sommelier's prefix.   		4 letters,"OEN-.    	In Greek mythology, Oeno was the goddess of wine, giving us ""oen-"" as a prefix meaning ""wine"". For example, oenology is the study of wine and an oenophile is a wine-lover."
Diamond datum.   		5 letters,STEAL.    	Players steal bases on a baseball diamond.
Chopper.   		3 letters,"HOG.    	Some modified Harley-Davidson motorcycles were referred to as 'choppers', as the owners would chop of parts that were deemed unnecessary for speed."
___ Carta.   		5 letters,"MAGNA.    	The Magna Carta is a landmark document issued in England in 1215. It represents the first time that an English king had to submit to the will of his subjects, a group of barons who sought to limit the powers of the monarchy. In particular the Magna Carta calls out that no freeman could be punished except through the law of the land. And of course, the Magna Carta was an inspiration for the United States Constitution."
"___ Brown, host of ""Iron Chef America"".   		5 letters","ALTON.    	Alton Brown is a celebrity chef who is behind the Food Network show 'Good Eats', and the host of 'Iron Chef America'."
Hawaiian medicine man.   		6 letters,"KAHUNA.    	Like many words in Hawaiian, the term 'kahuna' has several English translations, everything from a priest to an expert in some profession. The expression 'the Big Kahuna' comes from the movie 'Gidget', released in 1959. The Big Kahuna was the leader of one of the surfing gangs in the film, and was played by Cliff Robertson."
Prefix with physics.   		5 letters,"META-.    	The word ""metaphysics"" comes from the Greek ""meta"" (beyond) and ""physika"" (physical), and is a branch of philosophy that investigates reality beyond the principles of science. Not something I would understand ..."
Pâté de ___ gras.   		4 letters,"FOIE.    	Pâté is a rich spreadable paste made up of a mixture of ground meat and fat, to which various vegetables, herbs and spices may be added. The most famous version of the paste is pâté de foie gras, made from the fattened livers of geese (""foie gras"" means ""fat liver"" in French)."
Dummy.   		5 letters,"SCHMO.    	'Schmo' (also 'shmo') is American slang for a dull or boring person, from the Yiddish word 'shmok'."
"Tom ___, onetime Marilyn Monroe co-star.   		5 letters","EWELL.    	The actor Tom Ewell is best remembered for playing the male lead in the 'The Seven Year Itch', both on the Broadway stage and in the 1955 Hollywood movie. I also know Ewell as the 'bad guy' in one of my favorite movies, 1949's 'Adam's Rib'."
"Last name in ""Star Wars"".   		6 letters","KENOBI.    	Obi-Wan Kenobi is one of the most beloved of the 'Star Wars' characters. Kenobi was portrayed by two fabulous actors in the series of films. As a young man he is played by Scottish actor Ewan McGregor, and as an older man he is played by Alec Guinness."
Tick-borne affliction.   		4 letters,"LYME.    	Lyme disease is an infectious disease that is becoming more and more common. The condition takes its name from the town of Lyme, Connecticut where several cases were diagnosed in 1975. Humans catch the disease when bitten by infected ticks. If caught early enough, the disease is usually successfully treated with antibiotics."
"The ""P"" of R.S.V.P.   		5 letters","PLAIT.    	RSVP stands for ""répondez s'il vous plaît"", which is French for ""please, answer""."
"Conflict for which ""Over There"" was written: Abbr..   		3 letters","WWI.    	'Over There' is a song that was popular in both WWI and WWII. 'Over There' was written in 1917 by George M. Cohan, soon after the US declared war against Germany. "
Best man's charge.   		4 letters,"RING.    	The term ""best man"" is Scottish in origin and has been used in English since the early 1800s when it replaced ""groomsman""."
Warm blanket.   		6 letters,AFGHAN.    	An afghan is a blanket or a wrap that is knitted or crocheted from very colorful yarns.
The Police and others.   		5 letters,"TRIOS.    	The Police was a trio formed in London in 1977, with Sting being the most famous member and the lead singer."
Line score inits.   		3 letters,"RHE.    	On baseball scoreboards we see the letters RHE, standing for Runs, Hits and Errors."
___-Aid.   		4 letters,"KOOL.    	The drink we know today as Kool-Aid was invented by Edward Perkins and his wife, in Perkins' mother's kitchen in southwest Nebraska. Kool-Aid is now the Official Soft Drink of the state."
Biblical spy.   		5 letters,"CALEB.    	According to the Bible, after fleeing Egypt the Hebrews were led by Moses to the promised land of Canaan. Moses sent twelve spies into Canaan (one from each of the Twelve Tribes) to report on what awaited them. Ten spies returned with exaggerated stories of giants who would kill the Hebrew army if it entered Canaan. Two spies, Caleb and Joshua, came back with valid reports, that the Hebrews could inhabit the area. As a result of the false reports from the ten spies, the Hebrews did not enter Canaan but instead wandered the desert for another forty years, before they finally took up residence in the promised land. At the end of the forty years, Caleb and Joshua were the only adults that survived the forty-year journey, a reward from God for their obedience."
Street ___ (souped-up cars).   		4 letters,"RODS.    	A 'hot rod' is an American car that has been modified for speed by installing a larger than normal engine. A 'street rod' is generally a more comfortable type of 'hot rod', with the emphasis less on the engine and more on custom paint jobs and interiors. By definition, a street rod must be based on an automobile design that originated prior to 1949."
Dr.   		4 letters,"DOOM.    	Doctor Doom is a supervillain created in the Marvel Comics universe, an archenemy of the Fantastic Four."
Terpsichore's domain.   		5 letters,"DANCE.    	In Greek mythology, the muses are the goddesses who inspire the creation of literature and the arts. The number of muses is a subject of debate at times, but the most popular view is that there are nine:"
Test tube material.   		5 letters,"PYREX.    	Pyrex glassware is brand name owned by Corning. As well as being used in bakeware and laboratory glassware, Pyrex is often the material of choice for optics in large telescopes used in astronomy. Pyrex is made from borosilicate glass, the main ingredients of which at silica and boron trioxide."
Knockdown of all the pins in two bowls.   		5 letters,"SPARE.    	In bowling, the downing of all ten pins in two balls in the same frame is called a ""spare"", scoring ten points. The player gets a bonus, equal to the number of pins downed with the next ball, which could be up to ten. Hence, a spare can be worth up to 20 points."
Mocha alternative.   		8 letters,"CHAI TEA.    	Chai is a drink made from spiced black tea, honey and milk, with ""chai"" being the Hindi word for ""tea"". We often called tea ""a cup of char"" growing up in Ireland, with ""char"" being our slang word for tea, derived from ""chai""."
Smart-alecky.   		4 letters,"WISE.    	Apparently the original ""smart Alec"" was Alec Hoag, a pimp, thief and confidence trickster who plied his trade in New York City in the 1840s."
Rio ___ (Amazon feeder).   		5 letters,"NEGRO.    	The Rio Negro (Spanish for 'black river') is a tributary of the Amazon in South America. The Rio Negro is the largest blackwater river in the world. A blackwater river is a slow-moving waterway that flows through forestation, collecting decaying vegetable matter that turns the water to a dark coffee color."
Suisse sweetheart.   		5 letters,"CHERI.    	'Cheri' is a form of familiar address in French, meaning ""dear, darling, precious"". 'Cheri' is the form used when talking to/of a male, and 'cherie' for a female."
Surrey carriage.   		4 letters,"PRAM.    	Another word used in the UK that's rarely used over here is ""pram"", which in my day was the most common term for what is called a baby carriage in the US. ""Pram"" is short for ""perambulator""."
Attorneys' degs.   		3 letters,JDS.    	The law degree abbreviated to J.D. stands for Juris Doctor.
