ASS_,ASST.    	Personal Digital Assistant (PDA)
_ERRA,"TERRA.    	The name ""terra cotta"" comes to us from Latin via Italian and means ""baked earth"". Terra cotta is a ceramic made from clay which is left unglazed. Maybe the most famous work in terra cotta is the Terracotta Army, the enormous collection of life-size figures that was buried with the Qin Shi Huang, the First Emperor of China around 210 BC. I had the privilege of seeing some of this collection when it toured the US a few years ago, and just the few pieces on display were so very impressive."
_EF,"DEF.    	The 'train' of letters following C are D, E and F."
_NTREE,"ENTREE.    	Entrée means ""entry"" in French. An entrée can be something that helps one get 'a way in"", an interview for example perhaps helped along by a recommendation letter. In Europe, even in English-speaking countries, the entrée is the name for the ""entry"" to the meal, the first course. I found it very confusing to order meals when I first came to America!"
R_P,RIP.    	Ripping' is the process of copying audio or video onto a hard disk. Ripping isn't the same as direct copying as the process involves changing the format of the audio or video content.
AKRO_,"AKRON.    	For part of the 1800s, the Ohio city of Akron was the fasting growing city in the country, feeding off the industrial boom of that era. The city was founded in 1825 and its location, along the Ohio and Erie canal connecting Lake Erie with the Ohio River, helped to fuel Akron's growth. Akron sits at the highest point of the canal and the name 'Akron' comes from the Greek word meaning 'summit'. Indeed, Akron is the county seat of Summit County."
IM_,"IMP.    	A'jackanapes' is an impudent person or an impish child. The term originated with William de la Pole, 1st Duke of Suffolk. The Duke was a bit of an upstart, a member of the nouveau riche who rose into noble ranks from the merchant class. The de la Pole family had a collar and chain on its coat of arms, a symbol that was associated with monkey leashes in those days. As a result, the Duke was given the derisive name of Jack of Naples, a slang term for a monkey at that time, and this was shortened to 'Jackanapes'."
EV_AN,"EVIAN.    	Évian-les-Bains (or simply Évian) is in the very east of France, on the shores of Lake Geneva directly across the lake from Lausanne, Switzerland. As you might imagine, Évian is the home of Évian mineral water, the most successful business in town. I can't stand the taste of Évian water ..."
ATHE_A,"ATHENA.    	The Greek goddess Athena (sometimes 'Athene') is often associated with wisdom, among other attributes. In many representations. Athena is depicted with an owl sitting on her head. It is this linkage of the owl with the goddess of wisdom that led to today's perception of the owl as being ""wise"". Athena's Roman counterpart was Minerva."
O_IGAMI,ORIGAMI.    	The Japanese word 'origami' is derived from ori (folding) and kami (paper).
OA_,"OAF.    	A 'schlemiel' is an awkward and clumsy person. 'Shlemiel' is the Yiddish for 'a bungler', with the term coming from the German story 'The Wonderful History of Peter Schlemihl', published in 1813."
_AD,"FAD.    	The ALS Ice Bucket Challenge is a viral phenomenon in which participants are challenged to be filmed having a bucket of ice water poured over their heads. Each participant then gets to nominate up to three other people to do the same. Usually the nominees are given a day or two to comply, but can make a charitable donation is they want to avoid the icy shower. Happily, many participants opt to take the challenge, and also make a donation."
KI_V,"KIEV.    	Chicken Kiev may indeed be a Ukrainian dish, named for the capital city of Kiev. It is a boneless chicken breast rolled around garlic, herbs and butter, breaded and deep fried. It was my Dad's favorite ..."
KI_V,"KIEV.    	Kiev is the capital of Ukraine and a beautiful city, from what I've heard from friends who have visited ..."
T_TON,"TETON.    	Grand Teton National Park is located just south of Yellowstone NP, and a must-see if you are visiting the latter. The park is named after the tallest peak in the magnificent Teton Range known as Grand Teton. The origins of the name ""Teton"" is not very clear, although my favorite story is that it was named by French trappers, as the word ""tetons"" in French means ""breasts""!"
A_ON,"ARON.    	Elvis Aron Presley was the younger of two identical twins. is brother was stillborn, delivered 35 minutes before Elvis. The brother was named Jesse Garon Presley. So, though born a twin, Elvis was raised as an only child."
M_AT,"MOAT.    	A 'moat' is a protective trench that surrounds a castle, say, or a an exhibit in a zoo. A moat may or may not be filled with water."
_KG,"EKG.    	An EKG measures electrical activity in the heart. Back in my homeland of Ireland, an EKG is known as an ECG (for electrocardiogram). We use the German name in the US, Elektrokardiogramm, giving us EKG. Apparently the abbreviation EKG is preferred as ECG might be confused (if poorly handwritten, I guess) with EEG, the abbreviation for an electroencephalogram."
_APO,"CAPO.    	A capo is a clamp-like device that is placed around the neck of a guitar to shorten the strings, and hence raise the pitch. The full name, rarely used these days, is ""capo tasto"", which is Italian for ""head tie""."
I_EX,IBEX.    	Ibex is a common name for various species of mountain goat. 'Ibex' is a Latin name that was used for wild goats found in the Alps and Apennines in Europe.
A_TO,"AUTO.    	We imported the word 'garage' into English from French, in which language the term historically described a place for storing or sheltering something. Later the term specifically applied to a 'shelter' for a car. The verb 'garer' is French for 'to shelter'."
D_F,"DEF.    	Mos Def is the stage name of actor and rapper Dante Terrell Smith-Bay. Mos Def is one of the few rap stars who is really making a name for himself in the world of movies. He received critical acclaim for roles in 2003's ""The Italian Job"" , 2005's ""The Hitchhiker's Guide to the Galaxy"", and a featured role in an episode of television's ""House""."
TONT_,"TONTO.    	On the television version of 'The Lone Ranger', Tonto was played by the actor Jay Silverheels. In the 2013 movie 'The Lone Ranger', Tonto was played by Johnny Depp."
BAR_,"BARR.    	Alfred H. Barr, Jr. was the first director of the Museum of Modern Art (MoMA) in New York City, serving from 1929 to 1943."
A_ST,ASST.    	Assistant (asst.)
GEO_E,GEODE.    	A geode is a rock in which there is a cavity lined or filled with crystal formations.
SAL_MI,"SALAMI.    	Salame (note the ""e"" at the end) is an Italian sausage that is traditionally associated with the peasant classes. The meat in the sausage is preserved with salt, and it can be hung and stored for as long as ten years. The name ""salame"" comes from ""sale"", the Italian word for salt, and ""-ame"", a suffix indicating a collective noun. Our English word ""salami"" is actually the Italian plural for ""salame""."
ARSENA_,"ARSENAL.    	Our word ""arsenal"" comes from the Italian ""arzenale"", a work adapted from the Arabic for ""workshop"". There was a large wharf in Venice called the Arzenale that became associated with the storage of weapons and ammunition, and this led to our contemporary usage of ""arsenal""."
TORA_,"TORAH.    	The word ""Torah"" best translates as ""teaching"", I am told."
KAH_,"KAHN.    	Madeline Kahn was an American actress best known for her comedic roles, especially those directed by Mel Brooks. Kahn also had her own TV sitcom, called 'Oh Madeline'. But, it only lasted the one season, in 1983."
PABS_,"PABST.    	Pabst Blue Ribbon (PBR) is the most recognizable brand of beer from the Pabst Brewing Company. There appears to be some dispute over whether or not Pabst beer ever won a ""blue ribbon"" prize, but the company claims that it did so at the World's Columbian Exposition in Chicago in 1893. The beer was originally called Pabst Best Select, and then just Pabst Select. With the renaming to Blue Ribbon, the beer was sold with an actual blue ribbon tied around the neck of the bottle until it was dropped in 1916 and incorporated into the label."
_AITT,"RAITT.    	Bonnie Raitt is a blues singer, originally from Burbank, California. Raitt has won nine Grammys for her work, but she is perhaps as well known for her political activism as she is for her music. She was no fan of President George W. Bush while he was in office, and she sure did show it."
TT_PS,"T-TOPS.    	A T-top is a car roof that has removable panels on either side of a rigid bar that runs down the center of the vehicle, above the driver."
OPIAT_,"OPIATE.    	Opiates are the narcotic alkaloids found in the opium poppy plant, although some synthetic versions and derivatives of the same alkaloids are also called opiates. To produce opiates, the latex sap of the opium poppy is collected and processed. The naturally-occurring drugs of morphine and codeine can both be extracted from the sap. Some synthesis is required to make derivative drugs like heroin and oxycodone."
_NEI,"ONE I.    	'Dedicated to the One I Love' is a song that is most associated with the Mamas and the Papas as they had a hit with it in 1967. Back in 1961, the same song was a big hit for The Shirelles."
LDOP_,"L-DOPA.    	The name of the drug L-3,4-DihydrOxyPhenylAlanine can be shortened, thankfully, to L-DOPA. Swedish scientist Arvid Carlsson won a Nobel Prize for showing that L-DOPA could be used to reduce the symptoms of Parkinson's Syndrome."
DE_,"DEF.    	The slang word ""def"" meaning ""excellent, cool"" may come from the word ""definite"". A word I'd only come across in crosswords ..."
DAM_,DAME.    	Dame Daphne du Maurier was an author and playwright from England. My guess is that du Maurier's most famous works are the novel 'Rebecca' and the short story 'The Birds'. Both 'Rebecca' and 'The Birds' were adapted into movies directed by Alfred Hitchcock.
_ETON,"TETON.    	The Lakota people (also called Teton) are Native Americans from the Great Plains, occupying lands mainly in North and South Dakota. The list of famous persons from the Lakota people includes Sitting Bull and Crazy Horse, who were instrumental in the Lakota victory at the Battle of Little Bighorn."
_EV,"NEV.    	Back in the 1800s, the Las Vegas Valley was given its name from the extensive meadows (""las vegas"" is Spanish for ""the meadows"") present in the area courtesy of the artesian wells drilled by local farmers. Las Vegas was incorporated as a city in 1905, in the days when it was a stopping-off point for pioneers travelling west. It eventually became a railroad town, although with the coming of the railroad growth halted as travelers began to bypass Las Vegas. The city's tourism industry took off in 1935 with the completion of the nearby Hoover Dam, which is still a popular attraction. Then gambling was legalized, and things really started to move. Vegas was picked, largely by celebrated figures in ""the mob"", as a convenient location across the California/Nevada state line that could service the vast population of Los Angeles. As a result, Las Vegas is the most populous US city founded in the 20th century (Chicago is the most populous city founded in the 19th century, just in case you were wondering)."
E_SEL,"EASEL.    	The word ""easel"" comes from an old Dutch word meaning ""donkey"" would you believe? The idea is that an easel carries its load (an oil painting, say) just as a donkey would carry its load."
_OCS,"ROCS.    	The mythical roc is a huge bird of prey, reputedly able to carry off and eat elephants. The roc was said to come from the Indian subcontinent. The supposed existence of the roc was promulgated by Marco Polo in the accounts that he published of his travels through Asia."
A_EUT,"ALEUT.    	The Aleuts live on the Aleutian Islands of the North Pacific, and on the Commander Islands at the western end of the same island chain. The Aleutian Islands are part of the United States, and the Commander Islands are in Russia."
SM_RE,"S'MORE.    	S'mores are treats peculiar to North America, usually eaten around a campfire. A s'more consists of a roasted marshmallow and a layer of chocolate sandwiched between two graham crackers. The earliest written reference to the recipe is in a 1927 publication called ""Tramping and Trailing with the Girl Scouts"". Girl Scouts always did corner the market on cookies and the like!"
_RM,"ARM.    	Samuel Colt was fascinated as a young man by the science behind gunpowder and its used in weapons. He decided early on in his life, that he would respond to the challenge of the day, how to achieve the impossible, a weapon that fire more than the two times available at the time using a double-barreled rifle. He came up with the concept of the revolver while at sea, modeling his design on the spoked wheel that steered the ships on which he served. His revolver made him a very rich man in his own lifetime. By the time he died in 1862, his estate was valued at around $15 million. Can you imagine? $15 million back in 1862?"
HUL_,"HULA.    	The annual college football game called the Hula Bowl isn't played anymore. The inaugural game was in 1947, and it was cancelled in 2008."
CNB_,"CNBC.    	CNBC is a business news channel owned by NBC. Launched in 1989, up until 1991 CNBC was known as the Consumer News and Business Channel."
V_OLA,"VIOLA.    	Musical instruments that produce sounds through the vibration of strings can be described collectively as 'chordophones'. Examples are violins, violas, guitars and pianos."
TON_O,"TONTO.    	On the television version of 'The Lone Ranger', Tonto was played by the actor Jay Silverheels."
LIR_S,"LIRAS.    	The currency of Turkey is the Turkish lira, which is divided into 100 kuruş."
GE_OA,"GENOA.    	Genoa is a seaport in the very north of Italy, in the region known as Liguria. One of Genoa's most famous sons was Christopher Columbus. Another was the violinist Niccolò Paganini."
ONE_,"ONE I.    	The One I Love' is a song released in 1987 by the rock band R.E.M. The lyrics are somewhat cynical. The song starts out with 'This one goes out to the one I love', but then the second line is less wholesome, 'A simple prop to occupy my time' ..."
N_VE,"NAVE.    	In large Christian churches, the nave is the main approach to the altar, where most of the congregation are seated."
KE_T,"KENT.    	Superman's comic book creators gave their title character's alter-ego the name 'Clark Kent' by melding the names of Clark Gable and Kent Taylor, two leading men of the cinema. However, they modeled Clark's character more on the silent film actor Harold Lloyd."
TK_S,TKOS.    	Technical knockout (TKO)
PO_SE,POSSE.    	Our word 'posse' comes from an Anglo-Latin term from the early 15th century 'posse comitatus' meaning 'the force of the county'.
_ORAH,"TORAH.    	The word ""Torah"" best translates as ""teaching"", I am told."
AR_S,"ARTS.    	The Academy of Motion Picture Arts and Sciences (AMPAS) is the organization that gives the annual Academy Awards also known as the ""Oscars"". The root of the name ""Oscar"" is hotly debated, but what is agreed is that the award was officially named ""Oscar"" in 1939. The first Academy Awards were presented at a brunch in 1929 with an audience of just 29 people. The Awards ceremony is a slightly bigger event these days ..."
OTO_,"OTOS.    	Little Thief was a chief of the Oto Native American tribe, one who met with Lewis and Clark on their expedition through the American West."
_ARR,"BARR.    	The comedian Roseanne Barr is perhaps best known as the star of her own sitcom called 'Roseanne' in which she played the character Roseanne Conner. In 2012 Barr unsuccessfully vied for the Green Party's nomination for US President. She didn't give up though, and was successful in winning the nomination of the Peace and Freedom Party. In the 2012 presidential election she earned over 60,000 votes, and placed sixth in the list of candidates."
KE_T,"KENT.    	Superman's comic book creators gave their title character's alter-ego the name 'Clark Kent' by melding the names of Clark Gable and Kent Taylor, two leading men of the cinema at the time Superman was created. However, they modeled Clark's character more on the silent film actor Harold Lloyd."
UT_P,"UTEP.    	The University of Texas at El Paso (UTEP) was founded in 1914, originally as the Texas State School of Mines and Metallurgy. To this day there is a mine shaft on the campus, and the mascot of the school's sports teams is Paydirt Pete, a prospector from the mining industry."
C_IRO,"CAIRO.    	Cairo is the capital city of Egypt. It is the largest city on the continent of Africa and is nicknamed 'The City of a Thousand Minarets' because of its impressive skyline replete with Islamic architecture. The name 'Cairo' is a European corruption of the city's original name in Arabic, 'Al-Qahira'."
ASW_N,"ASWAN.    	The Egyptian city of Aswan lies in the south of the country, on the River Nile. Aswan is famous for its stone quarries, going back to ancient times. The most celebrated granite rock from the area is called syenite. Stone from Aswan was shipped northwards along the Nile and used in the construction of the pyramids. From ancient times right up to 1970, the annual flooding of the Nile was a significant event in Egypt. The flooding allowed the deposition of fertile silt far beyond the banks of the river, helping the region's agriculture. However, the flooding was unpredictable. So the Aswan Dam was built in the sixties and from 1970 the flooding was brought under control."
_OE,EOE.    	An Equal Opportunity Employer.
_AME,DAME.    	The Royal Victorian Order was established by Queen Victoria in 1896. Admission to the order is the personal gift of the ruling British monarch.
O_F,"OAF.    	The word ""lummox"", meaning 'oaf', comes from East Anglian slang (northeast of London). The term is probably a contraction of ""lumbering ox""."
BA_A,"BABA.    	There is some controversy about the story ""Ali Baba and the Forty Thieves"" in that it has been suggested that it was not part of the original collection of Arabic tales called ""One Thousand and One Nights"". The suggestion is that it was added by one of its European translators."
T_SS,"TASS.    	TASS is the abbreviation used for the former news agency, the Telegraph Association of the Soviet Union (Telegrafnoye Agentstvo Sovetskovo Soyuza). When the Soviet Union dissolved in 1992, the Moscow-based agency's scope changed, along with its name. It is now known as the Information Telegraph Agency of Russia (ITAR-TASS)."
T_G,"TOG.    	The verb ""tog"", meaning to dress up, comes from the Latin ""toga"". ""Tog"" can be use as an informal word for a coat or a cloak. Back in Ireland, togs are what we call swimming shorts."
_OSH,"TOSH.    	""Tosh"" is British slang for ""foolish nonsense"", and is likely a combination of ""trash"" and ""bosh""."
_ANS,"HANS.    	Hans Geiger was the German physicist who co-invented the Geiger counter, which detects and measures ionizing radiation like alpha and beta particles and gamma rays."
G_LA,"GILA.    	A Gila monster is a venomous lizard found in the southwestern US and northern Mexico, and is the only venomous lizard native to America. Gila monsters move along at a snail's pace so it isn't really a danger to humans."
